"categoryID","table","measurementType","termID","measurementID","term","longName","description","examples","dataType","measurementUnit","AREMPField","AIMField","NRSAField","PIBOField"
1,"RecordLevel",NA,367,NA,"ZipCode",NA,"US Zip Code or country postal code.",NA,NA,NA,NA,NA,NA,NA
1,"RecordLevel",NA,368,NA,NA,"basis of record","The specific nature of the data record.","Recommended best practice is to use the standard label of one of the Darwin Core classes.","String",NA,NA,NA,NA,NA
1,"RecordLevel",NA,369,NA,NA,"Information Withheld","Additional information that exists, but that has not been shared in the given record.","location information not given for endangered species, collector identities withheld | ask about tissue samples","String",NA,NA,NA,NA,NA
2,"Location",NA,370,NA,"verbatimLatitude","From the Data Set Latitude","The verbatim original latitude of the Location. The coordinate ellipsoid, geodeticDatum, or full Spatial Reference System (SRS) for these coordinates should be stored in verbatimSRS and the coordinate system should be stored in verbatimCoordinateSystem.",NA,"Numeric","decimal degrees","lattitude","MIDLAT","LAT_DD83","Lat"
2,"Location",NA,371,NA,"verbatimSpatialReferenceID","From the DatasetCoordinateSystem","The spatial coordinate system for the verbatimLatitude and verbatimLongitude or the verbatimCoordinates of the Location.",NA,"String",NA,NA,NA,NA,NA
2,"Location",NA,372,NA,"verbatimLongitude","From the dataset Longitude","The verbatim original longitude of the Location. The coordinate ellipsoid, geodeticDatum, or full Spatial Reference System (SRS) for these coordinates should be stored in verbatimSRS and the coordinate system should be stored in verbatimCoordinateSystem.",NA,"Numeric","decimal degrees","longitude","MIDLONG","LON_DD83","Long"
2,"Location",NA,373,NA,"verbatimSpatialReferenceID","Spatial Reference System (SRS)","The ellipsoid, geodetic datum, or spatial reference system (SRS) upon which coordinates given in verbatimLatitude and verbatimLongitude, or verbatimCoordinates are based.",NA,"String",NA,NA,NA,NA,NA
2,"Location",NA,374,NA,"samplingFeatureTypeCV",NA,NA,NA,"String",NA,NA,NA,NA,NA
2,"Location",NA,375,NA,"samplingFeatureGeotype",NA,NA,NA,"String",NA,NA,NA,NA,NA
2,"Location",NA,376,NA,NA,"FS Region or BLM State Office",NA,NA,"String",NA,"STATES","State",NA,"Region"
2,"Location",NA,377,NA,NA,"FS Forest or BLM District",NA,NA,"String",NA,NA,"District",NA,"Forest"
2,"Location",NA,378,NA,NA,"Forest Service District or BLM Field Office/Resource Area",NA,NA,"String",NA,NA,"FieldOffice",NA,"District"
2,"Location",NA,379,NA,NA,"Nominal latitude in decimal degrees",NA,NA,NA,NA,NA,NA,"LAT_DD83",NA
2,"Location",NA,380,NA,NA,"Nominal longitude in decimal degrees",NA,NA,NA,NA,NA,NA,"LON_DD83",NA
2,"Location",NA,381,NA,NA,"Creek Code",NA,NA,NA,NA,"creek_code",NA,NA,NA
2,"Location",NA,382,NA,NA,"Mid Reach Latitude",NA,NA,NA,NA,NA,"MidLat",NA,NA
2,"Location",NA,383,NA,NA,"Mid Reach Longitude",NA,NA,NA,NA,NA,"MidLong",NA,NA
2,"Location",NA,384,NA,NA,"Top of Reach Latitude",NA,NA,NA,NA,NA,"TRLat",NA,NA
2,"Location",NA,385,NA,NA,"Top of Reach Longitude",NA,NA,NA,NA,NA,"TRLong",NA,NA
2,"Location",NA,386,NA,NA,"waterbody","The name of the water body in which the Location occurs from the NHD+ layer.",NA,"String",NA,NA,NA,NA,NA
2,"Location",NA,387,NA,NA,"Admistriative state",NA,NA,NA,NA,NA,"ADMIN_ST",NA,NA
2,"Location",NA,388,NA,"State","State From the Dataset","The name of the next smaller administrative region than country (state, province, canton, department, region, etc.) in which the Location occurs.",NA,"String",NA,"STATES",NA,"STATE","State"
2,"Identification",NA,389,NA,NA,"PIBO Use of Site",NA,NA,NA,NA,NA,NA,NA,"Project"
2,"Identification",NA,390,NA,NA,"PIBO Sample Type",NA,NA,NA,NA,NA,NA,NA,"Type"
2,"Identification",NA,391,NA,NA,"Panel year",NA,NA,NA,NA,NA,NA,NA,"PanelYr"
2,"Identification",NA,392,NA,NA,"EPA Site Class",NA,NA,NA,NA,NA,NA,"SITE_CLASS",NA
2,"Identification",NA,393,NA,NA,"EPA X Site Status",NA,NA,NA,NA,NA,NA,"VALXSITE",NA
2,"Identification",NA,394,NA,NA,"Use visit in NRSA population estimates",NA,NA,NA,NA,NA,NA,"USE_NRSA",NA
2,"Identification",NA,395,NA,NA,"EPA Great river site",NA,NA,NA,NA,NA,NA,"GREAT_RIVER",NA
2,"Identification",NA,396,NA,NA,"Count of Visits per Year",NA,NA,NA,NA,NA,NA,"VISIT_NO",NA
2,"Identification",NA,397,NA,NA,"Site Name",NA,NA,NA,NA,NA,NA,NA,"SiteName"
2,"Identification",NA,398,NA,NA,"PIBO Group",NA,NA,NA,NA,NA,NA,NA,"Group"
2,"Identification",NA,399,NA,NA,"PIBO Order",NA,NA,NA,NA,NA,NA,NA,"Order"
2,"Identification",NA,400,NA,NA,"BLM Merge of Site Code",NA,NA,NA,NA,NA,"MergeSiteCodes",NA,NA
2,"Identification",NA,401,NA,NA,"Visit Number",NA,NA,NA,NA,NA,"VisitNumber",NA,NA
2,"Identification",NA,402,NA,NA,"BLM Project",NA,NA,NA,NA,NA,"Project",NA,NA
2,"Identification",NA,403,NA,NA,"BLM Stratum",NA,NA,NA,NA,NA,"Stratum",NA,NA
3,"Event",NA,404,NA,NA,"Sample Date","The verbatim original representation of the date and time information for an Event.","spring 1910, ""Marzo 2002"", ""1999-03-XX"", ""17IV1934""","Date",NA,"survey_date","DT","DATE_COL",NA
3,"Event",NA,405,NA,NA,"Time","The time or interval during which an Event occurred. Recommended best practice is to use an encoding scheme, such as ISO 8601:2004(E).","14:07-0600 is 2:07pm in the time zone six hours earlier than UTC, ""08:40:21Z"" is 8:40:21am UTC, ""13:00:00Z/15:30:00Z"" is the interval between 1pm UTC and 3:30pm UTC.","Date",NA,NA,NA,NA,NA
3,"Event",NA,406,NA,NA,NA,"The integer day of the month on which the Event occurred.","9, ""28""","Date",NA,NA,NA,NA,NA
3,"Event",NA,407,NA,NA,"Standardized Date","The ordinal month in which the Event occurred.","1 (=January), ""10"" (=October)","Date",NA,NA,NA,NA,NA
3,"Event",NA,408,NA,NA,NA,"An identifier given to the event in the field. Often serves as a link between field notes and the Event.","RV Sol 87-03-08","String",NA,NA,NA,NA,NA
3,"Event",NA,409,NA,NA,"Field Status Notes","One of a) an indicator of the existence of, b) a reference to (publication, URI), or c) the text of notes taken in the field about the Event.","notes available in Grinnell-Miller Library","String",NA,NA,NA,NA,NA
3,"MeasurementOrFact",NA,410,NA,"ResultsID",NA,"Unique (GUI) identifer for each result generatd for each data value when the datasets are merged.",NA,NA,NA,NA,NA,NA,NA
4,"MeasurementOrFact",NA,411,NA,NA,NA,"The description of the potential error associated with the measurementValue.","0.01, ""normal distribution with variation of 2 m""","String",NA,NA,NA,NA,NA
4,"MeasurementOrFact",NA,412,NA,"validDateTime",NA,"The date on which the MeasurementOrFact was made. Recommended best practice is to use an encoding scheme, such as ISO 8601:2004(E).","1963-03-08T14:07-0600, ""2009-02-20T08:40Z"", ""1809-02-12"", ""1906-06"", ""1971"", ""2007-03-01T13:00:00Z/2008-05-11T15:30:00Z"", ""2007-11-13/15""","String",NA,NA,NA,NA,NA
4,"MeasurementOrFact",NA,413,NA,"measurementDeterminedBy",NA,"A list (concatenated and separated) of names of people, groups, or organizations who determined the value of the MeasurementOrFact.","AREMP, NRSA, PIBO","String",NA,NA,NA,NA,NA
5,"ControlledVocabulary","Bed stability",414,3,NA,"Hydraulic Resistance due to Bed Particles at Bankfull",NA,NA,NA,NA,NA,NA,"CP3_MILL",NA
5,"ControlledVocabulary","Bed stability",415,3,NA,"Ratio of particle to total hydraulic resistances at bankfull",NA,NA,NA,NA,NA,NA,"CP3CTRPWD_RAT",NA
5,"ControlledVocabulary","Bed stability",416,3,NA,"Hydraulic Resistance, Total at Bankfull",NA,NA,NA,NA,NA,NA,"CT_RPWD",NA
5,"ControlledVocabulary","Bed stability",417,3,NA,"Streambed Critical Diameter-at Bankfull",NA,NA,NA,NA,NA,NA,"LDMB_BW5",NA
5,"ControlledVocabulary","Bed stability",418,3,NA,"Relative Bed Stability (Log10)",NA,NA,NA,NA,NA,NA,"LRBS_BW5",NA
5,"ControlledVocabulary","Bed stability",419,3,NA,"Log10[Erod. sub. dia.]- Est. 2 split BL",NA,NA,NA,NA,NA,NA,"LRBS_BW6",NA
5,"ControlledVocabulary","Bed stability",420,3,NA,"Log10(Relative Bed Stability (Dgm/Dcb) (PRK 2008)",NA,NA,NA,NA,NA,NA,"LRBS_G08",NA
5,"ControlledVocabulary","Bed stability",421,3,NA,"Log10[Relative Bed Stability] - Fast est",NA,NA,NA,NA,NA,NA,"LRBS_TST",NA
5,"ControlledVocabulary","Bed stability",422,3,NA,"Log10[Erodible Substr Dia.(mm)]-Fast est",NA,NA,NA,NA,NA,NA,"LTEST",NA
5,"ControlledVocabulary","Bed stability",423,3,NA,"Hydraulic Radius of Channel at Bankfull",NA,NA,NA,NA,NA,NA,"RB3",NA
5,"ControlledVocabulary","Bed stability",424,3,NA,"Particle Reynolds Number at Bankful",NA,NA,NA,NA,NA,NA,"REYP3",NA
5,"ControlledVocabulary","Bed stability",425,3,NA,"Effective Hydraulic Radius at Bankfull",NA,NA,NA,NA,NA,NA,"RRPW3",NA
5,"ControlledVocabulary","Bed stability",426,3,NA,"Shields parameter at Bankful",NA,NA,NA,NA,NA,NA,"SHLD_PX3",NA
5,"ControlledVocabulary","Channel Characteristics",427,2,NA,"percent of Reach that is Dry",NA,NA,NA,NA,NA,NA,"PCT_DR",NA
5,"ControlledVocabulary","Channel Characteristics",428,2,NA,"Constraining features",NA,NA,NA,NA,NA,NA,"CONFEATURES",NA
5,"ControlledVocabulary","Channel Characteristics",429,2,NA,"Channel pattern",NA,NA,NA,NA,NA,NA,"CONPATTERN",NA
5,"ControlledVocabulary","Channel Characteristics",430,2,NA,"percent of channel length in contact with constraining features",NA,NA,NA,NA,NA,NA,"CONPERCENT",NA
5,"ControlledVocabulary","Channel Characteristics",431,2,NA,"Channel Constraint Type",NA,NA,NA,NA,NA,NA,"CONSTRAINT",NA
5,"ControlledVocabulary","Channel Characteristics",432,2,NA,"Estimated Valley Width",NA,NA,NA,NA,NA,NA,"CONVALLEY",NA
5,"ControlledVocabulary","Channel Characteristics",433,2,NA,"Valley Boarders not Seen",NA,NA,NA,NA,NA,NA,"CONVALLEYBOX",NA
5,"ControlledVocabulary","Channel Characteristics",434,2,NA,"percent of Reach Ability to See Over Bank",NA,NA,NA,NA,NA,NA,"PCT_OVRB",NA
5,"ControlledVocabulary","Channel Characteristics",435,2,NA,"Distance (m) from shoreline to vegetation",NA,NA,NA,NA,NA,NA,"XSHOR2VG",NA
5,"ControlledVocabulary","Channel Characteristics",436,2,NA,"Percent of Reach that is Dry",NA,NA,NA,NA,NA,NA,"PCT_DR",NA
5,"ControlledVocabulary","Channel Characteristics",437,2,NA,"Percent of Reach that is Falls",NA,NA,NA,NA,NA,NA,"PCT_FA",NA
5,"ControlledVocabulary","Channel Characteristics",438,2,NA,"Percent Fast Water Habitat",NA,NA,NA,NA,NA,NA,"PCT_FAST",NA
5,"ControlledVocabulary","Channel Characteristics",439,2,NA,"Glide (percent of reach)",NA,NA,NA,NA,NA,NA,"PCT_GL",NA
5,"ControlledVocabulary","Channel Characteristics",440,2,NA,"Percent of reach with Pool or Glide Habitat",NA,NA,NA,NA,NA,NA,"PCT_SLOW",NA
5,"ControlledVocabulary","Channel Characteristics",441,2,NA,"Floodplain Connectivity",NA,NA,NA,NA,NA,"FloodplainConnectivity",NA,NA
5,"ControlledVocabulary","Channel Characteristics",442,2,NA,"Instream Habitat Complexity",NA,NA,NA,NA,NA,"InstreamHabitatComplexity",NA,NA
5,"ControlledVocabulary","Channel Characteristics",443,2,NA,"Flood Prone Width",NA,NA,NA,NA,NA,"FloodWidth",NA,NA
5,"ControlledVocabulary","Channel Characteristics",444,2,NA,"Percent of the Reach With a Side Channel or Backwater",NA,NA,NA,NA,NA,NA,"PCT_SIDE",NA
5,"ControlledVocabulary","Channel Characteristics",445,2,NA,"Entrench Ratio",NA,NA,NA,NA,NA,"Entrench",NA,NA
5,"ControlledVocabulary","Channel Characteristics",446,2,NA,"Beaver Flow Modification",NA,NA,NA,NA,NA,"BeaverFlowMod",NA,NA
5,"ControlledVocabulary","Channel Characteristics",447,2,NA,"Water Withdrawal (Y/N)",NA,NA,NA,NA,NA,"WaterWithdrawal",NA,NA
5,"ControlledVocabulary","Channel Characteristics",448,2,NA,"Stream Order Category",NA,NA,NA,NA,NA,"StreamSizeOrder",NA,NA
5,"ControlledVocabulary","Channel Characteristics",449,2,NA,"Stream Size Category",NA,NA,NA,NA,NA,"StreamSizeBankfull",NA,NA
5,"ControlledVocabulary","Channel Characteristics",450,2,NA,"Beaver Present","Indication if beaver's have disturbed the flow of the stream in the reach.",NA,"Categorical",NA,NA,NA,NA,NA
5,"ControlledVocabulary","Channel dimensions",451,1,NA,"Wetted width to depth ratio at transects","Mean Wetted Width/Thalweg Depth ratio",NA,"Numeric","ratio",NA,NA,"XWD_RAT","WDWetTrans"
5,"ControlledVocabulary","Channel dimensions",452,1,NA,"CV Wetted Width",NA,NA,"Numeric",NA,NA,NA,"CVWIDTH",NA
5,"ControlledVocabulary","Channel dimensions",453,1,NA,"Mean Flow Direction of Reach",NA,NA,NA,NA,NA,NA,"PCTCLINOMETER",NA
5,"ControlledVocabulary","Channel dimensions",454,1,NA,"Mean Flow Direction of Reach",NA,NA,NA,NA,NA,NA,"XBEARING",NA
5,"ControlledVocabulary","Channel dimensions",455,1,NA,"Mean Slope From Field Based Measurements",NA,NA,NA,NA,NA,NA,"XSLOPE_FIELD",NA
5,"ControlledVocabulary","Channel dimensions",456,1,NA,"Mean Slope From Map-Based Calculations",NA,NA,NA,NA,NA,NA,"XSLOPE_MAP",NA
5,"ControlledVocabulary","Channel dimensions",457,1,NA,"Mean wetted width X Thalweg Depth",NA,NA,NA,NA,NA,NA,"XWXD",NA
5,"ControlledVocabulary","Channel dimensions",458,1,NA,"Channel Incision Height -Standard Deviation",NA,NA,NA,NA,NA,NA,"SDINC_H",NA
5,"ControlledVocabulary","Channel dimensions",459,1,NA,"Std Dev of Width/Depth Ratio (m/m)",NA,NA,NA,NA,NA,NA,"SDWD_RAT",NA
5,"ControlledVocabulary","Channel dimensions",460,1,NA,"Standard Deviation . of Wetted Width (m)",NA,NA,NA,NA,NA,NA,"SDWIDTH",NA
5,"ControlledVocabulary","Channel dimensions",461,1,NA,"Standard Deviation . of Wetted Width x Thalweg Depth (m2)",NA,NA,NA,NA,NA,NA,"SDWXD",NA
5,"ControlledVocabulary","Channel dimensions",462,1,NA,"Average Bankfull Area",NA,NA,NA,NA,"ave_bfarea",NA,NA,NA
5,"ControlledVocabulary","Channel dimensions",463,1,NA,"Minimum Bankfull Width at a Reach",NA,NA,NA,NA,"min_bfwidth",NA,NA,NA
5,"ControlledVocabulary","Channel dimensions",464,1,NA,"Maxima Bankfull Width at a Reach",NA,NA,NA,NA,"max_bfwidth",NA,NA,NA
5,"ControlledVocabulary","Channel dimensions",465,1,NA,"Floodplain Height",NA,NA,NA,NA,NA,"FloodplainHeight",NA,NA
5,"ControlledVocabulary","Channel dimensions",466,1,NA,"Terrace Height Above Water",NA,NA,NA,NA,NA,NA,"XINC_H",NA
5,"ControlledVocabulary","Channel dimensions",467,1,NA,"Length of Sample Reach at Original Sampling Occurrence",NA,NA,NA,NA,"reach_length_original",NA,NA,NA
5,"ControlledVocabulary","Channel dimensions",468,1,NA,"CV Thalweg Depth",NA,NA,"Numeric",NA,NA,"ThalwegDepthCV","CVDTH",NA
5,"ControlledVocabulary","Environment",469,16,NA,"Three climatic regions of the US used in WSA in indicator development: Eastern Highlands, West, and Plains and Lowlands",NA,NA,NA,NA,NA,NA,"FW_ECO3",NA
5,"ControlledVocabulary","Environment",470,16,NA,"Aggregated level 3 ecoregions used in WSA",NA,NA,NA,NA,NA,NA,"FW_ECO9",NA
5,"ControlledVocabulary","Environment",471,16,NA,"Catchment area upstream from the site",NA,NA,NA,NA,NA,NA,NA,"Area"
5,"ControlledVocabulary","Environment",472,16,NA,"Elevation at the bottom of stream reach",NA,NA,NA,NA,NA,NA,NA,"Elev"
5,"ControlledVocabulary","Environment",473,16,NA,"Annual Average Precipitation",NA,NA,NA,NA,NA,NA,NA,"AvgPrecip"
5,"ControlledVocabulary","Environment",474,16,NA,"EPA Hybrid Level III Ecoregion",NA,NA,NA,NA,NA,"EcoregionHybrid10",NA,NA
5,"ControlledVocabulary","Environment",475,16,NA,"EPA Climatic Zone",NA,NA,NA,NA,NA,"Climate",NA,NA
5,"ControlledVocabulary","Environment",476,16,NA,"NAMC Benchmark",NA,NA,NA,NA,NA,"NAMC_Benchmark",NA,NA
5,"ControlledVocabulary","Environment",477,16,NA,"NRCS Hydrologic Unit Code for 6th field sub-watersheds",NA,NA,NA,NA,NA,NA,NA,"HUC6"
5,"ControlledVocabulary","Fish cover",478,15,NA,"Filamentous algae Mean areal cover",NA,NA,NA,NA,NA,NA,"XFC_ALG",NA
5,"ControlledVocabulary","Fish cover",479,15,NA,"Fish Cover -All Types (Sum Areal Prop)",NA,NA,NA,NA,NA,NA,"XFC_ALL",NA
5,"ControlledVocabulary","Fish cover",480,15,NA,"Aquatic macrophyte mean areal cover",NA,NA,NA,NA,NA,NA,"XFC_AQM",NA
5,"ControlledVocabulary","Fish cover",481,15,NA,"Fish Cover -LWDRCKUCBorHUM(Sum Area Prop)",NA,NA,NA,NA,NA,NA,"XFC_BIG",NA
5,"ControlledVocabulary","Fish cover",482,15,NA,"Fish Cvr-Brush&Small Debris (Areal Prop)",NA,NA,NA,NA,NA,NA,"XFC_BRS",NA
5,"ControlledVocabulary","Fish cover",483,15,NA,"Fish Cover-Artificial Structures",NA,NA,NA,NA,NA,NA,"XFC_HUM",NA
5,"ControlledVocabulary","Fish cover",484,15,NA,"Fish Cover-Artificial Structures",NA,NA,NA,NA,NA,NA,"XFC_LVT",NA
5,"ControlledVocabulary","Fish cover",485,15,NA,"Large woody debris areal cover",NA,NA,NA,NA,NA,NA,"XFC_LWD",NA
5,"ControlledVocabulary","Fish cover",486,15,NA,"Sum of Non-Anthropogenic Fish Areal Cover Types",NA,NA,NA,NA,NA,NA,"XFC_NAT",NA
5,"ControlledVocabulary","Fish cover",487,15,NA,"Fish Cover -Overhang Veg (Areal Prop)",NA,NA,NA,NA,NA,NA,"XFC_OHV",NA
5,"ControlledVocabulary","Fish cover",488,15,NA,"Fish Cover-Boulders",NA,NA,NA,NA,NA,NA,"XFC_RCK",NA
5,"ControlledVocabulary","Fish cover",489,15,NA,"Fish Cover - Undercut Banks",NA,NA,NA,NA,NA,NA,"XFC_UCB",NA
5,"ControlledVocabulary","Human disturbance",490,17,NA,"EPA Human Disturbacne Indix- Argicultural Influence",NA,NA,NA,NA,NA,NA,"W1_HAG",NA
5,"ControlledVocabulary","Human disturbance",491,17,NA,"EPA Human Distrubance Index",NA,NA,NA,NA,NA,NA,"W1_HALL",NA
5,"ControlledVocabulary","Human disturbance",492,17,NA,"EPA Human Distrubance Index - Non-Argicultura",NA,NA,NA,NA,NA,NA,"W1_HNOAG",NA
5,"ControlledVocabulary","Human disturbance",493,17,NA,"Distance to Buildings",NA,NA,NA,NA,NA,NA,"W1H_BLDG",NA
5,"ControlledVocabulary","Human disturbance",494,17,NA,"Count of Near Channel Disturbance",NA,NA,NA,NA,NA,NA,"W1H_CROP",NA
5,"ControlledVocabulary","Human disturbance",495,17,NA,"Distance to Trash/Landfill",NA,NA,NA,NA,NA,NA,"W1H_LDFL",NA
5,"ControlledVocabulary","Human disturbance",496,17,NA,"Distance to Logging",NA,NA,NA,NA,NA,NA,"W1H_LOG",NA
5,"ControlledVocabulary","Human disturbance",497,17,NA,"Distance to Mining",NA,NA,NA,NA,NA,NA,"W1H_MINE",NA
5,"ControlledVocabulary","Human disturbance",498,17,NA,"Distance to Lawn/Park",NA,NA,NA,NA,NA,NA,"W1H_PARK",NA
5,"ControlledVocabulary","Human disturbance",499,17,NA,"Distance to Pipes (infl/Effl)",NA,NA,NA,NA,NA,NA,"W1H_PIPE",NA
5,"ControlledVocabulary","Human disturbance",500,17,NA,"Distance to Pasture or Hayfield",NA,NA,NA,NA,NA,NA,"W1H_PSTR",NA
5,"ControlledVocabulary","Human disturbance",501,17,NA,"Distance to Pavement",NA,NA,NA,NA,NA,NA,"W1H_PVMT",NA
5,"ControlledVocabulary","Human disturbance",502,17,NA,"Distance to Road/Railroad",NA,NA,NA,NA,NA,NA,"W1H_ROAD",NA
5,"ControlledVocabulary","Human disturbance",503,17,NA,"Count of Near Channel Disturbance",NA,NA,NA,NA,NA,NA,"W1H_WALL",NA
5,"ControlledVocabulary","Index Value",504,14,NA,"Index of physical habitat integrity",NA,NA,NA,NA,NA,NA,NA,"HabIndex"
5,"ControlledVocabulary","Macroinvertebrates",505,9,"countTransects","Condition class based on O/E score",NA,NA,NA,NA,NA,NA,"OE_COND",NA
5,"ControlledVocabulary","Macroinvertebrates",506,9,NA,"Observed macroinvertebrate richness",NA,NA,"Integer",NA,"observed","ObservedInvertRichness",NA,NA
5,"ControlledVocabulary","Macroinvertebrates",507,9,NA,"Expected macroinvertebrate richness",NA,NA,"Integer",NA,"expected","ExpectedInvertRichness",NA,NA
5,"ControlledVocabulary","Macroinvertebrates",508,9,NA,"Metric score for taxa richness",NA,NA,NA,NA,NA,NA,"RICH_PT",NA
5,"ControlledVocabulary","Macroinvertebrates",509,9,NA,"O/E Macroinvertebrate Index","Biological condition was assessed using an observed/expected (O/E) index.","min: 0, max: 1.5","Numeric","NA",NA,"OE_MACROINVRTBRTE","OE_SCORE",NA
5,"ControlledVocabulary","Macroinvertebrates",510,9,NA,"Presence of Invasive Macroinvertebrates",NA,NA,NA,NA,NA,"InvasiveInvertSp",NA,NA
5,"ControlledVocabulary","Macroinvertebrates",511,9,NA,"Multimetric Macroinvertebrate Index","Biological condition was assessed using the MMI (MultimetricIndex)",NA,"Numeric","NA",NA,"MMI_MACROINVRTBRTE","BENT_MMI_COND",NA
5,"ControlledVocabulary","Macroinvertebrates",512,9,NA,"The O/E or MMI model used to determine biological integrity",NA,NA,NA,NA,NA,"OE_MMI_ModelUsed",NA,NA
5,"ControlledVocabulary","Macroinvertebrates",513,9,NA,"Resample Count",NA,NA,NA,NA,"resampleCount",NA,NA,NA
5,"ControlledVocabulary","Macroinvertebrates",514,9,NA,"Condition",NA,NA,NA,NA,"condition",NA,NA,NA
5,"ControlledVocabulary","Macroinvertebrates",515,9,NA,"Model Applicability",NA,NA,NA,NA,NA,"ModelApplicability",NA,NA
5,"ControlledVocabulary","Macroinvertebrates",516,9,NA,"Macroinvertebrate Count",NA,NA,NA,NA,NA,"MacroinvertebrateCount",NA,NA
5,"ControlledVocabulary","Macroinvertebrates",517,9,NA,"Field Split",NA,NA,NA,NA,"field_split",NA,NA,NA
5,"ControlledVocabulary","Macroinvertebrates",518,9,NA,"Lab Split",NA,NA,NA,NA,"lab_split",NA,NA,NA
5,"ControlledVocabulary","Macroinvertebrates",519,9,NA,"Collector-filterer abundance",NA,NA,NA,NA,"collector_filterer_abd",NA,NA,NA
5,"ControlledVocabulary","Macroinvertebrates",520,9,NA,"Split Count",NA,NA,NA,NA,"split_count",NA,NA,NA
5,"ControlledVocabulary","Macroinvertebrates",521,9,NA,"Fixed count",NA,NA,NA,NA,"fixed_count",NA,NA,NA
5,"ControlledVocabulary","Macroinvertebrates",522,9,NA,"Big Rare Count",NA,NA,NA,NA,"big_rare_count",NA,NA,NA
5,"ControlledVocabulary","Macroinvertebrates",523,9,NA,"Taxa richness",NA,NA,"Integer",NA,"richness",NA,NA,"Rich"
5,"ControlledVocabulary","Macroinvertebrates",524,9,NA,"Abundance",NA,NA,NA,NA,"abundance",NA,NA,NA
5,"ControlledVocabulary","Macroinvertebrates",525,9,NA,"Shannon's Diversity",NA,NA,NA,NA,"Shannons_diversity",NA,"HPRIME",NA
5,"ControlledVocabulary","Macroinvertebrates",526,9,NA,"Metric score for functional feeding group",NA,NA,NA,NA,NA,NA,"FEED_PT",NA
5,"ControlledVocabulary","Macroinvertebrates",527,9,NA,"Metric score for habit",NA,NA,NA,NA,NA,NA,"HABT_PT",NA
5,"ControlledVocabulary","Macroinvertebrates",528,9,NA,"Metric score for composition metric",NA,NA,NA,NA,NA,NA,"COMP_PT",NA
5,"ControlledVocabulary","Macroinvertebrates",529,9,NA,"Metric score for diversity metric",NA,NA,NA,NA,NA,NA,"DIVS_PT",NA
5,"ControlledVocabulary","Macroinvertebrates",530,9,NA,"Simpson's Diversity",NA,NA,NA,NA,"Simpsons_diversity",NA,NA,NA
5,"ControlledVocabulary","Macroinvertebrates",531,9,NA,"Evenness",NA,NA,NA,NA,"evenness",NA,NA,NA
5,"ControlledVocabulary","Macroinvertebrates",532,9,NA,"Number of EPT Taxa",NA,NA,NA,NA,"EPT_num_tx",NA,NA,NA
