"SITE_ID","YEAR","VISIT_NO","LANDAREA","PFOR","PWETL","PURB","PAGT","RDDENS","POPDENS","ELEV","PRECIP_M" 
"WNDP99-0514",2000,1,16042.16,4.45,0.92,0.01,17.18,0.81,0.23,705,0.376 
"WNDP99-0633",2001,1,17340.4,4.12,0.85,0.03,16.94,0.8,0.23,652,0.377 
"WNVP99-0503",2000,1,5.54,28.01,0,0,0,0,0,2010,0.377 
"WSDP99-0587",2001,1,195.14,0,0.04,0,1.33,0.52,0.14,882,0.378 
"WCOP01-0765",2002,1,381.33,0,0,0,45.86,0.87,0.22,1068,0.381 
"WCOP01-0777",2003,1,861.71,7.44,0,0.09,0.25,0.33,0.13,1380,0.384 
"WUTP99-0696",2002,1,10.4,0.17,2.85,0.36,53.83,1.44,23.36,1284,0.384 
"WCAP99-1039",2002,1,142.93,1.64,0.15,10.89,68.2,2.63,260.58,5,0.385 
"WCOP01-0817",2002,1,38616.53,19.14,0.05,1.4,4.64,0.93,15.37,1113,0.386 
"WNVP99-0673",2002,1,11.24,0,0,0,0,0.42,0,1917,0.386 
"WCAP99-0654",2001,1,119.26,1.73,0.15,12.24,64.07,2.86,301.6,8,0.388 
"WNDP99-0712",2003,1,2206.17,0.03,2.53,0.31,44.15,1.1,1.43,583,0.39 
"WNVP99-0573",2001,1,11.95,0,0.17,0,0.02,0.83,0,1917,0.39 
"WORP99-0823",2002,1,22.47,32.88,0.01,0,0,0.68,0.08,1167,0.39 
"WWYP99-0609",2001,1,12.84,15.22,0.05,0.01,0,0.91,0,2051,0.39 
"WNVP99-0562",2001,1,1451.93,0.8,0.48,0.24,4.43,0.78,0.21,1717,0.392 
"WSDP99-0665",2002,1,4042.39,0.42,1.05,0.06,3.58,0.45,0.08,747,0.392 
"WSDP99-0681",2002,1,3678.92,0.46,1.16,0.04,3.28,0.46,0.07,776,0.392 
"WNDP99-0611",2001,1,2012.18,0.04,2.32,0.48,71.29,1.22,1.43,512,0.394 
"WSDP99-0664",2002,1,200.89,0.57,0.02,0,6.51,0.62,0.13,883,0.394 
"WAZP99-0649",2001,1,1815.81,35.4,0.02,0.04,0.01,0.47,0.18,486,0.395 
"WNDP99-0707",2003,1,699.02,0,0.04,0,37.97,1.12,0.26,766,0.395 
"WSDP99-0669",2002,1,2227.25,4.06,0.98,0.01,2.6,0.51,0.13,1042,0.397 
"WNDP99-0700",2003,1,227.43,0,0.21,0.06,68.21,1.46,8.92,867,0.398 
"WNVP99-0626",2002,1,1.14,2.36,0,0,0,0,0,2096,0.398 
"WWYP99-0614",2001,1,7.54,11.22,0.02,0,0,0.89,0,1986,0.398 
"WNVP99-0679",2002,1,3.44,0.1,0,0,0,0.45,0,1941,0.399 
"WSDP99-0548",2003,1,8432.66,10.96,2.23,0.37,6.47,1.36,3.34,934,0.399 
"WMTP99-0628",2001,1,211.22,6.18,0.01,0.17,2.87,0.86,0.16,1333,0.401 
"WNDP99-0685",2002,1,600.02,0,0.03,0.17,78.83,0.98,1.17,748,0.401 
"WCAP99-0899",2001,1,45.05,7.88,0,2.3,2.75,1.97,3.7,73,0.403 
"WSDP99-0510",2003,1,9577.09,0.32,0.48,0.1,13.01,0.53,0.2,601,0.403 
"WCOP99-0672",2003,1,9066.96,24.29,0,0.16,1.92,0.61,1.49,1259,0.404 
"WORP99-0947",2002,1,17.34,41,0,0,0.03,0.77,0.11,642,0.404 
"WNVP99-0522",2000,1,632.5,46.92,0,0,0.51,0.48,0.01,1514,0.406 
"WNVP99-0627",2002,1,12.67,0.39,0,0,0,0.23,0.07,1861,0.406 
"WNDP99-0680",2003,1,28388.28,0.26,2.21,1.01,69.55,1.26,6.32,457,0.411 
"WNVP99-0555",2001,1,1.7,2.11,0.26,0,0,0.35,0,2036,0.411 
"WWYP99-0586",2001,1,350.17,22.09,0.33,0.07,0.24,0.46,0.02,1732,0.411 
"WNDP99-0578",2001,1,733.28,0.03,0.06,0,70.41,1.03,0.38,784,0.412 
"WSDP99-0526",2002,1,9187.15,0.14,0.18,0.13,42.14,0.65,0.88,628,0.412 
"WSDP99-0672",2002,1,10217.5,0.14,0.18,0.12,39.44,0.64,0.81,613,0.413 
"WNDP99-0676",2002,1,30655.79,0.66,3.04,0.87,66.21,1.22,5.16,442,0.414 
"WWAP99-0722",2002,1,96.59,14.58,0,1.26,76.71,1.16,2.99,635,0.415 
"WWYP99-0659",2002,1,138.61,29.79,0.2,0,0.84,0.53,0.04,1246,0.415 
"WNDP99-0706",2003,1,2623.57,0,0.06,0.13,77.55,1.02,0.84,690,0.416 
"WNVP99-0622",2002,1,15.95,0.03,0,0,0,0.01,0.06,1766,0.416 
"WORP99-0985",2003,1,9.87,58.26,0.02,0,0,0.7,0,925,0.416 
"WNDP99-0605",2001,1,4231.1,0,0.08,0.15,67.68,0.92,0.65,611,0.417 
"WSDP99-0543",2003,1,75.16,0.04,0.19,1.23,46.81,1.05,4.12,593,0.417 
"WSDP99-0666",2002,1,4665.84,0.13,0.36,0.37,15.94,0.68,0.93,531,0.417 
"WWYP99-0661",2002,1,70.89,56.71,2.58,0,0.75,0.8,0.11,1800,0.417 
"WNDP99-0507",2000,1,3727.8,0,0.07,0.1,72.24,0.95,0.67,643,0.418 
"WSDP99-0594",2001,1,1148.05,0,0.08,0.17,46.41,0.61,0.67,710,0.418 
"WCAP99-1021",2002,1,51.69,25.82,0.02,0.57,0.83,0.65,3.38,716,0.419 
"WMTP99-0838",2003,1,20.35,74.78,0,0,0,0.32,0.14,1362,0.419 
"WNDP99-0529",2000,1,3096.66,0.01,0.04,0.2,81.06,1.08,1.24,685,0.419 
"WNDP99-0584",2001,1,3815.18,0,0.01,1,73.71,1.2,6.09,641,0.419 
"WNDP99-0713",2003,1,108.36,0,0.02,0,79.69,1.11,0.74,736,0.419 
"WCOP01-0812",2002,1,5411.12,32.48,0,0.23,2.82,0.69,2.26,1404,0.421 
"WNDP99-0508",2000,1,4800.63,0,0.01,0.88,69.78,1.16,4.93,601,0.422 
"WNDP99-0701",2002,1,473.78,0,0.01,0.05,89.04,1.18,0.54,729,0.422 
"WSDP99-0599",2002,1,7478.28,7.36,0.41,0.11,9.71,0.64,2.1,804,0.422 
"WSDP99-0658",2003,1,9835.51,6.42,0.42,0.08,9.46,0.68,1.92,728,0.422 
"WCAP99-1027",2002,1,152.9,23.04,0,0.14,15.69,1.08,0.32,1436,0.423 
"WSDP99-0579",2001,1,5745.41,7.8,0.37,0.13,10.47,0.62,2.4,865,0.423 
"OWW04440-1059",2004,1,52764.1,9.58,0.01,0.29,6.56,1.05,2.93,829,0.424 
"WNDP99-0539",2000,1,7504.44,0,0.01,0.74,61.12,1.05,3.75,542,0.424 
"WWYP99-0535",2000,1,119.63,17.82,1.96,0.01,15.4,0.9,4.47,1663,0.424 
"WWYP99-0719",2003,1,203.4,8.07,0.21,0,0.28,0.85,0.05,1821,0.424 
"WCAP99-0864",2001,1,22.4,13.18,0,0,0.27,0,0,261,0.425 
"WNVP99-0686",2002,1,1.11,0.32,0,0,0,1.73,0,1959,0.425 
"WSDP99-0581",2001,1,61.65,0,0.07,0.12,2.58,0.47,0.16,623,0.426 
"WUTP99-0597",2001,1,1105.8,40.37,0.02,0.23,1.41,0.54,1.2,846,0.426 
"WAZP99-0619",2000,1,9460.48,38.21,0,0.42,0.33,0.93,6.36,969,0.427 
"WORP99-0547",2000,1,41,47.57,0.08,0,0,0.73,0.19,749,0.427 
"WNDP99-0671",2002,1,1225.51,1.16,7.4,0.18,50.2,1.16,0.71,479,0.428 
"WORP99-0630",2000,1,538.76,49.28,0.05,0.03,10.1,1.03,0.17,761,0.428 
"WNDP99-0544",2000,1,1520.96,0,0.19,0.66,42.08,1,1.8,543,0.429 
"WNDP99-0574",2001,1,932.9,0,0.26,0.77,45.65,0.98,1.97,606,0.429 
"WCOP01-0739",2001,1,181.37,18.81,0,25.27,7.78,3.18,357.87,1603,0.43 
"WORP99-0977",2003,1,13.66,72.5,0,0,0,0.61,0.14,1011,0.43 
"WUTP99-0561",2003,1,73.91,57.49,0,0.14,0,1.52,0.01,1947,0.43 
"WWAP99-0522",2000,1,91.4,92.84,0.11,0.26,0.06,2.29,0.02,689,0.43 
"WNDP99-0714",2003,1,494.03,0.05,0.42,0.47,37.62,1.06,2.79,555,0.431 
"WNDP99-0654",2002,1,177.87,0,0,1.3,46.92,0.99,4.85,677,0.433 
"WNDP99-0531",2000,1,42.36,0,0.38,0.54,45.91,1.16,1.84,642,0.434 
"WNDP99-0688",2002,1,1875.71,1.11,6.55,0.3,56.96,1.15,1.61,455,0.434 
"WNDP99-0648",2002,1,2158.84,0.28,1.67,0.21,41.72,1.08,1.9,506,0.435 
"WSDP99-0522",2000,1,330.21,12.36,0.47,0,13.28,1.03,3.4,879,0.435 
"WNVP99-0516",2000,1,29.02,8.35,2.6,0,7.8,0.91,0.24,1630,0.436 
"WNVP99-0561",2001,1,9.11,7.67,0,0,0,0.53,0,1586,0.436 
"WSDP99-0501",2000,1,644.75,3.97,0.93,0,15.09,1.04,2.57,804,0.438 
"WSDP99-0523",2000,1,139.49,0.96,0.86,0.46,21.22,0.71,0.3,760,0.438 
"WORP99-0929",2002,1,78.95,53.7,0.24,0.01,1.2,1.13,0.24,838,0.439 
"WUTP99-0563",2001,1,14108.77,42.23,0.14,0.38,4.42,0.93,2.5,1498,0.439 
"WNVP99-0511",2000,1,417.87,87.17,0,0,0.06,0.28,0.05,1818,0.44 
"WCOP99-0646",2003,1,98.73,50.7,0,0,12.79,0.94,3.25,2000,0.441 
"WNDP99-0576",2001,1,405.35,46.78,8.8,1.81,27.98,1.05,5.73,485,0.441 
"WNDP99-0505",2000,1,7939.35,5.63,5.75,0.4,71.49,0.98,1.81,326,0.442 
"WORP99-0780",2001,1,322.03,46.14,0.02,0.06,16.89,1.02,0.17,1202,0.442 
"WSDP99-0503",2000,1,280.69,0.06,0.56,0.03,47.42,0.87,0.47,603,0.442 
"WSDP99-0516",2000,1,5210.48,0.34,2.45,0.22,39.45,1.03,1.15,500,0.442 
"WORP99-0662",2001,1,79.91,0.32,0,0,1.68,0.65,0.25,720,0.443 
"WCAP99-0558",2000,1,14182.43,17.66,0.16,0.21,2.58,0.74,2.13,499,0.444 
"WUTP99-0629",2001,1,192.49,47.54,0,0.04,0.34,0.58,1.22,1275,0.444 
"WCAP99-0682",2002,1,14154.99,17.65,0.16,0.21,2.58,0.74,2.13,847,0.445 
"WWAP99-0568",2003,1,1664.41,73.4,0.01,0.27,1.04,1.23,1.35,562,0.445 
"WNDP99-0650",2002,1,9223.99,6.66,4.98,0.41,73.65,1.01,1.98,273,0.446 
"WSDP99-0603",2001,1,65.58,0.11,1.47,0,54.75,0.9,0.54,628,0.446 
"WUTP99-0565",2001,1,12648.92,44.02,0.07,0.38,4.46,0.93,2.58,1536,0.446 
"WCAP99-0785",2001,1,21.43,17.7,0,0.84,6.2,1.24,3.4,11,0.447 
"WNDP99-0617",2001,1,268.16,49.32,9.48,1.24,29.57,0.85,1.22,604,0.447 
"WMTP99-0699",2002,1,453.83,13.3,0.13,0,9.01,1.05,0.05,1124,0.448 
"WORP99-0542",2000,1,4.56,70.53,0.04,0,0,1.39,0,1186,0.448 
"WSDP99-0514",2000,1,73.04,0.4,1,0.5,16.27,0.83,0.28,808,0.448 
"WSDP99-0541",2000,1,1073.36,2.25,1.37,0.13,26.23,1.07,3.03,803,0.448 
"WUTP99-0677",2002,1,9991.11,46.66,0.05,0.35,2.27,0.84,1.8,1558,0.448 
"WUTP99-0695",2002,1,6336.52,46.23,0.05,0.2,1.27,0.81,0.51,1798,0.448 
"WWYP99-0613",2001,1,87.92,31.68,0,0.01,0,1.12,0.01,2170,0.448 
"WAZP99-0512",2000,1,9935.48,38.79,0.01,0.02,0.53,0.39,0.38,1065,0.449 
"WORP99-0852",2002,1,218.31,57.63,0.59,0,0.14,1.35,0.11,716,0.449 
"WUTP99-0548",2000,1,55.93,8.21,0,0,0,1.11,0.01,1919,0.449 
"WORP99-0710",2001,1,0.55,64.22,0,0,0.16,0,0,1401,0.45 
"WMTP99-0697",2002,1,481.1,12.26,0.42,0,1.74,0.99,0.13,1013,0.451 
"WORP99-0606",2000,1,129.45,49.79,0.56,0,0,1.15,0.13,827,0.451 
"WSDP99-0695",2002,1,543.16,51.52,0.33,0.27,2.8,1.02,0.79,1038,0.451 
"WCAP99-1002",2002,1,14.58,58.31,0.18,0,0.22,0,0,2428,0.452 
"WORP99-0792",2001,1,12.2,92.57,0,0,0,1.25,0.08,1034,0.453 
"WCOP01-0734",2003,1,9751.86,46.12,0,0.62,2.34,0.82,4.59,1518,0.454 
"WNDP99-0716",2003,1,101.49,0.72,0.31,0.17,95.89,1,0.5,442,0.454 
"WUTP99-0670",2002,1,2413.23,29.9,0.04,0.34,3.11,0.69,3.13,1621,0.455 
"WSDP99-0509",2000,1,300.3,21.49,5.14,0,18.8,1.07,0.86,951,0.458 
"WCAP99-0898",2001,1,39.13,30.77,0.02,0.71,3.16,1.66,2.09,129,0.462 
"WNDP99-0575",2001,1,1204.4,1.48,4.85,0.33,91.63,1.28,1.53,262,0.463 
"WNDP99-0655",2002,1,1182.35,1.43,4.9,0.33,91.6,1.28,1.52,275,0.463 
"WNDP99-0615",2001,1,396.3,3.99,1.78,0.34,93.55,1.35,2.16,262,0.464 
"WNVP99-0628",2002,1,14.78,30.22,0,0,0,0.14,0,2060,0.464 
"WSDP99-0696",2002,1,2619.54,2.55,4.82,0.1,25.55,0.85,2.38,704,0.464 
"WNVP99-0570",2001,1,1.82,95.15,0,0,0,0,0,2221,0.465 
"WCOP99-0506",2000,1,51.42,47.84,0.11,0,0,1.21,0,2024,0.466 
"WORP99-0923",2002,1,55.56,56.64,0.43,0,0,1.25,0.18,769,0.466 
"WSDP99-0678",2002,1,3598.11,2.58,3.69,0.1,23.18,0.81,2.28,597,0.466 
"WSDP99-0586",2001,1,1249.54,21.57,2.66,0.15,19.25,0.88,3.17,764,0.467 
"WORP99-0768",2001,1,363.16,46.63,0.04,0,1.63,1.02,0.64,658,0.469 
"WWYP99-0610",2001,1,75.56,2.81,0.28,0,0.72,0.87,0,1931,0.469 
"WAZP99-0599",2004,1,20584.76,42.51,0.01,0.04,0.34,0.4,0.61,915,0.47 
"WMTP99-0505",2002,1,25.51,75.19,0.04,0,0,0.22,1.09,1356,0.47 
"WWAP99-0681",2002,1,27.99,0.01,0,0.89,98.24,0.9,1.14,232,0.47 
"WCAP99-0542",2000,1,55.07,34.37,0,0.6,2.76,1.37,1.08,146,0.471 
"WNVP99-0677",2002,1,45.38,79.46,0,0,0.17,0.47,0,1923,0.474 
"WSDP99-0670",2002,1,222.93,0.02,15.05,0,0.84,0.47,0.28,854,0.474 
"WORP99-0883",2002,1,22.31,48.45,0.01,0,2.73,1.1,0.22,875,0.476 
"WUTP99-0734",2004,1,9803,40.08,0.06,0.2,4.34,0.76,1.7,1469,0.476 
"WCOP99-0593",2002,1,668.5,34.32,0,0.13,9.38,0.87,0.28,2718,0.48 
"WCAP99-0905",2001,1,156.4,21.08,0.09,0.05,0.38,0.44,0.72,1021,0.481 
"WNDP99-0683",2002,1,2631.5,1.09,3.15,0.44,92.53,1.16,1.82,288,0.481 
"WORP99-0866",2002,1,15.61,79.19,0.01,0,0,1.53,0,1147,0.481 
"WWYP99-0708",2003,1,81.48,40.89,2.36,0,2.42,1.87,0,2254,0.481 
"WNVP99-0576",2001,1,81.79,55.81,0,0,0,0.56,0.42,1791,0.484 
"WSDP99-0604",2001,1,58.17,1.96,1.45,1.02,48.64,0.63,0.39,437,0.484 
"WUTP99-0664",2002,1,7.69,89.02,0,0,0,0,0,2445,0.485 
"WWYP99-0587",2001,1,482.32,2.59,0.13,0,0.95,0.75,0.03,1532,0.485 
"WSDP99-0521",2000,1,94.49,0.04,0.11,0.07,19.08,0.81,2.84,865,0.486 
"WCAP99-0540",2000,1,32.64,23.89,0,0.01,0.53,0,0.12,1506,0.488 
"WCAP99-0891",2001,1,26.13,26.75,0,0.01,0.41,0,0.11,1515,0.488 
"WWYP99-0652",2002,1,133.62,42.22,4.89,0,4.31,1.1,0.32,1108,0.489 
"WNVP99-0518",2000,1,5874.96,20.18,0.11,0.19,4.22,0.63,1.44,1312,0.49 
"WSDP99-0593",2001,1,88.28,22.9,7.12,0.32,20.29,0.84,3.47,881,0.491 
"WORP99-0775",2001,1,12.59,73.56,0.01,0,0,1.64,0,1216,0.493 
"WORP99-0856",2002,1,163.33,69.85,0.35,0,0,1.26,0.06,1289,0.493 
"WCAP99-1014",2002,1,27.91,16.08,0.01,1.83,0.08,1.8,36.65,659,0.494 
"WNDP99-0582",2001,1,182.79,0.66,1.11,1.09,97.13,1.38,9.37,312,0.494 
"WNDP99-0711",2003,1,3061.13,0.82,3.44,0.52,94.71,1.23,2.8,278,0.494 
"WNVP99-0612",2002,1,16.66,39.58,0,0,0,0.51,0.36,2197,0.494 
"WCOP99-0569",2001,1,271.67,28.34,0,2.94,4.33,1.71,30.25,1856,0.495 
"WUTP99-0517",2000,1,72.7,87.31,0,0,0,0.75,0,2288,0.495 
"WORP99-0724",2001,1,41.28,33.44,0.4,0,0,1.22,0.04,1329,0.497 
"WORP99-0842",2002,1,16.07,74.55,0.03,0,0,2.09,0.06,1257,0.497 
"WCOP01-0809",2002,1,186.56,54.97,0,0.41,5.28,1.27,7.63,1838,0.499 
"WCOP99-0566",2001,1,102.44,78.43,0.01,0,0,0.67,0.1,1973,0.5 
"WNDP99-0580",2001,1,2730.29,2.67,9.62,0.29,75.5,1.13,1.86,330,0.501 
"WWYP99-0717",2003,1,71.39,6.58,0.06,0,1.13,0.96,0,1670,0.501 
"WWYP99-0665",2002,1,110.49,44.82,2.77,0.01,11.78,1.59,0.28,1147,0.503 
"WIDP99-0610",2001,1,1375.04,21.87,0.55,0.01,1.2,0.35,0.01,1718,0.504 
"WNDP99-0689",2003,1,454.83,0.29,3.16,0.57,95.64,1.14,2.16,312,0.505 
"WNVP99-0668",2002,1,3.29,3.64,0,0,0,0.58,0,2012,0.505 
"WWAP99-0598",2001,1,19.11,86.75,0.03,0,0.17,1.46,0.1,653,0.505 
"WNDP99-0717",2003,1,4315.04,2.44,8.73,0.43,79.18,1.18,2.61,283,0.508 
"WCAP99-0501",2001,1,86.09,32.59,0.03,0,0.04,0,0.12,397,0.509 
"WSDP99-0507",2000,1,340.9,0.41,0.98,0,14.59,0.62,0.32,684,0.509 
"WUTP99-0591",2001,1,18.67,85.26,0,0,0,0.61,0,1916,0.51 
"WSDP99-0589",2001,1,596.19,0.47,10.3,0.12,76.64,1.09,0.96,399,0.511 
"OWW04440-0333",2004,1,358.45,60.19,0,0,0.05,0.82,0.22,2189,0.512 
"WORP99-0685",2001,1,62.62,80.11,0.44,0,0,1.85,0.08,1058,0.516 
"WUTP99-0735",2003,1,7762.46,43.09,0.59,2.5,7.51,1.12,36.55,1315,0.517 
"WCOP99-0516",2000,1,115.44,83.16,0,0,0,0.5,0.01,1987,0.518 
"WMTP99-0719",2002,1,134.93,36.13,0,0,0.26,0.35,0.18,1141,0.519 
"WWYP99-0530",2000,1,1.55,59.43,9.48,0.52,0,1.99,0,2238,0.519 
"WCAP99-0795",2001,1,67.16,21.94,0.01,0,0.49,0.21,0.11,1463,0.521 
"WWYP99-0538",2000,1,108.7,9,0.2,0,0.83,0.6,0.08,1875,0.521 
"WCOP99-0629",2002,1,60.8,68.15,0,0.51,3.91,0.95,3.89,1958,0.522 
"WWYP99-0600",2001,1,58.65,34.11,0.08,0,0,1.04,0.08,1480,0.522 
"WORP99-0518",2000,1,34.06,69.96,0,0,0,1.49,0,1042,0.523 
"WUTP99-0738",2003,1,18.21,0.24,0.02,0,0,0.14,0.05,1973,0.523 
"WUTP99-0725",2003,1,8.62,87,0,0,0,0.53,0,2367,0.524 
"WCAP99-0560",2000,1,292.93,23.31,0.07,0.03,0.24,0.39,0.72,904,0.525 
"WUTP99-0586",2001,1,11.39,56.45,0,0,0,0.6,0,2469,0.525 
"WSDP99-0588",2001,1,643.64,1.12,1.83,0.06,85.26,0.9,0.59,463,0.527 
"WORP99-0800",2001,1,38.67,95.67,0.01,0,0,0.77,0,1427,0.528 
"WORP99-1021",2003,1,21.12,92.97,0.06,0,0,2.09,0.09,1385,0.528 
"WAZP99-0839",2003,1,99.56,30.92,0,0,0,0.37,0.02,1207,0.529 
"WAZP99-0906",2003,1,1172.88,51.32,0.19,0.69,1.16,0.86,5.66,1849,0.53 
"WORP99-0548",2000,1,2.73,96.36,0.07,0,0,2.3,0,1621,0.53 
"WSDP99-0540",2000,1,551.34,77.91,0.87,0.92,2.78,1.09,5.25,993,0.53 
"WCOP99-0515",2000,1,10.85,74.81,0,0.05,0.59,2.14,27.8,2452,0.533 
"WMTP99-0510",2000,1,1.97,55.81,0,0,0,0.67,0,1416,0.533 
"WUTP99-0620",2001,1,3.8,88.37,0,0,0,0,0,2426,0.534 
"WUTP99-0732",2003,1,14.28,70.46,0.01,0,0,0.04,0.07,1695,0.539 
"WSDP99-0544",2003,1,18.17,2.66,3.85,0.12,79.7,0.63,0.66,375,0.542 
"WIDP99-0768",2003,1,80.77,2.54,0.64,0,0,0.32,0,1757,0.544 
"WUTP99-0698",2002,1,356.9,66.86,0.01,0.37,2.31,0.72,1.18,1233,0.548 
"WAZP99-0681",2001,1,1573.56,59.51,0.02,0,0,0.25,0.06,1210,0.549 
"WCOP01-0775",2003,1,57.97,72.24,0,1.48,0.31,0.64,10.48,1974,0.55 
"WSDP99-0585",2001,1,431.82,90.71,0.87,0.63,2.01,1.1,4.25,1138,0.55 
"WAZP99-0590",2002,1,173.34,71.91,0,0,0,0.48,0.01,859,0.552 
"WORP99-0622",2000,1,13.23,90.55,0.01,0,0,1.63,0,1514,0.553 
"WAZP99-0768",2002,1,172.55,72.2,0,0,0,0.47,0.01,883,0.554 
"WORP99-0704",2001,1,16.28,92.81,0.01,0,0,2.18,0,1124,0.554 
"WSDP99-0657",2002,1,391.59,91.46,0.95,0.62,2.09,1.12,4.24,1355,0.555 
"WNVP99-0683",2002,1,8.93,28.25,0,0,0,0.44,0,2612,0.557 
"WSDP99-0697",2002,1,338.35,64.65,2.59,0.39,9.26,1.05,9.7,907,0.561 
"WCAP99-0984",2002,1,46.2,59.85,0,0.06,0,0.59,0.04,647,0.562 
"WMTP99-0716",2002,1,0.96,94.23,0,0,0,0,0,1943,0.564 
"WNVP99-0674",2002,1,16.62,5.15,0,0,0,1.13,0,1864,0.564 
"WWYP99-0605",2001,1,38.4,46.18,1.68,0,0,1.32,0.02,2154,0.564 
"WORP99-0698",2001,1,11.19,88.63,0.02,0,0,1.05,0.08,1434,0.565 
"WCAP99-0989",2002,1,2442.57,27.36,0.28,16.07,5.22,3.04,350.14,158,0.566 
