"SITE_ID","VISIT_NO","DATE_COL","SAMPLED","COM_IM","STAT_ID","QCCSCOND","COM_QCCS","STRMCOND","COM_COND","STRM_DO","COM_DO","STRMTEMP","COM_TEMP","TIME_COM","TEAM_ID","NAME_1","BIOMOR1","GEOMOR1","FORMS1","NAME_2","BIOMOR2","GEOMOR2","FORMS2","NAME_3","BIOMOR3","GEOMOR3","FORMS3","NAME_4","BIOMOR4","GEOMOR4","FORMS4","NAME_5","BIOMOR5","GEOMOR5","FORMS5","NAME_6","NAME_7","NAME_8","COM_CREW","TIME","YEAR" 
"WAZP99-0599",1,06/29/2004,"Yes"," ","X", ," ", ,"80.6% saturation",16.9," ",23.3," "," ","1","NICK PARETTI"," ","Y"," ","JASON KLINE"," ","Y"," ","TERESA HUNT","Y"," "," ","CHRIS CANTRELL","Y"," "," ","JEANIE BRYSON"," ","Y"," "," "," "," "," ","7:50",2004 
"WAZP99-0605",1,06/07/2000,"Yes"," ","X",88," ",910," ", ,"NOT MEASURED. METER WON'T CALIBRATE.",24.5," "," ","1","MATTHEW HAMILTON"," "," "," ","WES KINNEY"," "," "," ","KARL LEAVITT"," "," "," ","ANITA LAHEY"," "," "," ","BILL KEPNER"," "," "," ","TERRY MYERS"," "," ","TERRY MYERS - FS.",".",2000 
"WAZP99-0615",1,06/17/2000,"Yes"," ","X",73," ",98," ",4.9," ",16.4," "," ","1","ANITA LAHEY"," "," "," ","MATTHEW HAMILTON"," "," "," ","KARL LEAVITT"," "," "," ","WES KINNEY"," "," "," ","BILL KEPNER"," "," "," "," "," "," "," ",".",2000 
"WAZP99-0619",1,06/19/2000,"Yes"," ","X",0,"WOULD NOT CALIBRATE. 0.0 MU S IN TEST SOULUTION. RECALIBRATED AT END. 70.3 MU S.",434," ",3.9,"CALIBRATED AT RIVER SNOWS ONLY 50% THE ORIGINAL 88.6.",22.7," "," ","1","WES KINNEY"," "," "," ","KARL LEAVITT"," "," "," ","MATTHEW HAMILTON"," "," "," ","BILL KEPNER"," "," "," ","ANITA LAHEY"," "," "," ","PAUL BARRETT"," "," ","PAUL BARRETT - USFW",".",2000 
"WAZP99-0619",1,05/04/2001,"Insitu data not collected","CREW DID NOT RECORD MAP COORDINATES.  IM ADDED MAP DECIMAL DEGREE COORDINATES FROM DESIGN DATA SET."," ", ," ", ,"NOT RECORDED", ," ", ," "," ","1","BOB HUGHES","Y"," "," ","PHIL KAUFMANN"," ","Y"," ","GREGG LOMNICKY","Y"," "," ","ROB CURL"," ","Y"," ","DAN AVERILL","Y"," "," "," "," "," "," ",".",2001 
"WAZP99-0619",1,04/11/2003,"Insitu data not collected"," ","X", ," ", ,"RIVER: TEAM LEFT SECTION BLANK.", ," ", ," "," ","1","RYAN TOOHEY"," ","Y","Y","JASON LIBBY","Y"," "," ","ROB CURL"," ","Y"," ","TOM ARCHDEACON","Y"," "," "," "," "," "," "," "," "," "," ",".",2003 
"WAZP99-0632",1,05/22/2001,"Yes","CREW DID NOT RECORD MAP COORDINATES.  IM ADDED MAP DECIMAL DEGREE COORDINATES FROM DESIGN DATA SET.","X", ," ", ," ",8.2," ",22.9," "," ","1","ANDREA FRANCIS","Y"," "," ","PAUL MATSON","Y"," "," ","DAVID WARD"," ","Y","Y","CHUCK SCHADE"," ","Y"," "," "," "," "," "," "," "," "," ","16:00",2001 
"WAZP99-0632",1,06/12/2002,"Yes","CREW DID NOT RECORD MAP COORDINATES.  IM ADDED MAP DECIMAL DEGREE COORDINATES FROM DESIGN DATA SET."," ", ," ", ," ",11.2," ",19.4," "," ","1","NICK PARETTI"," ","Y"," ","ANDREA FRANCIS","Y"," "," ","RYAN SCOTT","Y"," "," ","CHUCK SCHADE"," ","Y"," "," "," "," "," "," "," "," "," ","10:07",2002 
"WAZP99-0639",1,05/31/2001,"Yes","CREW DID NOT RECORD MAP COORDINATES.  IM ADDED MAP DECIMAL DEGREE COORDINATES FROM DESIGN DATA SET.","X", ," ", ," ",7.5," ",10.6," "," ","1","DAVID WARD"," ","Y"," ","CHUCK SCHADE"," ","Y","Y","ANDREA FRANCIS","Y"," ","Y","PAUL MATSON","Y"," "," "," "," "," "," "," "," "," "," ","8:10",2001 
"WAZP99-0645",1,06/13/2001,"Yes","CREW DID NOT RECORD MAP COORDINATES.  IM ADDED MAP DECIMAL DEGREE COORDINATES FROM DESIGN DATA SET.","X", ," ", ," ",7.3," ",17.8," "," ","1","PAUL MATSON","Y"," "," ","ANDREA FRANCIS","Y"," "," ","CHUCK SCHADE"," ","Y","Y"," "," "," "," "," "," "," "," "," "," "," "," ","16:54",2001 
"WAZP99-0648",1,06/01/2001,"Yes","CREW DID NOT RECORD MAP COORDINATES.  IM ADDED MAP DECIMAL DEGREE COORDINATES FROM DESIGN DATA SET.","X", ," ", ," ",6.5," ",14.7," "," ","1","ANDREA FRANCIS","Y"," "," ","DAVID WARD"," ","Y"," ","PAUL MATSON","Y"," "," ","CHUCK SCHADE"," ","Y","Y"," "," "," "," "," "," "," "," ","9:25",2001 
"WAZP99-0649",1,05/25/2001,"Yes","CREW DID NOT RECORD MAP COORDINATES.  IM ADDED MAP DECIMAL DEGREE COORDINATES FROM DESIGN DATA SET.","X", ," ", ,"DO WAS TAKEN DOWNSTREAM ABOUT 2 MILES FROM THE SAMPLED REACH.",9.3," ",27," "," ","1","CHUCK SCHADE"," ","Y"," ","DAVID WARD"," ","Y"," ","ANDREA FRANCIS","Y"," "," ","PAUL MATSON","Y"," "," ","SCOTT BONAR"," ","Y"," "," "," "," "," ","17:30",2001 
"WAZP99-0653",1,06/28/2001,"Yes","CREW DID NOT RECORD MAP COORDINATES.  IM ADDED MAP DECIMAL DEGREE COORDINATES FROM DESIGN DATA SET.","X", ," ", ," ",9," ",21.4," "," ","1","ANDREA FRANCIS","Y"," "," ","PAUL MATSON","Y"," "," ","DAVID WARD"," ","Y"," ","CHUCK SCHADE"," ","Y","Y"," "," "," "," "," "," "," "," ","11:00",2001 
"WAZP99-0669",1,06/27/2001,"Yes","CREW DID NOT RECORD MAP COORDINATES.  IM ADDED MAP DECIMAL DEGREE COORDINATES FROM DESIGN DATA SET.","X", ," ", ," ",7.9," ",14.9," "," ","1","ANDREA FRANCIS","Y"," "," ","DAVID WARD"," ","Y"," ","PAUL MATSON"," "," "," ","CHUCK SCHADE"," "," "," ","LINETTE STEVENS"," "," "," ","STEVE AUSTIN"," "," ","STEVE AUSTIN, NAVAJO EPA, SHIPROCK.","12:10",2001 
"WAZP99-0681",1,06/19/2001,"Yes","CREW DID NOT RECORD MAP COORDINATES.  IM ADDED MAP DECIMAL DEGREE COORDINATES FROM DESIGN DATA SET.","X", ," ", ," ",9.9," ",28.5," "," ","1","PAUL MATSON","Y"," "," ","ANDREA FRANCIS","Y"," "," ","DAVID WARD"," ","Y"," ","CHUCK SCHADE"," ","Y","Y"," "," "," "," "," "," "," "," ","15:01",2001 
"WAZP99-0687",1,05/30/2001,"Yes","CREW DID NOT RECORD MAP COORDINATES.  IM ADDED MAP DECIMAL DEGREE COORDINATES FROM DESIGN DATA SET.","X", ," ", ," ",6.7," ",19.6," "," ","1","ANDREA FRANCIS","Y"," "," ","PAUL MATSON","Y"," "," ","SCOTT BONAR"," ","Y"," ","DAVID WARD"," ","Y"," ","CHUCK SCHADE"," ","Y"," "," "," "," "," ","11:50",2001 
"WAZP99-0701",1,06/26/2001,"Yes","CREW DID NOT RECORD MAP COORDINATES.  IM ADDED MAP DECIMAL DEGREE COORDINATES FROM DESIGN DATA SET.","X", ," ", ," ",7.4," ",16.6," "," ","1","DAVID WARD"," ","Y"," ","PAUL MATSON","Y"," "," ","ANDREA FRANCIS","Y"," "," ","CHUCK SCHADE"," "," ","Y"," "," "," "," "," "," "," "," ","11:50",2001 
"WAZP99-0712",1,08/01/2002,"Yes","CREW DID NOT RECORD MAP COORDINATES.  IM ADDED MAP DECIMAL DEGREE COORDINATES FROM DESIGN DATA SET.","X", ," ", ," ",9.8," ",27," "," ","1","NICK PARETTI"," ","Y"," ","CHUCK SCHADE"," ","Y"," ","ANDREA FRANCIS","Y"," "," ","JIM PARENT","Y"," "," "," "," "," "," "," "," "," "," ","10:45",2002 
"WAZP99-0716",1,06/20/2002,"Yes","CREW DID NOT RECORD MAP COORDINATES.  IM ADDED MAP DECIMAL DEGREE COORDINATES FROM DESIGN DATA SET.","X", ," ", ," ",14.1," ",22.3," "," ","1","CHUCK SCHADE"," ","Y"," ","NICK PARETTI","Y","Y"," ","ANDREA FRANCIS","Y","Y"," "," "," "," "," "," "," "," "," "," "," "," "," ","10:30",2002 
"WAZP99-0716",1,05/07/2003,"Yes"," ","X", ," ", ,"DO BROKEN.", ," ",19.7," "," ","1","STEPHEN MONROE"," ","Y"," ","NICK PARETTI"," ","Y"," ","JOHN FLEMING"," ","Y"," ","ANDREA WOODS","Y"," "," ","ANITA LAHEY","Y"," "," ","BRUCE GUNGLE"," "," "," ","15:45",2003 
"WAZP99-0722",1,07/18/2002,"Yes","CREW DID NOT RECORD MAP COORDINATES.  IM ADDED MAP DECIMAL DEGREE COORDINATES FROM DESIGN DATA SET.","X", ," ", ,"SMALL AIR BUBBLE IN MEMBRANE.",7.5," ",11.6," "," ","1","NICK PARETTI","Y"," "," ","CHUCK SCHADE"," ","Y"," ","JIM PARENT"," ","Y"," ","ANDREA FRANCIS","Y"," "," "," "," "," "," "," "," "," "," ","8:45",2002 
"WAZP99-0744",1,08/15/2002,"Yes","CREW DID NOT RECORD MAP COORDINATES.  IM ADDED MAP DECIMAL DEGREE COORDINATES FROM DESIGN DATA SET.","X", ," ", ," ",9.6," ",30.1," "," ","1","NICK PARETTI","Y","Y"," ","CHUCK SCHADE"," ","Y"," ","ANDREA FRANCIS","Y"," "," ","JIM PARENT"," ","Y"," "," "," "," "," "," "," "," "," ","12:40",2002 
"WAZP99-0750",1,07/30/2003,"Yes"," ","X", ," ", ,"% SAT.=117",9.8," ",24.1," "," ","1","NICK PARETTI"," ","Y"," ","JAMES CALLAGARY","Y"," "," ","STEPHEN MONROE"," ","Y"," ","ANDREA WOODS","Y"," "," "," "," "," "," "," "," "," "," ","11:23",2003 
"WAZP99-0768",1,09/15/2002,"Yes","CREW DID NOT RECORD MAP COORDINATES.  IM ADDED MAP DECIMAL DEGREE COORDINATES FROM DESIGN DATA SET.","X", ," ", ," ",9.3," ",21.9," "," ","1","NICK PARETTI"," ","Y"," ","CHUCK SCHADE"," ","Y"," ","JIM PARENT","Y"," "," ","RYAN SCOTT","Y"," "," "," "," "," "," "," "," "," "," ","13:35",2002 
"WAZP99-0783",1,07/16/2002,"Yes","CREW DID NOT RECORD MAP COORDINATES.  IM ADDED MAP DECIMAL DEGREE COORDINATES FROM DESIGN DATA SET.","X", ," ", ," ",8.1," ",18.2," "," ","1","NICK PARETTI"," ","Y"," ","JIM PARENT","Y"," "," ","CHUCK SCHADE"," ","Y"," ","ANDREA FRANCIS","Y"," "," "," "," "," "," "," "," "," "," ","13:00",2002 
"WAZP99-0828",1,08/13/2002,"Yes","CREW DID NOT RECORD MAP COORDINATES.  IM ADDED MAP DECIMAL DEGREE COORDINATES FROM DESIGN DATA SET.","X", ," ", ," ",9.5," ",18.4," "," ","1","CHUCK SCHADE"," ","Y"," ","NICK PARETTI"," ","Y"," ","ANDREA FRANCIS","Y"," "," ","JIM PARENT","Y"," "," "," "," "," "," "," "," "," "," ","10:30",2002 
"WAZP99-0833",1,06/10/2003,"Yes"," ","X", ," ", ," ",10.2," ",16.7," "," ","1","STEPHEN MONROE"," ","Y"," ","NICK PARETTI"," ","Y","Y","ANITA LAHEY","Y"," "," ","ANDREA WOODS","Y"," "," ","BRUCE GUNGLE"," ","Y"," "," "," "," "," ","9:30",2003 
"WAZP99-0839",1,05/06/2003,"Yes"," ","X", ," ", ," ",12.3," ",14.5," "," ","1","STEPHEN MONROE"," ","Y","Y","NICK PARETTI"," ","Y"," ","BRUCE GUNGLE"," ","Y"," ","ANITA LAHEY","Y"," "," ","ANDREA WOODS","Y"," "," "," "," "," "," ","9:20",2003 
"WAZP99-0840",1,08/14/2002,"Yes","CREW DID NOT RECORD MAP COORDINATES.  IM ADDED MAP DECIMAL DEGREE COORDINATES FROM DESIGN DATA SET.","X", ," ", ," ",8.2," ",21.8," "," ","1","NICK PARETTI","Y"," "," ","JIM PARENT"," ","Y"," ","CHUCK SCHADE"," ","Y"," ","ANDREA FRANCIS","Y"," "," "," "," "," "," "," "," "," "," ","10:35",2002 
"WAZP99-0851",1,08/19/2002,"Yes","CREW DID NOT RECORD MAP COORDINATES.  IM ADDED MAP DECIMAL DEGREE COORDINATES FROM DESIGN DATA SET.","X", ," ", ," ",10.7," ",29.1," "," ","1","NICK PARETTI","Y","Y"," ","CHUCK SCHADE"," ","Y"," ","ANDREA FRANCIS","Y"," "," ","JIM PARENT"," ","Y"," "," "," "," "," "," "," "," "," ","16:30",2002 
"WAZP99-0861",1,05/28/2003,"Yes"," ","X", ," ", ,"% SAT=112.9.",10.5," ",19," "," ","1","ANITA LAHEY","Y"," "," ","ANDREA WOODS","Y"," "," ","NICK PARETTI"," ","Y","Y","JOHN FLEMING"," ","Y"," "," "," "," "," "," "," "," "," ","7:55",2003 
"WAZP99-0863",1,05/14/2003,"Yes"," ","X", ," ", ,"DO METER BROKEN", ," ",18.9," "," ","1","ANITA LAHEY","Y"," "," ","ANDREA WOODS","Y"," "," ","NICK PARETTI"," ","Y"," ","JOHN FLEMING"," ","Y"," "," "," "," "," "," "," "," "," ","11:00",2003 
"WAZP99-0868",1,06/03/2003,"Yes"," ","X", ," ", ," ",8.2," ",17.3," "," ","1","NICK PARETTI"," ","Y"," ","BRUCE GUNGLE"," ","Y"," ","STEPHEN MONROE"," ","Y"," ","ANDREA WOODS","Y"," "," ","ANITA LAHEY","Y"," "," "," "," "," "," ","16:57",2003 
"WAZP99-0876",1,06/17/2003,"Yes"," ","X", ," ", ," ",9.1," ",18.2," "," ","1","NICK PARETTI"," ","Y"," ","BRUCE GUNGLE"," ","Y"," ","ANDREA WOODS","Y"," "," ","ANITA LAHEY","Y"," "," ","STEPHEN MONROE"," ","Y"," "," "," "," "," ","13:55",2003 
"WAZP99-0888",1,05/20/2003,"Yes"," ","X", ," ", ,"THIS VALUE IS LOW AND SUSPECT.  OUR BAROMETER WAS BROKEN.",8.1," ",11," "," ","1","ANITA LAHEY","Y"," "," ","ANDREA WOODS","Y"," "," ","NICK PARETTI"," ","Y","Y","JOHN FLEMING"," ","Y"," "," "," "," "," "," "," "," "," ","9:15",2003 
"WAZP99-0893",1,05/13/2003,"Yes"," ","X", ," ", ,"METER NOT WORKING", ," ", ,"METER NOT WORKING"," ","1","ANDREA WOODS","Y"," "," ","ANITA LAHEY","Y"," "," ","NICK PARETTI"," ","Y","Y","JOHN FLEMING"," ","Y"," "," "," "," "," "," "," "," "," ","12:44",2003 
"WAZP99-0893",1,05/18/2004,"Yes"," ","X", ," ", ,"99.2% SATURATION.",8.8," ",21.6," "," ","1","NICK PARETTI"," ","Y"," ","CHRIS CANTRELL","Y"," "," ","BRUCE GUNGLE"," ","Y"," ","TERESA HUNT","Y"," "," "," "," "," "," "," "," "," "," ","14:20",2004 
"WAZP99-0906",1,06/04/2003,"Yes"," ","X", ," ", ,"% SAT= 113.6.",9.6," ",24.6," "," ","1","NICK PARETTI"," ","Y"," ","ANDREA WOODS","Y"," "," ","BRUCE GUNGLE"," ","Y"," ","ANITA LAHEY","Y"," "," "," "," "," "," "," "," "," "," ","14:15",2003 
"WCAP99-0501",1,06/07/2001,"Yes"," ","X", ," ", ,"PH 8.4",8.4," ",18.2,"SALINITY 0.6 PPT","CONDUCTIVITY 1165 MS","1","SHAWN MCBRIDE","Y"," "," ","SIMONA ALTMAN","Y"," ","Y","JENNIFER LANE"," ","Y","Y","AMY TSUJI"," ","Y"," ","NATHAN BROSIUS"," "," "," ","JENNIFER LENZ","JENNIFER MOORE"," "," ","9:29",2001 
"WCAP99-0503",1,10/03/2000,"Yes"," ","X",102,"100 standard",45," ",9.1," ",8.3," "," "," ","JOHN ROWAN"," "," "," ","DOUG POST"," "," "," ","MICHAEL DAWSON"," "," "," ","SHAWN MCBRIDE"," "," "," "," "," "," "," "," "," "," "," ",".",2000 
"WCAP99-0505",1,08/09/2000,"Yes"," ","X",1040,"1000 us standard",59," ",9.5," ",18.8," "," "," ","SHAWN MCBRIDE"," "," "," ","GREG MAGDA"," "," "," ","JAY ROWAN"," "," "," ","DOUG POST"," "," "," "," "," "," "," "," "," "," "," ",".",2000 
"WCAP99-0505",1,09/05/2001,"Yes"," ","X", ," ", ,"PH 6.9.",9.5," ",13.6,"SALINITY 0.1 PPT.","CONDUCTIVITY 110.3 US.","1","JENNIFER LENZ"," ","Y","Y","JENNIFER LANE"," ","Y"," ","SHAWN MCBRIDE","Y"," "," ","TIM MULLOY","Y"," "," "," "," "," "," "," "," "," "," ","10:16",2001 
"WCAP99-0506",1,08/29/2000,"Yes"," ","X",101,"100 uS standard",90," ",7.9," ",13.4," "," "," ","SHAWN MCBRIDE"," "," "," ","MICHAEL DAWSON"," "," "," ","JAY ROWAN"," "," "," ","DOUG POST"," "," "," "," "," "," "," "," "," "," "," ",".",2000 
"WCAP99-0509",1,08/07/2001,"Yes"," ","X", ," ", ,"PH 7.8",7.2," ",20.6,"SALINITY 0.0 PPT","CONDUCTIVITY 18.7 MICROS","2","NATHAN BROSIUS","Y"," ","Y","KRISTIN MCCLEERY"," ","Y"," ","JENNIFER LANE"," ","Y","Y"," "," "," "," "," "," "," "," "," "," "," "," ","13:55",2001 
"WCAP99-0512",1,08/29/2001,"Yes"," ","X", ," ",1454,"CONDUCTIVITY 1454 MICROS",6.4," ",22.4,"SALINITY 0.7 PPT"," ","1","TIM MULLOY","Y"," "," ","KRISTIN MCCLEERY"," ","Y"," ","GLENN SIBBALD","Y"," "," ","SHAWN MCBRIDE"," ","Y","Y"," "," "," "," "," "," "," "," ","12:00",2001 
"WCAP99-0515",1,09/28/2000,"Yes"," ","X",101," ",149," ",9.2," ",14.9," "," "," ","ERIC SHANER"," "," "," ","JOHN ROWAN"," "," "," ","MICHAEL DAWSON"," "," "," ","SHAWN MCBRIDE"," "," "," "," "," "," "," "," "," "," "," ",".",2000 
"WCAP99-0521",1,08/30/2000,"Yes"," ","X",101,"100 ms STANDARD",124," ",8.3," ",15," "," "," ","SHAWN MCBRIDE"," "," "," ","MICHAEL DAWSON"," "," "," ","JAY ROWAN"," "," "," ","DOUG POST"," "," "," "," "," "," "," "," "," "," "," ",".",2000 
"WCAP99-0527",1,08/20/2001,"Yes"," ","X", ," ",223.4,"PPT 0.1",10.2," ",18.8,"uS 223.4","PH 6.6","1","JENNIFER LENZ"," ","Y","Y","KRISTIN MCCLEERY"," ","Y"," ","NATHAN BROSIUS","Y"," ","Y"," "," "," "," "," "," "," "," "," "," "," "," ","10:00",2001 
"WCAP99-0534",1,06/20/2000,"Yes"," ","X",1018,"YSI 3167 1000 MICRO SEIMENS STANDARD",555," ",9.4," ",20.4," "," "," ","MICHAEL DAWSON"," "," "," ","CHRIS SHEEHY"," "," "," ","GREG MAGDA"," "," "," ","DOUG POST"," "," "," "," "," "," "," "," "," "," "," ",".",2000 
"WCAP99-0535",1,06/13/2000,"Yes"," ","X",79," ",1120," ",10.4," ",16.1," "," "," ","MICHAEL DAWSON"," "," "," ","CHRIS SHEEHY"," "," "," ","GREG MAGDA"," "," "," ","DOUG POST"," "," "," "," "," "," "," "," "," "," "," ",".",2000 
"WCAP99-0536",1,06/14/2000,"Yes"," ","X",82,"#261201",899," ",8.8," ",21.5," "," "," ","CHRIS SHEEHY"," "," "," ","MICHAEL DAWSON"," "," "," ","GREG MAGDA"," "," "," ","DOUG POST"," "," "," "," "," "," "," "," "," "," "," ",".",2000 
"WCAP99-0539",1,07/19/2000,"Yes"," ","X",1002,"Very low flow.",99,"Some dry spots",4.8," ",24.6," "," "," ","GREG MAGDA"," "," "," ","SHAWN MCBRIDE"," "," "," ","MICHAEL DAWSON"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",".",2000 
"WCAP99-0540",1,06/21/2000,"Yes"," ","X",1014," ",1432," ",6.2," ",25.3," "," "," ","GREG MAGDA"," "," "," ","MICHAEL DAWSON"," "," "," ","CHRIS SHEEHY"," "," "," ","DOUG POST"," "," "," "," "," "," "," "," "," "," "," ",".",2000 
"WCAP99-0542",1,07/11/2000,"Yes"," ","X",1002,"1000 micros standard",1237," ",8.4," ",16.1," "," "," ","SHAWN MCBRIDE"," "," "," ","GREG MAGDA"," "," "," ","CHRIS SHEEHY"," "," "," ","DOUG POST"," "," "," "," "," "," "," "," "," "," "," ",".",2000 
"WCAP99-0550",1,06/27/2000,"Yes"," ","X",1017,"1000 us standard",260," ",8.5," ",14.9," "," ","1","MICHAEL DAWSON"," "," "," ","CHRIS SHEEHY"," "," "," ","GREG MAGDA"," "," "," ","DOUG POST"," "," "," "," "," "," "," "," "," "," "," ",".",2000 
"WCAP99-0552",1,07/25/2000,"Yes"," ","X",992," ",423," ",8.4," ",16.3," "," "," ","SHAWN MCBRIDE"," "," "," ","MICHAEL DAWSON"," "," "," ","DOUG POST"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",".",2000 
"WCAP99-0558",1,06/28/2000,"Yes"," ","X",1006,"1000 micros standard",435," ",8.3," ",16.5," "," ","1","MICHAEL DAWSON"," "," "," ","CHRIS SHEEHY"," "," "," ","GREG MAGDA"," "," "," ","DOUG POST"," "," "," "," "," "," "," "," "," "," "," ",".",2000 
"WCAP99-0560",1,07/13/2000,"Yes"," ","X",1001,"1000 us standard",806," ",8," ",17.5," "," "," ","GREG MAGDA"," "," "," ","CHRIS SHEEHY"," "," "," ","SHAWN MCBRIDE"," "," "," ","DOUG POST"," "," "," "," "," "," "," "," "," "," "," ",".",2000 
"WCAP99-0563",1,06/21/2001,"Yes"," ","X", ," ",351,"PH 8.5",8.2," ",14.2,"CONDUCTIVITY 351","SALINITY 0.2PPT","1","MICHAEL DAWSON","Y"," "," ","AMY TSUJI","Y"," ","Y","JENNIFER LANE"," ","Y","Y","JENNIFER MOORE"," ","Y","Y"," "," "," "," "," "," "," "," ","9:54",2001 
"WCAP99-0574",1,08/15/2000,"Yes"," ","X",974,"1000 micros standard",89," ",9.2," ",14.5," "," "," ","SHAWN MCBRIDE"," "," "," ","MICHAEL DAWSON"," "," "," ","JAY ROWAN"," "," "," ","DOUG POST"," "," "," "," "," "," "," "," "," "," "," ",".",2000 
"WCAP99-0581",1,07/26/2001,"Yes"," ","X", ," ",362,"CONDUCTIVITY IS 362. PPT IS 0.2.",5.1," ",21.5,"PH IS 8.8."," ","1","JENNIFER LENZ"," ","Y","Y","GLENN SIBBALD","Y"," ","Y","SIMONA ALTMAN"," ","Y"," ","AMY TSUJI","Y"," ","Y"," "," "," "," "," "," "," "," ","17:35",2001 
"WCAP99-0583",1,08/01/2001,"Yes","SAMPLING INCOMPLETE DUE TO TIME CONSTRAINTS. FISH SAMPLING AND STREAM DISCHARGE COMPLETED 08/14/2001.","X", ," ",188,"PH",8.9," ",14.9,"CONDUCTIVITY 188.","SALINITY O.1 PPT.","1","JENNIFER LENZ"," ","Y","Y","GLENN SIBBALD","Y"," ","Y","JENNIFER MOORE"," ","Y","Y"," "," "," "," "," "," "," "," "," "," "," "," ","14:58",2001 
