"OBJECTID","SITE_CD","STRM_NM","MS_CD","UID","DT","MRG_SITE_CD","VST_NMBR","MIDLAT","MIDLONG","PRJCT","PRTCL","STRTM","DSGN_TYP","INDCTR_CLLCTD","STRM_ORDR","STRM_SZ_ORDER","STRM_SZ_BNK","NAMC_BENCHMARK","ECRGN","CLIMATE","BTMLAT","BTMLONG","TRLAT","TRLONG","TOT_RCH_LEN","FLD_STATUS","PCT_OVRHD_CVR","BK_OVRHD_CVR","VEG_CMPLXTY","RPRN_VEG_CNPY_CVR","RPRN_VEG_UNDRSTRY_CVR","RPRN_VEG_GC","NON_NTVE_WDY","NTVE_WDY","NON_NTVE_HRB","NTVE_HRB","SDGE_RSH","INVSVE_INVRT_SP","OBSRVD_INVRT_RCHNSS","EXPCTD_INVRT_RCHNSS","OE_MACROINVRTBRTE","MMI_MACROINVRTBRTE","OE_MMI_MOD_USD","MOD_APPLCBLTY","MACROINVRTBRTE_CNT","TTL_N","PRD_TTL_N","TTL_P","PRD_TTL_P","SPCFC_CNDCTNCE","PRD_SPCFC_CNDCTNCE","pH","INSTNT_TEMP","MN_AG_TEMP","TRBDTY","PCT_PL","RES_PL_DEP","NM_PL","PL_FREQ","LWD_FREQ","LWD_VL","PCT_FN2","PCT_FN6","D16","D84","D50","GMTRC_MN_PRTCLE_DIAM","PL_TL_FN2","PL_TL_FN6","BankCoverFoliar","BankCoverBasal","BnkCoverFoliar_Stab","BNK_STBLTY","BNK_CVR_BDRCK","BNK_CVR_CBBLE","BNK_CVR_LWD","BnkCoverFoliarVeg","BnkCoverBasalVeg","BNKFLL_HT","INCSN_HT","CHN_INCSN","FLDPLN_CNNCTVTY","INSTRM_HBTT_CMPLXTY","BNK_AN","THLWG_DEP_CV","THLWG_DEP_MN","PCT_DRY","BNKFLL_WT","WTTD_WT","FLD_WT","ENTRCH","SLPE","SNSTY","HMNINFLNC","BVR_FLW_MD","BVR_SGN","SD_CHNNLS","WTR_WTHDRWL","geometry"
6829,"MN-SS-1142","Lake Creek","BLM13-1142","3375680344",2014-07-21,NA,"1",45.37254,-115.878942,"WRSA","WADEABLE","MT_NROCK","Random","Core","1","SS","SmallWadeable","NorthernRockies_SmallWadeable","NorthernRockies","Mountains",45.372422,-115.879925,45.372666,-115.878093,150,"Sampled - Full Reach",60,92.2,2.13,NA,NA,NA,NA,NA,NA,NA,NA,"ABSENT",13,14.271852,0.910884,NA,"ColumbiaRiverBasin_PIBO","Pass",300,62.4,64.9,5.4,8.3,23.4,24.4,7.25,13.3,9.04,NA,22.3,0.24,13,86.7,20.667,16.182,16.5,22.3,2,130,24,4,NA,NA,NA,64,NA,98,NA,NA,NA,NA,NA,0.24,0.64,-0.3,1.94,0.67,106,0.36,0.22,0,3.86,2.93,NA,NA,7.12,1.03,NA,"NONE","ABSENT","ABSENT",NA,c(-115.878955274603, 45.372546133537)
6830,"LC-LS-1066","APACHE CREEK","NM_SONM_STANDARD_2018-1066","2CCB1C79-A7B5-422E-BC6D-7F27FA94D00B",2018-09-24,NA,"1",32.935481,-108.991719,"NM_SouthernNewMexico","WADEABLE","LAS CRUCES DISTRICT OFFICE","Random","Core","3","LS","SmallWadeable","SouthwestMountains_SmallWadeable","SouthwestMountains","Mountains",32.935013,-108.992202,32.93553,-108.992097,150,"Sampled - Partial Reach",66,76.8,0.62,0.14,0.05,0.3,0,100,33,94,0,"ABSENT",0,4.43162691,0,NA,"Westwide2018_OtherEcoregions","Fail",10,184.2,365.1,78.7,46,149.2,356.5,6.51,15.2,18.13,4,5.86,0.9,1,8.9,0,0,11.8,20.6,4,169,32,5,NA,NA,NA,75,NA,78,62,8,0,NA,2,0.16,0.37,-0.51,NA,0.47,132,NA,NA,NA,2.12,2.35,4.82,2.54,NA,NA,NA,"NONE","ABSENT","PRESENT","ABSENT",c(-108.991729359815, 32.9354861999101)
6831,"PR-SS-11679","Kelley Creek","BLMMaster-11679","F0D30583-B87B-4850-915E-E0E6D5209E0A",2017-07-14,NA,"1",44.460542,-119.604126,"OR_PrinevilleDO","WADEABLE","PRINEVILLE DISTRICT OFFICE","Random","Core","1","SS","SmallWadeable","NorthernRockies_SmallWadeable","NorthernRockies","Mountains",44.460635,-119.603682,44.459992,-119.604461,150,"Sampled - Full Reach",48,49.7,0.85,0,0,0,0,100,100,100,0,"ABSENT",3,11.937978,0.251299,NA,"OR_WesternCordillera_ColumbiaPlateau","Pass",184,743.8,297.7,255.1,42.1,NA,207.6,8.34,14,15.56,NA,0,NA,0,0,0,0,91,92.9,1,2,1,1,NA,NA,NA,21,NA,14,0,9,0,NA,23,0.11,0.12,-0.96,NA,NA,145,0.66,0.03,0,1.45,0.42,2.55,2.21,8.48,1.59,NA,"NONE","ABSENT","ABSENT","ABSENT",c(-119.604139771727, 44.4605477023771)
6832,"FR-TR-1039","SOUTH BEAVER CREEK","FR-TR-1039","7E92FBB9-FBCD-4D9A-846F-58B2B1E35864",2018-06-03,NA,"1",38.456141,-106.994586,"CO_RockyMountainDO","WADEABLE",NA,"Targeted","Core","3","LS","SmallWadeable","SouthernRockies_SmallWadeable","SouthernRockies","Mountains",38.456252,-106.99538,38.455725,-106.993884,150,"Sampled - Full Reach",50.5,75.2,1.08,0.05,0.25,0.31,0,100,100,100,95,"ABSENT",NA,NA,NA,59.3,"CO-EDAS2017 - Biotype 1",NA,295,310.6,248.3,106.2,21.7,101.8,154,7.86,16.1,15.3,NA,11.73,0.26,4,26.7,1.333,0.058,35.6,42.9,1,126,12,3,NA,NA,NA,32,NA,57,0,9,1,NA,28,0.25,0.5,-0.45,1.47,0.53,141,0.36,0.27,0,4.08,2.96,7.8,2.66,2.2,1.05,NA,"MINOR","COMMON","PRESENT","ABSENT",c(-106.994596417698, 38.4561471064695)
6833,"GL-TR-003","Little Rusty Creek","GL-TR-003","069E4039-43A3-4911-846B-9A86B3B72712",2016-08-05,NA,"1",63.194127,-147.324753,"AK_GlennallenFO","WADEABLE",NA,"Targeted","Core","2",NA,"SmallWadeable",NA,"Alaska Range",NA,63.194715,-147.325047,63.193451,-147.324523,150,"Sampled - Full Reach",7.1,54.2,1.17,0,0.68,0.4,0,100,0,100,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,285,NA,7.13,5.18,NA,0,NA,NA,NA,NA,0,0,0,1,49,180,100,7,NA,NA,NA,45,NA,100,0,25,0,NA,20,0.17,0.45,-0.41,1.46,0.91,NA,0.24,0.38,0,4.02,3.39,NA,NA,4.83,1.05,NA,"NONE","ABSENT","PRESENT","ABSENT",c(-147.32477755961, 63.1941289423321)
6834,"IS-SS-138","JUNIPER SPRING CANYON","PrinevilleIntermittent-138","BC353AD9-FC3E-43EB-A792-15E8398E6074",2017-06-05,NA,"1",43.787372,-119.919196,"OR_PrinevilleDO","WADEABLE","Yes-GRSG","Random","Core","1","SS","SmallWadeable","NorthernRockies_SmallWadeable","NorthernRockies","Mountains",43.787062,-119.919901,43.787636,-119.91832,150,"Sampled - Interrupted Flow",11.9,19,0.8,0,0.03,0,0,82,0,100,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.667,0.76,34.3,53.3,2,61,5,3,NA,NA,NA,62,NA,98,0,14,4,NA,39,0.28,0.49,-0.5,NA,NA,161,NA,0,92,4.17,0,4.03,1.33,3.5,1.06,NA,"NONE","ABSENT","ABSENT","ABSENT",c(-119.919209700827, 43.7873776233371)
6835,"AR-SS-8017",NA,"BLM13-8017","11777",2013-06-16,NA,"1",41.2655,-120.4424,"CA_NorthernCaliforniaDO","WADEABLE","Alturas","Random","Core","2","SS","SmallWadeable","PacificNorthwestXericCalifornia_SmallWadeable","PacificNorthwest","Mountains",41.2654,-120.4431,41.2661,-120.4418,150,"Sampled - Interrupted Flow",1.3,1.1,0.68,NA,NA,NA,NA,NA,NA,NA,NA,"ABSENT",NA,NA,NA,37.64022886,"NV_MMI","Fail",300,2795.8,304.4,247,52.4,170,214.7,6.95,27.1,18.62,NA,NA,NA,NA,NA,0,0,95.2,NA,NA,NA,NA,NA,NA,NA,NA,93,NA,100,NA,NA,NA,NA,NA,0.08,0.17,-0.74,1.85,0.43,NA,NA,0.03,11.3,3.12,0.37,NA,NA,6.66,1.12,NA,"NONE","ABSENT","ABSENT",NA,c(-120.442413370931, 41.2655053837994)
6836,"SA-SS-13626","PRATT CREEK","BLMMaster-13626","A0380222-9D4D-485C-91F4-039675897DF6",2017-07-08,NA,"1",45.110992,-113.642828,"ID_SalmonFO","WADEABLE","Salmon Field Office","Random","Core","1","SS","SmallWadeable","NorthernRockies_SmallWadeable","NorthernRockies","Mountains",45.110385,-113.643008,45.111371,-113.642315,150,"Sampled - Full Reach",87.3,95.5,2.09,0.27,0.55,0.62,0,100,68,100,98,"ABSENT",10,13.718298,0.728953,NA,"ColumbiaRiverBasin_PIBO","Pass",300,108.2,63.2,23.3,20.6,42.7,46.9,6.53,10.1,10.08,NA,14.6,0.27,10,66.7,34.667,9.354,3.4,4.8,26,275,86,7,NA,NA,NA,88,NA,93,0,33,16,NA,25,0.12,0.31,-0.54,NA,NA,119,0.24,0.34,0,5.94,4.24,7.2,2.09,9.5,1.23,NA,"NONE","ABSENT","PRESENT","ABSENT",c(-113.642840786347, 45.110998324627)
6837,"AS-SS2-9008","Unamed","AK14-9008","7AB337E6-6CD0-490E-9663-D3D698986F38",2016-07-25,NA,"1",65.324364,-146.838497,"AK_EasternInteriorFO","WADEABLE","Steese and White Mtns","Random","Core","2",NA,"SmallWadeable",NA,"Interior Highlands",NA,65.324798,-146.8387,65.323722,-146.838266,150,"Sampled - Full Reach",5.5,65,1.3,0,0.67,0.37,0,100,0,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.5,NA,6.76,5.8,NA,2.43,NA,NA,NA,NA,0,0,6.1,10.1,10,54,29,4,NA,NA,NA,81,NA,88,0,1,0,NA,72,0.27,0.57,-0.4,1.44,0.16,NA,0.35,0.42,0,4.18,2.65,NA,NA,0.85,1.24,NA,"NONE","ABSENT","ABSENT","ABSENT",c(-146.838523492025, 65.3243658973465)
6838,"KR-SS-10233","Stink Creek","BLMMaster-10233","5C0B5C9E-CF6D-4013-94C9-C35846AED78A",2016-08-04,NA,"1",40.996291,-105.901171,"CO_NorthwestDO","WADEABLE","KREMMLING FIELD OFFICE","Random","Core","2","SS","SmallWadeable","EasternXericBasin_SmallWadeable","EasternXericBasin","Xeric",40.996531,-105.900738,40.995791,-105.901645,150,"Sampled - Full Reach",23.3,58.3,1.31,0,0.47,0.13,0,100,91,100,100,"ABSENT",NA,NA,NA,48.7,"CO-EDAS2017 - Biotype 1",NA,300,NA,257.3,NA,17.1,1375,346.4,7.84,14.5,15.17,NA,0,NA,0,0,0,0,57.6,59.2,1,19,2,2,NA,NA,NA,67,NA,52,0,0,0,NA,57,0.19,3.14,0.48,11.24,0.1,NA,0.33,0.11,0,2.38,0.98,6.42,2.7,1.66,1.34,NA,"NONE","ABSENT","ABSENT","ABSENT",c(-105.901181472216, 40.9962975219434)
6839,"CR-SS-12013","SECOND ANVIL CREEK","BLMMaster-12013","C32B9469-568F-4EB3-A103-9C626AD47B0C",2017-07-09,NA,"1",39.564135,-107.922001,"CO_NorthwestDO","WADEABLE","COLORADO RIVER VALLEY FIELD OFFICE","Random","Core","1","SS","SmallWadeable","EasternXericBasin_SmallWadeable","EasternXericBasin","Xeric",39.564372,-107.922699,39.563631,-107.921399,150,"Sampled - Interrupted Flow",44.5,62.3,1.22,0.02,0.39,0.21,0,100,100,100,100,"ABSENT",NA,NA,NA,40.5,"CO-EDAS2017 - Biotype 1",NA,298,NA,NA,NA,25.7,NA,532.2,7.85,20,11.09,NA,0,NA,0,0,0.667,0.053,65.7,77.1,1,10,2,2,NA,NA,NA,57,NA,90,9,0,4,NA,43,0.18,0.46,-0.42,2.59,0.48,138,NA,NA,19.9,4.36,3.23,2.06,2.25,6.53,1.08,NA,"NONE","ABSENT","ABSENT","ABSENT",c(-107.922011747311, 39.5641411895381)
6840,"FMD-TR-009","Chama, Rio","FMD-TR-009","DC9CB657-5C4F-46BC-AFB1-0594805E7A83",2016-08-04,NA,"1",36.19823,-106.44787,"NM_FarmingtonDO","WADEABLE",NA,"Targeted","Core","4","LS","SmallWadeable","SouthernRockies_SmallWadeable","SouthernRockies","Mountains",36.198521,-106.448226,36.197519,-106.44777,150,"Sampled - Full Reach",33,80.8,1.91,0.08,0.48,0.72,41,100,100,100,100,"ABSENT",5,6.23768709,0.80157916,NA,"Westwide2018_OtherEcoregions","Pass",300,550.5,188.4,171.9,30.5,307.7,102.9,7.94,18.9,18.17,NA,0,NA,0,0,0,0,29.9,35.1,1,78,22,3,NA,NA,NA,100,NA,76,0,12,0,NA,75,0.24,0.64,-0.3,NA,1.23,NA,0.33,0.28,0,3.95,NA,11.43,2.89,1.36,1.26,NA,"MAJOR","COMMON","ABSENT","ABSENT",c(-106.447880073501, 36.1982358214771)
6841,"AA-007-2016","Slate Creek","AA-007-2016","1710DF2D-7044-4036-8F2D-CD2E10B60D26",2016-08-11,NA,"1",67.215381,-149.921537,"AK_CentralYukonFO","WADEABLE",NA,"Targeted","Core","4",NA,"LargeWadeable",NA,"Interior Highlands",NA,67.215885,-149.924439,67.214817,-149.918666,288.6,"Sampled - Full Reach",13.8,45.7,0.77,0.11,0.33,0.24,0,100,0,100,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.5,NA,7.29,7.5,NA,1.14,NA,NA,NA,NA,1.733,0.123,2.9,7.6,19,249,59,6,NA,NA,NA,55,NA,81,5,27,1,NA,18,0.47,1.2,-0.08,1.91,0.71,NA,0.24,0.41,0,13.74,9.17,NA,NA,1.58,1.05,NA,"NONE","ABSENT","ABSENT","ABSENT",c(-149.92156554098, 67.2153822298678)
6842,"GN-LS-10114","Cebolla Creek","BLMMaster-10114","5932BE8D-DF9A-4145-A924-E51E39895BE1",2016-07-11,NA,"1",38.186426,-107.055429,"CO_RockyMountainDO","WADEABLE","GUNNISON FIELD OFFICE","Random","Core","4","LS","LargeWadeable","SouthernRockies_LargeWadeable","SouthernRockies","Mountains",38.187439,-107.055927,38.185205,-107.054625,272.88,"Sampled - Full Reach",23.5,70.9,1.22,0,0.05,0.12,0,100,5,100,80,"ABSENT",NA,NA,NA,65.6,"CO-EDAS2017 - Biotype 1",NA,292,208,132.4,59.5,51.9,125.2,88.4,8.3,14.2,12.89,NA,0,NA,0,0,5.863,4.98,8.3,8.3,34,259,88,7,NA,NA,NA,93,NA,95,0,13,0,NA,60,0.23,0.76,-0.2,1.79,0.28,NA,0.18,0.51,0,13.88,12.96,NA,NA,1.17,1,NA,"NONE","ABSENT","ABSENT","ABSENT",c(-107.055439402244, 38.1864320655387)
6843,"NC-SS-9141","South Fork Topia Creek","BLM14-9141","2325192947",2014-08-03,NA,"1",39.403826,-117.729307,"NV_Statewide","WADEABLE","Carson City District","Random","Core","1","SS","SmallWadeable","SouthernXericBasin_SmallWadeable","SouthernXericBasin","Xeric",39.404131,-117.728571,39.403342,-117.729921,150,"Sampled - Interrupted Flow",5.6,28.9,0.46,NA,NA,NA,NA,NA,NA,NA,NA,"ABSENT",NA,NA,NA,28.34031939,"NV_MMI","Pass",300,4530,284.1,1460,41.7,78.7,124.8,7.23,16.1,11.79,NA,NA,NA,NA,NA,0,0,71.5,74.8,1,20,1,2,NA,NA,NA,48,NA,98,NA,NA,NA,NA,NA,0.17,1.75,0.23,10.46,0.07,152,NA,0.01,22.7,1.46,0.53,NA,NA,9.7,1.03,NA,"NONE","ABSENT","ABSENT",NA,c(-117.72931965617, 39.4038314420216)
6844,"SV-LS-12610","Sheep Creek","BLMMaster-12610","A960236C-61BB-4EBB-BD10-23AE1031DC4C",2016-06-12,NA,"1",38.209129,-106.46982,"CO_RockyMountainDO","WADEABLE","SAN LUIS VALLEY FIELD OFFICE","Random","Core","3","LS","SmallWadeable","SouthernRockies_SmallWadeable","SouthernRockies","Mountains",38.208637,-106.469139,NA,NA,150,"Sampled - Full Reach",71,79.2,1.4,0.03,0.28,0.3,0,100,88,100,100,"ABSENT",NA,NA,NA,75.8,"CO-EDAS2017 - Biotype 1",NA,322,361.7,125.4,82.9,43.6,73.8,138.5,7.4,7.6,13.48,NA,38.06,0.47,6,40,0,0,46.7,52.2,1,170,4,3,NA,NA,NA,48,NA,93,0,3,0,NA,42,0.13,0.28,-0.6,1.24,0.98,NA,0.25,0.49,0,7.53,6.44,9.27,1.23,1.85,NA,NA,"MAJOR","COMMON","PRESENT","ABSENT",c(-106.469830274761, 38.2091351072578)
