"SITE_ID","Latitude","Longitude","locationRemarks","siteSelectionType","waterBody","site_survey_id","eventDate","year","samplingProtocol","fieldNotes","dry_site","dry_pcnt","beaver_impacted","CREEK_CODE","SITE","ORIGINAL_SURVEY_YEAR","SAMPLE_TYPE","REACH_LENGTH","GLOBALID","STATES","HUC_12","unit","AGENCY","Prov","survey_year","impact_group","poolscore","substratescore","woodscore","habitatscore","gradient","average_bfwidth","average_bfdepth","elevation","pool_fines","substrate","wood_12x25","wood_18x25","lua_group","aquatic_province","states","key_watershed","rotation_panel","creek_code"
"CABER0001",41.9695189122642,-122.924839939689,"Downstream End","Random GRTS","West Fork Beaver Creek HUC12","2007CABER1001",2007-06-29 00:00:00,"2007","Wadeable",NA,NA,NA,"NA","CABER",1,2007,"STATUS_AND_TREND",160,"{2EFDD414-6622-4E22-B302-B5A55E178FB0}","CA,OR","180102060903","Klamath National Forest","FSR5","KS",2007,"imp90",NA,61.04887876,36.17282849,48.94547968,0.27074347,2.31872962,0.24000624,1691,NA,17.47572815,3,2,"LSR","Klamath/Siskiyou","CA","N",1,"CABER"
"CABER0001",41.9695189122642,-122.924839939689,"Downstream End","Random GRTS","West Fork Beaver Creek HUC12","2015CABER1001",2015-06-21 09:24:17,"2015","Wadeable",NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CABER0002",41.9445375523981,-122.833800169415,"Downstream End","Random GRTS","West Fork Beaver Creek","2007CABER1002",2007-06-28 00:00:00,"2007","Wadeable",NA,NA,NA,"NA","CABER",2,2007,"STATUS_AND_TREND",200,"{3699C74D-04FB-4CA4-AEAD-CB53CDF95B9C}","CA,OR","180102060903","Klamath National Forest","FSR5","KS",2007,"imp75",72.51228684,0,41.56318106,36.53050858,0.0284678,8.57288462,0.87271384,782,0.444444444,20,1,1,"LSR","Klamath/Siskiyou","CA","N",1,"CABER"
"CABER0002",41.9445375523981,-122.833800169415,"Downstream End","Random GRTS","West Fork Beaver Creek","2015CABER1002",2015-06-20 09:13:10,"2015","Wadeable",NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CABER0002",41.9445375523981,-122.833800169415,"Downstream End","Random GRTS","West Fork Beaver Creek","2015CABER9002",2015-06-23 08:13:09,"2015","Wadeable",NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CABER0005",41.950927672316,-122.857076370399,"Downstream End","Random GRTS","West Fork Beaver Creek","2007CABER1005",2007-07-01 00:00:00,"2007","Wadeable",NA,NA,NA,"NA","CABER",5,2007,"STATUS_AND_TREND",320,"{B06008F3-8CF7-429F-9358-4B82683A5760}","CA,OR","180102060903","Klamath National Forest","FSR5","KS",2007,"imp90",41.60765684,9.65717535,100,49.84021535,0.02842462,13.01056081,0.90988681,848,3.6,14.28571428,8,7,"LSR","Klamath/Siskiyou","CA","N",1,"CABER"
"CABER0005",41.950927672316,-122.857076370399,"Downstream End","Random GRTS","West Fork Beaver Creek","2007CABER9005",2007-07-26 00:00:00,"2007","Wadeable",NA,NA,NA,"NA","CABER",5,2007,"STATUS_AND_TREND",320,"{B06008F3-8CF7-429F-9358-4B82683A5760}","CA,OR","180102060903","Klamath National Forest","FSR5","KS",2007,"imp90",26.40566175,0,100,41.75929607,0.02813031,12.6926171,0.87887927,848,5.083820663,20.95238095,13,12,"LSR","Klamath/Siskiyou","CA","N",1,"CABER"
"CABER0005",41.950927672316,-122.857076370399,"Downstream End","Random GRTS","West Fork Beaver Creek","2008CABER6005",2008-08-24 00:00:00,"2008","Wadeable",NA,NA,NA,"NA","CABER",5,2007,"STATUS_AND_TREND",320,"{B06008F3-8CF7-429F-9358-4B82683A5760}","CA,OR","180102060903","Klamath National Forest","FSR5","KS",2008,"imp90",41.0618029,0,100,46.39399124,0.0283152,11.78166771,0.70059184,848,3.653279148,19.04761904,10,9,"LSR","Klamath/Siskiyou","CA","N",1,"CABER"
"CABER0005",41.950927672316,-122.857076370399,"Downstream End","Random GRTS","West Fork Beaver Creek","2015CABER1005",2015-06-19 09:00:14,"2015","Wadeable",NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CABER0009",41.9500333425504,-122.941206809441,"Downstream End","Random GRTS","West Fork Beaver Creek HUC12","2007CABER1009",2007-06-30 00:00:00,"2007","Wadeable",NA,NA,NA,"NA","CABER",9,2007,"STATUS_AND_TREND",160,"{A89EDDA9-B665-4252-B4B6-2E49C843C6FE}","CA,OR","180102060903","Klamath National Forest","FSR5","KS",2007,"imp75",71.41798721,73.90975621,27.29000865,56.4001923,0.21078883,3.28265246,0.33715733,1760,5.238095238,4.12371134,3,3,"LSR","Klamath/Siskiyou","CA","N",1,"CABER"
"CABER0009",41.9500333425504,-122.941206809441,"Downstream End","Random GRTS","West Fork Beaver Creek HUC12","2007CABER9009",2007-07-26 00:00:00,"2007","Wadeable",NA,NA,NA,"NA","CABER",9,2007,"STATUS_AND_TREND",160,"{A89EDDA9-B665-4252-B4B6-2E49C843C6FE}","CA,OR","180102060903","Klamath National Forest","FSR5","KS",2007,"imp75",74.33354062,68.84336492,29.49337637,56.35166084,0.20816908,4.17830104,0.53642783,1760,2.34375,10,4,3,"LSR","Klamath/Siskiyou","CA","N",1,"CABER"
"CABER0009",41.9500333425504,-122.941206809441,"Downstream End","Random GRTS","West Fork Beaver Creek HUC12","2008CABER6009",2008-08-23 00:00:00,"2008","Wadeable",NA,NA,NA,"NA","CABER",9,2007,"STATUS_AND_TREND",160,"{A89EDDA9-B665-4252-B4B6-2E49C843C6FE}","CA,OR","180102060903","Klamath National Forest","FSR5","KS",2008,"imp75",69.09328992,67.1190142,39.27427256,57.4255667,0.20718668,5.12814452,0.61071862,1760,7.545882353,12,5,5,"LSR","Klamath/Siskiyou","CA","N",1,"CABER"
"CABER0009",41.9500333425504,-122.941206809441,"Downstream End","Random GRTS","West Fork Beaver Creek HUC12","2015CABER1009",2015-06-23 09:21:02,"2015","Wadeable",NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CABER0010",41.9524397625832,-122.903612930159,"Downstream End","Random GRTS","West Fork Beaver Creek HUC12","2007CABER1010",2007-07-03 00:00:00,"2007","Wadeable",NA,NA,NA,"NA","CABER",10,2007,"STATUS_AND_TREND",200,"{1BEBA496-8841-4A60-939D-AB6B7A6A2268}","CA,OR","180102060903","Klamath National Forest","FSR5","KS",2007,"imp90",72.51821796,67.731206,95.87470373,77.90268148,0.1654354,12.3787901,1.05649985,1057,0,9.75609756,19,11,"LSR","Klamath/Siskiyou","CA","N",1,"CABER"
"CABER0010",41.9524397625832,-122.903612930159,"Downstream End","Random GRTS","West Fork Beaver Creek HUC12","2015CABER1010",2015-06-18 09:43:28,"2015","Wadeable",NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CABER0015",41.9292598718638,-122.952391359635,"Downstream End","Random GRTS","West Fork Beaver Creek HUC12","2007CABER1015",2007-07-02 00:00:00,"2007","Wadeable",NA,NA,NA,"NA","CABER",15,2007,"STATUS_AND_TREND",160,"{C29E46C9-3581-4130-9629-E6D25D118786}","CA,OR","180102060903","Klamath National Forest","FSR5","KS",2007,"middle",NA,65.23767753,13.94120527,39.77118859,0.26958495,2.86322746,0.26793579,1754,NA,12.38095238,0,0,"LSR","Klamath/Siskiyou","CA","N",1,"CABER"
"CABER0015",41.9292598718638,-122.952391359635,"Downstream End","Random GRTS","West Fork Beaver Creek HUC12","2015CABER1015",2015-06-22 09:57:51,"2015","Wadeable",NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CABFH0026",40.8426421890008,-123.288900224534,"Downstream End","Random GRTS","Big French Creek HUC12","2007CABFH1026",2007-06-15 00:00:00,"2007","Wadeable",NA,NA,NA,"NA","CABFH",26,2007,"STATUS_AND_TREND",160,"{D36C1186-9EE1-41FC-9B8F-F4E75A6107CC}","CA","180102111103","Shasta-Trinity National Forest","FSR5","KS",2007,"ref",53.05299555,56.47182496,100,69.32888906,0.13880392,3.87588191,0.45071509,615,6.314142929,13.26530612,13,12,"RES","Klamath/Siskiyou","CA","N",1,"CABFH"
"CABFH0027",40.8238729434458,-123.298235729671,"Downstream End","Random GRTS","Big French Creek HUC12","2007CABFH1027",2007-06-18 00:00:00,"2007","Wadeable",NA,NA,NA,"NA","CABFH",27,2007,"STATUS_AND_TREND",160,"{412D46D8-8965-41DB-92DD-8E146513F0FD}","CA","180102111103","Shasta-Trinity National Forest","FSR5","KS",2007,"middle",52.85551914,0,74.62633334,41.52228681,0.10102751,4.0475095,0.29431735,547,3.333333333,20,9,7,"RES","Klamath/Siskiyou","CA","N",1,"CABFH"
"CABFH0040",40.8448998638619,-123.283520960093,"Downstream End","Random GRTS","Big French Creek","2007CABFH1040",2007-06-14 00:00:00,"2007","Wadeable",NA,NA,NA,"NA","CABFH",40,2007,"STATUS_AND_TREND",280,"{C05DD6F7-BAD5-4363-BC29-47C702D72996}","CA","180102111103","Shasta-Trinity National Forest","FSR5","KS",2007,"ref",50.29966741,77.23729342,54.27258588,59.99655506,0.0384609,10.29050108,0.78852603,603,2.52637754,2.85714285,7,5,"RES","Klamath/Siskiyou","CA","N",1,"CABFH"
"CABFH0054",40.8322076236739,-123.28686821947,"Downstream End","Random GRTS","Big French Creek","2007CABFH1054",2007-06-17 00:00:00,"2007","Wadeable",NA,NA,NA,"NA","CABFH",54,2007,"STATUS_AND_TREND",280,"{C9AF32B3-1036-4C49-97C6-6A50FAB218C5}","CA","180102111103","Shasta-Trinity National Forest","FSR5","KS",2007,"ref",63.06418488,0,44.73266516,34.61714413,0.03972571,13.93880939,0.74378385,541,1.416666667,23.8095238,5,3,"RES","Klamath/Siskiyou","CA","N",1,"CABFH"
"CABFH0069",40.8383179830272,-123.283998509473,"Downstream End","Random GRTS","Big French Creek","2007CABFH1069",2007-06-16 00:00:00,"2007","Wadeable",NA,NA,NA,"NA","CABFH",69,2007,"STATUS_AND_TREND",240,"{CDF39034-635F-46B7-A979-56C68E8553A1}","CA","180102111103","Shasta-Trinity National Forest","FSR5","KS",2007,"ref",46.93276745,41.25051222,94.47928506,60.36232059,0.03871982,15.34497411,1.03209479,571,2.818816404,13.33333333,13,9,"RES","Klamath/Siskiyou","CA","N",1,"CABFH"
"CABFH0069",40.8383179830272,-123.283998509473,"Downstream End","Random GRTS","Big French Creek","2007CABFH9069",2007-07-12 00:00:00,"2007","Wadeable",NA,NA,NA,"NA","CABFH",69,2007,"STATUS_AND_TREND",240,"{CDF39034-635F-46B7-A979-56C68E8553A1}","CA","180102111103","Shasta-Trinity National Forest","FSR5","KS",2007,"ref",91.98600544,81.81542533,87.35722332,85.94598289,0.03139783,14.30981852,0.93130233,571,0,0,13,11,"RES","Klamath/Siskiyou","CA","N",1,"CABFH"
"CABFH0071",40.8404814235586,-123.281589779553,"Downstream End","Random GRTS","Big French Creek","2007CABFH1071",2007-06-19 00:00:00,"2007","Wadeable",NA,NA,NA,"NA","CABFH",71,2007,"STATUS_AND_TREND",280,"{F2E6CE26-0C01-41AD-99DD-2736C7D50F6A}","CA","180102111103","Shasta-Trinity National Forest","FSR5","KS",2007,"ref",58.8659238,59.0078412,91.47042076,69.13539446,0.03560105,13.90019576,1.11850384,578,1.777777778,7.61904761,13,11,"RES","Klamath/Siskiyou","CA","N",1,"CABFH"
"CABFH0071",40.8404814235586,-123.281589779553,"Downstream End","Random GRTS","Big French Creek","2007CABFH9071",2007-07-13 00:00:00,"2007","Wadeable",NA,NA,NA,"NA","CABFH",71,2007,"STATUS_AND_TREND",280,"{F2E6CE26-0C01-41AD-99DD-2736C7D50F6A}","CA","180102111103","Shasta-Trinity National Forest","FSR5","KS",2007,"ref",NA,NA,91.95210082,NA,NA,14.93636363,0.99928181,578,0,5.76923076,17,15,"RES","Klamath/Siskiyou","CA","N",1,"CABFH"
"CACDR0002",41.3674560531892,-123.547636634808,"Downstream End","Random GRTS","Wilder Creek","2008CACDR1002",2008-09-04 00:00:00,"2008","Wadeable",NA,NA,NA,"NA","CACDR",2,2008,"STATUS_AND_TREND",160,"{E9876C26-B696-4C41-950E-59E388F5C198}","CA","180102090801","Six Rivers National Forest","FSR5","KS",2008,"middle",63.43323175,0,74.67652343,44.8842786,0.03174055,4.52175991,0.39111395,793,1.4,31.37254901,7,5,"LSR","Klamath/Siskiyou","CA","Y",1,"CACDR"
"CACDR0002",41.3674560531892,-123.547636634808,"Downstream End","Random GRTS","Wilder Creek","2008CACDR9002",2008-09-22 00:00:00,"2008","Wadeable",NA,NA,NA,"NA","CACDR",2,2008,"STATUS_AND_TREND",160,"{E9876C26-B696-4C41-950E-59E388F5C198}","CA","180102090801","Six Rivers National Forest","FSR5","KS",2008,"middle",69.44128176,22.61787444,40.14487057,42.74564023,0.03710154,4.33231021,0.35649139,793,0.666666667,21.3592233,3,1,"LSR","Klamath/Siskiyou","CA","Y",1,"CACDR"
"CACDR0002",41.3674560531892,-123.547636634808,"Downstream End","Random GRTS","Wilder Creek","2016CACDR1002",2016-06-17 00:00:00,"2016","Wadeable",NA,NA,NA,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CACDR0010",41.4054285398617,-123.579200000484,"Downstream End","Random GRTS","Camp Creek HUC12","2008CACDR1010",2008-09-05 00:00:00,"2008","Wadeable",NA,NA,NA,"NA","CACDR",10,2008,"STATUS_AND_TREND",160,"{2FCBF84E-2122-49B3-8B51-EBA55691E2D4}","CA","180102090801","Six Rivers National Forest","FSR5","KS",2008,"imp90",71.1406657,63.79778011,60.40593949,64.11042352,0.37884728,4.56224949,0.75877885,877,0.768115942,16.50485436,7,7,"LSR","Klamath/Siskiyou","CA","Y",1,"CACDR"
"CACDR0010",41.4054285398617,-123.579200000484,"Downstream End","Random GRTS","Camp Creek HUC12","2016CACDR1010",2016-06-20 00:00:00,"2016","Wadeable",NA,NA,NA,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CACDR0013",41.3168300001744,-123.565438999966,"Downstream End","Random GRTS","Camp Creek","2008CACDR1013",2008-09-06 00:00:00,"2008","Wadeable",NA,NA,NA,"NA","CACDR",13,2008,"STATUS_AND_TREND",480,"{8351B294-FA1F-4E81-9FEE-757B9192DF1E}","CA","180102090801","Six Rivers National Forest","FSR5","KS",2008,"middle",0,58.22033625,56.29149432,38.32831355,0.00968342,20.54801922,0.81650444,152,4.75,13.33333333,18,7,"LSR","Klamath/Siskiyou","CA","Y",1,"CACDR"
"CACDR0013",41.3168300001744,-123.565438999966,"Downstream End","Random GRTS","Camp Creek","2016CACDR1013",2016-06-19 00:00:00,"2016","Wadeable",NA,NA,NA,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CACDR0023",41.3989970377237,-123.562387421623,"Downstream End","Random GRTS","Camp Creek HUC12","2008CACDR1023",2008-09-07 00:00:00,"2008","Wadeable",NA,NA,NA,"NA","CACDR",23,2008,"STATUS_AND_TREND",160,"{DEFFEDF1-A2A8-4DC6-ACEF-F5449BD00A2E}","CA","180102090801","Six Rivers National Forest","FSR5","KS",2008,"middle",47.17816298,41.91495316,98.62323774,62.06988099,0.07437661,4.11639334,0.3314195,1011,2.333333333,28.84615384,14,9,"LSR","Klamath/Siskiyou","CA","Y",1,"CACDR"
"CACDR0023",41.3989970377237,-123.562387421623,"Downstream End","Random GRTS","Camp Creek HUC12","2016CACDR1023",2016-06-16 00:00:00,"2016","Wadeable",NA,NA,NA,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CACDR0046",41.4000299996651,-123.568430000213,"Downstream End","Random GRTS","Camp Creek HUC12","2008CACDR1046",2008-09-08 00:00:00,"2008","Wadeable",NA,NA,NA,"NA","CACDR",46,2008,"STATUS_AND_TREND",160,"{8FA6CE3E-DC61-4478-B1B5-281E1E9D1AC1}","CA","180102090801","Six Rivers National Forest","FSR5","KS",2008,"imp90",66.68402309,28.98178577,26.78981702,39.50384351,0.12527038,2.34670228,0.28405007,1083,3.333333333,45.63106796,1,1,"LSR","Klamath/Siskiyou","CA","Y",1,"CACDR"
"CACDR0046",41.4000299996651,-123.568430000213,"Downstream End","Random GRTS","Camp Creek HUC12","2016CACDR1046",2016-06-18 00:00:00,"2016","Wadeable",NA,NA,NA,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CACDR0047",41.363653559606,-123.546116870591,"Downstream End","Random GRTS","Wilder Creek","2008CACDR1047",2008-09-09 00:00:00,"2008","Wadeable",NA,NA,NA,"NA","CACDR",47,2008,"STATUS_AND_TREND",160,"{7315C7C2-EB8D-4E98-8338-24B35830FF60}","CA","180102090801","Six Rivers National Forest","FSR5","KS",2008,"middle",34.88086868,30.3804202,100,54.73781916,0.03264275,4.74431114,0.63280409,778,4.885057471,25.25252525,14,11,"LSR","Klamath/Siskiyou","CA","Y",1,"CACDR"
"CACDR0047",41.363653559606,-123.546116870591,"Downstream End","Random GRTS","Wilder Creek","2008CACDR9047",2008-09-23 00:00:00,"2008","Wadeable",NA,NA,NA,"NA","CACDR",47,2008,"STATUS_AND_TREND",160,"{7315C7C2-EB8D-4E98-8338-24B35830FF60}","CA","180102090801","Six Rivers National Forest","FSR5","KS",2008,"middle",0,25.08559885,100,41.91263145,0.04421299,4.45103574,0.51572738,778,9.205479452,27,14,13,"LSR","Klamath/Siskiyou","CA","Y",1,"CACDR"
"CACDR0047",41.363653559606,-123.546116870591,"Downstream End","Random GRTS","Wilder Creek","2016CACDR1047",2016-06-17 00:00:00,"2016","Wadeable",NA,NA,NA,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
