"","termID","term","measurmentTypeID","measurementType","dataType","originalField_AIM","originalField_NRSA","originalField_PIBO","originalField_AREMP","originalUnit_AIM","originalUnit_NRSA","originalUnit_PIBO","originalUnit_AREMP","originalDataType_AIM","originalDataType_NRSA","originalDataType_PIBO","originalDataType_AREMP","methodCollection_AIM","methodCollection_NRSA","methodCollection_PIBO","methodCollection_AREMP","methodAnalysis_AIM","methodAnalysis_NRSA","methodAnalysis_PIBO","methodAnalysis_AREMP","measurementTypeID","description","units","entity","attribute","sourcedefinition","minimumPossibleValue","maximumPossibleValue"
"11",401,"term",511,"RPD","Numeric","ResPoolDepthAvg",NA,"PoolDp","ave_residual_depth","meters",NA,"meters","meters","Double",NA,"Double","Double","www.monitoringresources.org/Document/Method/Details/6859",NA,"www.monitoringresources.org/Document/Method/Details/6872","www.monitoringresources.org/Document/Method/Details/6844","www.monitoringresources.org/Document/Method/Details/6976",NA,"www.monitoringresources.org/Document/Method/Details/6976","www.monitoringresources.org/Document/Method/Details/6976","511","Average of the residual pool depth values for all pools in a reach. Residual pool depth the difference of the pool tail depth from the max depth (unit: meters).","meters","MetricControlledVocabulary","measurementType","Producer defined",NA,NA
"12",401,"term",512,"BankAngle","Numeric","BankAngleAvg","XBKA","BankAngle",NA,"degrees","degrees","degrees",NA,"Double","Double","Double",NA,"www.monitoringresources.org/Document/Method/Details/68","","www.monitoringresources.org/Document/Method/Details/68",NA,"www.monitoringresources.org/Document/Method/Details/7034","",NA,NA,"512","Average angle of the stream bank (unit: degrees).","degrees","MetricControlledVocabulary","measurementType","Producer defined",0,180
"13",401,"term",513,"PctStab","Numeric","PctBankStable",NA,"Stab",NA,"percent",NA,"percent",NA,"Double",NA,"Double",NA,"www.monitoringresources.org/Document/Method/Details/7026",NA,"www.monitoringresources.org/Document/Method/Details/69",NA,"www.monitoringresources.org/Document/Method/Details/7010",NA,"tbd",NA,"513","Percent of banks lacking visible signs of active erosion (e.g., slump, slough, fracture)  (unit: percent, min: 0, max: 100).","percent","MetricControlledVocabulary","measurementType","Producer defined",0,100
"14",401,"term",514,"D16","Numeric","D16",NA,"D16",NA,"millimeters",NA,"meters",NA,"Double",NA,"Double",NA,"www.monitoringresources.org/Document/Method/Details/6801",NA,"www.monitoringresources.org/Document/Method/Details/6797",NA,"www.monitoringresources.org/Document/Method/Details/7025",NA,"www.monitoringresources.org/Document/Method/Details/1730",NA,"514","Bed surface particle size corresponding to the 16th percentile of measured particles (unit: millimeters).","millimeters","MetricControlledVocabulary","measurementType","Producer defined",0,4098
"15",401,"term",515,"D50","Numeric","D50","Sub_dmm","D50","D50","millimeters",NA,"meters","millimeters","Double","Double","Double","Double","www.monitoringresources.org/Document/Method/Details/6801","www.monitoringresources.org/Document/Method/Details/6874","www.monitoringresources.org/Document/Method/Details/6797","www.monitoringresources.org/Document/Method/Details/6797","www.monitoringresources.org/Document/Method/Details/7055 ","www.monitoringresources.org/Document/Method/Details/1730","www.monitoringresources.org/Document/Method/Details/1730","www.monitoringresources.org/Document/Method/Details/7055 ","515","Bed surface particle size corresponding to the 50th percentile of measured particles (unit: millimeters).","millimeters","MetricControlledVocabulary","measurementType","Producer defined",0,4098
"16",401,"term",516,"D84","Numeric","D84",NA,"D84",NA,"millimeters",NA,"meters",NA,"Double",NA,"Double",NA,"www.monitoringresources.org/Document/Method/Details/6801",NA,"www.monitoringresources.org/Document/Method/Details/6797",NA,"www.monitoringresources.org/Document/Method/Details/7025",NA,"www.monitoringresources.org/Document/Method/Details/1730",NA,"516","Bed surface particle size corresponding to the 84th percentile of measured particles (unit: millimeters).","millimeters","MetricControlledVocabulary","measurementType","Producer defined",0,4098
"17",401,"term",517,"PctBdrk","Numeric",NA,"PCT_BDRK",NA,"bedrock_pcnt",NA,"Log 10 millimeters",NA,"percent",NA,"Double",NA,"Double",NA,"www.monitoringresources.org/Document/Method/Details/6874",NA,"www.monitoringresources.org/Document/Method/Details/6797",NA,"www.monitoringresources.org/Document/Method/Details/7011",NA,"www.monitoringresources.org/Document/Method/Details/7025","517","Percent of the stream bed area that is composed of particles with a b axis greater than 4098 millimeters (expressed as percent, units: none, min: 0, max: 100).","percent","MetricControlledVocabulary","measurementType","Producer defined",0,100
"18",401,"term",518,"PctFines2","Numeric","PctFinesLessThan2mm","PCT_SAFN",NA,"pcnt_fines_tran2","percent","percent",NA,"percent","Double","Double",NA,"Double","www.monitoringresources.org/Document/Method/Details/6801","www.monitoringresources.org/Document/Method/Details/6874",NA,"www.monitoringresources.org/Document/Method/Details/6797","www.monitoringresources.org/Document/Method/Details/7025","www.monitoringresources.org/Document/Method/Details/7011",NA,"www.monitoringresources.org/Document/Method/Details/7025","518","Percent of the stream bed area that is comprised of particles with a b axis less than 2 millimeters (expressed as percent, units: none, min: 0, max: 100).","percent","MetricControlledVocabulary","measurementType","Producer defined",0,100
"19",401,"term",519,"PctFines6","Numeric","PctFinesLessThan6mm",NA,NA,"pect_fines_tran6","percent",NA,NA,"percent","Double",NA,NA,"Double","www.monitoringresources.org/Document/Method/Details/6801",NA,NA,"www.monitoringresources.org/Document/Method/Details/6797","www.monitoringresources.org/Document/Method/Details/7025",NA,NA,"www.monitoringresources.org/Document/Method/Details/7025","519","Average percent fine sediment (less than 6 millimeters) on the pool tail (expressed as a percent, unit: none, min: 0, max: 100).","percent","MetricControlledVocabulary","measurementType","Producer defined",0,100
"20",401,"term",520,"PoolTailFines2","Numeric","PctPoolTailFinesLessThan2mm",NA,"PTFines2","pool_fines","percent",NA,"percent","percent","Double",NA,"Double","Double","www.monitoringresources.org/Document/Method/Details/6862",NA,"www.monitoringresources.org/Document/Method/Details/6862","www.monitoringresources.org/Document/Method/Details/6798","www.monitoringresources.org/Document/CustomizedMethod/Details/32164",NA,"www.monitoringresources.org/Document/Method/Details/868","www.monitoringresources.org/Document/CustomizedMethod/Details/32165","520","Average percent fine sediment (less than 2 millimeters) on the pool tail (expressed as percent, unit: none).","percent","MetricControlledVocabulary","measurementType","Producer defined",0,100
"21",401,"term",522,"PoolTailFines6","Numeric","PctPoolTailFinesLessThan6mm",NA,"PTFines6",NA,"percent",NA,"percent",NA,"Double",NA,"Double",NA,"www.monitoringresources.org/Document/Method/Details/6862",NA,"www.monitoringresources.org/Document/Method/Details/6862",NA,"www.monitoringresources.org/Document/CustomizedMethod/Details/32164",NA,"www.monitoringresources.org/Document/Method/Details/868",NA,"522","Average percent fine sediment (less than 6 millimeters) on the pool tail (expressed as a percent, unit: none).","percent","MetricControlledVocabulary","measurementType","Producer defined",0,100
"22",401,"term",523,"Conductivity","Numeric",NA,"TSS","Cond",NA,NA,"mg/L","Parts per million",NA,NA,"Double","Double",NA,NA,"www.monitoringresources.org/Document/Method/Details/7016","www.monitoringresources.org/Document/Method/Details/61",NA,NA,"www.monitoringresources.org/Document/Method/Details/7048","tbd",NA,"523","Measure of the concentration of ionized materials in water, or the ability of water to conduct electrical current. Used as a measure of mineral / ionic concentration (unit: ppm or parts per million).","parts per million","MetricControlledVocabulary","measurementType","Producer defined",NA,NA
"23",401,"term",524,"pH","Numeric","pH",NA,NA,NA,"SU",NA,NA,NA,"Double",NA,NA,NA,"www.monitoringresources.org/Document/Method/Details/6673",NA,NA,NA,NA,NA,NA,NA,"524","Measured pH value (unit: none, min: 0, max:14).","NA","MetricControlledVocabulary","measurementType","Producer defined",0,14
"24",401,"term",525,"SpecificConductance","Numeric","SpecificConductance","COND",NA,NA,"µS/cm","uS/cm",NA,NA,"Double","Double",NA,NA,"www.monitoringresources.org/Document/Method/Details/6673","www.monitoringresources.org/Document/Method/Details/7016",NA,NA,NA,"www.monitoringresources.org/Document/Method/Details/7048",NA,NA,"525","Measured specific conductance value. The specific conductance is conductivity standardized to 25 degrees C (unit: uS/cm or microSiemens per centimeter).","uS/cm","MetricControlledVocabulary","measurementType","Producer defined",NA,NA
"25",401,"term",526,"TotalNitrogen","Numeric","TotalNitrogen","NTL",NA,NA,"µg/L","ug/L",NA,NA,"Double","Double",NA,NA,"www.monitoringresources.org/Document/Method/Details/7023","www.monitoringresources.org/Document/Method/Details/7016",NA,NA,"www.monitoringresources.org/Document/Method/Details/7024","www.monitoringresources.org/Document/Method/Details/7048",NA,NA,"526","Measured total nitrogen value (unit: ug/L or micrograms per liter).","ug/L","MetricControlledVocabulary","measurementType","Producer defined",NA,NA
"26",401,"term",527,"TotalPhosphorous","Numeric","TotalPhosphorous","PTL",NA,NA,"µg/L","ug/L",NA,NA,"Double","Double",NA,NA,"www.monitoringresources.org/Document/Method/Details/7023","www.monitoringresources.org/Document/Method/Details/7016",NA,NA,"www.monitoringresources.org/Document/Method/Details/7024","www.monitoringresources.org/Document/Method/Details/7048",NA,NA,"527","Measured total phosphorous value (unit: ug/L or micrograms per liter).","ug/L","MetricControlledVocabulary","measurementType","Producer defined",NA,NA
"27",401,"term",528,"Turbidity","Numeric","TurbidityAvg","TURB",NA,NA,"NTU","NTU",NA,NA,"Double","Double",NA,NA,"www.monitoringresources.org/Document/Method/Details/7012","www.monitoringresources.org/Document/Method/Details/7016",NA,NA,"www.monitoringresources.org/Document/Method/Details/4245","www.monitoringresources.org/Document/Method/Details/7048",NA,NA,"528","Average water clarity as measured by the suspended solids in the water column (unit: NTU or Nephelometric Turbidity unit)","NTU","MetricControlledVocabulary","measurementType","Producer defined",NA,NA
"28",401,"term",NA,"countTransectsBFWidth","Numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"505","Number of cross sections included in the average bankfull width calculation (units: count of measurements)","count of measurments","MetricControlledVocabulary","measurementType","Producer defined",NA,NA
