entity,attribute,definition,minrange,maxrange,units,sourcedefinition,unboundeddefinition,enumerateddomain,NAorBlankcell,NAdefinition,dataType,standard,termID,noteAndConventions
Location,longitude,The geographic longitude (WGS84) of the geographic center of a location in decimal degrees.,-163.742308,-67.2406,decimal degrees,Producer defined,,n,noNAs,NA,Float,Darwin Core,203,Must be decimal degrees WGS84
Location,locationRemarks,Comments or notes about the Location. The location along the reach where geographic coordinates were obtained.,,,,Producer defined,,y,noNAs,NA,String,Darwin Core,204,
Location,siteSelectionType,The type of site selection used according to the program.,,,,Producer defined,,y,hasNA,Site selection not known or reported by the program.,String,Producer defined,205,tbd
Location,waterBody,The name of the water body in which the Location occurs.,,,,Producer defined,Unbounded list of text,n,hasNA,Water body name not reported in the original dataset.,String,Darwin Core,206,
Event,,Comma Separated Value (CSV) file containing Event data for the Integrated Stream Habitat Data. This table corresponds to the Event table in the database (.accdb) file.,,,,Producer defined,,n,noNAS,,,,,
Event,locationID,Unique global identifier assigned to the location where the event occurred.,1,12179,,Producer defined,,n,noNAs,NA,Integer,Producer defined,200,generated during data integration
Event,eventDate,The calendar date during which an Event occurred.,5/20/2000,10/15/2021,calendar date (yyyy-mm-dd),Producer defined,,n,hasNA,"Source data from AREMP do not contain month or day, so no there is no eventDate for those entries.",Date,Darwin Core,302,Must be ISO format yyyy-mm-dd
Event,eventID,An identifier for the set of information associated with an Event (something that occurs at a place and time). Global unique identifier.,1,19125,,Producer defined,,n,noNAs,NA,Integer,Darwin Core,300,generated during data integration
Event,fieldNotes,The description of flow for the reach.,,,,Producer defined,,y,hasNA,Description of the flow was not included or reported in the source dataset.,String,Darwin Core,305,Assigned Categories: Flow (Whole Reach); No Flow Dry; Other
Event,samplingProtocol,"The names of, references to, or descriptions of the methods or protocols used during an Event.",,,,Producer defined,,y,noNAs,,String,Darwin Core,304,
Event,verbatimEventID,The verbatim event ID from the originating source dataset assigned by the program.,,,,Producer defined,Unbounded list of alphanumeric text,n,noNAs,,String,Producer defined,301,from source datasets converted to string. Reference to source datasets unique identifier for location data.  
Event,beaverImpactFlow,Beaver impact on the flow of the reach.,,,,Producer defined,,y,hasNA,Beaver impacts were not reported in the source data.,String,Producer defined,306,Assigned categories: Major; Minor; None; NA
Event,year,"The four-digit year in which the Event occurred, according to the Common Era Calendar.",2000,2021,calendar year (yyyy),Producer defined,,n,noNAs,NA,Date,Darwin Core,303,
MeasurementOrFact,,Comma Separated Value (CSV) file containing MeasurementorFact data for the Integrated Stream Habitat Data. This table corresponds to the MeasurementorFact table in the database (.accdb) file.,,,,Producer defined,,n,noNAs,,,,,
MeasurementOrFact,eventID,An identifier for the set of information associated with an Event (something that occurs at a place and time). Global unique identifier.,1,19125,,Producer defined,,n,noNAs,NA,Integer,Darwin Core,300,generated during data integration
MeasurementOrFact,measurementID,Unique identifier assigned to the measurementValue.,1,238424,,Producer defined,,n,noNAs,NA,Integer,Darwin Core,400,generated during data integration
MeasurementOrFact,measurementType,"The nature of the measurement, fact, characteristic, or assertion.",,,,Producer defined,,y,noNAs,NA,String,Darwin Core,402,defined in metric-controlled vocabulary
MeasurementOrFact,measurmentTypeID,Unique identifier assigned to the measurementType.,,,,Producer defined,,y,noNAs,NA,Integer,Producer defined,401,defined in metric-controlled vocabulary
MeasurementOrFact,measurementValue,"The value of the measurement, fact, characteristic, or assertion.",,,,Producer defined,Unbounded list of numbers,n,noNAs,NA,Float,Darwin Core,403,
DataMapping,,Comma Separated Value (CSV) file containing the data map between the original source dataset field names and the integrated dataset fields. References to the collection and analysis methods used by the originating monitoring programs are also included. This table corresponds to the DataMapping table in the database (.accdb) file.,,,,Producer defined,,n,noNAs,,,,,
DataMapping,termID,"Unique identifier assigned to the term. IDs ranging in the 200s are for terms present in the Location table, 300s are for terms in the Event table, 401 denotes a measurementType, and 500s are for terms in the MeasurementOrFact table (assigned based on a term's first apperance within a table).",,,,Producer defined,,y,noNAs,NA,Integer,Producer defined,NA,
DataMapping,term,A column or field header included in at least one table within the integrated dataset.,,,,Producer defined,Unbounded list of text,n,noNAs,NA,String,Producer defined,NA,
DataMapping,measurementTypeID,Unique identifier assigned to the measurementType.,,,,Producer defined,,y,hasNA,There is no measurementType associated with this term so there is no measurementTypeID.,Integer,Producer defined,401,
DataMapping,measurementType,"The nature of the measurement, fact, characteristic, or assertion.",,,,Producer defined,Unbounded list of text,n,blank cell,There is no measurementType associated with this term.,String,Producer defined,402,
DataMapping,dataType,The type of data valid for the term or measurementType as read by computer software.,,,,Producer defined,,y,noNAs,NA,String,Producer defined,NA,
DataMapping,projectCode,The acronym assigned to the monitoring program from which the term or measurementType originated.,,,,Producer defined,,y,noNAs,NA,String,Producer defined,NA,
DataMapping,orginalField,The original name assigned to the term in the Source Data. Further information about the originalField can be found in the source data's metadata (if available) referenced in the Record table under metadataID.,,,,Producer defined,Unbounded list of alphanumeric text,n,hasNA,The term is not present in the Source Data and/or the term was not included in the Integrated Dataset due to a lack of compatibility across program so there is no original field to report.,String,Producer defined,NA,
DataMapping,orginalUnit,The original units associated with the term or measurementType in the Source Data. Further information about the originalUnit can be found in the source data's metadata (if available) referenced in the Record table under metadataID.,,,,Producer defined,Unbounded list of alphanumeric text,n,hasNA,Units are not associated with this originalField or the originalField was NA so there are no relevant units.,String,Producer defined,NA,
DataMapping,originalDataType,The original type of data as read by computer software which is valid for a term or measurementType in the Source Data.,,,,Producer defined,,y,noNAs,NA,String,Producer defined,NA,
DataMapping,methodCollection,URL for the originating Source Data collection method used on-site in the field to obtain the value for the measurementType.,,,,Producer defined,Unbounded list of alphanumeric text,n,hasNA,The term is not present in the Source Data and/or the term was not included in the Integrated Dataset due to a lack of compatibility across programs so the CollectionMethod is not included here. Refer to Completeness in the metadata record for additional information on what Source Data were and were not included in the integrated dataset.,String,Producer defined,NA,
DataMapping,methodAnalysis,URL for the originating Source Data analysis method used on-site in the field and/or lab to obtain the value for the measurementType.,,,,Producer defined,Unbounded list of alphanumeric text,n,hasNA,The term is not present in the Source Data and/or the term was not included in the Integrated Dataset due to a lack of compatibility across programs so the AnalysisMethod is not included here. Refer to Completeness in the metadata record for additional information on what Source Data were and were not included in the integrated dataset.,String,Producer defined,NA,
MetricControlledVocabulary,,Comma Separated Value (CSV) file containing the controlled vocabulary (with definitions) used to integrate the dataset for the Stream Habitat Metric Integration project. This table corresponds to the MetricControlledVocabulary table in the database (.accdb) file.,,,,Producer defined,,n,noNAs,,,,,
MetricControlledVocabulary,termID,"Unique identifier assigned to the term. IDs ranging in the 200s are for terms present in the Location table, 300s are for terms in the Event table, 401 denotes a measurementType, and 500s are for terms in the MeasurementOrFact table (assigned based on a term's first apperance within a table).",,,,Producer defined,,y,noNAs,NA,Integer,Producer defined,NA,
MetricControlledVocabulary,term,A column or field header included in at least one table within the integrated dataset.,,,,Producer defined,Unbounded list of text,n,noNAs,NA,String,Producer defined,NA,
MetricControlledVocabulary,measurementTypeID,Unique identifier assigned to the measurementType.,,,,Producer defined,,y,noNAs,NA,Integer,Producer defined,NA,
MetricControlledVocabulary,measurementType,"The nature of the measurement, fact, characteristic, or assertion.",,,,Producer defined,Unbounded list of text,n,noNAs,NA,String,Producer defined,NA,
MetricControlledVocabulary,description,The definition for the measurementType.,,,,Producer defined,Unbounded list of text,n,noNAs,NA,String,Producer defined,NA,
MetricControlledVocabulary,units,The valid unit of measurement associated with the measurementType.,,,,Producer defined,,y,hasNA,Measurement units are not applicable to this measurementType.,String,Producer defined,NA,
MetricControlledVocabulary,dataType,The type of data valid for the measurementType as read by computer software.,,,,Producer defined,,y,noNAs,NA,String,Producer defined,NA,
MetricControlledVocabulary,entity,The table to which the term belongs.,,,,Producer defined,Unbounded list of text.,n,noNAs,NA,String,Producer defined,,
MetricControlledVocabulary,minimumPossibleValue,The minimum possible legal value for this measurementType.,,,,Producer defined,Unbounded list of numbers,n,noNAs,NA,Float,Producer defined,NA,
MetricControlledVocabulary,maximumPossibleValue,The maximum possible legal value for this measurementType.,,,,Producer defined,Unbounded list of numbers,n,hasNA,Maximum values are not applicable to this measurementType.,Float,Producer defined,NA,
