entity,attribute,enumerateddomain,enumerateddefinition,sourcedefinition,units,minimumPossibleValue,maximumPossibleValue
MeasurementOrFact,measurementType,Sin,"Reach sinuosity (reach length along the thalweg divided by straight line distance between the bottom of the reach and the top of the reach, expressed as a ratio, unit: none)",Producer defined,ratio,1,None
MeasurementOrFact,measurementType,AvgBFWDRatio,Average bankfull width depth ratio for the reach (depth measured from the water surface) (unit: meters).,Producer defined,meters,0,None
MeasurementOrFact,measurementType,BFHeight,Average bankfull height measured from water surface across transects (unit: meters).,Producer defined,meters,0,None
MeasurementOrFact,measurementType,BFWidth,Average bankfull width across transects for the reach measured from the water surface (unit: meters).,Producer defined,meters,0,None
MeasurementOrFact,measurementType,Grad,"Mean slope of water surface from the bottom of the reach to the top of the reach (expressed as percent, unit: none, min: 0, max: 100).",Producer defined,percent,0,100
MeasurementOrFact,measurementType,MeanThalwegDepth,Mean thalweg depth. Metric of how deep the water was at the site (unit: meters).,Producer defined,meters,0,None
MeasurementOrFact,measurementType,ReachLen,Length of the sampling reach measured along the thalweg (unit: meters).,Producer defined,meters,150,4000
MeasurementOrFact,measurementType,WetWidth,Average wetted width across transects (unit: meters).,Producer defined,meters,0,None
MeasurementOrFact,measurementType,PctPool,"Percent of the sample reach (linear extent) classified as pool habitat (expressed as a percent, unit: none, min: 0, max: 100).",Producer defined,percent,0,100
MeasurementOrFact,measurementType,RPD,Average of the residual pool depth values. Residual pool depth is the difference between the pool tail depth and the max depth (unit: meters).,Producer defined,meters,0,None
MeasurementOrFact,measurementType,BankAngle,"Measured angle of the stream bank (unit: degrees, min: 0, max: 180).",Producer defined,degrees,0,180
MeasurementOrFact,measurementType,PctStab,"Percent of banks lacking visible signs of active erosion (e.g., slump, slough, fracture) (unit: none, min: 0, max: 100).",Producer defined,percent,0,100
MeasurementOrFact,measurementType,D16,"Bed surface particle size corresponding to the 16th percentile of measured particles (unit: millimeters, min: 0, max: 4098).",Producer defined,millimeters,0,4098
MeasurementOrFact,measurementType,D50,"Bed surface particle size corresponding to the 50th percentile of measured particles (unit: millimeters, min: 0, max: 4098).",Producer defined,millimeters,0,4098
MeasurementOrFact,measurementType,D84,"Bed surface particle size corresponding to the 84th percentile of measured particles (unit: millimeters, min: 0, max: 4098).",Producer defined,millimeters,0,4098
MeasurementOrFact,measurementType,PctBdrk,"Percent of the stream bed area that is composed of particles with a b axis greater than 4098 millimeters (expressed as percent, units: none, min: 0, max: 100).",Producer defined,percent,0,100
MeasurementOrFact,measurementType,PctFines2,"Percent of the stream bed area that is comprised of particles with a b axis less than 2 millimeters (expressed as percent, units: none, min: 0, max: 100).",Producer defined,percent,0,100
MeasurementOrFact,measurementType,PctFines6,"Percent of the stream bed area that is composed of particles with a b-axis less than 6 millimeters (expressed as percent, units: none, min: 0, max: 100).",Producer defined,percent,0,100
MeasurementOrFact,measurementType,PoolTailFines2,"Average percent fine sediment (less than 2 millimeters) on the pool tail (expressed as percent, unit: none, min: 0, max: 100).",Producer defined,percent,0,100
MeasurementOrFact,measurementType,PoolTailFines6,"Average percent fine sediment (less than 6 millimeters) on the pool tail (expressed as a percent, unit: none, min: 0, max: 100).",Producer defined,percent,0,100
MeasurementOrFact,measurementType,Conductivity,"Measure of the concentration of ionized materials in water, or the ability of water to conduct electrical current. Used as a measure of mineral / ionic concentration (unit: ppm or parts per million).",Producer defined,parts per million,0,None
MeasurementOrFact,measurementType,pH,"Measured pH value (unit: none, min: 0, max: 14).",Producer defined,None,0,14
MeasurementOrFact,measurementType,SpecificConductance,Measured specific conductance value. The specific conductance is conductivity standardized to 25 degrees C (unit: uS/cm or microSiemens per centimeter).,Producer defined,uS/cm,0,65500
MeasurementOrFact,measurementType,TotalNitrogen,Measured total nitrogen value (unit: ug/L or micrograms per liter).,Producer defined,ug/L,0,None
MeasurementOrFact,measurementType,TotalPhosphorous,Measured total phosphorous value (unit: ug/L or micrograms per liter).,Producer defined,ug/L,0,None
MeasurementOrFact,measurementType,Turbidity,Average water clarity as measured by the suspended solids in the water column (unit: NTU or Nephelometric Turbidity unit),Producer defined,NTU,0,None
MeasurementOrFact,measurementType,ProtocolReachLen,Total reach length intended to be sampled. Calculated from average widths using the protocol rules (unit: meter).,Producer defined,NTU,0,None
MeasurementOrFact,measurementType,PoolFreq,Number of pools within the sampled reach standardized to pools per kilometer (unit: pools per kilometer).,Producer defined,# / km,0,None
MeasurementOrFact,measurementType,AvgBFWDRatioStreambed,Average bankfull width depth ratio for the reach (depth measured from the water surface) (unit: meters).,Producer defined,meters,0,None 
MeasurementOrFact,measurementTypeID,500,A unique numeric identifier assigned to the measurementType Sin.,Producer defined,NA,,
MeasurementOrFact,measurementTypeID,502,A unique numeric identifier assigned to the measurementType AvgBFWDRatio.,Producer defined,NA,,
MeasurementOrFact,measurementTypeID,503,A unique numeric identifier assigned to the measurementType BFHeight.,Producer defined,NA,,
MeasurementOrFact,measurementTypeID,504,A unique numeric identifier assigned to the measurementType BFWidth.,Producer defined,NA,,
MeasurementOrFact,measurementTypeID,506,A unique numeric identifier assigned to the measurementType Grad.,Producer defined,NA,,
MeasurementOrFact,measurementTypeID,507,A unique numeric identifier assigned to the measurementType MeanThalwegDepth.,Producer defined,NA,,
MeasurementOrFact,measurementTypeID,508,A unique numeric identifier assigned to the measurementType ReachLen.,Producer defined,NA,,
MeasurementOrFact,measurementTypeID,509,A unique numeric identifier assigned to the measurementType WetWidth.,Producer defined,NA,,
MeasurementOrFact,measurementTypeID,510,A unique numeric identifier assigned to the measurementType PctPool.,Producer defined,NA,,
MeasurementOrFact,measurementTypeID,511,A unique numeric identifier assigned to the measurementType RPD.,Producer defined,NA,,
MeasurementOrFact,measurementTypeID,512,A unique numeric identifier assigned to the measurementType BankAngle.,Producer defined,NA,,
MeasurementOrFact,measurementTypeID,513,A unique numeric identifier assigned to the measurementType PctStab.,Producer defined,NA,,
MeasurementOrFact,measurementTypeID,514,A unique numeric identifier assigned to the measurementType D16.,Producer defined,NA,,
MeasurementOrFact,measurementTypeID,515,A unique numeric identifier assigned to the measurementType D50.,Producer defined,NA,,
MeasurementOrFact,measurementTypeID,516,A unique numeric identifier assigned to the measurementType D84.,Producer defined,NA,,
MeasurementOrFact,measurementTypeID,517,A unique numeric identifier assigned to the measurementType PctBdrk.,Producer defined,NA,,
MeasurementOrFact,measurementTypeID,518,A unique numeric identifier assigned to the measurementType PctFines2.,Producer defined,NA,,
MeasurementOrFact,measurementTypeID,519,A unique numeric identifier assigned to the measurementType PctFines6.,Producer defined,NA,,
MeasurementOrFact,measurementTypeID,520,A unique numeric identifier assigned to the measurementType PoolTailFines2.,Producer defined,NA,,
MeasurementOrFact,measurementTypeID,522,A unique numeric identifier assigned to the measurementType PoolTailFines6.,Producer defined,NA,,
MeasurementOrFact,measurementTypeID,523,A unique numeric identifier assigned to the measurementType Conductivity.,Producer defined,NA,,
MeasurementOrFact,measurementTypeID,524,A unique numeric identifier assigned to the measurementType pH.,Producer defined,NA,,
MeasurementOrFact,measurementTypeID,525,A unique numeric identifier assigned to the measurementType SpecificConductance.,Producer defined,NA,,
MeasurementOrFact,measurementTypeID,526,A unique numeric identifier assigned to the measurementType TotalNitrogen.,Producer defined,NA,,
MeasurementOrFact,measurementTypeID,527,A unique numeric identifier assigned to the measurementType TotalPhosphorous.,Producer defined,NA,,
MeasurementOrFact,measurementTypeID,528,A unique numeric identifier assigned to the measurementType Turbidity.,Producer defined,NA,,
MeasurementOrFact,measurementTypeID,529,A unique numeric identifier assigned to the measurementType ProtocolReachLen.,Producer defined,NA,,
MeasurementOrFact,measurementTypeID,530,A unique numeric identifier assigned to the measurementType PoolFreq. ,Producer defined,NA,,
MeasurementOrFact,measurementTypeID,533,A unique numeric identifier assigned to the measurementType AvgBFWDRatioStreambed. ,Producer defined,NA,,
DataMapping,termID,401,The termID assigned to column header term,Producer defined,NA,,
DataMapping,termID,201,The termID assigned to column header verbatimLocationID,Producer defined,NA,,
DataMapping,termID,202,The termID assigned to column header latitude,Producer defined,NA,,
DataMapping,termID,203,The termID assigned to column header longitude,Producer defined,NA,,
DataMapping,termID,205,The termID assigned to column header siteSelectionType,Producer defined,NA,,
DataMapping,termID,206,The termID assigned to column header waterBody,Producer defined,NA,,
DataMapping,termID,301,The termID assigned to column header verbatimEventID,Producer defined,NA,,
DataMapping,termID,302,The termID assigned to column header eventDate,Producer defined,NA,,
DataMapping,termID,303,The termID assigned to column header year,Producer defined,NA,,
DataMapping,termID,304,The termID assigned to column header samplingProtocol,Producer defined,NA,,
DataMapping,termID,305,The termID assigned to column header fieldNotes,Producer defined,NA,,
DataMapping,termID,306,The termID assigned to column header beaverImpactFlow,Producer defined,NA,,
DataMapping,measurementTypeID,NA,There is no measurementType associated with this term so there is no measurementTypeID.,Producer defined,NA,,
DataMapping,measurementTypeID,500,A unique numeric identifier assigned to the measurementType Sin.,Producer defined,NA,,
DataMapping,measurementTypeID,502,A unique numeric identifier assigned to the measurementType AvgBFWDRatio.,Producer defined,NA,,
DataMapping,measurementTypeID,503,A unique numeric identifier assigned to the measurementType BFHeight.,Producer defined,NA,,
DataMapping,measurementTypeID,504,A unique numeric identifier assigned to the measurementType BFWidth.,Producer defined,NA,,
DataMapping,measurementTypeID,506,A unique numeric identifier assigned to the measurementType Grad.,Producer defined,NA,,
DataMapping,measurementTypeID,507,A unique numeric identifier assigned to the measurementType MeanThalwegDepth.,Producer defined,NA,,
DataMapping,measurementTypeID,508,A unique numeric identifier assigned to the measurementType ReachLen.,Producer defined,NA,,
DataMapping,measurementTypeID,509,A unique numeric identifier assigned to the measurementType WetWidth.,Producer defined,NA,,
DataMapping,measurementTypeID,510,A unique numeric identifier assigned to the measurementType PctPool.,Producer defined,NA,,
DataMapping,measurementTypeID,511,A unique numeric identifier assigned to the measurementType RPD.,Producer defined,NA,,
DataMapping,measurementTypeID,512,A unique numeric identifier assigned to the measurementType BankAngle.,Producer defined,NA,,
DataMapping,measurementTypeID,513,A unique numeric identifier assigned to the measurementType PctStab.,Producer defined,NA,,
DataMapping,measurementTypeID,514,A unique numeric identifier assigned to the measurementType D16.,Producer defined,NA,,
DataMapping,measurementTypeID,515,A unique numeric identifier assigned to the measurementType D50.,Producer defined,NA,,
DataMapping,measurementTypeID,516,A unique numeric identifier assigned to the measurementType D84.,Producer defined,NA,,
DataMapping,measurementTypeID,517,A unique numeric identifier assigned to the measurementType PctBdrk.,Producer defined,NA,,
DataMapping,measurementTypeID,518,A unique numeric identifier assigned to the measurementType PctFines2.,Producer defined,NA,,
DataMapping,measurementTypeID,519,A unique numeric identifier assigned to the measurementType PctFines6.,Producer defined,NA,,
DataMapping,measurementTypeID,520,A unique numeric identifier assigned to the measurementType PoolTailFines2.,Producer defined,NA,,
DataMapping,measurementTypeID,522,A unique numeric identifier assigned to the measurementType PoolTailFines6.,Producer defined,NA,,
DataMapping,measurementTypeID,523,A unique numeric identifier assigned to the measurementType Conductivity.,Producer defined,NA,,
DataMapping,measurementTypeID,524,A unique numeric identifier assigned to the measurementType pH.,Producer defined,NA,,
DataMapping,measurementTypeID,525,A unique numeric identifier assigned to the measurementType SpecificConductance.,Producer defined,NA,,
DataMapping,measurementTypeID,526,A unique numeric identifier assigned to the measurementType TotalNitrogen.,Producer defined,NA,,
DataMapping,measurementTypeID,527,A unique numeric identifier assigned to the measurementType TotalPhosphorous.,Producer defined,NA,,
DataMapping,measurementTypeID,528,A unique numeric identifier assigned to the measurementType Turbidity.,Producer defined,NA,,
DataMapping,measurementTypeID,529,A unique numeric identifier assigned to the measurementType ProtocolReachLen.,Producer defined,NA,,
DataMapping,measurementTypeID,530,A unique numeric identifier assigned to the measurementType PoolFreq. ,Producer defined,NA,,
DataMapping,measurementTypeID,533,A unique numeric identifier assigned to the measurementType AvgBFWDRatioStreambed. ,Producer defined,NA,,
DataMapping,measurementType,blank cell,There is no measurementType associated with this term.,Producer defined,NA,,
DataMapping,dataType,Date,The data type values are calendar dates (yyyy-mm-dd).,Producer defined,NA,,
DataMapping,dataType,Integer,The data type values are whole number integers.,Producer defined,NA,,
DataMapping,dataType,Numeric,The data type values are numeric and may include decimals or floating points.,Producer defined,NA,,
DataMapping,dataType,String,The data type values are unbounded text or alphanumeric text.,Producer defined,NA,,
DataMapping,projectCode,AIM,Assessment Inventory and Monitoring.,Producer defined,NA,,
DataMapping,projectCode,AREMP,Aquatic and Riparian Effectiveness Monitoring Plan,Producer defined,NA,,
DataMapping,projectCode,NRSA,National Rivers and Streams Assessment,Producer defined,NA,,
DataMapping,projectCode,PIBO,PacFish/InFish Biological Opinion Monitoring Program,Producer defined,NA,,
DataMapping,orginalUnit,NA,Units are not associated with this originalField or the originalField was NA so there are no relevant units.,Producer defined,NA,,
DataMapping,originalDataType,Date,The date format used by the source program. Formats vary by source dataset.,Producer defined,NA,,
DataMapping,originalDataType,double,The data types are numeric and may include decimals (double-precision floating points).,Producer defined,NA,,
DataMapping,originalDataType,Integer,The data type values are whole number integers.,Producer defined,NA,,
DataMapping,originalDataType,String,The data type values are unbounded text or alphanumeric text.,Producer defined,NA,,
DataMapping,methodCollection,NA,The term is not present in the Source Data and/or the term was not included in the Integrated Dataset due to a lack of compatibility across programs so the CollectionMethod is not included here. Refer to Completeness in the metadata record for additional information on what Source Data were and were not included in the integrated dataset.,Producer defined,NA,,
DataMapping,methodAnalysis,NA,The term is not present in the Source Data and/or the term was not included in the Integrated Dataset due to a lack of compatibility across programs so the AnalysisMethod is not included here. Refer to Completeness in the metadata record for additional information on what Source Data were and were not included in the integrated dataset.,Producer defined,NA,,
MetricControlledVocabulary,termID,401,Unique identifier assigned to the column header term in the dataset.,Producer defined,NA,,
MetricControlledVocabulary,measurementTypeID,500,A unique numeric identifier assigned to the measurementType Sin.,Producer defined,NA,,
MetricControlledVocabulary,measurementTypeID,502,A unique numeric identifier assigned to the measurementType AvgBFWDRatio.,Producer defined,NA,,
MetricControlledVocabulary,measurementTypeID,503,A unique numeric identifier assigned to the measurementType BFHeight.,Producer defined,NA,,
MetricControlledVocabulary,measurementTypeID,504,A unique numeric identifier assigned to the measurementType BFWidth.,Producer defined,NA,,
MetricControlledVocabulary,measurementTypeID,506,A unique numeric identifier assigned to the measurementType Grad.,Producer defined,NA,,
MetricControlledVocabulary,measurementTypeID,507,A unique numeric identifier assigned to the measurementType MeanThalwegDepth.,Producer defined,NA,,
MetricControlledVocabulary,measurementTypeID,508,A unique numeric identifier assigned to the measurementType ReachLen.,Producer defined,NA,,
MetricControlledVocabulary,measurementTypeID,509,A unique numeric identifier assigned to the measurementType WetWidth.,Producer defined,NA,,
MetricControlledVocabulary,measurementTypeID,510,A unique numeric identifier assigned to the measurementType PctPool.,Producer defined,NA,,
MetricControlledVocabulary,measurementTypeID,511,A unique numeric identifier assigned to the measurementType RPD.,Producer defined,NA,,
MetricControlledVocabulary,measurementTypeID,512,A unique numeric identifier assigned to the measurementType BankAngle.,Producer defined,NA,,
MetricControlledVocabulary,measurementTypeID,513,A unique numeric identifier assigned to the measurementType PctStab.,Producer defined,NA,,
MetricControlledVocabulary,measurementTypeID,514,A unique numeric identifier assigned to the measurementType D16.,Producer defined,NA,,
MetricControlledVocabulary,measurementTypeID,515,A unique numeric identifier assigned to the measurementType D50.,Producer defined,NA,,
MetricControlledVocabulary,measurementTypeID,516,A unique numeric identifier assigned to the measurementType D84.,Producer defined,NA,,
MetricControlledVocabulary,measurementTypeID,517,A unique numeric identifier assigned to the measurementType PctBdrk.,Producer defined,NA,,
MetricControlledVocabulary,measurementTypeID,518,A unique numeric identifier assigned to the measurementType PctFines2.,Producer defined,NA,,
MetricControlledVocabulary,measurementTypeID,519,A unique numeric identifier assigned to the measurementType PctFines6.,Producer defined,NA,,
MetricControlledVocabulary,measurementTypeID,520,A unique numeric identifier assigned to the measurementType PoolTailFines2.,Producer defined,NA,,
MetricControlledVocabulary,measurementTypeID,522,A unique numeric identifier assigned to the measurementType PoolTailFines6.,Producer defined,NA,,
MetricControlledVocabulary,measurementTypeID,523,A unique numeric identifier assigned to the measurementType Conductivity.,Producer defined,NA,,
MetricControlledVocabulary,measurementTypeID,524,A unique numeric identifier assigned to the measurementType pH.,Producer defined,NA,,
MetricControlledVocabulary,measurementTypeID,525,A unique numeric identifier assigned to the measurementType SpecificConductance.,Producer defined,NA,,
MetricControlledVocabulary,measurementTypeID,526,A unique numeric identifier assigned to the measurementType TotalNitrogen.,Producer defined,NA,,
MetricControlledVocabulary,measurementTypeID,527,A unique numeric identifier assigned to the measurementType TotalPhosphorous.,Producer defined,NA,,
MetricControlledVocabulary,measurementTypeID,528,A unique numeric identifier assigned to the measurementType Turbidity.,Producer defined,NA,,
MetricControlledVocabulary,measurementTypeID,529,A unique numeric identifier assigned to the measurementType ProtocolReachLen.,Producer defined,NA,,
MetricControlledVocabulary,measurementTypeID,530,A unique numeric identifier assigned to the measurementType PoolFreq. ,Producer defined,NA,,
MetricControlledVocabulary,measurementTypeID,533,A unique numeric identifier assigned to the measurementType AvgBFWDRatioStreambed. ,Producer defined,NA,,
MetricControlledVocabulary,measurementType,Sin,"Reach sinuosity (reach length along the thalweg divided by straight line distance between the bottom of the reach and the top of the reach, expressed as a ratio, unit: none)",Producer defined,ratio,1,None
MetricControlledVocabulary,measurementType,AvgBFWDRatio,Average bankfull width depth ratio for the reach (unit: meters).,Producer defined,meters,0,None
MetricControlledVocabulary,measurementType,BFHeight,Average bankfull height measured from water surface across transects (unit: meters).,Producer defined,meters,0,None
MetricControlledVocabulary,measurementType,BFWidth,Average bankfull width across transects for the reach (unit: meters).,Producer defined,meters,0,None
MetricControlledVocabulary,measurementType,Grad,"Mean slope of water surface from the bottom of the reach to the top of the reach (expressed as percent, unit: none, min: 0, max: 100).",Producer defined,percent,0,100
MetricControlledVocabulary,measurementType,MeanThalwegDepth,Mean thalweg depth. Metric of how deep the water was at the site (unit: meters).,Producer defined,meters,0,None
MetricControlledVocabulary,measurementType,ReachLen,Length of the sampling reach measured along the thalweg (unit: meters).,Producer defined,meters,150,4000
MetricControlledVocabulary,measurementType,WetWidth,Average wetted width across transects (unit: meters).,Producer defined,meters,0,None
MetricControlledVocabulary,measurementType,PctPool,"Percent of the sample reach (linear extent) classified as pool habitat (expressed as a percent, unit: none, min: 0, max: 100).",Producer defined,percent,0,100
MetricControlledVocabulary,measurementType,RPD,Average of the residual pool depth values. Residual pool depth is the difference between the pool tail depth and the max depth (unit: meters).,Producer defined,meters,0,None
MetricControlledVocabulary,measurementType,BankAngle,"Measured angle of the stream bank (unit: degrees, min: 0, max: 180).",Producer defined,degrees,0,180
MetricControlledVocabulary,measurementType,PctStab,"Percent of banks lacking visible signs of active erosion (e.g., slump, slough, fracture)  (unit: none, min: 0, max: 100).",Producer defined,percent,0,100
MetricControlledVocabulary,measurementType,D16,"Bed surface particle size corresponding to the 16th percentile of measured particles (unit: millimeters, min: 0, max: 4098).",Producer defined,millimeters,0,4098
MetricControlledVocabulary,measurementType,D50,"Bed surface particle size corresponding to the 50th percentile of measured particles (unit: millimeters, min: 0, max: 4098).",Producer defined,millimeters,0,4098
MetricControlledVocabulary,measurementType,D84,"Bed surface particle size corresponding to the 84th percentile of measured particles (unit: millimeters, min: 0, max: 4098).",Producer defined,millimeters,0,4098
MetricControlledVocabulary,measurementType,PctBdrk,"Percent of the stream bed area that is composed of particles with a b axis greater than 4098 millimeters (expressed as percent, units: none, min: 0, max: 100).",Producer defined,percent,0,100
MetricControlledVocabulary,measurementType,PctFines2,"Percent of the stream bed area that is comprised of particles with a b axis less than 2 millimeters (expressed as percent, units: none, min: 0, max: 100).",Producer defined,percent,0,100
MetricControlledVocabulary,measurementType,PctFines6,"Percent of the stream bed area that is composed of particles with a b-axis less than 6 millimeters (expressed as percent, units: none, min: 0, max: 100).",Producer defined,percent,0,100
MetricControlledVocabulary,measurementType,PoolTailFines2,"Average percent fine sediment (less than 2 millimeters) on the pool tail (expressed as percent, unit: none, min: 0, max: 100).",Producer defined,percent,0,100
MetricControlledVocabulary,measurementType,PoolTailFines6,"Average percent fine sediment (less than 6 millimeters) on the pool tail (expressed as a percent, unit: none, min: 0, max: 100).",Producer defined,percent,0,100
MetricControlledVocabulary,measurementType,Conductivity,"Measure of the concentration of ionized materials in water, or the ability of water to conduct electrical current. Used as a measure of mineral / ionic concentration (unit: ppm or parts per million).",Producer defined,parts per million,0,None
MetricControlledVocabulary,measurementType,pH,"Measured pH value (unit: none, min: 0, max:14).",Producer defined,None,0,14
MetricControlledVocabulary,measurementType,SpecificConductance,Measured specific conductance value. The specific conductance is conductivity standardized to 25 degrees C (unit: uS/cm or microSiemens per centimeter).,Producer defined,uS/cm,0,65500
MetricControlledVocabulary,measurementType,TotalNitrogen,Measured total nitrogen value (unit: ug/L or micrograms per liter).,Producer defined,ug/L,0,None
MetricControlledVocabulary,measurementType,TotalPhosphorous,Measured total phosphorous value (unit: ug/L or micrograms per liter).,Producer defined,ug/L,0,None
MetricControlledVocabulary,measurementType,Turbidity,Average water clarity as measured by the suspended solids in the water column (unit: NTU or Nephelometric Turbidity unit),Producer defined,NTU,0,None
MetricControlledVocabulary,measurementType,ProtocolReachLen,Total reach length intended to be sampled. Calculated from average widths using the protocol rules (unit: meter).,Producer defined,metrics ,0,None
MetricControlledVocabulary,measurementType,PoolFreq,Number of pools within the sampled reach standardized to pools per kilometer (unit: pools per kilometer).,Producer defined,count per kilometer,0,None
MetricControlledVocabulary,measurementType,AvgBFWDRatioStreambed,Average bankfull width depth ratio for the reach (depth measured from the water surface) (unit: meters).,Producer defined,meters,0,None 
MetricControlledVocabulary,dataType,Numeric,"The value is numeric in nature, including negative and positive values, integers and doubles. (ed note: this def may change in  future if integers/doubles are split. Not totally sure on definition.)",Producer defined,NA,,
MetricControlledVocabulary,unit,NA,Measurement units are not applicable to this measurementType.,Producer defined,NA,,
MetricControlledVocabulary,unit,ratio,ratio,Producer defined,NA,,
MetricControlledVocabulary,unit,m,meters,Producer defined,NA,,
MetricControlledVocabulary,unit,count of measurements,a count or sum of the total measurements taken,Producer defined,NA,,
MetricControlledVocabulary,unit,percent,percent,Producer defined,NA,,
MetricControlledVocabulary,unit,degrees,degrees,Producer defined,NA,,
MetricControlledVocabulary,unit,mm,millimeters,Producer defined,NA,,
MetricControlledVocabulary,unit,ppm,parts per million,Producer defined,NA,,
MetricControlledVocabulary,unit,uS/cm,microSiemens per centimeter,Producer defined,NA,,
MetricControlledVocabulary,unit,ug/L,micrograms per liter,Producer defined,NA,,
MetricControlledVocabulary,unit,NTU,Nephelometric Turbidity unit,Producer defined,NA,,
MetricControlledVocabulary,unit,count per kilometer,count of a reach aspect per kilometer of the reach,Producer defined,NA,,
MetricControlledVocabulary,maximumPossibleValue,NA,Maximum values are not applicable to this measurementType.,Producer defined,NA,,
