"","termID","term","measurementTypeID","measurementType","dataType","originalField_AREMP","originalField_PIBO","originalField_AIM","originalField_NRSA","originalUnit_AREMP","originalUnit_PIBO","originalUnit_AIM","originalUnit_NRSA","originalDataType_AREMP","originalDataType_PIBO","originalDataType_AIM","originalDataType_NRSA","methodCollection_AREMP","methodCollection_PIBO","methodCollection_AIM","methodCollection_NRSA","methodAnalysis_AREMP","methodAnalysis_PIBO","methodAnalysis_AIM","methodAnalysis_NRSA","description","units","entity","attribute","sourcedefinition","minimumPossibleValue","maximumPossibleValue"
"11",401,"term",518,"PctFines2","Numeric",NA,NA,"PctFinesLessThan2mm","PCT_SAFN",NA,NA,"percent","percent",NA,NA,"Double","Double",NA,NA,"https://www.monitoringresources.org/Document/Method/Details/6801","https://www.monitoringresources.org/Document/Method/Details/6874",NA,NA,"https://www.monitoringresources.org/Document/Method/Details/7025","https://www.monitoringresources.org/Document/Method/Details/7011","Percent of the stream bed area that is comprised of particles with a b axis less than 2 millimeters (expressed as percent, units: none, min: 0, max: 100).","percent","MetricControlledVocabulary","measurementType","Producer defined",0,"100"
"12",401,"term",519,"PctFines6","Numeric",NA,NA,"PctFinesLessThan6mm",NA,NA,NA,"percent",NA,NA,NA,"Double",NA,NA,NA,"https://www.monitoringresources.org/Document/Method/Details/6801",NA,NA,NA,"https://www.monitoringresources.org/Document/Method/Details/7025",NA,"Percent of the stream bed area that is composed of particles with a b-axis less than 6 millimeters (expressed as percent, units: none, min: 0, max: 100).","percent","MetricControlledVocabulary","measurementType","Producer defined",0,"100"
"13",401,"term",510,"PctPool","Numeric","PctReachInPools","PoolPct","PctPools",NA,"percent","percent","percent",NA,"Double","Double","Double",NA,"https://www.monitoringresources.org/Document/Method/Details/6844","https://www.monitoringresources.org/Document/Method/Details/6872","https://www.monitoringresources.org/Document/Method/Details/6859",NA,"https://www.monitoringresources.org/Document/Method/Details/4115","https://www.monitoringresources.org/Document/Method/Details/7064","https://www.monitoringresources.org/Document/Method/Details/7084",NA,"Percent of the sample reach (linear extent) classified as pool habitat (expressed as a percent, unit: none, min: 0, max: 100).","percent","MetricControlledVocabulary","measurementType","Producer defined",0,"100"
"14",401,"term",524,"pH","Numeric",NA,NA,"pH",NA,NA,NA,"SU",NA,NA,NA,"Double",NA,NA,NA,"https://www.monitoringresources.org/Document/Method/Details/6673",NA,NA,NA,NA,NA,"Measured pH value (unit: none, min: 0, max:14).","None","MetricControlledVocabulary","measurementType","Producer defined",0,"14"
"15",401,"term",530,"PoolFreq","Numeric",NA,"PoolFrq","PoolFreq",NA,NA,"number of pools per km","number of pools per km",NA,NA,"Double ","Double",NA,NA,"https://www.monitoringresources.org/Document/Method/Details/6872","https://www.monitoringresources.org/Document/Method/Details/6859",NA,NA,"https://www.monitoringresources.org/Document/CustomizedMethod/Details/32417","https://www.monitoringresources.org/Document/Method/Details/7084",NA,"Number of pools within the sampled reach standardized to pools per kilometer (unit: pools per kilometer).","count per kilometer","MetricControlledVocabulary","measurementType","Producer defined",0,"None"
"16",401,"term",520,"PoolTailFines2","Numeric","pool_fines","PTFines2","PctPoolTailFinesLessThan2mm",NA,"percent","percent","percent",NA,"Double","Double","Double",NA,"https://www.monitoringresources.org/Document/Method/Details/6798","https://www.monitoringresources.org/Document/Method/Details/6862","https://www.monitoringresources.org/Document/Method/Details/6862",NA,"https://www.monitoringresources.org/Document/CustomizedMethod/Details/32165","https://www.monitoringresources.org/Document/Method/Details/7056","https://www.monitoringresources.org/Document/CustomizedMethod/Details/32164",NA,"Average percent fine sediment (less than 2 millimeters) on the pool tail (expressed as percent, unit: none, min: 0, max: 100).","percent","MetricControlledVocabulary","measurementType","Producer defined",0,"100"
"17",401,"term",522,"PoolTailFines6","Numeric",NA,"PTFines6","PctPoolTailFinesLessThan6mm",NA,NA,"percent","percent",NA,NA,"Double","Double",NA,NA,"https://www.monitoringresources.org/Document/Method/Details/6862","https://www.monitoringresources.org/Document/Method/Details/6862",NA,NA,"https://www.monitoringresources.org/Document/Method/Details/7056","https://www.monitoringresources.org/Document/CustomizedMethod/Details/32164",NA,"Average percent fine sediment (less than 6 millimeters) on the pool tail (expressed as a percent, unit: none, min: 0, max: 100).","percent","MetricControlledVocabulary","measurementType","Producer defined",0,"100"
"18",401,"term",529,"ProtocolReachLen","Numeric",NA,NA,"ProtocolReachLength",NA,NA,NA,"meters",NA,NA,NA,"Double",NA,NA,NA,"https://www.monitoringresources.org/Document/Method/Details/7017",NA,NA,NA,NA,NA,"Total reach length intended to be sampled. Calculated from average widths using the protocol rules (unit: meter).","metrics ","MetricControlledVocabulary","measurementType","Producer defined",150,"4000"
"19",401,"term",508,"ReachLen","Numeric","REACH_LENGTH","RchLen",NA,"REACHLEN","meters","meters",NA,"meters","Double","Double",NA,"Double","https://www.monitoringresources.org/Document/Method/Details/3807","https://www.monitoringresources.org/Document/Method/Details/58",NA,"https://www.monitoringresources.org/Document/Method/Details/7080",NA,NA,NA,"https://www.monitoringresources.org/Document/Method/Details/7081","Length of the sampling reach measured along the thalweg (unit: meters).","meters","MetricControlledVocabulary","measurementType","Producer defined",150,"4000"
"20",401,"term",511,"RPD","Numeric","ave_residual_depth","PoolDp","ResPoolDepthAvg",NA,"meters","meters","meters",NA,"Double","Double","Double",NA,"https://www.monitoringresources.org/Document/Method/Details/6844","https://www.monitoringresources.org/Document/Method/Details/6872","https://www.monitoringresources.org/Document/Method/Details/6859",NA,"https://www.monitoringresources.org/Document/Method/Details/6976","https://www.monitoringresources.org/Document/Method/Details/6976","https://www.monitoringresources.org/Document/Method/Details/6976",NA,"Average of the residual pool depth values. Residual pool depth is the difference between the pool tail depth and the max depth (unit: meters).","meters","MetricControlledVocabulary","measurementType","Producer defined",0,"None"
"21",401,"term",500,"Sin","Numeric",NA,"Sin","Sinuosity","SINU",NA,"ratio","ratio","ratio",NA,"Double","Double","Double",NA,"https://www.monitoringresources.org/Document/Method/Details/6868","https://www.monitoringresources.org/Document/Method/Details/7017","https://www.monitoringresources.org/Document/Method/Details/7080",NA,"https://www.monitoringresources.org/Document/Method/Details/7007","https://www.monitoringresources.org/Document/Method/Details/7007","https://www.monitoringresources.org/Document/Method/Details/7005","Reach sinuosity (reach length along the thalweg divided by straight line distance between the bottom of the reach and the top of the reach, expressed as a ratio)","none","MetricControlledVocabulary","measurementType","Producer defined",1,"None"
"22",401,"term",525,"SpecificConductance","Numeric","Specific_conductance",NA,"SpecificConductance",NA,"micrograms per liter",NA,"microSiemens per centimeter",NA,"Double",NA,"Double",NA,"https://www.monitoringresources.org/Document/Method/Details/5537",NA,"https://www.monitoringresources.org/Document/Method/Details/6673",NA,NA,NA,NA,NA,"Measured specific conductance value. The specific conductance is conductivity standardized to 25 degrees C (unit: uS/cm or microSiemens per centimeter).","uS/cm","MetricControlledVocabulary","measurementType","Producer defined",0,"65500"
"23",401,"term",526,"TotalNitrogen","Numeric","NTL",NA,"TotalNitrogen","NTL","micrograms per liter",NA,"micrograms per liter","micrograms per liter","Double",NA,"Double","Double","https://www.monitoringresources.org/Document/Method/Details/7023",NA,"https://www.monitoringresources.org/Document/Method/Details/7023","https://www.monitoringresources.org/Document/Method/Details/7016","https://www.monitoringresources.org/Document/Method/Details/6673",NA,"https://www.monitoringresources.org/Document/Method/Details/7024","https://www.monitoringresources.org/Document/Method/Details/7048","Measured total nitrogen value (unit: ug/L or micrograms per liter).","ug/L","MetricControlledVocabulary","measurementType","Producer defined",0,"None"
"24",401,"term",527,"TotalPhosphorous","Numeric","PTL",NA,"TotalPhosphorous","PTL","micrograms per liter",NA,"micrograms per liter","micrograms per liter","Double",NA,"Double","Double","https://www.monitoringresources.org/Document/Method/Details/7023",NA,"https://www.monitoringresources.org/Document/Method/Details/7023","https://www.monitoringresources.org/Document/Method/Details/7016","https://www.monitoringresources.org/Document/Method/Details/6673",NA,"https://www.monitoringresources.org/Document/Method/Details/7024","https://www.monitoringresources.org/Document/Method/Details/7048","Measured total phosphorous value (unit: ug/L or micrograms per liter).","ug/L","MetricControlledVocabulary","measurementType","Producer defined",0,"None"
"25",401,"term",528,"Turbidity","Numeric",NA,NA,"TurbidityAvg",NA,NA,NA,"NTU",NA,NA,NA,"Double",NA,NA,NA,"https://www.monitoringresources.org/Document/Method/Details/7012",NA,NA,NA,"https://www.monitoringresources.org/Document/Method/Details/4245",NA,"Average water clarity as measured by the suspended solids in the water column (unit: NTU or Nephelometric Turbidity unit)","NTU","MetricControlledVocabulary","measurementType","Producer defined",0,"None"
"26",401,"term",509,"WetWidth","Numeric","wettedWidth_ave",NA,"WettedWidthAvg","XWIDTH","meters",NA,"meters","meters","Double",NA,"Double","Double","https://www.monitoringresources.org/Document/CustomizedMethod/Details/31107",NA,"https://www.monitoringresources.org/Document/Method/Details/7031","https://www.monitoringresources.org/Document/Method/Details/7080","https://www.monitoringresources.org/Document/CustomizedMethod/Details/32163",NA,"https://www.monitoringresources.org/Document/Method/Details/4245","https://www.monitoringresources.org/Document/Method/Details/7081","Average wetted width across 11 to 21 transects (unit: meters).","meters","MetricControlledVocabulary","measurementType","Producer defined",0,"None"
