"","termID","term","measurementTypeID","measurementType","dataType","originalField_AIM","originalField_NRSA","originalField_PIBO","originalField_AREMP","originalUnit_AIM","originalUnit_NRSA","originalUnit_PIBO","originalUnit_AREMP","originalDataType_AIM","originalDataType_NRSA","originalDataType_PIBO","originalDataType_AREMP","methodCollection_AIM","methodCollection_NRSA","methodCollection_PIBO","methodCollection_AREMP","methodAnalysis_AIM","methodAnalysis_NRSA","methodAnalysis_PIBO","methodAnalysis_AREMP","entity","definition","minrange","maxrange","units","sourcedefinition","unboundeddefinition","enumerateddomain","NAorBlankcell","NAdefinition","standard","noteAndConventions"
"19",200,"locationID",NA,NA,"Integer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Location","Unique global identifier assigned to the location where the event occurred.","1","12179","","Producer defined","","n","noNAs",NA,"Darwin Core","generated during data integration"
"20",202,"latitude",NA,NA,"Float",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Location","The geographic latitude (WGS84) of the geographic center of a location.","26.625","71.2686","decimal degrees","Producer defined","","n","noNAs",NA,"Darwin Core","Must be decimal degrees WGS84"
"21",203,"longitude",NA,NA,"Float",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Location","The geographic longitude (WGS84) of the geographic center of a location.","-163.742308","-67.2406","decimal degrees","Producer defined","","n","noNAs",NA,"Darwin Core","Must be decimal degrees WGS84"
"22",204,"locationRemarks",NA,NA,"String",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Location","The location along the reach where geographic coordinates were obtained.","","","","Producer defined","","y","noNAs",NA,"Darwin Core",""
"23",NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Event","Comma Separated Value (CSV) file containing Event data for the Integrated Stream Habitat Data. This table corresponds to the Event table in the database (.accdb) file.","","","","Producer defined","","n","noNAS","","",""
"24",200,"locationID",NA,NA,"Integer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Event","Unique global identifier assigned to the location where the event occurred.","1","12179","","Producer defined","","n","noNAs",NA,NA,"generated during data integration"
"25",300,"eventID",NA,NA,"Integer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Event","Global unique identifier assigned to an Event (something that occurs at a place and time, such as a survey or measurement).","1","19125","","Producer defined","","n","noNAs",NA,"Darwin Core","generated during data integration"
"26",304,"samplingProtocol",NA,NA,"String",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Event","The name of, reference to, or description of the stream survey method or protocol used during an Event.","","","","Producer defined","","y","noNAs","","Darwin Core",""
"27",306,"beaverImpactFlow",NA,NA,"String",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Event","Beaver impact on the flow of the reach.","","","","Producer defined","","y","hasNA","Beaver impacts were not reported in the source data.","Producer defined","Assigned categories: Major; Minor; None; NA"
"28",303,"year",NA,NA,"Date",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Event","The four-digit year in which the event occurred.","2000","2021","calendar year (yyyy)","Producer defined","","n","noNAs",NA,"Darwin Core",""
"29",NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MeasurementOrFact","Comma Separated Value (CSV) file containing MeasurementorFact data for the Integrated Stream Habitat Data. This table corresponds to the MeasurementorFact table in the database (.accdb) file.","","","","Producer defined","","n","noNAs","","",""
"30",300,"eventID",NA,NA,"Integer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MeasurementOrFact","Global unique identifier assigned to an Event (something that occurs at a place and time, such as a survey or measurement).","1","19125","","Producer defined","","n","noNAs",NA,"Darwin Core","generated during data integration"
"31",400,"measurementID",NA,NA,"Integer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MeasurementOrFact","Unique identifier assigned to the measurementValue.","1","238424","","Producer defined","","n","noNAs",NA,"Darwin Core","generated during data integration"
"32",402,"measurementType",NA,NA,"String",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MeasurementOrFact","The variable, name or type of measurement for which the value is reported in measurementValue. Definitions are in the MetricControlledVocabulary.","","","","Producer defined","","y","noNAs",NA,"Darwin Core","defined in metric-controlled vocabulary"
"33",401,"measurmentTypeID",NA,NA,"Integer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MeasurementOrFact","Unique identifier assigned to the measurementType.","","","","Producer defined","","y","noNAs",NA,NA,"defined in metric-controlled vocabulary"
"34",403,"measurementValue",NA,NA,"Float",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MeasurementOrFact","The value of the measurementType attribute measured in units given in the measurementType attribute definition and in the MetricControlledVocabulary.","","","","Producer defined","Unbounded list of numbers","n","noNAs",NA,"Darwin Core",""
