"SITE_ID","CREEK_CODE","SITE","ORIGINAL_SURVEY_YEAR","SAMPLE_TYPE","REACH_LENGTH","GLOBALID","STATES","HUC_12","unit","AGENCY","Prov","site_survey_id","survey_year","impact_group","poolscore","substratescore","woodscore","habitatscore","gradient","average_bfwidth","average_bfdepth","elevation","pool_fines","substrate","wood_12x25","wood_18x25","lua_group","aquatic_province","states","key_watershed","rotation_panel","creek_code","longitude","lattitude","Z","Z2"
"ORBZF0010","ORBZF",10,2009,"STATUS_AND_TREND",160,"{AD494CA6-2880-4D6A-ACB4-179C7A809E34}","OR","171003010808","Umpqua National Forest","FSR6","WC","2009ORBZF1010",2009,"middle",71.40867741,71.15522882,45.22580698,61.54342699,0.15845037,6.65978459,0.54387502,596,0.88226817,5.71428571,15,9,"MATRIX","Western Cascades","OR","N",1,"ORBZF",-122.830100363978,43.2808545823294,749.467999999993,749.467999999993
"ORBZF0013","ORBZF",13,2009,"STATUS_AND_TREND",200,"{05F63498-FA5B-42BE-9BFA-5510B6E25F6F}","OR","171003010808","Umpqua National Forest","FSR6","WC","2009ORBZF1013",2009,"middle",65.94401062,46.54617338,60.51044649,56.65453166,0.08581338,8.60926616,0.72037308,462,3.697414396,15.625,26,21,"MATRIX","Western Cascades","OR","N",1,"ORBZF",-122.841064169219,43.3216339499686,371.432000000001,371.432000000001
"ORBZF0014","ORBZF",14,2009,"STATUS_AND_TREND",160,"{A1DB21E8-BC8F-4BFC-9D27-4CC597851A08}","OR","171003010808","Umpqua National Forest","FSR6","WC","2009ORBZF1014",2009,"middle",72.5742726,81.37792021,100,83.94480055,0.16949733,8.01155774,0.82769689,739,0.444444444,4.90196078,27,20,"MATRIX","Western Cascades","OR","N",1,"ORBZF",-122.85278625986,43.3354855493337,503.853000000003,503.853000000003
"ORCDR0001","ORCDR",1,2003,"STATUS_AND_TREND",200,"{603CB748-8EE8-479E-AE77-EEE287A8A223}","OR","170800010504","Mt. Hood National Forest","FSR6","WC","2003ORCDR1001",2003,"ref",0,0,30.90478317,9.987023206,0.00183661,9.04545531,0.76266086,650,47.42857143,83.19327731,6,4,"LSR","Western Cascades","OR","Y",1,"ORCDR",-121.993059078888,45.4480008322342,0,0
"ORCDR0001","ORCDR",1,2003,"STATUS_AND_TREND",200,"{603CB748-8EE8-479E-AE77-EEE287A8A223}","OR","170800010504","Mt. Hood National Forest","FSR6","WC","2012ORCDR1001",2012,"ref",17.90624277,51.34623873,28.06545934,32.092469,0.00206179,9.5983944,0.77339393,650,38.26666667,37.14285714,7,3,"LSR","Western Cascades","OR","Y",2,"ORCDR",-121.993059078888,45.4480008322342,0,0
"ORCDR0009","ORCDR",9,2003,"STATUS_AND_TREND",200,"{C99FD84E-E805-4ED9-97AF-4F380255135D}","OR","170800010504","Mt. Hood National Forest","FSR6","WC","2003ORCDR1009",2003,"ref",62.75590237,51.94411177,22.77740443,44.68533923,0.01232352,11.65074219,0.62765803,652,6.444444444,32.47863247,5,2,"LSR","Western Cascades","OR","Y",1,"ORCDR",-122.001205280019,45.4501606517094,0,0
"ORCDR0009","ORCDR",9,2003,"STATUS_AND_TREND",200,"{C99FD84E-E805-4ED9-97AF-4F380255135D}","OR","170800010504","Mt. Hood National Forest","FSR6","WC","2012ORCDR1009",2012,"ref",64.89110283,71.06791092,100,78.02025201,0.01064477,11.12403782,0.56343561,652,4.948550992,11.42857142,37,26,"LSR","Western Cascades","OR","Y",2,"ORCDR",-122.001205280019,45.4501606517094,0,0
"ORCDR0012","ORCDR",12,2003,"STATUS_AND_TREND",174,"{28301DD9-6E98-4560-9BE7-BBE74A5756DE}","OR","170800010504","Mt. Hood National Forest","FSR6","WC","2003ORCDR1012",2003,"middle",71.63446634,50.16065934,40.14288189,52.77502477,0.04953859,6.96833303,0.44145369,740,0.166666667,14.54545454,14,6,"LSR","Western Cascades","OR","Y",1,"ORCDR",-122.044362289808,45.4435899215909,0,0
"ORCDR0012","ORCDR",12,2003,"STATUS_AND_TREND",174,"{28301DD9-6E98-4560-9BE7-BBE74A5756DE}","OR","170800010504","Mt. Hood National Forest","FSR6","WC","2012ORCDR1012",2012,"middle",68.30151011,81.18775999,60.64201082,69.18751592,0.05177204,8.97545449,0.40301381,740,1.777777778,0,24,7,"LSR","Western Cascades","OR","Y",2,"ORCDR",-122.044362289808,45.4435899215909,0,0
"ORCDR0015","ORCDR",15,2003,"STATUS_AND_TREND",164,"{BE42B1EC-84D4-4475-8C42-E19B3F0ECF7D}","OR","170800010504","Mt. Hood National Forest","FSR6","WC","2003ORCDR1015",2003,"middle",70.93568737,55.87963765,38.34896027,53.88457454,0.07786731,7.53100304,0.40631201,679,4,11.86440677,10,7,"LSR","Western Cascades","OR","Y",1,"ORCDR",-122.052112749965,45.4419712723571,0,0
"ORCDR0015","ORCDR",15,2003,"STATUS_AND_TREND",164,"{BE42B1EC-84D4-4475-8C42-E19B3F0ECF7D}","OR","170800010504","Mt. Hood National Forest","FSR6","WC","2003ORCDR9015",2003,"middle",71.40549972,50.70622521,26.76889078,48.35401272,0.08039817,10.29812082,0.51675764,679,1.333333333,16.37931034,8,3,"LSR","Western Cascades","OR","Y",1,"ORCDR",-122.052112749965,45.4419712723571,0,0
"ORCDR0015","ORCDR",15,2003,"STATUS_AND_TREND",164,"{BE42B1EC-84D4-4475-8C42-E19B3F0ECF7D}","OR","170800010504","Mt. Hood National Forest","FSR6","WC","2004ORCDR6015",2004,"middle",71.62286911,69.50446978,89.24600324,75.9736403,0.08252324,6.84383231,0.51174396,679,1.111111111,3.8095238,20,19,"LSR","Western Cascades","OR","Y",1,"ORCDR",-122.052112749965,45.4419712723571,0,0
"ORCDR0015","ORCDR",15,2003,"STATUS_AND_TREND",164,"{BE42B1EC-84D4-4475-8C42-E19B3F0ECF7D}","OR","170800010504","Mt. Hood National Forest","FSR6","WC","2012ORCDR1015",2012,"middle",72.70971606,66.65587883,100,78.99712356,0.08106639,9.90150775,0.65813361,679,0,5.71428571,34,22,"LSR","Western Cascades","OR","Y",2,"ORCDR",-122.052112749965,45.4419712723571,0,0
"ORCDR0021","ORCDR",21,2003,"STATUS_AND_TREND",167,"{12975692-6782-43A9-B376-3B0E2C04214E}","OR","170800010504","Mt. Hood National Forest","FSR6","WC","2003ORCDR1021",2003,"middle",71.73191436,58.12166811,18.69065071,48.23255809,0.06622852,7.55688503,0.39640589,817,0.121212121,16.21621621,8,5,"LSR","Western Cascades","OR","Y",1,"ORCDR",-122.039384539129,45.4317474925203,0,0
"ORCDR0021","ORCDR",21,2003,"STATUS_AND_TREND",167,"{12975692-6782-43A9-B376-3B0E2C04214E}","OR","170800010504","Mt. Hood National Forest","FSR6","WC","2012ORCDR1021",2012,"middle",71.39427354,68.07405923,2.4025867,45.97810678,0.06064711,7.34142603,0.48172955,817,0,8.57142857,6,4,"LSR","Western Cascades","OR","Y",2,"ORCDR",-122.039384539129,45.4317474925203,0,0
"ORCHP0003","ORCHP",3,2008,"STATUS_AND_TREND",160,"{E0DBA0E9-2212-4C5A-991E-74BB0233957F}","OR","171003090403","Medford BLM","ORBLM","KS","2008ORCHP1003",2008,"imp90",68.93963552,3.33347534,33.99089955,33.96385373,0.05745058,3.95003981,0.56391081,456,6.466666667,25.96153846,2,1,"MATRIX","Klamath/Siskiyou","OR","N",1,"ORCHP",-123.127441109624,42.2331952037811,457.229999999996,457.229999999996
"ORCHP0004","ORCHP",4,2008,"STATUS_AND_TREND",160,"{5D1FC93B-15D7-42C8-879F-CC035025FD0C}","OR","171003090403","Medford BLM","ORBLM","KS","2008ORCHP1004",2008,"ref",63.10583553,17.78827635,86.6384113,54.86551883,0.07821429,1.85006854,0.33280772,763,10.66666667,28.84615384,7,7,"MATRIX","Klamath/Siskiyou","OR","N",1,"ORCHP",-123.094733000334,42.2662175546942,911,911
"ORCHP0007","ORCHP",7,2008,"STATUS_AND_TREND",160,"{DC68E4B4-DCB9-4870-A8AF-09DB620784D2}","OR","171003090403","Medford BLM","ORBLM","KS","2008ORCHP1007",2008,"middle",75.79392143,41.76223027,45.38621716,53.02084437,0.17204502,3.28169737,0.49504212,646,1.266666667,17.34693877,4,3,"MATRIX","Klamath/Siskiyou","OR","N",1,"ORCHP",-123.109118269293,42.2163754947438,608.160000000003,608.160000000003
"ORCHP0026","ORCHP",26,2008,"STATUS_AND_TREND",160,"{1FE53A95-AE3F-4D74-BB60-0DC86BA3F384}","OR","171003090403","Medford BLM","ORBLM","KS","2008ORCHP1026",2008,"imp90",19.87649832,6.33184691,52.77143085,25.83133028,0.23516359,3.24862838,0.32245341,785,11.51598387,45.16129032,7,3,"MATRIX","Klamath/Siskiyou","OR","N",1,"ORCHP",-123.137033110542,42.2092102239792,790.800000000003,790.800000000003
"ORCHP0027","ORCHP",27,2008,"STATUS_AND_TREND",160,"{C560E737-1519-4D68-B3FC-7F2B49594219}","OR","171003090403","Medford BLM","ORBLM","KS","2008ORCHP1027",2008,"imp90",61.73691795,53.41182947,55.98419055,56.11714215,0.16621742,2.35375158,0.27873126,752,2.733333333,14.89361702,6,3,"MATRIX","Klamath/Siskiyou","OR","N",1,"ORCHP",-123.134586350061,42.2098986239853,729.520000000004,729.520000000004
"CABER0001","CABER",1,2007,"STATUS_AND_TREND",160,"{2EFDD414-6622-4E22-B302-B5A55E178FB0}","CA,OR","180102060903","Klamath National Forest","FSR5","KS","2007CABER1001",2007,"imp90",NA,61.04887876,36.17282849,48.94547968,0.27074347,2.31872962,0.24000624,1691,NA,17.47572815,3,2,"LSR","Klamath/Siskiyou","CA","N",1,"CABER",-122.924839940035,41.969518911868,0,0
"CABER0002","CABER",2,2007,"STATUS_AND_TREND",200,"{3699C74D-04FB-4CA4-AEAD-CB53CDF95B9C}","CA,OR","180102060903","Klamath National Forest","FSR5","KS","2007CABER1002",2007,"imp75",72.51228684,0,41.56318106,36.53050858,0.0284678,8.57288462,0.87271384,782,0.444444444,20,1,1,"LSR","Klamath/Siskiyou","CA","N",1,"CABER",-122.833800169693,41.9445375525907,0,0
"CABER0005","CABER",5,2007,"STATUS_AND_TREND",320,"{B06008F3-8CF7-429F-9358-4B82683A5760}","CA,OR","180102060903","Klamath National Forest","FSR5","KS","2007CABER1005",2007,"imp90",41.60765684,9.65717535,100,49.84021535,0.02842462,13.01056081,0.90988681,848,3.6,14.28571428,8,7,"LSR","Klamath/Siskiyou","CA","N",1,"CABER",-122.857076369856,41.9509276720011,0,0
"CABER0005","CABER",5,2007,"STATUS_AND_TREND",320,"{B06008F3-8CF7-429F-9358-4B82683A5760}","CA,OR","180102060903","Klamath National Forest","FSR5","KS","2007CABER9005",2007,"imp90",26.40566175,0,100,41.75929607,0.02813031,12.6926171,0.87887927,848,5.083820663,20.95238095,13,12,"LSR","Klamath/Siskiyou","CA","N",1,"CABER",-122.857076369856,41.9509276720011,0,0
"CABER0005","CABER",5,2007,"STATUS_AND_TREND",320,"{B06008F3-8CF7-429F-9358-4B82683A5760}","CA,OR","180102060903","Klamath National Forest","FSR5","KS","2008CABER6005",2008,"imp90",41.0618029,0,100,46.39399124,0.0283152,11.78166771,0.70059184,848,3.653279148,19.04761904,10,9,"LSR","Klamath/Siskiyou","CA","N",1,"CABER",-122.857076369856,41.9509276720011,0,0
"CABER0009","CABER",9,2007,"STATUS_AND_TREND",160,"{A89EDDA9-B665-4252-B4B6-2E49C843C6FE}","CA,OR","180102060903","Klamath National Forest","FSR5","KS","2007CABER1009",2007,"imp75",71.41798721,73.90975621,27.29000865,56.4001923,0.21078883,3.28265246,0.33715733,1760,5.238095238,4.12371134,3,3,"LSR","Klamath/Siskiyou","CA","N",1,"CABER",-122.941206810028,41.9500333422336,0,0
"CABER0009","CABER",9,2007,"STATUS_AND_TREND",160,"{A89EDDA9-B665-4252-B4B6-2E49C843C6FE}","CA,OR","180102060903","Klamath National Forest","FSR5","KS","2007CABER9009",2007,"imp75",74.33354062,68.84336492,29.49337637,56.35166084,0.20816908,4.17830104,0.53642783,1760,2.34375,10,4,3,"LSR","Klamath/Siskiyou","CA","N",1,"CABER",-122.941206810028,41.9500333422336,0,0
"CABER0009","CABER",9,2007,"STATUS_AND_TREND",160,"{A89EDDA9-B665-4252-B4B6-2E49C843C6FE}","CA,OR","180102060903","Klamath National Forest","FSR5","KS","2008CABER6009",2008,"imp75",69.09328992,67.1190142,39.27427256,57.4255667,0.20718668,5.12814452,0.61071862,1760,7.545882353,12,5,5,"LSR","Klamath/Siskiyou","CA","N",1,"CABER",-122.941206810028,41.9500333422336,0,0
"CABER0010","CABER",10,2007,"STATUS_AND_TREND",200,"{1BEBA496-8841-4A60-939D-AB6B7A6A2268}","CA,OR","180102060903","Klamath National Forest","FSR5","KS","2007CABER1010",2007,"imp90",72.51821796,67.731206,95.87470373,77.90268148,0.1654354,12.3787901,1.05649985,1057,0,9.75609756,19,11,"LSR","Klamath/Siskiyou","CA","N",1,"CABER",-122.90361292975,41.9524397621873,0,0
"CABER0015","CABER",15,2007,"STATUS_AND_TREND",160,"{C29E46C9-3581-4130-9629-E6D25D118786}","CA,OR","180102060903","Klamath National Forest","FSR5","KS","2007CABER1015",2007,"middle",NA,65.23767753,13.94120527,39.77118859,0.26958495,2.86322746,0.26793579,1754,NA,12.38095238,0,0,"LSR","Klamath/Siskiyou","CA","N",1,"CABER",-122.952391359045,41.9292598718363,0,0
"CABFH0026","CABFH",26,2007,"STATUS_AND_TREND",160,"{D36C1186-9EE1-41FC-9B8F-F4E75A6107CC}","CA","180102111103","Shasta-Trinity National Forest","FSR5","KS","2007CABFH1026",2007,"ref",53.05299555,56.47182496,100,69.32888906,0.13880392,3.87588191,0.45071509,615,6.314142929,13.26530612,13,12,"RES","Klamath/Siskiyou","CA","N",1,"CABFH",-123.288900224953,40.8426421886307,0,0
"CABFH0027","CABFH",27,2007,"STATUS_AND_TREND",160,"{412D46D8-8965-41DB-92DD-8E146513F0FD}","CA","180102111103","Shasta-Trinity National Forest","FSR5","KS","2007CABFH1027",2007,"middle",52.85551914,0,74.62633334,41.52228681,0.10102751,4.0475095,0.29431735,547,3.333333333,20,9,7,"RES","Klamath/Siskiyou","CA","N",1,"CABFH",-123.298235729156,40.8238729435061,0,0
"CABFH0040","CABFH",40,2007,"STATUS_AND_TREND",280,"{C05DD6F7-BAD5-4363-BC29-47C702D72996}","CA","180102111103","Shasta-Trinity National Forest","FSR5","KS","2007CABFH1040",2007,"ref",50.29966741,77.23729342,54.27258588,59.99655506,0.0384609,10.29050108,0.78852603,603,2.52637754,2.85714285,7,5,"RES","Klamath/Siskiyou","CA","N",1,"CABFH",-123.28352096033,40.8448998639711,0,0
"CABFH0054","CABFH",54,2007,"STATUS_AND_TREND",280,"{C9AF32B3-1036-4C49-97C6-6A50FAB218C5}","CA","180102111103","Shasta-Trinity National Forest","FSR5","KS","2007CABFH1054",2007,"ref",63.06418488,0,44.73266516,34.61714413,0.03972571,13.93880939,0.74378385,541,1.416666667,23.8095238,5,3,"RES","Klamath/Siskiyou","CA","N",1,"CABFH",-123.286868219093,40.8322076238072,0,0
"CABFH0069","CABFH",69,2007,"STATUS_AND_TREND",240,"{CDF39034-635F-46B7-A979-56C68E8553A1}","CA","180102111103","Shasta-Trinity National Forest","FSR5","KS","2007CABFH1069",2007,"ref",46.93276745,41.25051222,94.47928506,60.36232059,0.03871982,15.34497411,1.03209479,571,2.818816404,13.33333333,13,9,"RES","Klamath/Siskiyou","CA","N",1,"CABFH",-123.283998509955,40.8383179832352,0,0
"CABFH0069","CABFH",69,2007,"STATUS_AND_TREND",240,"{CDF39034-635F-46B7-A979-56C68E8553A1}","CA","180102111103","Shasta-Trinity National Forest","FSR5","KS","2007CABFH9069",2007,"ref",91.98600544,81.81542533,87.35722332,85.94598289,0.03139783,14.30981852,0.93130233,571,0,0,13,11,"RES","Klamath/Siskiyou","CA","N",1,"CABFH",-123.283998509955,40.8383179832352,0,0
"CABFH0071","CABFH",71,2007,"STATUS_AND_TREND",280,"{F2E6CE26-0C01-41AD-99DD-2736C7D50F6A}","CA","180102111103","Shasta-Trinity National Forest","FSR5","KS","2007CABFH1071",2007,"ref",58.8659238,59.0078412,91.47042076,69.13539446,0.03560105,13.90019576,1.11850384,578,1.777777778,7.61904761,13,11,"RES","Klamath/Siskiyou","CA","N",1,"CABFH",-123.281589779996,40.8404814235037,0,0
"CABFH0071","CABFH",71,2007,"STATUS_AND_TREND",280,"{F2E6CE26-0C01-41AD-99DD-2736C7D50F6A}","CA","180102111103","Shasta-Trinity National Forest","FSR5","KS","2007CABFH9071",2007,"ref",NA,NA,91.95210082,NA,NA,14.93636363,0.99928181,578,0,5.76923076,17,15,"RES","Klamath/Siskiyou","CA","N",1,"CABFH",-123.281589779996,40.8404814235037,0,0
"CACDR0002","CACDR",2,2008,"STATUS_AND_TREND",160,"{E9876C26-B696-4C41-950E-59E388F5C198}","CA","180102090801","Six Rivers National Forest","FSR5","KS","2008CACDR1002",2008,"middle",63.43323175,0,74.67652343,44.8842786,0.03174055,4.52175991,0.39111395,793,1.4,31.37254901,7,5,"LSR","Klamath/Siskiyou","CA","Y",1,"CACDR",-123.547864469099,41.3671726081817,758.600000000006,758.600000000006
"CACDR0002","CACDR",2,2008,"STATUS_AND_TREND",160,"{E9876C26-B696-4C41-950E-59E388F5C198}","CA","180102090801","Six Rivers National Forest","FSR5","KS","2008CACDR9002",2008,"middle",69.44128176,22.61787444,40.14487057,42.74564023,0.03710154,4.33231021,0.35649139,793,0.666666667,21.3592233,3,1,"LSR","Klamath/Siskiyou","CA","Y",1,"CACDR",-123.547864469099,41.3671726081817,758.600000000006,758.600000000006
"CACDR0010","CACDR",10,2008,"STATUS_AND_TREND",160,"{2FCBF84E-2122-49B3-8B51-EBA55691E2D4}","CA","180102090801","Six Rivers National Forest","FSR5","KS","2008CACDR1010",2008,"imp90",71.1406657,63.79778011,60.40593949,64.11042352,0.37884728,4.56224949,0.75877885,877,0.768115942,16.50485436,7,7,"LSR","Klamath/Siskiyou","CA","Y",1,"CACDR",-123.579489390125,41.4051675188059,282.800000000003,282.800000000003
"CACDR0013","CACDR",13,2008,"STATUS_AND_TREND",480,"{8351B294-FA1F-4E81-9FEE-757B9192DF1E}","CA","180102090801","Six Rivers National Forest","FSR5","KS","2008CACDR1013",2008,"middle",0,58.22033625,56.29149432,38.32831355,0.00968342,20.54801922,0.81650444,152,4.75,13.33333333,18,7,"LSR","Klamath/Siskiyou","CA","Y",1,"CACDR",-123.565309469961,41.316922848044,158.741999999998,158.741999999998
"CACDR0023","CACDR",23,2008,"STATUS_AND_TREND",160,"{DEFFEDF1-A2A8-4DC6-ACEF-F5449BD00A2E}","CA","180102090801","Six Rivers National Forest","FSR5","KS","2008CACDR1023",2008,"middle",47.17816298,41.91495316,98.62323774,62.06988099,0.07437661,4.11639334,0.3314195,1011,2.333333333,28.84615384,14,9,"LSR","Klamath/Siskiyou","CA","Y",1,"CACDR",-123.562539839275,41.3986033985224,931.876999999993,931.876999999993
"CACDR0046","CACDR",46,2008,"STATUS_AND_TREND",160,"{8FA6CE3E-DC61-4478-B1B5-281E1E9D1AC1}","CA","180102090801","Six Rivers National Forest","FSR5","KS","2008CACDR1046",2008,"imp90",66.68402309,28.98178577,26.78981702,39.50384351,0.12527038,2.34670228,0.28405007,1083,3.333333333,45.63106796,1,1,"LSR","Klamath/Siskiyou","CA","Y",1,"CACDR",-123.56858344041,41.4000387987949,1073.189,1073.189
"CACDR0047","CACDR",47,2008,"STATUS_AND_TREND",160,"{7315C7C2-EB8D-4E98-8338-24B35830FF60}","CA","180102090801","Six Rivers National Forest","FSR5","KS","2008CACDR1047",2008,"middle",34.88086868,30.3804202,100,54.73781916,0.03264275,4.74431114,0.63280409,778,4.885057471,25.25252525,14,11,"LSR","Klamath/Siskiyou","CA","Y",1,"CACDR",-123.545852810101,41.3637998079585,681.214999999997,681.214999999997
"CACDR0047","CACDR",47,2008,"STATUS_AND_TREND",160,"{7315C7C2-EB8D-4E98-8338-24B35830FF60}","CA","180102090801","Six Rivers National Forest","FSR5","KS","2008CACDR9047",2008,"middle",0,25.08559885,100,41.91263145,0.04421299,4.45103574,0.51572738,778,9.205479452,27,14,13,"LSR","Klamath/Siskiyou","CA","Y",1,"CACDR",-123.545852810101,41.3637998079585,681.214999999997,681.214999999997
"CACFD0005","CACFD",5,2003,"STATUS_AND_TREND",184,"{2F00B04E-5D24-4BBB-89AC-1AF2AE06D8B2}","CA","180102100106","Klamath National Forest","FSR5","KS","2003CACFD1005",2003,"middle",59.93194957,0,26.4953395,27.44451438,0.04677432,5.57378181,0.65226579,557,1.523809524,16.37931034,0,0,"MATRIX","Klamath/Siskiyou","CA","Y",1,"CACFD",-123.21654069065,41.2086614170876,0,0
"CACFD0005","CACFD",5,2003,"STATUS_AND_TREND",184,"{2F00B04E-5D24-4BBB-89AC-1AF2AE06D8B2}","CA","180102100106","Klamath National Forest","FSR5","KS","2011CACFD1005",2011,"middle",70.73504708,7.63040476,28.84362967,34.24336455,0.05727846,8.66461174,0.84800696,557,0.148148148,11.42857142,0,0,"MATRIX","Klamath/Siskiyou","CA","Y",2,"CACFD",-123.21654069065,41.2086614170876,0,0
"CACFD0006","CACFD",6,2003,"STATUS_AND_TREND",257,"{776EDC32-D146-4A19-A56C-0227459B8A9D}","CA","180102100106","Klamath National Forest","FSR5","KS","2003CACFD1006",2003,"ref",77.69177669,49.69075006,42.97466909,55.49115554,0.04513617,9.29991044,0.4096336,643,0.25,6.55737704,1,1,"MATRIX","Klamath/Siskiyou","CA","Y",1,"CACFD",-123.217952900128,41.1489358967508,0,0
"CACFD0007","CACFD",7,2003,"STATUS_AND_TREND",154,"{0E84B9D8-4801-4EDD-BC86-F727A7092E0C}","CA","180102100106","Klamath National Forest","FSR5","KS","2003CACFD1007",2003,"middle",63.26760035,57.7083295,37.36177199,51.74495856,0.08069235,3.08100717,0.20979573,698,1.944444444,14.87603305,4,0,"MATRIX","Klamath/Siskiyou","CA","Y",1,"CACFD",-123.189811610424,41.1927735272121,0,0
"CACFD0007","CACFD",7,2003,"STATUS_AND_TREND",154,"{0E84B9D8-4801-4EDD-BC86-F727A7092E0C}","CA","180102100106","Klamath National Forest","FSR5","KS","2011CACFD1007",2011,"middle",63.69588491,56.39573827,36.45401487,51.12773622,0.08102314,3.70734726,0.39433109,698,1.451282051,16.19047619,2,2,"MATRIX","Klamath/Siskiyou","CA","Y",2,"CACFD",-123.189811610424,41.1927735272121,0,0
"CACFD0014","CACFD",14,2003,"STATUS_AND_TREND",170,"{023A5A3B-701C-457E-A98F-EC777CDE735E}","CA","180102100106","Klamath National Forest","FSR5","KS","2003CACFD1014",2003,"middle",30.32254085,2.68608233,90.65956277,40.74221935,0.07130901,4.6703581,0.46849044,752,4.388888889,34.7107438,8,6,"MATRIX","Klamath/Siskiyou","CA","Y",1,"CACFD",-123.178033940192,41.1856129961455,0,0
