#
# EXTENSION TERMS AS TAB FILE FOR Darwin Core Event
# ROWTYPE: dwc:Event
#
TERM	QUALIFIED TERM	DESCRIPTION	EXAMPLES	LINK	DATA TYPE	REQUIRED
institutionCode	http://rs.tdwg.org/dwc/terms/institutionCode	The name (or acronym) in use by the institution having custody of the object(s) or information referred to in the record.	"MVZ", "FMNH", "AKN-CLO", "University of California Museum of Paleontology (UCMP)"	http://rs.tdwg.org/dwc/terms/index.htm#institutionCode	string	false
datasetName	http://rs.tdwg.org/dwc/terms/datasetName	The name identifying the data set from which the record was derived.	"Grinnell Resurvey Mammals", "Lacey Ctenomys Recaptures"	http://rs.tdwg.org/dwc/terms/index.htm#datasetName	string	false
ownerInstitutionCode	http://rs.tdwg.org/dwc/terms/ownerInstitutionCode	The name (or acronym) in use by the institution having ownership of the object(s) or information referred to in the record.	"NPS", "APN", "InBio"	http://rs.tdwg.org/dwc/terms/index.htm#ownerInstitutionCode	string	false
informationWithheld	http://rs.tdwg.org/dwc/terms/informationWithheld	Additional information that exists, but that has not been shared in the given record.	"location information not given for endangered species", "collector identities withheld", "ask about tissue samples"	http://rs.tdwg.org/dwc/terms/index.htm#informationWithheld	string	false
dataGeneralizations	http://rs.tdwg.org/dwc/terms/dataGeneralizations	Actions taken to make the shared data less specific or complete than in its original form. Suggests that alternative data of higher quality may be available on request.	"Coordinates generalized from original GPS coordinates to the nearest half degree grid cell"	http://rs.tdwg.org/dwc/terms/index.htm#dataGeneralizations	string	false
dynamicProperties	http://rs.tdwg.org/dwc/terms/dynamicProperties	A list (concatenated and separated) of additional measurements, facts, characteristics, or assertions about the record. Meant to provide a mechanism for structured content such as key-value pairs. The recommended best practice is to use a key:value encoding schema such as JSON.	"{"heightInMeters":1.5}", "{"tragusLengthInMeters":0.014, "weightInGrams":120}", "{"natureOfID":"expert identification", "identificationEvidence":"cytochrome B sequence"}", "{"relativeHumidity":28, "airTemperatureInCelcius":22, "sampleSizeInKilograms":10}", "{"aspectHeading":277, "slopeInDegrees":6}", "{"iucnStatus":"vulnerable", "taxonDistribution":"Neuquén, Argentina"}"	http://rs.tdwg.org/dwc/terms/index.htm#dynamicProperties	string	false
eventID	http://rs.tdwg.org/dwc/terms/eventID	An identifier for the set of information associated with an Event (something that occurs at a place and time). May be a global unique identifier or an identifier specific to the data set.		http://rs.tdwg.org/dwc/terms/index.htm#eventID	string	false
parentEventID	http://rs.tdwg.org/dwc/terms/parentEventID	An event identifier for the super event which is composed of one or more sub-sampling events. The value must refer to an existing eventID. If the identifier is local it must exist within the given dataset. May be a globally unique identifier or an identifier specific to the data set.	"A1" as parentEventID to identify the main Whittaker Plot in nested samples, each with its own eventID (e.g., "A1:1", "A1:2").	http://rs.tdwg.org/dwc/terms/index.htm#parentEventID	string	false
samplingProtocol	http://rs.tdwg.org/dwc/terms/samplingProtocol	The name of, reference to, or description of the method or protocol used during an Event.	"UV light trap", "mist net", "bottom trawl", "ad hoc observation", "point count", "Penguins from space: faecal stains reveal the location of emperor penguin colonies, http://dx.doi.org/10.1111/j.1466-8238.2009.00467.x", "Takats et al. 2001. Guidelines for Nocturnal Owl Monitoring in North America. Beaverhill Bird Observatory and Bird Studies Canada, Edmonton, Alberta. 32 pp.", "http://www.bsc-eoc.org/download/Owl.pdf"	http://rs.tdwg.org/dwc/terms/index.htm#samplingProtocol	string	false
sampleSizeValue	http://rs.tdwg.org/dwc/terms/sampleSizeValue	A numeric value for a measurement of the size (time duration, length, area, or volume) of a sample in a sampling event.	A sampleSizeValue must have a corresponding sampleSizeUnit. Example: "5" for sampleSizeValue with "metre" for sampleSizeUnit.	http://rs.tdwg.org/dwc/terms/index.htm#sampleSizeValue	string	false
sampleSizeUnit	http://rs.tdwg.org/dwc/terms/sampleSizeUnit	The unit of measurement of the size (time duration, length, area, or volume) of a sample in a sampling event.	A sampleSizeUnit must have a corresponding sampleSizeValue, e.g., "5" for sampleSizeValue with "metre" for sampleSizeUnit. Examples: "minute", "hour", "day", "metre", "square metre", "cubic metre". Recommended best practice is to use a controlled vocabulary such as the Ontology of Units of Measure http://www.wurvoc.org/vocabularies/om-1.8/ of SI units, derived units, or other non-SI units accepted for use within the SI (e.g., minute, hour, day, litre).	http://rs.tdwg.org/dwc/terms/index.htm#sampleSizeUnit	http://rs.gbif.org/vocabulary/gbif/unitOfMeasurement	false
samplingEffort	http://rs.tdwg.org/dwc/terms/samplingEffort	The amount of effort expended during an Event.	"40 trap-nights", "10 observer-hours; 10 km by foot; 30 km by car"	http://rs.tdwg.org/dwc/terms/index.htm#samplingEffort	string	false
eventDate	http://rs.tdwg.org/dwc/terms/eventDate	The date-time or interval during which an Event occurred. For occurrences, this is the date-time when the event was recorded. Not suitable for a time in a geological context. Recommended best practice is to use an encoding scheme, such as ISO 8601:2004(E).	"1963-03-08T14:07-0600" is 8 Mar 1963 2:07pm in the time zone six hours earlier than UTC, "2009-02-20T08:40Z" is 20 Feb 2009 8:40am UTC, "1809-02-12" is 12 Feb 1809, "1906-06" is Jun 1906, "1971" is just that year, "2007-03-01T13:00:00Z/2008-05-11T15:30:00Z" is the interval between 1 Mar 2007 1pm UTC and 11 May 2008 3:30pm UTC, "2007-11-13/15" is the interval between 13 Nov 2007 and 15 Nov 2007.	http://rs.tdwg.org/dwc/terms/index.htm#eventDate	date	false
eventTime	http://rs.tdwg.org/dwc/terms/eventTime	The time or interval during which an Event occurred. Recommended best practice is to use an encoding scheme, such as ISO 8601:2004(E).	"14:07-0600" is 2:07pm in the time zone six hours earlier than UTC, "08:40:21Z" is 8:40:21am UTC, "13:00:00Z/15:30:00Z" is the interval between 1pm UTC and 3:30pm UTC.	http://rs.tdwg.org/dwc/terms/index.htm#eventTime	string	false
startDayOfYear	http://rs.tdwg.org/dwc/terms/startDayOfYear	The earliest ordinal day of the year on which the Event occurred (1 for January 1, 365 for December 31, except in a leap year, in which case it is 366).	"1" (=1 Jan), "366" (=31 Dec), "365" (=30 Dec in a leap year, 31 Dec in a non-leap year)	http://rs.tdwg.org/dwc/terms/index.htm#startDayOfYear	integer	false
endDayOfYear	http://rs.tdwg.org/dwc/terms/endDayOfYear	The latest ordinal day of the year on which the Event occurred (1 for January 1, 365 for December 31, except in a leap year, in which case it is 366).	"1" (=1 Jan), "366" (=31 Dec), "365" (=30 Dec in a leap year, 31 Dec in a non-leap year)	http://rs.tdwg.org/dwc/terms/index.htm#endDayOfYear	integer	false
year	http://rs.tdwg.org/dwc/terms/year	The four-digit year in which the Event occurred, according to the Common Era Calendar.	"2008"	http://rs.tdwg.org/dwc/terms/index.htm#year	integer	false
month	http://rs.tdwg.org/dwc/terms/month	The ordinal month in which the Event occurred.	"1" (=January), "10" (=October)	http://rs.tdwg.org/dwc/terms/index.htm#month	integer	false
day	http://rs.tdwg.org/dwc/terms/day	The integer day of the month on which the Event occurred.	"9", "28"	http://rs.tdwg.org/dwc/terms/index.htm#day	integer	false
verbatimEventDate	http://rs.tdwg.org/dwc/terms/verbatimEventDate	The verbatim original representation of the date and time information for an Event.	"spring 1910", "Marzo 2002", "1999-03-XX", "17IV1934"	http://rs.tdwg.org/dwc/terms/index.htm#verbatimEventDate	string	false
habitat	http://rs.tdwg.org/dwc/terms/habitat	A category or description of the habitat in which the Event occurred.	"oak savanna", "pre-cordilleran steppe"	http://rs.tdwg.org/dwc/terms/index.htm#habitat	string	false
fieldNumber	http://rs.tdwg.org/dwc/terms/fieldNumber	An identifier given to the event in the field. Often serves as a link between field notes and the Event.	"RV Sol 87-03-08"	http://rs.tdwg.org/dwc/terms/index.htm#fieldNumber	string	false
fieldNotes	http://rs.tdwg.org/dwc/terms/fieldNotes	One of a) an indicator of the existence of, b) a reference to (publication, URI), or c) the text of notes taken in the field about the Event.	"notes available in Grinnell-Miller Library"	http://rs.tdwg.org/dwc/terms/index.htm#fieldNotes	string	false
eventRemarks	http://rs.tdwg.org/dwc/terms/eventRemarks	Comments or notes about the Event.	"after the recent rains the river is nearly at flood stage"	http://rs.tdwg.org/dwc/terms/index.htm#eventRemarks	string	false
locationID	http://rs.tdwg.org/dwc/terms/locationID	An identifier for the set of location information (data associated with dcterms:Location). May be a global unique identifier or an identifier specific to the data set.		http://rs.tdwg.org/dwc/terms/index.htm#locationID	string	false
higherGeographyID	http://rs.tdwg.org/dwc/terms/higherGeographyID	An identifier for the geographic region within which the Location occurred. Recommended best practice is to use an persistent identifier from a controlled vocabulary such as the Getty Thesaurus of Geographic Names.	"TGN: 1002002" for Prov. Tierra del Fuego, Argentina	http://rs.tdwg.org/dwc/terms/index.htm#higherGeographyID	string	false
higherGeography	http://rs.tdwg.org/dwc/terms/higherGeography	A list (concatenated and separated) of geographic names less specific than the information captured in the locality term. The recommended best practice is to separate the values with a vertical bar (' | ').	"South America | Argentina | Patagonia | Parque Nacional Nahuel Huapi | Neuquén | Los Lagos" with accompanying values "South America" in Continent, "Argentina" in Country, "Neuquén" in StateProvince, and Los Lagos in County.	http://rs.tdwg.org/dwc/terms/index.htm#higherGeography	string	false
continent	http://rs.tdwg.org/dwc/terms/continent	The name of the continent in which the Location occurs. Recommended best practice is to use a controlled vocabulary such as the Getty Thesaurus of Geographic Names or the ISO 3166 Continent code.	"Antarctica"	http://rs.tdwg.org/dwc/terms/index.htm#continent	string	false
waterBody	http://rs.tdwg.org/dwc/terms/waterBody	The name of the water body in which the Location occurs. Recommended best practice is to use a controlled vocabulary such as the Getty Thesaurus of Geographic Names.	"Indian Ocean", "Baltic Sea"	http://rs.tdwg.org/dwc/terms/index.htm#waterBody	string	false
islandGroup	http://rs.tdwg.org/dwc/terms/islandGroup	The name of the island group in which the Location occurs. Recommended best practice is to use a controlled vocabulary such as the Getty Thesaurus of Geographic Names.	"Alexander Archipelago"	http://rs.tdwg.org/dwc/terms/index.htm#islandGroup	string	false
island	http://rs.tdwg.org/dwc/terms/island	The name of the island on or near which the Location occurs. Recommended best practice is to use a controlled vocabulary such as the Getty Thesaurus of Geographic Names.	"Isla Victoria"	http://rs.tdwg.org/dwc/terms/index.htm#island	string	false
country	http://rs.tdwg.org/dwc/terms/country	The name of the country or major administrative unit in which the Location occurs. Recommended best practice is to use a controlled vocabulary such as the Getty Thesaurus of Geographic Names.	"Denmark", "Colombia", "España"	http://rs.tdwg.org/dwc/terms/index.htm#country	string	false
countryCode	http://rs.tdwg.org/dwc/terms/countryCode	The standard code for the country in which the Location occurs. Recommended best practice is to use ISO 3166-1-alpha-2 country codes.	"AR" for Argentina, "SV" for El Salvador	http://rs.tdwg.org/dwc/terms/index.htm#countryCode	string	false
stateProvince	http://rs.tdwg.org/dwc/terms/stateProvince	The name of the next smaller administrative region than country (state, province, canton, department, region, etc.) in which the Location occurs.	"Montana", "Minas Gerais", "Córdoba"	http://rs.tdwg.org/dwc/terms/index.htm#stateProvince	string	false
county	http://rs.tdwg.org/dwc/terms/county	The full, unabbreviated name of the next smaller administrative region than stateProvince (county, shire, department, etc.) in which the Location occurs.	"Missoula", "Los Lagos", "Mataró"	http://rs.tdwg.org/dwc/terms/index.htm#county	string	false
municipality	http://rs.tdwg.org/dwc/terms/municipality	The full, unabbreviated name of the next smaller administrative region than county (city, municipality, etc.) in which the Location occurs. Do not use this term for a nearby named place that does not contain the actual location.	"Holzminden"	http://rs.tdwg.org/dwc/terms/index.htm#municipality	string	false
locality	http://rs.tdwg.org/dwc/terms/locality	The specific description of the place. Less specific geographic information can be provided in other geographic terms (higherGeography, continent, country, stateProvince, county, municipality, waterBody, island, islandGroup). This term may contain information modified from the original to correct perceived errors or standardize the description.	"Bariloche, 25 km NNE via Ruta Nacional 40 (=Ruta 237)"	http://rs.tdwg.org/dwc/terms/index.htm#locality	string	false
verbatimLocality	http://rs.tdwg.org/dwc/terms/verbatimLocality	The original textual description of the place.	"25 km NNE Bariloche por R. Nac. 237"	http://rs.tdwg.org/dwc/terms/index.htm#verbatimLocality	string	false
verbatimElevation	http://rs.tdwg.org/dwc/terms/verbatimElevation	The original description of the elevation (altitude, usually above sea level) of the Location.	"100-200 m"	http://rs.tdwg.org/dwc/terms/index.htm#verbatimElevation	string	false
minimumElevationInMeters	http://rs.tdwg.org/dwc/terms/minimumElevationInMeters	The lower limit of the range of elevation (altitude, usually above sea level), in meters.	"100"	http://rs.tdwg.org/dwc/terms/index.htm#minimumElevationInMeters	decimal	false
maximumElevationInMeters	http://rs.tdwg.org/dwc/terms/maximumElevationInMeters	The upper limit of the range of elevation (altitude, usually above sea level), in meters.	"200"	http://rs.tdwg.org/dwc/terms/index.htm#maximumElevationInMeters	decimal	false
verbatimDepth	http://rs.tdwg.org/dwc/terms/verbatimDepth	The original description of the depth below the local surface.	"100-200 m"	http://rs.tdwg.org/dwc/terms/index.htm#verbatimDepth	string	false
minimumDepthInMeters	http://rs.tdwg.org/dwc/terms/minimumDepthInMeters	The lesser depth of a range of depth below the local surface, in meters.	"100"	http://rs.tdwg.org/dwc/terms/index.htm#minimumDepthInMeters	decimal	false
maximumDepthInMeters	http://rs.tdwg.org/dwc/terms/maximumDepthInMeters	The greater depth of a range of depth below the local surface, in meters.	"200"	http://rs.tdwg.org/dwc/terms/index.htm#maximumDepthInMeters	decimal	false
minimumDistanceAboveSurfaceInMeters	http://rs.tdwg.org/dwc/terms/minimumDistanceAboveSurfaceInMeters	The lesser distance in a range of distance from a reference surface in the vertical direction, in meters. Use positive values for locations above the surface, negative values for locations below. If depth measures are given, the reference surface is the location given by the depth, otherwise the reference surface is the location given by the elevation.	1.5 meter sediment core from the bottom of a lake (at depth 20m) at 300m elevation; VerbatimElevation: "300m" MinimumElevationInMeters: "300", MaximumElevationInMeters: "300", VerbatimDepth: "20m", MinimumDepthInMeters: "20", MaximumDepthInMeters: "20", minimumDistanceAboveSurfaceInMeters: "0", maximumDistanceAboveSurfaceInMeters: "-1.5"	http://rs.tdwg.org/dwc/terms/index.htm#minimumDistanceAboveSurfaceInMeters	decimal	false
maximumDistanceAboveSurfaceInMeters	http://rs.tdwg.org/dwc/terms/maximumDistanceAboveSurfaceInMeters	The greater distance in a range of distance from a reference surface in the vertical direction, in meters. Use positive values for locations above the surface, negative values for locations below. If depth measures are given, the reference surface is the location given by the depth, otherwise the reference surface is the location given by the elevation.	1.5 meter sediment core from the bottom of a lake (at depth 20m) at 300m elevation; VerbatimElevation: "300m" MinimumElevationInMeters: "300", MaximumElevationInMeters: "300", VerbatimDepth: "20m", MinimumDepthInMeters: "20", MaximumDepthInMeters: "20", minimumDistanceAboveSurfaceInMeters: "0", maximumDistanceAboveSurfaceInMeters: "-1.5"	http://rs.tdwg.org/dwc/terms/index.htm#maximumDistanceAboveSurfaceInMeters	decimal	false
locationAccordingTo	http://rs.tdwg.org/dwc/terms/locationAccordingTo	Information about the source of this Location information. Could be a publication (gazetteer), institution, or team of individuals.	"Getty Thesaurus of Geographic Names", "GADM"	http://rs.tdwg.org/dwc/terms/index.htm#locationAccordingTo	string	false
locationRemarks	http://rs.tdwg.org/dwc/terms/locationRemarks	Comments or notes about the Location.	"under water since 2005"	http://rs.tdwg.org/dwc/terms/index.htm#locationRemarks	string	false
verbatimCoordinates	http://rs.tdwg.org/dwc/terms/verbatimCoordinates	The verbatim original spatial coordinates of the Location. The coordinate ellipsoid, geodeticDatum, or full Spatial Reference System (SRS) for these coordinates should be stored in verbatimSRS and the coordinate system should be stored in verbatimCoordinateSystem.	"41 05 54S 121 05 34W", "17T 630000 4833400"	http://rs.tdwg.org/dwc/terms/index.htm#verbatimCoordinates	string	false
verbatimLatitude	http://rs.tdwg.org/dwc/terms/verbatimLatitude	The verbatim original latitude of the Location. The coordinate ellipsoid, geodeticDatum, or full Spatial Reference System (SRS) for these coordinates should be stored in verbatimSRS and the coordinate system should be stored in verbatimCoordinateSystem.	"41 05 54.03S"	http://rs.tdwg.org/dwc/terms/index.htm#verbatimLatitude	string	false
verbatimLongitude	http://rs.tdwg.org/dwc/terms/verbatimLongitude	The verbatim original longitude of the Location. The coordinate ellipsoid, geodeticDatum, or full Spatial Reference System (SRS) for these coordinates should be stored in verbatimSRS and the coordinate system should be stored in verbatimCoordinateSystem.	"121d 10' 34" W"	http://rs.tdwg.org/dwc/terms/index.htm#verbatimLongitude	string	false
verbatimCoordinateSystem	http://rs.tdwg.org/dwc/terms/verbatimCoordinateSystem	The spatial coordinate system for the verbatimLatitude and verbatimLongitude or the verbatimCoordinates of the Location. Recommended best practice is to use a controlled vocabulary.	"decimal degrees", "degrees decimal minutes", "degrees minutes seconds", "UTM"	http://rs.tdwg.org/dwc/terms/index.htm#verbatimCoordinateSystem	string	false
verbatimSRS	http://rs.tdwg.org/dwc/terms/verbatimSRS	The ellipsoid, geodetic datum, or spatial reference system (SRS) upon which coordinates given in verbatimLatitude and verbatimLongitude, or verbatimCoordinates are based. Recommended best practice is use the EPSG code as a controlled vocabulary to provide an SRS, if known. Otherwise use a controlled vocabulary for the name or code of the geodetic datum, if known. Otherwise use a controlled vocabulary for the name or code of the ellipsoid, if known. If none of these is known, use the value "unknown".	"EPSG:4326", "WGS84", "NAD27", "Campo Inchauspe", "European 1950", "Clarke 1866"	http://rs.tdwg.org/dwc/terms/index.htm#verbatimSRS	string	false
decimalLatitude	http://rs.tdwg.org/dwc/terms/decimalLatitude	The geographic latitude (in decimal degrees, using the spatial reference system given in geodeticDatum) of the geographic center of a Location. Positive values are north of the Equator, negative values are south of it. Legal values lie between -90 and 90, inclusive.	"-41.0983423"	http://rs.tdwg.org/dwc/terms/index.htm#decimalLatitude	decimal	false
decimalLongitude	http://rs.tdwg.org/dwc/terms/decimalLongitude	The geographic longitude (in decimal degrees, using the spatial reference system given in geodeticDatum) of the geographic center of a Location. Positive values are east of the Greenwich Meridian, negative values are west of it. Legal values lie between -180 and 180, inclusive.	"-121.1761111"	http://rs.tdwg.org/dwc/terms/index.htm#decimalLongitude	decimal	false
geodeticDatum	http://rs.tdwg.org/dwc/terms/geodeticDatum	The ellipsoid, geodetic datum, or spatial reference system (SRS) upon which the geographic coordinates given in decimalLatitude and decimalLongitude as based. Recommended best practice is use the EPSG code as a controlled vocabulary to provide an SRS, if known. Otherwise use a controlled vocabulary for the name or code of the geodetic datum, if known. Otherwise use a controlled vocabulary for the name or code of the ellipsoid, if known. If none of these is known, use the value "unknown".	"EPSG:4326", "WGS84", "NAD27", "Campo Inchauspe", "European 1950", "Clarke 1866"	http://rs.tdwg.org/dwc/terms/index.htm#geodeticDatum	string	false
coordinateUncertaintyInMeters	http://rs.tdwg.org/dwc/terms/coordinateUncertaintyInMeters	The horizontal distance (in meters) from the given decimalLatitude and decimalLongitude describing the smallest circle containing the whole of the Location. Leave the value empty if the uncertainty is unknown, cannot be estimated, or is not applicable (because there are no coordinates). Zero is not a valid value for this term.	"30" (reasonable lower limit of a GPS reading under good conditions if the actual precision was not recorded at the time), "71" (uncertainty for a UTM coordinate having 100 meter precision and a known spatial reference system).	http://rs.tdwg.org/dwc/terms/index.htm#coordinateUncertaintyInMeters	decimal	false
coordinatePrecision	http://rs.tdwg.org/dwc/terms/coordinatePrecision	A decimal representation of the precision of the coordinates given in the decimalLatitude and decimalLongitude.	"0.00001" (normal GPS limit for decimal degrees), "0.000278" (nearest second), "0.01667" (nearest minute), "1.0" (nearest degree)	http://rs.tdwg.org/dwc/terms/index.htm#coordinatePrecision	string	false
pointRadiusSpatialFit	http://rs.tdwg.org/dwc/terms/pointRadiusSpatialFit	The ratio of the area of the point-radius (decimalLatitude, decimalLongitude, coordinateUncertaintyInMeters) to the area of the true (original, or most specific) spatial representation of the Location. Legal values are 0, greater than or equal to 1, or undefined. A value of 1 is an exact match or 100% overlap. A value of 0 should be used if the given point-radius does not completely contain the original representation. The pointRadiusSpatialFit is undefined (and should be left blank) if the original representation is a point without uncertainty and the given georeference is not that same point (without uncertainty). If both the original and the given georeference are the same point, the pointRadiusSpatialFit is 1.	Detailed explanations with graphical examples can be found in the "Guide to Best Practices for Georeferencing", Chapman and Wieczorek, eds. 2006 (http://www.gbif.org/prog/digit/Georeferencing).	http://rs.tdwg.org/dwc/terms/index.htm#pointRadiusSpatialFit	string	false
footprintWKT	http://rs.tdwg.org/dwc/terms/footprintWKT	A Well-Known Text (WKT) representation of the shape (footprint, geometry) that defines the Location. A Location may have both a point-radius representation (see decimalLatitude) and a footprint representation, and they may differ from each other.	the one-degree bounding box with opposite corners at (longitude=10, latitude=20) and (longitude=11, latitude=21) would be expressed in well-known text as POLYGON ((10 20, 11 20, 11 21, 10 21, 10 20))	http://rs.tdwg.org/dwc/terms/index.htm#footprintWKT	string	false
footprintSRS	http://rs.tdwg.org/dwc/terms/footprintSRS	A Well-Known Text (WKT) representation of the Spatial Reference System (SRS) for the footprintWKT of the Location. Do not use this term to describe the SRS of the decimalLatitude and decimalLongitude, even if it is the same as for the footprintWKT - use the geodeticDatum instead.	The WKT for the standard WGS84 SRS (EPSG:4326) is "GEOGCS["GCS_WGS_1984",DATUM["D_WGS_1984",SPHEROID["WGS_1984",6378137,298.257223563]],PRIMEM["Greenwich",0],UNIT["Degree",0.0174532925199433]]" without the enclosing quotes.	http://rs.tdwg.org/dwc/terms/index.htm#footprintSRS	string	false
footprintSpatialFit	http://rs.tdwg.org/dwc/terms/footprintSpatialFit	The ratio of the area of the footprint (footprintWKT) to the area of the true (original, or most specific) spatial representation of the Location. Legal values are 0, greater than or equal to 1, or undefined. A value of 1 is an exact match or 100% overlap. A value of 0 should be used if the given footprint does not completely contain the original representation. The footprintSpatialFit is undefined (and should be left blank) if the original representation is a point and the given georeference is not that same point. If both the original and the given georeference are the same point, the footprintSpatialFit is 1.	Detailed explanations with graphical examples can be found in the "Guide to Best Practices for Georeferencing", Chapman and Wieczorek, eds. 2006 (http://www.gbif.org/prog/digit/Georeferencing).	http://rs.tdwg.org/dwc/terms/index.htm#footprintSpatialFit	string	false
georeferencedBy	http://rs.tdwg.org/dwc/terms/georeferencedBy	A list (concatenated and separated) of names of people, groups, or organizations who determined the georeference (spatial representation) the Location. The recommended best practice is to separate the values with a vertical bar (' | ').	"Kristina Yamamoto (MVZ) | Janet Fang (MVZ)", "Brad Millen (ROM)"	http://rs.tdwg.org/dwc/terms/index.htm#georeferencedBy	string	false
georeferencedDate	http://rs.tdwg.org/dwc/terms/georeferencedDate	The date on which the Location was georeferenced. Recommended best practice is to use an encoding scheme, such as ISO 8601:2004(E).	"1963-03-08"	http://rs.tdwg.org/dwc/terms/index.htm#georeferencedDate	string	false
georeferenceProtocol	http://rs.tdwg.org/dwc/terms/georeferenceProtocol	A description or reference to the methods used to determine the spatial footprint, coordinates, and uncertainties.	"Guide to Best Practices for Georeferencing" (Chapman and Wieczorek, eds. 2006), "MaNIS/HerpNet/ORNIS Georeferencing Guidelines", "BioGeomancer"	http://rs.tdwg.org/dwc/terms/index.htm#georeferenceProtocol	string	false
georeferenceSources	http://rs.tdwg.org/dwc/terms/georeferenceSources	A list (concatenated and separated) of maps, gazetteers, or other resources used to georeference the Location, described specifically enough to allow anyone in the future to use the same resources. The recommended best practice is to separate the values with a vertical bar (' | ').	"USGS 1:24000 Florence Montana Quad | Terrametrics 2008 on Google Earth"	http://rs.tdwg.org/dwc/terms/index.htm#georeferenceSources	string	false
georeferenceVerificationStatus	http://rs.tdwg.org/dwc/terms/georeferenceVerificationStatus	A categorical description of the extent to which the georeference has been verified to represent the best possible spatial description. Recommended best practice is to use a controlled vocabulary.	"requires verification", "verified by collector", "verified by curator".	http://rs.tdwg.org/dwc/terms/index.htm#georeferenceVerificationStatus	string	false
georeferenceRemarks	http://rs.tdwg.org/dwc/terms/georeferenceRemarks	Notes or comments about the spatial description determination, explaining assumptions made in addition or opposition to the those formalized in the method referred to in georeferenceProtocol.	"assumed distance by road (Hwy. 101)"	http://rs.tdwg.org/dwc/terms/index.htm#georeferenceRemarks	string	false
geologicalContextID	http://rs.tdwg.org/dwc/terms/geologicalContextID	An identifier for the set of information associated with a GeologicalContext (the location within a geological context, such as stratigraphy). May be a global unique identifier or an identifier specific to the data set.		http://rs.tdwg.org/dwc/terms/index.htm#geologicalContextID	string	false
earliestEonOrLowestEonothem	http://rs.tdwg.org/dwc/terms/earliestEonOrLowestEonothem	The full name of the earliest possible geochronologic eon or lowest chrono-stratigraphic eonothem or the informal name ("Precambrian") attributable to the stratigraphic horizon from which the cataloged item was collected.	"Phanerozoic", "Proterozoic"	http://rs.tdwg.org/dwc/terms/index.htm#earliestEonOrLowestEonothem	string	false
