"SITE_ID","YEAR","VISIT_NO","LTMXSPP","LTMXDIST","LTMXDBH","LTMXSIZE","LTMXHT","LTMXCNT","LTMDDIST","LTMDDOM","LTMDSUB","LTMDDOMN","LTMDSUBN","LTSPLIST","LTFRACS","LTFRACM","LTFRACL","LTFRACX" 
"WAZP99-0639",2001,1,"Pine",30,".75-2","X",">30",11,22.272727273,"Pine","Firs/Hemlock",8,3,"FIR,PINE,FIR,PINE,PINE,FIR,PINE,PINE,PINE,PINE,PINE",11,11,11,6 
"WAZP99-0645",2001,1,"Ash",4,".3-.75","M","5-15",7,2.8333333333,"Willow","Ash",4,2,"WILLOW,WILLOW,WILLOW,WILLOW,WILLOW,WILLOW,WILLOW,WILLOW,ASH,ASH",7,1,0,0 
"WAZP99-0648",2001,1,"Juniper",10,".3-.75","M","5-15",5,11.666666667,"Juniper"," ",3, ,"JUNIPER,JUNIPER,JUNIPER,JUNIPER,JUNIPER",5,5,0,0 
"WAZP99-0649",2001,1," ",24,".3-.75","M","5-15",8,20.625," "," ",8, ,"SAGUARO CACTUS,SAGUARO CACTUS,SAGUARO CACTUS,SAGUARO CACTUS,SAGUARO CACTUS,SAGUARO CACTUS,SAGUARO CACTUS,SAGUARO CACTUS",8,8,0,0 
"WAZP99-0653",2001,1,"Pine",15,".3-.75","M","5-15",6,16,"Pine","Juniper",3,2,"PINYON PINE,PONDEROSA PINE,JUNIPER,PINYON PINE,PONDEROSA PINE,JUNIPER",6,3,0,0 
"WAZP99-0669",2001,1,"Spruce",5,".75-2","X",">30",11,10.272727273,"Spruce","Pine",10,1,"SPRUCE,SPRUCE,SPRUCE,SPRUCE, PINE,SPRUCE,SPRUCE,SPRUCE,SPRUCE,SPRUCE,SPRUCE,SPRUCE",11,11,11,4 
"WAZP99-0681",2001,1,"Poplar/Cottonwood",30,">2","X",">30",11,26.428571429,"Poplar/Cottonwood","Sycamore",4,3,"COTTONWOOD,COTTONWOOD,SYCAMORE,COTTONWOOD,COTTONWOOD,COTTONWOOD,SYCAMORE,COTTONWOOD,SYCAMORE,COTTONWOOD,WILLOW",11,11,6,2 
"WAZP99-0687",2001,1,"Pine",25,".3-.75","L","15-30",6,19.833333333,"Pine"," ",6, ,"PONDEROSA PINE,PONDEROSA PINE,PONDEROSA PINE,PONDEROSA PINE,PONDEROSA PINE,PONDEROSA PINE,PONDEROSA PINE,PONDEROSA PINE,PONDEROSA PINE,PONDEROSA PINE,PONDEROSA PINE",6,6,6,0 
"WAZP99-0701",2001,1,"Pine",150,".1-.3","M","5-15",3,100,"Pine"," ",3, ,"PINYON PINE,PINYON PINE,PINYON PINE",3,1,0,0 
"WAZP99-0712",2002,1,"Ash",25,".75-2","L","15-30",10,16.2,"Cedar/Cypress/Sequoia","Ash",3,1,"WILLOW,SALT CEDAR,SALT CEDAR,SALT CEDAR,ASH,SALT CEDAR,WILLOW,SALT CEDAR,SALT CEDAR,WILLOW,SALT CEDAR",10,10,3,0 
"WAZP99-0716",2002,1,"Sycamore",35,".75-2","L","15-30",10,28.857142857,"Sycamore"," ",7, ,"SYCAMORE,SYCAMORE,SYCAMORE,SYCAMORE,SYCAMORE,SYCAMORE,SYCAMORE,JUNIPER,SYCAMORE,SYCAMORE,SYCAMORE",10,10,8,0 
"WAZP99-0722",2002,1,"Spruce",4,">2","X",">30",11,3.9090909091,"Spruce","Firs/Hemlock",10,1,"SPRUCE,SPRUCE,SPRUCE,SPRUCE,SPRUCE,SPRUCE,SPRUCE,SPRUCE,SPRUCE,SPRUCE,DOUGLAS FIR",11,11,11,2 
"WAZP99-0744",2002,1,"Oak",35,".3-.75","M","5-15",4,29.4,"Pine","Willow",2,2,"PINON,PINON,OAK,WILLOW,WILLOW,WILLOW,WILLOW",4,1,0,0 
"WAZP99-0750",2003,1,"Sycamore",8,".3-.75","L","15-30",11,19.857142857,"Sycamore"," ",4,1,"COTTONWOOD,SYCAMORE,COTTONWOOD,SYCAMORE,WILLOW,ALDER,ALDER,COTTONWOOD,WALNUT,SYCAMORE,SYCAMORE",11,11,6,0 
"WAZP99-0768",2002,1,"Cedar/Cypress/Sequoia",15,"0-0.1","S","<5",9,14.444444444,"Acacia/Mesquite","Cedar/Cypress/Sequoia",8,1,"SALT CEDAR,MESQUITE,MESQUITE,MESQUITE,MESQUITE,MESQUITE,MESQUITE,MESQUITE,MESQUITE",9,0,0,0 
"WAZP99-0783",2002,1,"Pine",4,".75-2","L","15-30",10,3.4,"Pine"," ",4,1,"PONDEROSA PINE,PONDEROSA PINE,BOXELDER,BOXELDER,BOXELDER,PONDEROSA PINE,PONDEROSA PINE,BOXELDER,WALNUT,BOXELDER,BOXELDER",10,10,4,0 
"WAZP99-0828",2002,1,"Pine",7,">2","X",">30",10,7.6,"Pine"," ",5, ,"SPRUCE,PONDEROSA,PONDEROSA,PONDEROSA,PONDEROSA,PONDEROSA,PONDEROSA,PONDEROSA,PONDEROSA,DOUGLAS FIR,SPRUCE",10,10,10,5 
"WAZP99-0833",2003,1,"Poplar/Cottonwood",8,".75-2","L","15-30",11,10.636363636,"Sycamore","Cedar/Cypress/Sequoia",5,2,"COTTONWOOD,SYCAMORE,SYCAMORE,ALDER,SYCAMORE,SYCAMORE,PINE,SYCAMORE,CEDAR/JUNIPER,CEDAR/JUNIPER,OAK",11,11,11,0 
"WAZP99-0839",2003,1,"Sycamore",18,".75-2","L","15-30",11,8,"Poplar/Cottonwood","Sycamore",2,2,"ALDER,SYCAMORE,WILLOW,ASH,ALDER,COTTONWOOD,WILLOW,COTTONWOOD,COTTONWOOD,COTTONWOOD,SYCAMORE",11,11,9,0 
"WAZP99-0840",2002,1," ", ," "," "," ", , ," "," ",11, ," ", , , ,  
"WAZP99-0851",2002,1,"Poplar/Cottonwood",13,".3-.75","L","15-30",10,10.4,"Poplar/Cottonwood","Willow",4,1,"WILLOW,COTTONWOOD,COTTONWOOD,COTTONWOOD,WILLOW,WILLOW,COTTONWOOD,WILLOW,WILLOW,WILLOW,COTTONWOOD",10,6,1,0 
"WAZP99-0861",2003,1,"Poplar/Cottonwood",30,".1-.3","M","5-15",3,14,"Poplar/Cottonwood","Willow",2,1,"COTTONWOOD,COTTONWOOD,WILLOW",3,3,0,0 
"WAZP99-0863",2003,1,"Willow",0,".1-.3","M","5-15",11,1.7,"Willow","Poplar/Cottonwood",7,3,"WILLOW,WILLOW,WILLOW,WILLOW,WILLOW,COTTONWOOD,WILLOW,COTTONWOOD,WILLOW,COTTONWOOD,SYCAMORE",11,10,0,0 
"WAZP99-0868",2003,1,"Firs/Hemlock",7,".75-2","X",">30",11,7.2727272727,"Firs/Hemlock"," ",11, ,"DOUGLAS FIR,DOUGLAS FIR,DOUGLAS FIR,DOUGLAS FIR,DOUGLAS FIR,DOUGLAS FIR,DOUGLAS FIR,DOUGLAS FIR,DOUGLAS FIR,DOUGLAS FIR,DOUGLAS FIR",11,11,11,11 
"WAZP99-0876",2003,1,"Juniper",7,".3-.75","M","<5",6,7,"Juniper"," ",3, ,"JUNIPER,JUNIPER,JUNIPER,JUNIPER,JUNIPER,JUNIPER",6,3,0,0 
"WAZP99-0888",2003,1,"Firs/Hemlock",8,".75-2","L","15-30",11,7.9090909091,"Firs/Hemlock","Pine",7,4,"PONDEROSA PINE,PONDEROSA PINE,PONDEROSA PINE,DOUGLAS FIR,DOUGLAS FIR,DOUGLAS FIR,DOUGLAS FIR,DOUGLAS FIR,DOUGLAS FIR,DOUGLAS FIR,PONDEROSA PINE",11,11,11,0 
"WAZP99-0893",2003,1,"Snag",30,".75-2","L","15-30",11,9.6590909091,"Alder/Birch","Snag",6,2,"ALDER,ALDER,ALDER,ALDER,ALDER,SYCAMORE,ALDER,SNAG,SNAG,COTTONWOOD,SYCAMORE",11,11,6,0 
"WAZP99-0906",2003,1," ",50,".75-2","L","15-30",11,18.454545455,"Willow"," ",9,2,"SIBERIAN ELM,WILLOW,WILLOW,WILLOW,WILLOW,WILLOW,WILLOW,ELM,WILLOW,WILLOW,WILLOW",11,2,1,0 
"WCAP99-0501",2001,1,"Oak",40,".75-2","X",">30",11,26.888888889,"Oak","Poplar/Cottonwood",5,2,"OAK,COTTONWOOD,ALDER,OAK,OAK,COTTONWOOD,WILLOW,OAK,OAK,COTTONWOOD,WILLOW",11,11,5,1 
"WCAP99-0503",2000,1,"Pine",4,".75-2","X",">30",10,4.4,"Pine","Firs/Hemlock",4,1,"PINE,PINE,FIR,PINE,PINE,PINE,PINE,FIR,PINE,PINE",10,10,10,1 
"WCAP99-0505",2000,1,"Cedar/Cypress/Sequoia",20,".75-2","X",">30",10,18.857142857,"Cedar/Cypress/Sequoia"," ",7, ,"PINE,REDWOOD,REDWOOD,REDWOOD,PINE,REDWOOD,REDWOOD,REDWOOD,REDWOOD,REDWOOD",10,10,10,7 
"WCAP99-0506",2000,1,"Juniper",22,".3-.75","L","15-30",10,9,"Juniper","Poplar/Cottonwood",7,2,"JUNIPER,JUNIPER,JUNIPER,JUNIPER,JUNIPER,PINE,POPLAR,JUNIPER,POPLAR,JUNIPER",10,10,9,0 
"WCAP99-0509",2001,1,"Firs/Hemlock",5,".75-2","X",">30",11,10.5,"Firs/Hemlock","Pine",7,1,"FIR,FIR,FIR,FIR,FIR,PINE,FIR,PINE,FIR,FIR,FIR",11,11,11,1 
"WCAP99-0512",2001,1,"Oak",12,".3-.75","L","15-30",11,17.181818182,"Pine","Oak",8,3,"VALLEY OAK,DIGGER PINE,VALLEY OAK,DIGGER PINE,VALLEY OAK,DIGGER PINE,DIGGER PINE,DIGGER PINE,DIGGER PINE,DIGGER PINE,DIGGER PINE",11,11,9,0 
"WCAP99-0515",2000,1,"Oak",40,".75-2","L","15-30",10,29.2,"Oak","Pine",8,1,"OAK,OAK,OAK,OAK,OAK,OAK,OAK,PINE,OAK,COTTONWOOD",10,10,10,0 
"WCAP99-0521",2000,1,"Pine",0,".75-2","X",">30",10,12,"Pine"," ",9, ,"PINE,PINE,PINE,PINE,PINE,PINE,PINE,PINE,PINE,PINE",10,10,10,8 
"WCAP99-0527",2001,1,"Oak",40,".75-2","L","15-30",11,18.8,"Oak","Poplar/Cottonwood",3,3,"LIVE OAK,LIVE OAK,LIVE OAK,LIVE OAK,COTTONWOOD,ALDER,COTTONWOOD,SYCAMORE,SYCAMORE,ALDER,COTTONWOOD",11,11,10,0 
"WCAP99-0534",2000,1,"Alder/Birch",3,".3-.75","L","15-30",11,4.8,"Poplar/Cottonwood","Alder/Birch",3,1,"WILLOW,WILLOW,COTTONWOOD,ALDER,COTTONWOOD,WILLOW,WILLOW,COTTONWOOD,COTTONWOOD,COTTONWOOD,WILLOW",11,11,4,0 
"WCAP99-0535",2000,1,"Willow",1,".75-2","L","15-30",10,17.1,"Willow"," ",10, ,"WILLOW,WILLOW,WILLOW,WILLOW,WILLOW,WILLOW,WILLOW,WILLOW,WILLOW,WILLOW",10,10,2,0 
"WCAP99-0536",2000,1,"Alder/Birch",2,".3-.75","L","15-30",11,3.4545454545,"Alder/Birch","Sycamore",7,3,"ALDER,ALDER,ALDER,ALDER,ALDER,SYCAMORE,WILLOW,ALDER,SYCAMORE,SYCAMORE,ALDER",11,11,2,0 
"WCAP99-0539",2000,1,"Cedar/Cypress/Sequoia",5,">2","X",">30",11,7.6666666667,"Cedar/Cypress/Sequoia","Pine",8,2,"CEDAR,CEDAR,ALDER,CEDAR,CEDAR,PINE,CEDAR,CEDAR,CEDAR,CEDAR,PINE",11,11,10,8 
"WCAP99-0540",2000,1,"Pine",8,".75-2","X",">30",11,38,"Pine"," ",11, ,"PINE,PINE,PINE,PINE,PINE,PINE,PINE,PINE,PINE,PINE,PINE",11,11,11,11 
"WCAP99-0542",2000,1,"Oak",8,".3-.75","L","15-30",10,10.3,"Oak","Willow",6,3,"WILLOW,MAPLE,WILLOW,WILLOW,OAK,OAK,OAK,OAK,OAK,OAK",10,10,1,0 
"WCAP99-0550",2000,1,"Alder/Birch",2,".3-.75","L",">30",9,2.25,"Alder/Birch"," ",8, ,"ALDER,ALDER,ALDER,ALDER,ALDER,ALDER,ALDER,ALDER,ALDER,ALDER",9,9,8,0 
"WCAP99-0552",2000,1,"Alder/Birch",5,".3-.75","L","15-30",10,3.6,"Alder/Birch"," ",10, ,"ALDER,ALDER,ALDER,ALDER,ALDER,ALDER,ALDER,ALDER,ALDER,ALDER",10,10,10,0 
"WCAP99-0558",2000,1,"Poplar/Cottonwood",4,">2","X","15-30",11,4.3636363636,"Poplar/Cottonwood","Willow",6,3,"WILLOW,COTTONWOOD,COTTONWOOD,COTTONWOOD,SYCAMORE,COTTONWOOD,WILLOW,SYCAMORE,WILLOW,COTTONWOOD,COTTONWOOD",11,11,10,1 
"WCAP99-0560",2000,1,"Poplar/Cottonwood",30,".3-.75","L","15-30",10,19.8,"Poplar/Cottonwood","Sycamore",9,1,"COTTONWOOD,COTTONWOOD,COTTONWOOD,COTTONWOOD,COTTONWOOD,SYCAMORE,COTTONWOOD,COTTONWOOD,COTTONWOOD,COTTONWOOD",10,10,6,0 
"WCAP99-0563",2001,1,"Alder/Birch",1,".75-2","L","15-30",11,2.6666666667,"Alder/Birch","Poplar/Cottonwood",8,1,"ALDER,COTTONWOOD,ALDER,ALDER,ALDER,ALDER,ALDER,ALDER,ALDER,ALDER,ALDER",11,11,7,0 
"WCAP99-0574",2000,1,"Pine",20,".75-2","X",">30",10,13.333333333,"Pine"," ",9, ,"PINE,PINE,PINE,PINE,PINE,PINE,PINE,PINE,PINE,PINE",10,10,9,3 
"WCAP99-0581",2001,1,"Firs/Hemlock",8,".3-.75","L",">30",11,31.636363636,"Firs/Hemlock","Oak",8,3,"DOUGLAS FIR,DOUGLAS FIR,DOUGLAS FIR,DOUGLAS FIR,DOUGLAS FIR,LIVE OAK,DOUGLAS FIR,LIVE OAK,LIVE OAK,DOUGLAS FIR,DOUGLAS FIR",11,11,11,0 
"WCAP99-0583",2001,1,"Firs/Hemlock",30,".75-2","L","15-30",11,14.272727273,"Firs/Hemlock"," ",11, ,"DOUGLAS FIR,DOUGLAS FIR,DOUGLAS FIR,DOUGLAS FIR,DOUGLAS FIR,DOUGLAS FIR,DOUGLAS FIR,DOUGLAS FIR,DOUGLAS FIR,DOUGLAS FIR,DOUGLAS FIR",11,11,11,0 
"WCAP99-0587",2000,1,"Pine",25,".75-2","X",">30",10,16,"Pine","Cedar/Cypress/Sequoia",6,3,"CEDAR,CEDAR,PINE,PINE,PINE,PINE,PINE,CEDAR,OAK,PINE",10,10,10,2 
"WCAP99-0590",2000,1,"Pine",40,".75-2","X",">30",10,13.6,"Cedar/Cypress/Sequoia","Pine",7,3,"PINE,REDWOOD,REDWOOD,REDWOOD,PINE,REDWOOD,REDWOOD,REDWOOD,PINE,REDWOOD",10,10,10,2 
"WCAP99-0592",2000,1,"Pine",10,".75-2","L","15-30",10,10.9,"Pine"," ",10, ,"PINE,PINE,PINE,PINE,PINE,PINE,PINE,PINE,PINE,PINE",10,10,10,0 
"WCAP99-0593",2001,1,"Firs/Hemlock",21,">2","X",">30",10,19.777777778,"Firs/Hemlock"," ",9, ,"DOUGLAS FIR,DOUGLAS FIR,DOUGLAS FIR,DOUGLAS FIR,DOUGLAS FIR,DOUGLAS FIR,DOUGLAS FIR,DOUGLAS FIR,DOUGLAS FIR,DOUGLAS FIR",10,10,10,8 
"WCAP99-0598",2002,1,"Firs/Hemlock",35,".3-.75","L",">30",11,26,"Alder/Birch","Firs/Hemlock",5,5,"DOUGLAS FIR,FIR,FIR,MAPLE,ALDER,ALDER,ALDER,FIR,ALDER,FIR,ALDER",11,11,11,0 
"WCAP99-0600",2000,1,"Cedar/Cypress/Sequoia",14,".75-2","L","15-30",10,11.375,"Alder/Birch","Cedar/Cypress/Sequoia",3,2,"REDWOOD,ALDER,REDWOOD,UNKNOWN,FIR,FIR,ALDER,ALDER,ALDER,ALDER",10,10,7,0 
"WCAP99-0604",2000,1,"Pine",6,".75-2","X",">30",10,17.3,"Pine"," ",10, ,"PINE,PINE,PINE,PINE,PINE,PINE,PINE,PINE,PINE,PINE",10,10,10,10 
"WCAP99-0605",2000,1,"Pine",15,".75-2","X",">30",10,11.9,"Pine","Alder/Birch",5,4,"ALDER,ALDER,PINE,MAPLE,PINE,ALDER,PINE,PINE,ALDER,PINE",10,10,10,3 
"WCAP99-0606",2000,1,"Pine",20,".3-.75","L",">30",10,15.2,"Oak","Pine",7,2,"OAK,PINE,OAK,REDWOOD,PINE,OAK,OAK,OAK,OAK,OAK",10,10,10,0 
"WCAP99-0613",2000,1,"Pine",3,".75-2","X",">30",10,5.6,"Maple/Boxelder","Pine",4,4,"ALDER,MAPLE,PINE,MAPLE,ALDER,MAPLE,PINE,MAPLE,PINE,PINE",10,10,10,1 
"WCAP99-0614",2003,1,"Firs/Hemlock",50,">2","X",">30",11,28.5,"Firs/Hemlock"," ",10, ,"GRAND FIR,GRAND FIR,GRAND FIR,WHITE FIR,GRAND FIR,GRAND FIR,WHITE FIR,GRAND FIR,GRAND FIR,GRAND FIR,WHITE FIR",11,11,11,5 
"WCAP99-0618",2003,1,"Cedar/Cypress/Sequoia",30,">2","X",">30",11,24.363636364,"Cedar/Cypress/Sequoia","Firs/Hemlock",6,3,"REDWOOD,DOUGLAS FIR,WESTERN HEMLOCK,REDWOOD,REDWOOD,REDWOOD,PACIFIC YEW,DOUGLAS FIR,ALDER,REDWOOD,REDWOOD",11,11,11,2 
"WCAP99-0619",2000,1,"Cedar/Cypress/Sequoia",10,">2","X",">30",10,17.3,"Cedar/Cypress/Sequoia"," ",10, ,"REDWOOD,REDWOOD,REDWOOD,REDWOOD,REDWOOD,REDWOOD,REDWOOD,REDWOOD,REDWOOD,REDWOOD",10,10,10,10 
"WCAP99-0624",2001,1,"Poplar/Cottonwood",7,".75-2","L","15-30",11,6.4545454545,"Oak","Poplar/Cottonwood",9,1,"OAK,OAK,OAK,OAK,COTTONWOOD,OAK,WILLOW,OAK,OAK,OAK,OAK",11,11,5,0 
"WCAP99-0625",2001,1,"Firs/Hemlock",20,".75-2","L","15-30",11,22.8,"Firs/Hemlock"," ",10, ,"FIR,FIR,FIR,FIR,FIR,FIR,FIR,FIR,FIR,FIR,FIR",11,11,11,0 
"WCAP99-0629",2002,1,"Pine",47,".75-2","X",">30",7,34.285714286,"Pine","Poplar/Cottonwood",6,1,"JEFFEREY PINE,JEFFEREY PINE,PINUS CONTORTA,COTTONWOOD,PINUS CONTORTA,PINUS CONTORTA,PINUS CONTORTA",7,7,3,2 
"WCAP99-0654",2001,1,"Willow",2,".1-.3","M","15-30",3,3,"Willow"," ",3, ,"WILLOW,WILLOW,WILLOW",3,3,0,0 
"WCAP99-0658",2001,1,"Cedar/Cypress/Sequoia",7,">2","X",">30",9,14,"Cedar/Cypress/Sequoia","Alder/Birch",5,1,"PINE,CEDAR,OAK,CEDAR,OAK,CEDAR,CEDAR,CEDAR,ALDER",9,9,9,8 
"WCAP99-0662",2001,1,"Oak",45,".75-2","X",">30",11,28.7,"Pine","Oak",6,4,"PINE,OAK,OAK,PINE,OAK,PINE,OAK,PINE,OAK,PINE,PINE",11,11,10,1 
"WCAP99-0669",2001,1,"Cedar/Cypress/Sequoia",30,".75-2","L","15-30",11,16.5,"Cedar/Cypress/Sequoia","Pine",6,1,"CEDAR,PINE,PINE,CEDAR,CEDAR,CEDAR,PINE,SYCAMORE,CEDAR,SYCAMORE,CEDAR",11,11,8,0 
"WCAP99-0674",2002,1,"Oak",50,".75-2","X",">30",11,29,"Alder/Birch","Oak",2,2,"ALDER,LIVE OAK,SYCAMORE,ALDER,ALDER,ALDER,LIVE OAK,LIVE OAK,FIR,LIVE OAK,ALDER",11,11,11,6 
"WCAP99-0677",2002,1,"Sycamore",12,".75-2","L","15-30",11,10.636363636,"Oak","Sycamore",7,3,"SYCAMORE,LIVE OAK,LIVE OAK,LIVE OAK,LIVE OAK,SYCAMORE,SYCAMORE,LIVE OAK,LIVE OAK,LIVE OAK,PINUS SAMIANA",11,11,11,0 
"WCAP99-0679",2002,1,"Oak",50,">2","X",">30",11,20.666666667,"Oak"," ",9, ,"LIVE OAK,LIVE OAK,LIVE OAK,LIVE OAK,LIVE OAK,LIVE OAK,LIVE OAK,LIVE OAK,LIVE OAK,LIVE OAK,LIVE OAK",11,11,11,6 
"WCAP99-0682",2002,1,"Oak",3,".75-2","L","15-30",11,5.875,"Willow","Oak",5,3,"WILLOW,WILLOW,WILLOW,WILLOW,LIVE OAK,WILLOW,WILLOW,LIVE OAK,LIVE OAK,WILLOW,WILLOW",11,11,3,0 
"WCAP99-0683",2002,1,"Firs/Hemlock",20,".3-.75","L","15-30",11,21,"Oak","Firs/Hemlock",5,2,"DOUGLAS FIR,DOUGLAS FIR,LIVE OAK,LIVE OAK,SYCAMORE,COTTONWOOD,COTTONWOOD,LIVE OAK,LIVE OAK,ALDER,LIVE OAK",11,11,7,0 
"WCAP99-0742",2001,1,"Firs/Hemlock",20,".75-2","X",">30",11,17,"Firs/Hemlock","Cedar/Cypress/Sequoia",4,3,"PINE,FIR,FIR,FIR,PINE,CEDAR,FIR,CEDAR,FIR,FIR,CEDAR",11,11,11,3 
"WCAP99-0744",2001,1,"Firs/Hemlock",4,".75-2","X",">30",11,17,"Firs/Hemlock","Pine",10,1,"WHITE FIR,DOUGLAS FIR,DOUGLAS FIR,WHITE FIR,PONDEROSA PINE,DOUGLAS FIR,WHITE FIR,DOUGLAS FIR,WHITE FIR,DOUGLAS FIR,WHITE FIR",11,11,11,1 
"WCAP99-0746",2001,1,"Willow",3,".75-2","L","15-30",11,17.111111111,"Oak","Poplar/Cottonwood",4,2,"COTTONWOOD,OTHER DECIDUOUS,ALDER,WILLOW,ALDER,COTTONWOOD,COTTONWOOD,OAK,OAK,LIVE OAK,LIVE OAK",11,11,3,0 
"WCAP99-0747",2001,1,"Pine",35,".75-2","L","15-30",11,19.181818182,"Oak","Pine",9,2,"LIVE OAK,LIVE OAK,LIVE OAK,LIVE OAK,PINE,LIVE OAK,LIVE OAK,LIVE OAK,PINE,LIVE OAK,LIVE OAK",11,11,4,0 
"WCAP99-0748",2001,1," ",12,".75-2","L","15-30",11,10.818181818," "," ",11, ,"EUCALYPTUS,EUCALYPTUS,EUCALYPTUS,WALNUT,EUCALYPTUS,EUCALYPTUS,EUCALYPTUS,EUCALYPTUS,EUCALYPTUS,EUCALYPTUS,EUCALYPTUS",11,11,11,0 
"WCAP99-0750",2001,1,"Firs/Hemlock",3,".3-.75","L","15-30",11,6.4444444444,"Firs/Hemlock"," ",9, ,"FIR,FIR,FIR,FIR,FIR,FIR,FIR,FIR,FIR,FIR,FIR",11,11,7,0 
"WCAP99-0755",2001,1,"Cedar/Cypress/Sequoia",7,".75-2","X",">30",11,12,"Cedar/Cypress/Sequoia","Firs/Hemlock",4,3,"DOUGLAS FIR,CEDAR,DOUGLAS FIR,WESTERN RED CEDAR,WESTERN RED CEDAR,PINE,DOUGLAS FIR,PINE,PINE,WESTERN RED CEDAR,DOUGLAS FIR",11,11,9,2 
"WCAP99-0756",2001,1,"Spruce",34,".75-2","X",">30",11,30,"Spruce"," ",7, ,"SPRUCE,SPRUCE,SPRUCE,SPRUCE,SPRUCE,SPRUCE,SPRUCE,SPRUCE,SPRUCE,SPRUCE,SPRUCE",11,11,9,6 
"WCAP99-0758",2001,1,"Pine",5,">2","X","15-30",11,3.5555555556,"Alder/Birch","Pine",7,2,"ALDER,PINE,ALDER,ALDER,ALDER,ALDER,ALDER,ALDER,ALDER,PINE,ALDER",11,10,1,1 
