"SITE_ID","YEAR","VISIT_NO","DATE_COL","TEAM_ID","CHAN_CON","PERCENT","BANKFULL","VALLEY","PATTERN","CONSTRNT","FEATURES","VALLYBOX" 
"WAZP99-0893",2003,1,05/13/2003,"1"," ",20,8,25,"SINGLE","UNC_NARROW","BEDROCK"," " 
"WAZP99-0906",2003,1,06/04/2003,"1"," ",60,10,400,"SINGLE","CON_BROAD","TERRACE"," " 
"WCAP99-0501",2001,1,06/07/2001,"1"," ",80,8,500,"SINGLE","UNC_NARROW","TERRACE"," " 
"WCAP99-0503",2000,1,10/03/2000," ","CH",100,20, ," "," "," "," " 
"WCAP99-0505",2000,1,08/09/2000," ","CH",100,19, ," "," "," "," " 
"WCAP99-0506",2000,1,08/29/2000," ","CT",100,14,300," "," "," "," " 
"WCAP99-0509",2001,1,08/07/2001,"2"," ",0,5,700,"SINGLE","UNC_BROAD","NOCONST","Y" 
"WCAP99-0512",2001,1,08/29/2001,"1"," ",100,6,400,"SINGLE","CON_VSHAPED","BEDROCK"," " 
"WCAP99-0515",2000,1,09/28/2000,"0","CH",100,13, ," "," "," "," " 
"WCAP99-0521",2000,1,08/30/2000," ","CH",100,13, ," "," "," "," " 
"WCAP99-0527",2001,1,08/20/2001,"1"," ",100,8,100,"SINGLE","CON_VSHAPED","BEDROCK"," " 
"WCAP99-0534",2000,1,06/20/2000," ","CH",100,8,100," "," "," "," " 
"WCAP99-0535",2000,1,06/13/2000," ","CT",50,25,100," "," "," "," " 
"WCAP99-0536",2000,1,06/14/2000," ","CT",100,4,450," "," "," "," " 
"WCAP99-0539",2000,1,07/19/2000," ","CH",100,6,40," "," "," "," " 
"WCAP99-0540",2000,1,06/21/2000," ","CT",100,8,250," "," "," "," " 
"WCAP99-0542",2000,1,07/11/2000," ","CT",100,8,300," "," "," "," " 
"WCAP99-0550",2000,1,06/27/2000,"1","CH",100,2,10," "," "," "," " 
"WCAP99-0552",2000,1,07/25/2000," ","CH",100,12,100," "," "," "," " 
"WCAP99-0558",2000,1,06/28/2000,"1","US",0,5,200," "," "," "," " 
"WCAP99-0560",2000,1,07/13/2000," ","CH",100,17,100," "," "," "," " 
"WCAP99-0563",2001,1,06/21/2001,"1"," ",100,1,300,"SINGLE","CON_BROAD","TERRACE"," " 
"WCAP99-0574",2000,1,08/15/2000," ","CH",100,2, ," "," "," "," " 
"WCAP99-0581",2001,1,07/26/2001,"1"," ",100,5,100,"SINGLE","CON_VSHAPED","BEDROCK"," " 
"WCAP99-0583",2001,1,08/01/2001,"1"," ",100,4,100,"SINGLE","CON_VSHAPED","BEDROCK"," " 
"WCAP99-0587",2000,1,08/16/2000," ","CH",100,4, ," "," "," "," " 
"WCAP99-0590",2000,1,08/24/2000," ","CH",100,8, ," "," "," "," " 
"WCAP99-0592",2000,1,09/12/2000," ","UA",0,3,200," "," "," "," " 
"WCAP99-0593",2001,1,08/28/2001,"1"," ",100,5,100,"SINGLE","CON_VSHAPED","HILLSLOPE"," " 
"WCAP99-0598",2002,1,09/17/2002,"1"," ",100,4,7,"SINGLE","CON_VSHAPED","HILLSLOPE"," " 
"WCAP99-0600",2000,1,08/02/2000," ","CT",50,7, ," "," "," "," " 
"WCAP99-0604",2000,1,09/13/2000," ","CH",100,6, ," "," "," "," " 
"WCAP99-0605",2000,1,09/19/2000," ","CH",100,20, ," "," "," "," " 
"WCAP99-0606",2000,1,08/23/2000," ","CH",100,9, ," "," "," "," " 
"WCAP99-0613",2000,1,08/08/2000," ","CT",100,10,100," "," "," "," " 
"WCAP99-0614",2003,1,08/20/2003,"1"," ",90,12,30,"SINGLE","CON_VSHAPED","HILLSLOPE"," " 
"WCAP99-0618",2003,1,07/23/2003,"2"," ",50,23,30,"SINGLE","CON_VSHAPED","HILLSLOPE"," " 
"WCAP99-0619",2000,1,08/22/2000," ","CH",100,1, ," "," "," "," " 
"WCAP99-0624",2001,1,08/22/2001,"2"," ",100,7,2000,"SINGLE","CON_BROAD","TERRACE","Y" 
"WCAP99-0625",2001,1,09/11/2001,"1"," ",100,5,250,"SINGLE","CON_VSHAPED","HILLSLOPE"," " 
"WCAP99-0629",2002,1,06/27/2002,"1"," ",100,5,600,"SINGLE","CON_VSHAPED","BEDROCK"," " 
"WCAP99-0654",2001,1,06/13/2001,"1"," ",100,10,50,"SINGLE","CON_VSHAPED","HUMAN"," " 
"WCAP99-0658",2001,1,05/09/2001,"1"," ",100,5,50,"SINGLE","CON_VSHAPED","HILLSLOPE"," " 
"WCAP99-0662",2001,1,05/16/2001,"1"," ",100,2,150,"SINGLE","CON_VSHAPED","HILLSLOPE"," " 
"WCAP99-0669",2001,1,06/26/2001,"1"," ",100,6,250,"SINGLE","CON_VSHAPED","BEDROCK"," " 
"WCAP99-0674",2002,1,05/16/2002,"1"," ",100,3,10,"SINGLE","CON_VSHAPED","HILLSLOPE"," " 
"WCAP99-0677",2002,1,05/09/2002,"1"," ",100,3,300,"SINGLE","CON_VSHAPED","HILLSLOPE"," " 
"WCAP99-0679",2002,1,04/24/2002,"1"," ",100,4,10,"SINGLE","CON_VSHAPED","HILLSLOPE"," " 
"WCAP99-0682",2002,1,04/30/2002,"1"," ",100,3,250,"SINGLE","CON_VSHAPED","HILLSLOPE"," " 
"WCAP99-0683",2002,1,05/08/2002,"1"," ",100,7,1000,"SINGLE","CON_VSHAPED","HILLSLOPE"," " 
"WCAP99-0742",2001,1,08/21/2001,"2"," ",100,5,400,"SINGLE","CON_VSHAPED","HILLSLOPE"," " 
"WCAP99-0744",2001,1,09/12/2001,"1"," ",100,10,350,"SINGLE","CON_VSHAPED","HILLSLOPE"," " 
"WCAP99-0746",2001,1,07/31/2001,"2"," ",40,7,400,"SINGLE","CON_BROAD","TERRACE","Y" 
"WCAP99-0747",2001,1,09/07/2001,"1"," ",100,3,150,"SINGLE","CON_VSHAPED","BEDROCK"," " 
"WCAP99-0748",2001,1,08/20/2001,"2"," ",100,6,23,"SINGLE","CON_VSHAPED","HUMAN"," " 
"WCAP99-0750",2001,1,08/07/2001,"1"," ",100,2,150,"SINGLE","CON_VSHAPED","HILLSLOPE"," " 
"WCAP99-0755",2001,1,08/22/2001,"1"," ",100,5,400,"SINGLE","CON_VSHAPED","BEDROCK"," " 
"WCAP99-0756",2001,1,08/21/2001,"1"," ",100,4,1000,"SINGLE","UNC_BROAD","NOCONST"," " 
"WCAP99-0758",2001,1,07/02/2001,"1"," ",100,4,200,"SINGLE","CON_VSHAPED","HILLSLOPE"," " 
"WCAP99-0759",2001,1,09/13/2001,"1"," ",100,3,1000,"SINGLE","CON_BROAD","TERRACE","Y" 
"WCAP99-0760",2001,1,08/09/2001,"2"," ",100,5,200,"SINGLE","CON_VSHAPED","HILLSLOPE"," " 
"WCAP99-0761",2001,1,10/02/2001,"1"," ",100,3,150,"SINGLE","CON_VSHAPED","BEDROCK"," " 
"WCAP99-0764",2002,1,06/20/2002,"2"," ",20,20, ,"SINGLE","UNC_BROAD","HUMAN","Y" 
"WCAP99-0767",2001,1,10/10/2001,"1"," ",100,9,350,"SINGLE","CON_VSHAPED","HILLSLOPE"," " 
"WCAP99-0768",2001,1,07/25/2001,"2"," ",100,9,250,"SINGLE","CON_VSHAPED","HILLSLOPE"," " 
"WCAP99-0777",2001,1,06/20/2001,"1"," ",100,4,400,"SINGLE","CON_BROAD","TERRACE"," " 
"WCAP99-0779",2001,1,07/11/2001,"1"," ",100,3,100,"SINGLE","CON_VSHAPED","HILLSLOPE"," " 
"WCAP99-0780",2001,1,05/15/2001,"1"," ",100,2,300,"SINGLE","CON_BROAD","HILLSLOPE"," " 
"WCAP99-0785",2001,1,05/24/2001,"1"," ",100,3,30,"SINGLE","CON_VSHAPED","HUMAN"," " 
"WCAP99-0787",2001,1,06/27/2001,"1"," ",100,3,40,"SINGLE","CON_VSHAPED","HILLSLOPE"," " 
"WCAP99-0794",2001,1,05/10/2001,"1"," ",100,2,20,"SINGLE","CON_VSHAPED","HILLSLOPE"," " 
"WCAP99-0795",2001,1,06/06/2001,"1"," ",50,10,1500,"BRAIDED","CON_BROAD","BEDROCK"," " 
"WCAP99-0796",2001,1,07/10/2001,"1"," ",100,4,250,"SINGLE","CON_VSHAPED","HILLSLOPE"," " 
"WCAP99-0798",2001,1,05/17/2001,"1"," ", ,4,300,"SINGLE","UNC_NARROW","NOCONST"," " 
"WCAP99-0803",2001,1,06/12/2001,"1"," ",75,7,150,"SINGLE","CON_VSHAPED","HILLSLOPE"," " 
"WCAP99-0806",2001,1,06/20/2001,"2"," ",100,6,45,"SINGLE","CON_VSHAPED","BEDROCK"," " 
"WCAP99-0809",2001,1,06/05/2001,"1"," ",100,6,600,"SINGLE","CON_VSHAPED","HILLSLOPE"," " 
"WCAP99-0810",2001,1,07/26/2001,"2"," ",100,2,50,"SINGLE","CON_VSHAPED","HILLSLOPE"," " 
"WCAP99-0811",2001,1,07/31/2001,"1"," ",100,10,200,"SINGLE","CON_VSHAPED","HILLSLOPE"," " 
"WCAP99-0812",2001,1,07/12/2001,"2"," ",100,7,400,"SINGLE","CON_VSHAPED","HILLSLOPE"," " 
"WCAP99-0816",2001,1,08/14/2001,"1"," ",100,3,250,"SINGLE","CON_VSHAPED","HILLSLOPE"," " 
"WCAP99-0824",2001,1,07/24/2001,"1"," ",100,5,500,"SINGLE","CON_BROAD","TERRACE"," " 
"WCAP99-0825",2001,1,07/10/2001,"1"," ",50,15,800,"SINGLE","UNC_NARROW","TERRACE"," " 
"WCAP99-0831",2001,1,07/11/2001,"2"," ",70,5,700,"SINGLE","UNC_NARROW","BEDROCK"," " 
"WCAP99-0832",2001,1,07/24/2001,"2"," ",100,5,500,"SINGLE","CON_BROAD","TERRACE","Y" 
"WCAP99-0833",2001,1,08/15/2001,"1"," ",100,4,150,"SINGLE","CON_VSHAPED","HILLSLOPE"," " 
"WCAP99-0835",2001,1,09/19/2001,"1"," ",100,5,350,"SINGLE","CON_VSHAPED","BEDROCK"," " 
"WCAP99-0837",2002,1,07/09/2002,"2"," ",40,23,60,"SINGLE","CON_VSHAPED","BEDROCK"," " 
"WCAP99-0838",2001,1,08/08/2001,"1"," ",100,3,100,"SINGLE","CON_VSHAPED","HILLSLOPE"," " 
"WCAP99-0843",2001,1,10/03/2001,"1"," ",100,4,200,"SINGLE","CON_VSHAPED","HILLSLOPE"," " 
"WCAP99-0844",2002,1,08/08/2002,"2"," ",100,7,7,"SINGLE","CON_VSHAPED","HILLSLOPE"," " 
"WCAP99-0845",2001,1,09/26/2001,"1"," ",100,4,500,"SINGLE","UNC_NARROW","TERRACE"," " 
"WCAP99-0857",2003,1,08/26/2003,"1"," ",0,16,800,"SINGLE","UNC_BROAD","NOCONST"," " 
"WCAP99-0860",2001,1,07/03/2001,"1"," ",100,4,250,"SINGLE","CON_VSHAPED","HILLSLOPE"," " 
"WCAP99-0862",2001,1,08/23/2001,"1"," ",100,4,350,"SINGLE","CON_VSHAPED","BEDROCK"," " 
"WCAP99-0864",2001,1,05/08/2001,"1"," ",100,3,150,"SINGLE","CON_BROAD","TERRACE"," " 
"WCAP99-0867",2003,1,07/16/2003,"1"," ",75,4,25,"SINGLE","CON_VSHAPED","HILLSLOPE"," " 
"WCAP99-0883",2001,1,06/28/2001,"1"," ",100,4,200,"SINGLE","CON_VSHAPED","HILLSLOPE"," " 
"WCAP99-0885",2003,1,07/15/2003,"1"," ",100,2,60,"SINGLE","CON_VSHAPED","HILLSLOPE"," " 
"WCAP99-0888",2001,1,06/19/2001,"1"," ",100,8,200,"SINGLE","CON_VSHAPED","HILLSLOPE"," " 
"WCAP99-0891",2001,1,06/14/2001,"1"," ",70,6,300,"SINGLE","UNC_NARROW","TERRACE"," " 
"WCAP99-0895",2001,1,06/28/2001,"1"," ", ,9,300,"SINGLE","UNC_BROAD","NOCONST"," " 
"WCAP99-0896",2001,1,06/19/2001,"1"," ",100,4,300,"SINGLE","UNC_NARROW","HILLSLOPE"," " 
"WCAP99-0898",2001,1,05/23/2001,"1"," ",100,4,100,"SINGLE","CON_BROAD","TERRACE"," " 
"WCAP99-0899",2001,1,06/26/2001,"2"," ",100,5,500,"SINGLE","CON_BROAD","TERRACE"," " 
"WCAP99-0900",2002,1,05/22/2002,"1"," ",30,8,20,"SINGLE","UNC_NARROW","HILLSLOPE"," " 
"WCAP99-0905",2001,1,06/27/2001,"2"," ",100,7,400,"SINGLE","UNC_NARROW","TERRACE"," " 
"WCAP99-0984",2002,1,06/19/2002,"1"," ",100,8,100,"SINGLE","CON_VSHAPED","HILLSLOPE"," " 
"WCAP99-0988",2002,1,08/28/2002,"1"," ",30,9,12,"SINGLE","UNC_NARROW","TERRACE"," " 
"WCAP99-0989",2002,1,06/18/2002,"2"," ",0,20,300,"SINGLE","UNC_BROAD","NOCONST"," " 
"WCAP99-0991",2002,1,06/26/2002,"1"," ",100,8,9999,"SINGLE","CON_BROAD","TERRACE","Y" 
"WCAP99-1000",2002,1,07/17/2002,"1"," ",100,4,600,"SINGLE","CON_BROAD","TERRACE"," " 
"WCAP99-1002",2002,1,06/25/2002,"1"," ",100,1,1000,"SINGLE","CON_BROAD","TERRACE"," " 
"WCAP99-1005",2002,1,08/21/2002,"2"," ",60,6,14,"SINGLE","CON_VSHAPED","HILLSLOPE"," " 
"WCAP99-1008",2002,1,06/06/2002,"1"," ",75,3,10,"SINGLE","CON_VSHAPED","HILLSLOPE"," " 
"WCAP99-1013",2002,1,05/15/2002,"1"," ",10,6,300,"SINGLE","UNC_NARROW","TERRACE"," " 
"WCAP99-1014",2002,1,04/23/2002,"1"," ",100,4,30,"SINGLE","CON_VSHAPED","HILLSLOPE"," " 
"WCAP99-1018",2002,1,04/25/2002,"1"," ", ,3,500,"SINGLE","UNC_BROAD","NOCONST","Y" 
"WCAP99-1020",2002,1,06/19/2002,"2"," ",100,4,20,"SINGLE","CON_VSHAPED","HILLSLOPE"," " 
"WCAP99-1021",2002,1,05/01/2002,"1"," ",50,2,30,"SINGLE","CON_VSHAPED","HILLSLOPE"," " 
"WCAP99-1027",2002,1,05/02/2002,"1"," ",100,4,150,"SINGLE","CON_VSHAPED","TERRACE"," " 
"WCAP99-1028",2002,1,05/29/2002,"1"," ",90,6,11,"SINGLE","CON_VSHAPED","BEDROCK"," " 
"WCAP99-1032",2002,1,06/04/2002,"1"," ",100,5,2000,"SINGLE","UNC_BROAD","TERRACE"," " 
"WCAP99-1035",2002,1,05/30/2002,"1"," ",70,10,10,"SINGLE","CON_VSHAPED","HILLSLOPE"," " 
"WCAP99-1039",2002,1,05/07/2002,"1"," ",100,11,40,"SINGLE","CON_VSHAPED","HUMAN"," " 
"WCAP99-1043",2002,1,06/11/2002,"2"," ",100,6,8,"SINGLE","CON_VSHAPED","BEDROCK"," " 
"WCAP99-1046",2002,1,06/12/2002,"1"," ",50,5,200,"SINGLE","CON_VSHAPED","HILLSLOPE"," " 
"WCAP99-1048",2002,1,08/08/2002,"1"," ",75,10,1000,"SINGLE","CON_VSHAPED","HILLSLOPE","Y" 
"WCAP99-1050",2002,1,06/25/2002,"2"," ",90,13,13,"SINGLE","CON_VSHAPED","HILLSLOPE"," " 
"WCAP99-1051",2002,1,07/16/2002,"2"," ",100,2,20,"SINGLE","CON_BROAD","TERRACE"," " 
"WCAP99-1055",2002,1,07/11/2002,"1"," ",100,4,125,"SINGLE","CON_VSHAPED","BEDROCK"," " 
"WCAP99-1056",2002,1,07/11/2002,"2"," ",90,8,12,"SINGLE","CON_VSHAPED","HILLSLOPE"," " 
"WCAP99-1057",2002,1,07/30/2002,"2"," ",50,4,10,"SINGLE","CON_VSHAPED","BEDROCK"," " 
"WCAP99-1060",2002,1,08/22/2002,"2"," ",100,5,13,"SINGLE","CON_VSHAPED","HILLSLOPE"," " 
"WCAP99-1062",2002,1,09/12/2002,"2"," ",100,5,8,"SINGLE","CON_VSHAPED","HILLSLOPE"," " 
"WCAP99-1063",2002,1,09/10/2002,"2"," ",100,7,12,"SINGLE","CON_VSHAPED","HILLSLOPE"," " 
"WCAP99-1064",2002,1,07/16/2002,"1"," ",100,1,250,"SINGLE","CON_VSHAPED","HILLSLOPE"," " 
"WCAP99-1065",2002,1,06/27/2002,"2"," ",100,3,5,"SINGLE","CON_VSHAPED","HILLSLOPE"," " 
"WCAP99-1066",2002,1,07/17/2002,"2"," ",100,8,10,"SINGLE","CON_VSHAPED","BEDROCK"," " 
"WCAP99-1067",2002,1,07/10/2002,"1"," ",50,7,1000,"SINGLE","CON_VSHAPED","TERRACE"," " 
"WCAP99-1071",2002,1,06/26/2002,"2"," ",45,6,35,"SINGLE","UNC_NARROW","HILLSLOPE"," " 
"WCAP99-1074",2002,1,07/31/2002,"2"," ",100,11,18,"SINGLE","CON_VSHAPED","HILLSLOPE"," " 
"WCAP99-1075",2002,1,07/10/2002,"2"," ",50,7,20,"SINGLE","CON_VSHAPED","HILLSLOPE"," " 
"WCAP99-1079",2002,1,07/09/2002,"1"," ",100,5,200,"SINGLE","CON_VSHAPED","HILLSLOPE"," " 
"WCAP99-1090",2002,1,08/20/2002,"2"," ",100,7,7,"SINGLE","CON_VSHAPED","HILLSLOPE"," " 
"WCAP99-1091",2002,1,08/13/2002,"1"," ",0,16,150,"SINGLE","UNC_BROAD","TERRACE"," " 
"WCAP99-1092",2002,1,08/14/2002,"1"," ",100,8,8,"SINGLE","CON_VSHAPED","HILLSLOPE"," " 
"WCAP99-1096",2002,1,06/18/2002,"1"," ",60,9,100,"SINGLE","UNC_NARROW","TERRACE"," " 
"WCAP99-1100",2002,1,07/30/2002,"1"," ",100,9,200,"SINGLE","CON_VSHAPED","BEDROCK"," " 
"WCAP99-1102",2003,1,05/07/2003,"1"," ",100,5,10,"SINGLE","CON_VSHAPED","HILLSLOPE"," " 
"WCAP99-1104",2002,1,08/27/2002,"2"," ",0,10,30,"SINGLE","CON_BROAD","HILLSLOPE"," " 
"WCAP99-1106",2002,1,08/01/2002,"2"," ",40,5,5,"SINGLE","CON_VSHAPED","HILLSLOPE"," " 
"WCAP99-1111",2002,1,08/06/2002,"2"," ",50,10,29,"SINGLE","UNC_NARROW","HILLSLOPE"," " 
"WCAP99-1125",2002,1,05/23/2002,"1"," ",75,9,40,"SINGLE","UNC_NARROW","HILLSLOPE"," " 
"WCAP99-1127",2002,1,06/13/2002,"2"," ",100,3,5,"SINGLE","CON_VSHAPED","HILLSLOPE"," " 
"WCAP99-1131",2002,1,05/21/2002,"1"," ",20,9,50,"SINGLE","CON_VSHAPED","HILLSLOPE"," " 
"WCAP99-1132",2002,1,06/05/2002,"1"," ",100,3,15,"SINGLE","CON_VSHAPED","HILLSLOPE"," " 
"WCOP01-0734",2003,1,06/02/2003,"1"," ",100,45,9999,"SINGLE","CON_BROAD","HUMAN","Y" 
"WCOP01-0739",2001,1,06/20/2001,"1"," ",100,7,1000,"SINGLE","CON_BROAD","TERRACE","Y" 
"WCOP01-0765",2002,1,08/27/2002,"1"," ",100,7,9999,"SINGLE","CON_BROAD","TERRACE","Y" 
"WCOP01-0769",2002,1,06/24/2002,"1"," ",75,2,500,"SINGLE","CON_BROAD","TERRACE"," " 
"WCOP01-0775",2003,1,05/14/2003,"1"," ",60,4, ,"SINGLE","CON_BROAD","TERRACE"," " 
"WCOP01-0777",2003,1,04/22/2003,"1"," ",100,7, ,"SINGLE","CON_BROAD","TERRACE"," " 
"WCOP01-0779",2001,1,08/29/2001,"1"," ",30,7,1500,"SINGLE","CON_BROAD","TERRACE","Y" 
"WCOP01-0809",2002,1,06/05/2002,"1"," ",30,7,1500,"SINGLE","CON_BROAD","TERRACE"," " 
"WCOP01-0812",2002,1,09/17/2002,"1"," ",50,30,500,"SINGLE","CON_VSHAPED","HILLSLOPE"," " 
"WCOP01-0817",2002,1,08/28/2002,"1"," ",85,5,9999,"SINGLE","CON_BROAD","TERRACE","Y" 
"WCOP01-0819",2002,1,09/18/2002,"1"," ",30,8,9999,"SINGLE","CON_BROAD","TERRACE","Y" 
"WCOP01-0833",2003,1,05/15/2003,"1"," ",90,8,50,"SINGLE","CON_VSHAPED","BEDROCK"," " 
"WCOP01-0836",2001,1,09/06/2001,"1"," ",100,6,5000,"SINGLE","CON_BROAD","TERRACE","Y" 
"WCOP01-0838",2003,1,09/09/2003,"1"," ",10,33,9999,"BRAIDED","CON_BROAD","HUMAN","Y" 
"WCOP99-0502",2000,1,08/05/2000,"0","CH",5,3,50," "," "," "," " 
"WCOP99-0503",2000,1,07/27/2000,"0","CH",5,1,200," "," "," "," " 
"WCOP99-0505",2000,1,08/17/2000,"0","CH",10,3,30," "," "," "," " 
"WCOP99-0506",2000,1,07/19/2000,"0","US",0,3,350," "," "," "," " 
"WCOP99-0507",2000,1,08/03/2000,"0","CH",5,4,100," "," "," "," " 
"WCOP99-0508",2000,1,08/01/2000,"0","CH",100,7,750," "," "," "," " 
"WCOP99-0510",2000,1,09/06/2000,"0","CL",100,6, ," "," "," "," " 
"WCOP99-0511",2000,1,07/13/2000,"0","CH",25,10,600," "," "," "," " 
"WCOP99-0512",2000,1,08/29/2000,"0","CH",75,19,100," "," "," "," " 
"WCOP99-0513",2000,1,08/22/2000,"0","CH",100,3,20," "," "," "," " 
"WCOP99-0515",2000,1,09/15/2000,"0","CH",75,2,60," "," "," "," " 
"WCOP99-0516",2000,1,07/20/2000,"0","CT",40,7,400," "," "," "," " 
"WCOP99-0518",2000,1,07/10/2000,"0","CH",10,8,400," "," "," "," " 
"WCOP99-0563",2001,1,05/17/2001,"1"," ",100,15,500,"SINGLE","CON_BROAD","TERRACE"," " 
"WCOP99-0565",2001,1,08/15/2001,"1"," ",8,25,1500,"SINGLE","CON_BROAD","TERRACE"," " 
"WCOP99-0566",2001,1,06/06/2001,"1"," ",25,5,200,"SINGLE","CON_BROAD","TERRACE"," " 
"WCOP99-0567",2001,1,06/07/2001,"1"," ",100,6,1130,"SINGLE","CON_VSHAPED","HILLSLOPE"," " 
"WCOP99-0568",2001,1,06/26/2001,"1"," ",10,15,2000,"SINGLE","UNC_BROAD","TERRACE"," " 
"WCOP99-0569",2001,1,07/23/2001,"1"," ",80,9,185,"SINGLE","UNC_BROAD","HUMAN"," " 
"WCOP99-0572",2001,1,07/20/2001,"1"," ",80,5,200,"SINGLE","UNC_NARROW","HILLSLOPE"," " 
"WCOP99-0574",2001,1,08/07/2001,"1"," ",100,15,1000,"SINGLE","CON_VSHAPED","HILLSLOPE"," " 
"WCOP99-0577",2001,1,07/16/2001,"1"," ",100,15,50,"SINGLE","CON_VSHAPED","HILLSLOPE"," " 
"WCOP99-0578",2001,1,08/14/2001,"1"," ",100,15,100,"SINGLE","CON_VSHAPED","HILLSLOPE"," " 
"WCOP99-0591",2001,1,09/15/2001," "," ",100,7,300,"SINGLE","CON_VSHAPED","HILLSLOPE"," " 
"WCOP99-0593",2002,1,05/28/2002,"1"," ",0,12,1000,"SINGLE","UNC_BROAD","NOCONST"," " 
"WCOP99-0595",2001,1,08/02/2001,"1"," ",50,4,400,"SINGLE","CON_BROAD","TERRACE"," " 
