"SITE_ID","YEAR","VISIT_NO","LOC_NAME","DATE_COL","TEAM_ID","XSTATUS","VALXSTAT","SITESAMP","MLAT_DD","MLON_DD","XLAT_DD","XLON_DD","MLAT_DEG","MLAT_MIN","MLAT_SEC","MLON_DEG","MLON_MIN","MLON_SEC","XLAT_DEG","XLAT_MIN","XLAT_SEC","XLON_DEG","XLON_MIN","XLON_SEC","XDIMEN","XGPSCOOR","VER_STAT","GPS_VER","LOC_VER","SIG_VER","RDS_VER","TOP_VER","OTH_VER","RCHWIDTH","RCHUP","RCHDOWN","RCHLEN","COM_IM","STATE","TRCHLEN","XLONDD" 
"WAZP99-0605",2000,1,"BLUE RIVER",06/07/2000,"1","SAMPLEABLE","WADEABLE","Y",33.460210,-109.181700,33.460278,-109.181944,33,27,37,109,10,54,33,27,37,109,10,55,"3D","Y","VERIFIED","Y","N","N","N","Y"," ",3,75,75,150," ","AZ", ,  
"WAZP99-0615",2000,1,"CONKLIN CREEK",06/17/2000,"1","SAMPLEABLE","INTWADE","Y",33.681000,-109.445180,33.681389,-109.445000,33,40,51,109,26,42,33,40,53,109,26,42,"3D","Y","VERIFIED","Y","N","N","N","Y"," ",2,75,75,150," ","AZ", ,  
"WAZP99-0619",2000,1,"VERDE RIVER",06/19/2000,"1","SAMPLEABLE","WADEABLE","Y",34.679290,-111.953410,34.679167,-111.953611,34,40,45,111,57,12,34,40,45,111,57,13,"3D","Y","VERIFIED","Y","N","N","Y","Y"," ",16,320,320,640," ","AZ", ,  
"WAZP99-0632",2001,1,"TONTO CREEK",05/22/2001,"1","SAMPLEABLE","WADEABLE","Y",34.279150,-111.070740,34.283330,-111.070860,34,16,45,111,4,15,34,17,0,111,4,15,"3D","N","VERIFIED","Y","N","Y","Y","Y"," ",7,140,140,280,"CREW DID NOT RECORD MAP COORDINATES.  IM ADDED MAP DECIMAL DEGREE COORDINATES FROM DESIGN DATA SET.","AZ", ,  
"WAZP99-0639",2001,1,"CAMPBELL BLUE CREEK",05/31/2001,"1","SAMPLEABLE","WADEABLE","Y",33.750290,-109.215980,33.750050,-109.216030,33,45,1,109,12,58,33,45,0,109,12,58,"2D","Y","VERIFIED","Y","N","N","N","Y"," ",1,75,75,150,"CREW DID NOT RECORD MAP COORDINATES.  IM ADDED MAP DECIMAL DEGREE COORDINATES FROM DESIGN DATA SET.","AZ", ,  
"WAZP99-0645",2001,1,"NUTRIOSO CREEK",06/13/2001,"1","SAMPLEABLE","WADEABLE","Y",33.948580,-109.202440,33.948580,-109.202440,33,56,55,109,12,9,33,56,55,109,12,9,"3D","Y","VERIFIED","Y","N","N","N","Y"," ",2,75,75,150,"CREW DID NOT RECORD MAP COORDINATES.  IM ADDED MAP DECIMAL DEGREE COORDINATES FROM DESIGN DATA SET.","AZ", ,  
"WAZP99-0648",2001,1,"SILVER CREEK",06/01/2001,"1","SAMPLEABLE","PARBYWADE","Y",34.345280,-109.964710,34.345280,-109.964710,34,20,43,109,57,53,34,20,43,109,57,53,"3D","Y","VERIFIED","Y","Y","Y","Y","Y"," ",8,0,175,175,"CREW DID NOT RECORD MAP COORDINATES.  IM ADDED MAP DECIMAL DEGREE COORDINATES FROM DESIGN DATA SET.","AZ", ,  
"WAZP99-0649",2001,1,"BURRO CREEK",05/25/2001,"1","SAMPLEABLE","WADEABLE","Y",34.554020,-113.530740,34.554020,-113.530740,34,33,14,113,31,51,34,33,14,113,31,51,"3D","Y","VERIFIED","Y","N","N","N","Y"," ",9,180,180,360,"CREW DID NOT RECORD MAP COORDINATES.  IM ADDED MAP DECIMAL DEGREE COORDINATES FROM DESIGN DATA SET.","AZ", ,  
"WAZP99-0653",2001,1,"NAZLINI CREEK",06/28/2001,"1","SAMPLEABLE","WADEABLE","Y",35.918040,-109.396800,35.918040,-109.396800,35,55,5,109,23,48,35,55,5,109,23,48,"3D","Y","VERIFIED","Y","Y","Y","Y","Y"," ",2,75,75,150,"CREW DID NOT RECORD MAP COORDINATES.  IM ADDED MAP DECIMAL DEGREE COORDINATES FROM DESIGN DATA SET.","AZ", ,  
"WAZP99-0669",2001,1,"TSAILE CREEK",06/27/2001,"1","SAMPLEABLE","WADEABLE","Y",36.354910,-109.106640,36.354910,-109.113060,36,21,18,109,6,24,36,21,18,109,6,47,"3D","N","VERIFIED","Y","Y","Y","Y","Y"," ",2,75,75,150,"CREW DID NOT RECORD MAP COORDINATES.  IM ADDED MAP DECIMAL DEGREE COORDINATES FROM DESIGN DATA SET.","AZ", ,  
"WAZP99-0681",2001,1,"BLUE RIVER",06/19/2001,"1","SAMPLEABLE","WADEABLE","Y",33.239990,-109.191030,33.240440,-109.191500,33,14,24,109,11,28,33,14,26,109,11,29,"3D","Y","VERIFIED","Y","Y","Y","Y","Y"," ",3,75,75,150,"CREW DID NOT RECORD MAP COORDINATES.  IM ADDED MAP DECIMAL DEGREE COORDINATES FROM DESIGN DATA SET.","AZ", ,  
"WAZP99-0687",2001,1,"CENTERFIRE CREEK",05/30/2001,"1","SAMPLEABLE","WADEABLE","Y",33.759890,-109.433390,33.759600,-109.433620,33,45,36,109,26,0,33,45,35,109,26,1,"3D","Y","VERIFIED","Y","N","Y","Y","Y"," ",1,75,75,150,"CREW DID NOT RECORD MAP COORDINATES.  IM ADDED MAP DECIMAL DEGREE COORDINATES FROM DESIGN DATA SET.","AZ", ,  
"WAZP99-0701",2001,1,"BONITO CREEK",06/26/2001,"1","SAMPLEABLE","WADEABLE","Y",35.838490,-109.113060,35.838490,-109.113060,35,50,19,109,6,47,35,50,19,109,6,47,"3D","Y","VERIFIED","Y","Y","N","N","Y"," ",1,75,75,150,"CREW DID NOT RECORD MAP COORDINATES.  IM ADDED MAP DECIMAL DEGREE COORDINATES FROM DESIGN DATA SET.","AZ", ,  
"WAZP99-0712",2002,1,"VIRGIN RIVER",08/01/2002,"1","SAMPLEABLE","WADEABLE","Y",36.806490,-114.016020,36.806620,-114.016010,36,48,23,114,0,58,36,48,24,114,0,58,"3D","Y","VERIFIED","Y","N","N","N","N"," ",11,220,220,440,"CREW DID NOT RECORD MAP COORDINATES.  IM ADDED MAP DECIMAL DEGREE COORDINATES FROM DESIGN DATA SET.","AZ", ,  
"WAZP99-0716",2002,1,"BEAVER CREEK",06/20/2002,"1","SAMPLEABLE","WADEABLE","Y",34.607690,-111.829500,34.613333,-111.829444,34,36,28,111,49,46,34,36,48,111,49,46,"3D","N","VERIFIED","Y","Y","N","N","Y"," ",6,120,120,240,"CREW DID NOT RECORD MAP COORDINATES.  IM ADDED MAP DECIMAL DEGREE COORDINATES FROM DESIGN DATA SET.","AZ", ,  
"WAZP99-0722",2002,1,"THOMPSON CREEK",07/18/2002,"1","SAMPLEABLE","WADEABLE","Y",33.890380,-109.487300,33.534290,-109.292550,33,53,25,109,29,14,33,32,3,109,17,33,"3D","N","VERIFIED","Y","N","Y","Y","Y"," ",1,75,75,150,"CREW DID NOT RECORD MAP COORDINATES.  IM ADDED MAP DECIMAL DEGREE COORDINATES FROM DESIGN DATA SET.","AZ", ,  
"WAZP99-0744",2002,1,"BUBBLING SPRING CANYON",08/15/2002,"1","SAMPLEABLE","WADEABLE","Y",36.732970,-110.568280,36.733680,-110.569160,36,43,59,110,34,6,36,44,1,110,34,9,"3D","Y","VERIFIED","Y","N","N","N","N"," ",3,75,75,150,"CREW DID NOT RECORD MAP COORDINATES.  IM ADDED MAP DECIMAL DEGREE COORDINATES FROM DESIGN DATA SET.","AZ", ,  
"WAZP99-0750",2003,1,"EAGLE CREEK",07/30/2003,"1","SAMPLEABLE","WADEABLE","Y",33.138430,-109.493510,33.138480,-109.493450,33,8,18,109,29,37,33,8,19,109,29,36,"3D","Y","VERIFIED","Y","N","N","N","N"," ",3.4,170,170,340," ","AZ", ,  
"WAZP99-0768",2002,1,"BRIGHT ANGEL CREEK",09/15/2002,"1","SAMPLEABLE","WADEABLE","Y",36.121400,-112.079930,36.121750,-112.081020,36,7,17,112,4,48,36,7,18,112,4,52,"2D","Y","VERIFIED","Y","Y","Y","N","Y"," ",4,80,80,160,"CREW DID NOT RECORD MAP COORDINATES.  IM ADDED MAP DECIMAL DEGREE COORDINATES FROM DESIGN DATA SET.","AZ", ,  
"WAZP99-0783",2002,1,"LANPHIER CANYON",07/16/2002,"1","SAMPLEABLE","WADEABLE","Y",33.563850,-109.110790,33.337950,-109.066080,33,33,50,109,6,39,33,20,17,109,3,58,"2D","N","VERIFIED","Y","Y","Y","Y","N"," ",2,75,75,150,"CREW DID NOT RECORD MAP COORDINATES.  IM ADDED MAP DECIMAL DEGREE COORDINATES FROM DESIGN DATA SET.","AZ", ,  
"WAZP99-0828",2002,1,"NORTH FORK BLACK RIVER",08/13/2002,"1","SAMPLEABLE","WADEABLE","Y",33.863580,-109.319270,33.862910,-109.319180,33,51,49,109,19,9,33,51,46,109,19,9,"3D","Y","VERIFIED","Y","N","N","N","N"," ",4,80,80,160,"CREW DID NOT RECORD MAP COORDINATES.  IM ADDED MAP DECIMAL DEGREE COORDINATES FROM DESIGN DATA SET.","AZ", ,  
"WAZP99-0833",2003,1,"HAIGLER CREEK",06/10/2003,"1","SAMPLEABLE","WADEABLE","Y",34.192560,-111.036060,34.192470,-111.036040,34,11,33,111,2,10,34,11,33,111,2,10,"3D","Y","VERIFIED","Y","N","N","N","N"," ",4.5,90,90,180," ","AZ", ,  
"WAZP99-0839",2003,1,"SYCAMORE CREEK",05/06/2003,"1","SAMPLEABLE","WADEABLE","Y",34.352540,-111.969750,34.352540,-111.969630,34,21,9,111,58,11,34,21,9,111,58,11,"3D","Y","VERIFIED","Y","N","N","N","N"," ",3,75,75,150," ","AZ", ,  
"WAZP99-0840",2002,1,"SAN FRANCISCO RIVER",08/14/2002,"1","SAMPLEABLE","WADEABLE","Y",33.851050,-109.150690,33.851040,-109.150780,33,51,4,109,9,2,33,51,4,109,9,3,"3D","Y","VERIFIED","Y","N","N","N","N"," ",2,75,75,150,"CREW DID NOT RECORD MAP COORDINATES.  IM ADDED MAP DECIMAL DEGREE COORDINATES FROM DESIGN DATA SET.","AZ", ,  
"WAZP99-0851",2002,1,"TONTO CREEK",08/19/2002,"1","SAMPLEABLE","WADEABLE","Y",34.118610,-111.269270,34.120110,-111.271080,34,7,7,111,16,9,34,7,12,111,16,16,"3D","Y","VERIFIED","Y","N","N","N","N"," ",5,100,100,200,"CREW DID NOT RECORD MAP COORDINATES.  IM ADDED MAP DECIMAL DEGREE COORDINATES FROM DESIGN DATA SET.","AZ", ,  
"WAZP99-0861",2003,1,"PARIA RIVER",05/28/2003,"1","SAMPLEABLE","WADEABLE","Y",36.865890,-111.593680,36.866360,-111.593520,36,51,57,111,35,37,36,51,59,111,35,37,"3D","Y","VERIFIED","Y","N","N","N","N"," ",6,120,120,240," ","AZ", ,  
"WAZP99-0863",2003,1,"CHERRY CREEK",05/14/2003,"1","SAMPLEABLE","WADEABLE","Y",33.800280,-110.836490,33.799920,-110.836400,33,48,1,110,50,11,33,48,0,110,50,11,"3D","Y","VERIFIED","Y","N","N","N","N"," ",5,100,100,200," ","AZ", ,  
"WAZP99-0868",2003,1,"CLOVER CREEK",06/03/2003,"1","SAMPLEABLE","WADEABLE","Y",34.550620,-111.402560,34.549890,-111.402100,34,33,2,111,24,9,34,33,0,111,24,8,"2D","Y","VERIFIED","Y","N","N","N","N"," ",6,120,120,240," ","AZ", ,  
"WAZP99-0876",2003,1,"WHEATFIELDS CREEK",06/17/2003,"1","SAMPLEABLE","WADEABLE","Y",36.208580,-109.133110,36.208600,-109.132930,36,12,31,109,7,59,36,12,31,109,7,59,"3D","Y","VERIFIED","Y","N","N","N","N"," ",2,75,75,150," ","AZ", ,  
"WAZP99-0888",2003,1,"FISH CREEK",05/20/2003,"1","SAMPLEABLE","WADEABLE","Y",33.684440,-109.395730,33.684410,-109.396520,33,41,4,109,23,45,33,41,4,109,23,47,"3D","Y","VERIFIED","Y","N","N","Y","Y"," ",5,100,100,200," ","AZ", ,  
"WAZP99-0893",2003,1,"CHERRY CREEK",05/13/2003,"1","SAMPLEABLE","WADEABLE","Y",33.922520,-110.904510,33.922500,-110.905278,33,55,21,110,54,16,33,55,21,110,54,19,"2D","Y","VERIFIED","Y","N","N","N","N"," ",6,120,120,240," ","AZ", ,  
"WAZP99-0906",2003,1,"LITTLE COLORADO RIVER",06/04/2003,"1","SAMPLEABLE","WADEABLE","Y",34.284290,-109.351980,34.284210,-109.352100,34,17,3,109,21,7,34,17,3,109,21,8,"3D","Y","VERIFIED","Y","N","N","N","N"," ",4,80,80,160," ","AZ", ,  
"WCAP99-0501",2001,1,"AGUA BLANCA CREEK",06/07/2001,"1","SAMPLEABLE","WADEABLE","Y",34.541667,-118.772778,34.541667,-118.770000,34,32,30,118,46,22,34,32,30,118,46,12,"3D","Y","VERIFIED","Y","Y","N","N","Y"," ",4,80,80,160," ","CA", ,  
"WCAP99-0503",2000,1,"ILLILOUETTE CREEK",10/03/2000," ","SAMPLEABLE","WADEABLE","Y",37.681780,-119.535870,37.683889,-119.534722,37,40,54,119,32,9,37,41,2,119,32,5,"3D","Y","VERIFIED","Y","N","N","N","Y"," ",6,120,120,240," ","CA", ,  
"WCAP99-0505",2000,1,"STUART FORK",08/09/2000," ","SAMPLEABLE","WADEABLE","Y",40.862440,-122.901690,40.864167,-122.901944,40,51,45,122,54,6,40,51,51,122,54,7,"3D","Y","VERIFIED","Y","N","N","N","Y"," ",12,240,240,480," ","CA", ,  
"WCAP99-0506",2000,1,"SF PIT RIVER",08/29/2000," ","SAMPLEABLE","WADEABLE","Y",41.229480,-120.404850,41.231944,-120.403889,41,13,46,120,24,17,41,13,55,120,24,14,"3D","Y","VERIFIED","Y","N","N","N","Y"," ",10,200,200,400," ","CA", ,  
"WCAP99-0509",2001,1,"BEAR CREEK",08/07/2001,"2","SAMPLEABLE","WADEABLE","Y",37.044444,-119.110278,37.044444,-119.110278,37,2,40,119,6,37,37,2,40,119,6,37,"3D","Y","VERIFIED","Y","N","N","Y","Y"," ",3,75,75,150," ","CA", ,  
"WCAP99-0512",2001,1,"NORTH FORK ELDER CREEK",08/29/2001,"1","SAMPLEABLE","WADEABLE","Y",40.035000,-122.610833,40.035833,-122.608056,40,2,6,122,36,39,40,2,9,122,36,29,"3D","Y","VERIFIED","Y","N","N","N","Y"," ",3,75,75,150," ","CA", ,  
"WCAP99-0515",2000,1,"MIDDLE FORK YUBA RIVER",09/28/2000," ","SAMPLEABLE","WADEABLE","Y",39.413960,-120.980360,39.414722,-120.981667,39,24,50,120,58,49,39,24,53,120,58,54,"3D","Y","VERIFIED","Y","N","N","N","Y"," ",4,80,80,160," ","CA", ,  
"WCAP99-0521",2000,1,"JAMISON CREEK",08/30/2000," ","SAMPLEABLE","WADEABLE","Y",39.812110,-120.681350,39.813611,-120.680556,39,48,44,120,40,53,39,48,49,120,40,50,"3D","Y","VERIFIED","Y","N","N","N","Y"," ",6,120,120,240," ","CA", ,  
"WCAP99-0527",2001,1,"LITTLE DYE CREEK",08/20/2001,"1","SAMPLEABLE","WADEABLE","Y",40.107500,-122.030000,40.108056,-122.029444,40,6,27,122,1,48,40,6,29,122,1,46,"3D","Y","VERIFIED","Y","N","N","Y","N"," ",6,120,120,240," ","CA", ,  
"WCAP99-0534",2000,1,"PIRU CREEK",06/20/2000," ","SAMPLEABLE","WADEABLE","Y",34.613590,-118.779830,34.615000,-119.778611,34,36,49,118,46,47,34,36,54,119,46,43,"3D","Y","VERIFIED","Y","N","N","N","Y"," ",4,80,80,160," ","CA", ,  
"WCAP99-0535",2000,1,"PIRU CREEK",06/13/2000," ","SAMPLEABLE","WADEABLE","Y",34.439570,-118.759070,34.441111,-118.760000,34,26,22,118,45,33,34,26,28,118,45,36,"3D","Y","VERIFIED","Y","N","N","N","Y"," ",6,120,120,240," ","CA", ,  
"WCAP99-0536",2000,1,"MATILIJA CREEK",06/14/2000," ","SAMPLEABLE","WADEABLE","Y",34.519600,-119.405370,34.517222,-119.403889,34,31,11,119,24,19,34,31,2,119,24,14,"3D","Y","VERIFIED","Y","N","N","N","Y"," ",4,80,80,160," ","CA", ,  
"WCAP99-0539",2000,1,"STONE CREEK",07/19/2000," ","SAMPLEABLE","INTWADE","Y",33.771740,-116.769590,33.772222,-116.767500,33,46,18,116,46,11,33,46,20,116,46,3,"3D","Y","VERIFIED","Y","Y","N","N","Y"," ",0,75,75,150," ","CA", ,  
"WCAP99-0540",2000,1,"PIRU CREEK",06/21/2000," ","SAMPLEABLE","WADEABLE","Y",34.651360,-119.118450,34.651667,-119.116667,34,39,5,119,7,6,34,39,6,119,7,0,"3D","Y","VERIFIED","Y","N","N","N","Y"," ",1,75,75,150," ","CA", ,  
"WCAP99-0542",2000,1,"EL JARO CREEK",07/11/2000," ","SAMPLEABLE","WADEABLE","Y",34.550850,-120.358320,34.548889,-120.359444,34,33,3,120,21,30,34,32,56,120,21,34,"3D","Y","VERIFIED","Y","N","N","N","Y"," ",3,75,75,150," ","CA", ,  
"WCAP99-0550",2000,1,"COLD CREEK",06/27/2000,"1","SAMPLEABLE","WADEABLE","Y",34.164710,-116.974440,34.164722,-116.976667,34,9,53,116,58,28,34,9,53,116,58,36,"3D","Y","VERIFIED","Y","N","N","N","Y"," ",1,75,75,150," ","CA", ,  
"WCAP99-0552",2000,1,"ARROYO SECO",07/25/2000," ","SAMPLEABLE","WADEABLE","Y",34.239080,-118.180590,34.238056,-118.178333,34,14,21,118,10,50,34,14,17,118,10,42,"3D","Y","VERIFIED","Y","N","N","N","Y"," ",3,75,75,150," ","CA", ,  
"WCAP99-0558",2000,1,"UNKNOWN",06/28/2000,"1","SAMPLEABLE","WADEABLE","Y",34.493470,-118.457030,34.495000,-118.457778,34,29,36,118,27,25,34,29,42,118,27,28,"3D","Y","VERIFIED","Y","N","N","N","Y"," ",4,80,80,160," ","CA", ,  
"WCAP99-0560",2000,1,"SESPE CREEK",07/13/2000," ","SAMPLEABLE","WADEABLE","Y",34.558410,-119.140790,34.558611,-119.142500,34,33,30,119,8,27,34,33,31,119,8,33,"3D","Y","VERIFIED","Y","N","N","N","Y"," ",7,140,140,280," ","CA", ,  
"WCAP99-0563",2001,1,"WEST FORK ALDER CREEK",06/21/2001,"1","SAMPLEABLE","WADEABLE","Y",34.347222,-118.048611,34.347222,-118.048889,34,20,50,118,2,55,34,20,50,118,2,56,"3D","Y","VERIFIED","Y","N","N","N","Y"," ",1,75,75,150," ","CA", ,  
"WCAP99-0574",2000,1,"SQUIRREL GULCH",08/15/2000," ","SAMPLEABLE","WADEABLE","Y",41.048300,-122.655290,41.050833,-122.655000,41,2,54,122,39,19,41,3,3,122,39,18,"3D","Y","VERIFIED","Y","N","N","N","Y"," ",1,75,75,150," ","CA", ,  
"WCAP99-0581",2001,1,"PROSPECT CREEK",07/26/2001,"1","SAMPLEABLE","INTWADE","Y",40.254167,-123.107778,40.255000,-123.105833,40,15,15,123,6,28,40,15,18,123,6,21,"3D","Y","VERIFIED","Y","N","N","N","N"," ",1,75,75,150," ","CA", ,  
"WCAP99-0583",2001,1,"UNNAMED CREEK",08/01/2001,"1","SAMPLEABLE","WADEABLE","Y",41.708333,-123.130833,41.710278,-123.128333,41,42,30,123,7,51,41,42,37,123,7,42,"3D","Y","VERIFIED","Y","N","N","N","Y"," ",2,75,75,150,"SAMPLING INCOMPLETE DUE TO TIME CONSTRAINTS. FISH SAMPLING AND STREAM DISCHARGE COMPLETED 08/14/2001.","CA", ,  
"WCAP99-0587",2000,1,"GRASSY FLAT CREEK",08/16/2000," ","SAMPLEABLE","WADEABLE","Y",40.627250,-123.372930,40.626944,-123.371667,40,37,38,123,22,23,40,37,37,123,22,18,"3D","Y","VERIFIED","Y","N","N","N","Y"," ",3,75,75,150," ","CA", ,  
"WCAP99-0590",2000,1,"NORTH FORK NAVARRO RIVER",08/24/2000," ","SAMPLEABLE","WADEABLE","Y",39.186570,-123.548060,39.186667,-123.547222,39,11,12,123,32,53,39,11,12,123,32,50,"3D","Y","VERIFIED","Y","N","N","N","Y"," ",3,75,75,150," ","CA", ,  
"WCAP99-0592",2000,1,"EDDY CREEK",09/12/2000," ","SAMPLEABLE","WADEABLE","Y",41.362600,-122.518750,41.363056,-122.520833,41,21,45,122,31,7,41,21,47,122,31,15,"3D","Y","VERIFIED","Y","N","N","N","Y"," ",2,75,75,150," ","CA", ,  
"WCAP99-0593",2001,1,"BIG CREEK",08/28/2001,"1","SAMPLEABLE","WADEABLE","Y",40.847222,-123.399444,40.846944,-123.398056,40,50,50,123,23,58,40,50,49,123,23,53," ","Y","VERIFIED","Y","Y","N","N","Y"," ", ,75,75,150," ","CA", ,  
"WCAP99-0598",2002,1,"MCNEL CREEK",09/17/2002,"1","SAMPLEABLE","WADEABLE","Y",41.244444,-123.328056,41.245556,-123.326667,41,14,40,123,19,41,41,14,44,123,19,36,"3D","Y","VERIFIED","Y","N","N","Y","Y"," ",3,75,75,150," ","CA", ,  
"WCAP99-0600",2000,1,"PRICE CREEK",08/02/2000," ","SAMPLEABLE","WADEABLE","Y",40.527120,-124.170240,40.529722,-124.169167,40,31,38,124,10,13,40,31,47,124,10,9,"3D","Y","VERIFIED","Y","N","N","N","Y"," ",3,75,75,150," ","CA", ,  
"WCAP99-0604",2000,1,"DUCK LAKE CREEK",09/13/2000," ","SAMPLEABLE","WADEABLE","Y",41.338370,-122.917800,41.339722,-122.918611,41,20,18,122,55,4,41,20,23,122,55,7,"3D","Y","VERIFIED","Y","N","N","N","Y"," ",3,75,75,150," ","CA", ,  
"WCAP99-0605",2000,1,"REDWOOD CREEK",09/19/2000," ","SAMPLEABLE","WADEABLE","Y",40.891540,-123.808430,40.892778,-123.807222,40,53,30,123,48,30,40,53,34,123,48,26,"3D","Y","VERIFIED","Y","N","N","N","Y"," ",13,260,260,520," ","CA", ,  
"WCAP99-0606",2000,1,"HOLLOW TREE CREEK",08/23/2000," ","SAMPLEABLE","WADEABLE","Y",39.799370,-123.744910,39.799167,-123.747222,39,47,58,123,44,42,39,47,57,123,44,50,"3D","Y","VERIFIED","Y","N","N","N","Y"," ",4,80,80,160," ","CA", ,  
"WCAP99-0613",2000,1,"INDIAN CREEK EAST FORK",08/08/2000," ","SAMPLEABLE","WADEABLE","Y",41.888440,-123.413090,41.885833,-123.415278,41,53,18,123,24,47,41,53,9,123,24,55,"3D","Y","VERIFIED","Y","N","N","N","Y"," ",5,100,100,200," ","CA", ,  
"WCAP99-0614",2003,1,"AUSTIN CREEK, EAST",08/20/2003,"1","SAMPLEABLE","WADEABLE","Y",38.541667,-123.071389,38.539167,-123.070556,38,32,30,123,4,17,38,32,21,123,4,14,"3D","Y","VERIFIED","Y","N","N","N","N"," ",4,80,80,160," ","CA", ,  
"WCAP99-0618",2003,1,"LAWRENCE CREEK",07/23/2003,"2","SAMPLEABLE","WADEABLE","Y",40.656667,-123.980278,40.659167,-123.979722,40,39,24,123,58,49,40,39,33,123,58,47,"3D","Y","VERIFIED","Y","N","N","N","Y"," ",5,100,100,200," ","CA", ,  
"WCAP99-0619",2000,1,"HAYSHED GULCH",08/22/2000," ","SAMPLEABLE","WADEABLE","Y",39.407430,-123.740670,39.410278,-123.741389,39,24,27,123,44,26,39,24,37,123,44,29,"3D","Y","VERIFIED","Y","N","N","N","Y"," ",1,75,75,150," ","CA", ,  
"WCAP99-0624",2001,1,"DRY CREEK",08/22/2001,"2","SAMPLEABLE","WADEABLE","Y",38.675556,-121.446111,38.675556,-121.446389,38,40,32,121,26,46,38,40,32,121,26,47,"3D","Y","VERIFIED","Y","N","Y","Y","Y"," ",6,120,120,240," ","CA", ,  
"WCAP99-0625",2001,1,"NORTH FORK BACKBONE CREEK",09/11/2001,"1","SAMPLEABLE","WADEABLE","Y",40.856944,-122.488889,40.859167,-122.491667,40,51,25,122,29,20,40,51,33,122,29,30,"3D","Y","VERIFIED","Y","N","N","Y","Y"," ",4,80,80,160," ","CA", ,  
