"SITE_ID","YEAR","VISIT_NO","XBKA","XUN","XBKF_W","XBKF_H","XINC_H","XPCM","XPCMG","XPMG","XPMGH","XPMGW","XCL","XGB","XC","XG","XCMW","XCMGW","PCAN_C","XCDENBK","XCDENMID","XEMBED","XFC_ALG","XFC_AQM","XFC_LWD","XFC_BRS","XFC_OHV","XFC_UCB","XFC_RCK","XFC_HUM","XFC_ALL","XFC_NAT","XFC_BIG","W1_HALL","W1_HNOAG","W1_HAG","W1H_WALL","W1H_PIPE","LSUB_DMM","LTEST","LRBS_TST","LDMB_BW5","LRBS_BW5","REACHLEN","XSLOPE","XDEPTH","RPGT75","RPGT100","RPMXDEP","RPXAREA","RP100","PCT_FN","PCT_SA","PCT_HP","PCT_RC","PCT_SAFN","PCT_SFGF","PCT_BIGR","PCT_BDRK","PCT_ORG","LSUBD_SD","V1W_MSQ","V4W_MSQ","V1TM100","V4TM100","SINU","SDDEPTH","XWIDTH","XWXD","XWD_RAT","SDWXD","PCT_FA","PCT_FAST","PCT_SLOW","PCT_POOL","PCT_DRS","PCT_SIDE","SAMPLED" 
"WCAP99-0503",2000,1,30.227272727,0,19.663636364,0.6181818182,0.6181818182,0.9090909091,0.9090909091,1,0.1818181818,1,0.1386363636,0.6545454545,0.2409090909,0.3522727273,0.5204545455,0.8295454545,0.8636363636,78.877005348,36.898395722,31.272727273,0.1,0,0.0090909091,0.0227272727,0.0318181818,0.0090909091,0.3795454545,0,0.4522727273,0.4522727273,0.3977272727,0,0,0,0,0,2.7197551477,2.1010509236,0.6187042241,2.4444715773,0.2752835704,237.6,4.6,40.05,1,1,127.808,1.4202331185,13.150306652,0,2.8571428571,0,0,2.8571428571,2.8571428571,97.142857143,20.952380952,0,0.8826744398,0.0020258643,0.000623063,7.8577441077,2.4503367003,1.0784984121,26.538089645,13.61,5.46025,45.026540228,5.1801845921,0,52,48,27,0,0,"YES" 
"WCAP99-0505",2000,1,28.590909091,0,18.581818182,0.5636363636,0.5636363636,0.7142857143,0.7142857143,1,0.619047619,1,0.125,0.6534090909,0.3125,0.3193181818,0.6727272727,0.9306818182,0,78.877005348,49.86631016,23.727272727,0.0136363636,0,0.0045454545,0.0136363636,0.0227272727,0,0.3386363636,0,0.3795454545,0.3795454545,0.3431818182,0.5742238095,0.5742238095,0,0,0,2.5399777009,1.977051614,0.5629260869,2.2294141415,0.3105635594,484.8,2.421,57.196078431,2,2,184.0752,2.444503894,11.093045723,0,0,0,0,0,0,100,4.7619047619,0,0.5833749589,0.0010062757,0.0005552555,1.9193481848,1.0317656766,1.611254718,31.284082947,14.775,7.55065,32.652564935,2.8173482171,0,79.411764706,20.588235294,6.862745098,0,0,"YES" 
"WCAP99-0506",2000,1,52.636363636,0.0227272727,13.727272727,0.4181818182,0.4181818182,0.9047619048,0.9047619048,1,1,1,0.1068181818,0.5420454545,0.3136363636,0.5113636364,0.6431818182,0.7477272727,0.5909090909,62.032085561,17.245989305,45.363636364,0,0.0727272727,0.0090909091,0.0181818182,0.0681818182,0.0318181818,0.3613636364,0,0.4886363636,0.4886363636,0.4022727273,1.8181909091,0.3181909091,1.5,0,0,1.9717879307,1.6841013993,0.2876865315,2.0473416403,-0.07555371,400,2.4,29.39,0,0,39.24,0.502592,3.1412,3.8095238095,7.619047619,0,0,11.428571429,14.285714286,85.714285714,0.9523809524,0,1.276277793,0.0011708444,0,2.2325,0,1.0265649642,9.0820001802,11.42,3.1994,44.248024908,1.0026245244,0,72,28,1,0,11,"YES" 
"WCAP99-0515",2000,1,33.818181818,0.0272727273,13.427272727,0.7727272727,0.7727272727,0.6818181818,0.6363636364,0.8636363636,0.5,0.8636363636,0.0409090909,0.8181818182,0.0863636364,0.125,0.1681818182,0.2295454545,0,61.229946524,31.28342246,40.727272727,0.0704545455,0,0.0045454545,0.0045454545,0.0227272727,0.0045454545,0.1477272727,0,0.1840909091,0.1840909091,0.1568181818,1.0454909091,1.0454909091,0,0,0,2.0917159986,1.8609261655,0.2307898331,1.8183849909,0.2733310077,158.4,0.785,135.01,2,2,251.724,20.330071626,89.842488245,0,15.238095238,0,0,15.238095238,20,80,20,0,1.3742642966,0.0001401113,0,0.2247474747,0,1.0777693465,85.588101576,9.705,15.47445,9.8496119631,12.838368655,0,39,61,30,0,0,"YES" 
"WCAP99-0521",2000,1,20.363636364,0,12.663636364,0.4727272727,0.4727272727,0.3636363636,0.3636363636,0.9545454545,0.9545454545,0.9545454545,0.0852272727,0.6909090909,0.1534090909,0.3511363636,0.4215909091,0.6590909091,0.2727272727,64.705882353,40.374331551,42.145454545,0.0318181818,0,0.0090909091,0.0045454545,0.0136363636,0.0090909091,0.3204545455,0,0.3568181818,0.3568181818,0.3386363636,0.1363636364,0.1363636364,0,0,0,2.1898256061,1.8285362493,0.3612893568,2.1312559079,0.0585696983,252,2.6015,37.811320755,0,0,61.4533,0.7213272596,6.5835424485,0,4.7619047619,0,0,4.7619047619,11.428571429,88.571428571,5.7142857143,0,0.9364033401,0.0129153705,0.0125161522,16.470634921,15.85,1.1928339862,12.919614625,7.435,2.71755,21.523842941,0.6645084036,0,90.566037736,9.4339622642,5.6603773585,0,0,"YES" 
"WCAP99-0534",2000,1,46.909090909,0.0590909091,8.4727272727,0.9818181818,0.9818181818,0.7727272727,0.7727272727,1,0.8181818182,1,0.025,0.4534090909,0.1818181818,0.2090909091,0.6886363636,0.7386363636,0,87.43315508,62.43315508,54.215686275,0.0727272727,0.1840909091,0,0.0409090909,0.2818181818,0.0363636364,0.2545454545,0,0.6136363636,0.6136363636,0.2909090909,0.4772727273,0.4772727273,0,0,0,1.3183694764,2.0872693005,-0.768899824,2.4435664073,-1.125196931,158.4,3.135,56.93,1,1,205.878,3.1382171112,25.755569726,0,38.095238095,0,0,38.095238095,40.952380952,59.047619048,1.9047619048,0,1.4918454891,0.0002220434,0,0.4861111111,0,1.0585290679,52.921755661,5.82,4.95565,11.135542508,8.5063543139,0,75,25,13,0,100,"YES" 
"WCAP99-0535",2000,1,22.454545455,0.0113636364,17.61,0.3863636364,0.3863636364,0.380952381,0.380952381,1,0.9047619048,0.9047619048,0.0340909091,0.6363636364,0.1159090909,0.4238636364,0.3477272727,0.4568181818,0,61.764705882,22.058823529,77.363636364,0.575,0.5454545455,0.0090909091,0.0090909091,0.0409090909,0.0272727273,0.0545454545,0.0045454545,0.1454545455,0.1409090909,0.0954545455,1.9469727273,0.7121227273,1.23485,0.2727272727,0,-0.012310918,1.3629758296,-1.375286747,1.6329968273,-1.645307745,240,1,33.673267327,0,0,44.896,1.276608,9.57456,53.333333333,0.9523809524,16.19047619,0,54.285714286,60.952380952,20.952380952,0,0,2.4291711944,0.0001474068,0,0.28375,0,1.0128153084,12.662629198,12.39,3.4145,49.133203253,1.1130622293,0,44.554455446,55.445544554,1.9801980198,0,0,"YES" 
"WCAP99-0536",2000,1,53.045454545,0.0227272727,11.26,0.3754545455,0.3754545455,0.9090909091,0.9090909091,1,0.9545454545,0.9545454545,0.0431818182,0.6931818182,0.2613636364,0.325,0.6022727273,0.7227272727,0, , ,28.090909091,0.05,0.0090909091,0,0.0045454545,0.0772727273,0.0363636364,0.3977272727,0,0.5159090909,0.5159090909,0.4340909091,0,0,0,0,0,2.3602715704,2.0374256759,0.3228458944,2.1736509678,0.1866206026,163.2,3.25,48.961165049,0,0,73.08,2.6502779334,19.487337746,0,5.7142857143,0,0,5.7142857143,8.5714285714,90.476190476,4.7619047619,0,0.9447755152,0.0000946871,0,0.6948529412,0,1.0102193093,23.162648402,8.79,4.4292,20.556340382,2.8378493451,0,46.601941748,53.398058252,37.86407767,0,0,"YES" 
"WCAP99-0539",2000,1,37.318181818,0.0090909091,3.5363636364,0.3363636364,0.3363636364,1,1,1,1,0.55,0.4795454545,0.5375,0.7852272727,0.2863636364,1.0852272727,1.1488636364,0,90.522875817,93.790849673,55.555555556,0,0.0222222222,0.0222222222,0.0722222222,0.0833333333,0.0055555556,0.5722222222,0,0.7555555556,0.7555555556,0.6,0.4545545455,0.4545545455,0,0.1818181818,0.0909090909,1.4505033299,1.3570901996,0.0934131303,2.0501878334,-0.599684503,148.5,4.4,7.55,0,0,29.68,0.2412625,3.8991919192,8.9887640449,38.202247191,0,0,47.191011236,47.191011236,52.808988764,34.831460674,0,2.1908795049,0.0002208893,0,0.0781144781,0,1.2291349498,8.4904878445,0.7285714286,0.081,12.330018674,0.1057151834,0,24,52,44,24,0,"YES" 
"WCAP99-0540",2000,1,18.727272727,0,8.3818181818,0.4454545455,0.4454545455,0.1818181818,0.1818181818,1,0.5454545455,0.9545454545,0.025,0.6102272727,0.0295454545,0.2420454545,0.3670454545,0.4477272727,0.1818181818,41.176470588,21.79144385,92.127659574,0.0045454545,0.0045454545,0,0,0.0090909091,0,0.0454545455,0,0.0545454545,0.0545454545,0.0454545455,0.7424545455,0,0.7424545455,0,0,0.1133798239,0.5922306729,-0.478850849,1.5989358212,-1.485555997,153,1.2,4.7572815534,0,0,7.37,0.0488482779,0.9897363503,1.9047619048,68.571428571,0,0,70.476190476,81.904761905,18.095238095,0,0,1.068367907,0,0,0,0,1.0165590135,2.1349841319,2.74,0.13215,68.7,0.0893622286,0,16.504854369,83.495145631,0,0,73.786407767,"YES" 
"WCAP99-0542",2000,1,25.545454545,0.0227272727,7.8909090909,0.3272727273,0.3272727273,0.8181818182,0.8181818182,1,0.6363636364,1,0.0727272727,0.5125,0.1738636364,0.3704545455,0.5704545455,0.8306818182,0,74.064171123,54.545454545,66.181818182,0.3613636364,0.0272727273,0.0045454545,0.0136363636,0.0454545455,0.0045454545,0.1045454545,0,0.1727272727,0.1727272727,0.1136363636,1.3863818182,0.0681818182,1.3182,0,0,0.6317109511,0.8982167087,-0.266505758,1.2831215581,-0.651410607,150,0.6,19.247524752,0,0,19.95,0.553111133,5.1623705746,8.5714285714,36.19047619,5.7142857143,0,44.761904762,52.380952381,41.904761905,0,0,1.4721134091,0.0005821045,0,0.498,0,1.0221226184,6.5595822132,4.5,0.8001,27.755692138,0.2764271866,0,50.495049505,49.504950495,0,0,0,"YES" 
"WCAP99-0550",2000,1,41.227272727,0.005,2.1818181818,0.2545454545,0.2545454545,1,1,1,0.9545454545,0.9090909091,0.2193181818,0.6522727273,0.3409090909,0.3227272727,0.5272727273,0.6693181818,0,97.058823529,95.053475936,73.333333333,0,0,0.0681818182,0.0772727273,0.2727272727,0.0090909091,0.1909090909,0,0.6181818182,0.6181818182,0.2681818182,0,0,0,0,0,0.7534012222,1.7101870007,-0.956785779,2.2756711551,-1.522269933,156,12.892,5.81,0,0,10.9855,0.0691846875,0.3547932692,0,36.19047619,0,0,36.19047619,77.142857143,20.952380952,5.7142857143,1.9047619048,1.2665843939,0.0477342415,0.0085526175,16.327564103,3.7320512821,1.0299774738,3.1740583587,0.9684210526,0.0564736842,19.498120301,0.0496010399,3.8095238095,83.80952381,16.19047619,10.476190476,0,0,"YES" 
"WCAP99-0552",2000,1,24.5,0,11.554545455,0.3454545455,0.3454545455,1,1,1,1,1,0.3863636364,0.4386363636,0.5386363636,0.4909090909,0.8056818182,0.8556818182,0,99.465240642,97.994652406,58.018867925,0,0,0.0136363636,0.0409090909,0.0454545455,0.0454545455,0.3568181818,0.0227272727,0.525,0.5022727273,0.4386363636,0.9166818182,0.9166818182,0,0.0984863636,0.0681818182,1.388798078,1.46319429,-0.074396212,1.9338570171,-0.545058939,154.5,2.75,15.423076923,0,0,26.5775,0.3010295455,4.2865048544,0,16.19047619,0,0,16.19047619,38.095238095,59.047619048,0,2.8571428571,1.1347237009,0.000478944,0,1.9786407767,0,1.0486038706,6.2499589244,5.745,0.9406,43.029101352,0.9174294982,0,46.153846154,53.846153846,22.115384615,0,0,"YES" 
"WCAP99-0558",2000,1,18.909090909,0,4.8818181818,0.2909090909,0.2909090909,0.9090909091,0.9090909091,1,0.9545454545,1,0.125,0.2965909091,0.2795454545,0.6602272727,0.5704545455,0.6204545455,0,92.245989305,94.117647059,98.181818182,0.0181818182,0.2318181818,0,0.0681818182,0.225,0,0.0136363636,0,0.3068181818,0.3068181818,0.0136363636,2.1288181818,1.6591181818,0.4697,0.0681818182,0,-1.422234047,1.6425184131,-3.064752461,1.8981500553,-3.320384103,163.2,2.15,29.811881188,0,0,29.844,0.4174133201,4.6038233833,67.307692308,27.884615385,0,0,95.192307692,95.192307692,4.8076923077,0,0,1.1804977305,0.0029659373,0,1.9718137255,0,1.0525917481,7.6507684206,3.805,1.1758,13.177632051,0.6318216437,0,23.762376238,76.237623762,0,0,0,"YES" 
"WCAP99-0560",2000,1,31.772727273,0.0227272727,17.227272727,0.5454545455,0.5818181818,0.5454545455,0.5454545455,1,1,1,0.0113636364,0.4693181818,0.075,0.6329545455,0.4431818182,0.7818181818,0,45.989304813,9.4919786096,55.272727273,0.1772727273,0.0681818182,0,0,0.0681818182,0.0136363636,0.3022727273,0,0.3840909091,0.3840909091,0.3159090909,0,0,0,0,0,1.6474752045,1.6683828255,-0.020907621,1.9822728331,-0.334797629,280,1.85,36.772277228,0,0,60.69,2.4205161784,15.560461147,0.9523809524,23.80952381,0,0,24.761904762,33.333333333,66.666666667,7.619047619,0,1.4905342555,0.0000120241,0,0.0207142857,0,1.028911244,18.034900159,10.49,4.02955,32.903741858,2.6852036378,0,31.683168317,68.316831683,33.663366337,0,0,"YES" 
"WCAP99-0574",2000,1,45.409090909,0.0454545455,2.0554545455,0.23,0.2090909091,1,1,1,0.8636363636,0.8636363636,0.1295454545,0.7920454545,0.2772727273,0.1965909091,0.4181818182,0.5465909091,0.1818181818,98.128342246,94.919786096,45.111111111,0.0045454545,0,0.0931818182,0.0977272727,0.3136363636,0.0318181818,0.0681818182,0,0.6045454545,0.6045454545,0.1931818182,1.4697136364,1.4697136364,0,0,0,1.5548365895,1.4776346424,0.0772019471,1.7746439542,-0.219807365,148.5,4.9,8.9484536082,0,0,19.965,0.075935625,1.0227020202,0,8,0,0,8,32,67,5,1,0.9650811212,0.0659688437,0.0539813586,32.343434343,25.212794613,1.0459763729,3.9590906311,1.5684210526,0.1702631579,17.788203901,0.1928660566,1.0309278351,64.948453608,35.051546392,9.2783505155,0,0,"YES" 
"WCAP99-0587",2000,1,51.954545455,0.0681818182,3.9818181818,0.3181818182,1.1181818182,1,1,1,1,1,0.2727272727,0.5579545455,0.4340909091,0.2715909091,0.6840909091,0.8579545455,0,94.652406417,95.989304813,44.907407407,0,0.0045454545,0.1840909091,0.1181818182,0.1613636364,0.0931818182,0.5795454545,0.05,1.1863636364,1.1363636364,0.9068181818,1.4848681818,1.4848681818,0,0,0.8181818182,2.1278198446,2.2528202992,-0.125000455,2.2336493253,-0.105829481,153,14.15,18.466019417,0,0,62.0275,0.2460546196,3.6988602941,1.9047619048,1.9047619048,0,0.9523809524,3.8095238095,24.761904762,74.285714286,21.904761905,0.9523809524,1.2861369641,0.1445836691,0.1323450324,102.49803922,91.737254902,1.0633470646,10.852681546,2.94,0.5317,19.764710181,0.3372050914,0.9708737864,49.514563107,50.485436893,39.805825243,0,0,"YES" 
"WCAP99-0590",2000,1,24.857142857,0.0285714286,8.0545454545,0.4571428571,0.2909090909,1,1,1,1,1,0.1590909091,0.5,0.5409090909,0.4897727273,1.2375,1.4875,0.0909090909,89.839572193,67.112299465,54.705882353,0.0785714286,0,0.0857142857,0.0642857143,0.0785714286,0.0142857143,0.2214285714,0,0.4642857143,0.4642857143,0.3214285714,0.33335,0.33335,0,0,0,1.4647766838,1.4327380399,0.0320386439, , ,151.5,2,19.770491803, , , , , ,0,14.0625,0,0,14.0625,39.0625,59.375,0,1.5625,1.0978251184,0.0086251853,0,7.0620462046,0,1.0322852135,16.612639207,2.41,1.0046666667,29.961118016,1.1196530577,0,11.764705882,48.039215686,38.235294118,40.196078431,0,"YES" 
"WCAP99-0592",2000,1,53.954545455,0.0181818182,2.66,0.2090909091,0.2090909091,0.9583333333,0.9583333333,1,1,0.9583333333,0.1708333333,0.1010416667,0.371875,0.6989583333,0.65625,0.921875,0.7692307692,80.392156863,65.196078431,57.413793103,0.0083333333,0.0458333333,0.0916666667,0.0666666667,0.1666666667,0.1041666667,0.4666666667,0,0.8958333333,0.8958333333,0.6625,0,0,0,0,0,1.8559990145,1.841277294,0.0147217204,2.1798459069,-0.323846892,148.5,7.41,13.67,0,0,20.04125,0.0944296875,1.7804924242,5.2173913043,2.6086956522,0,0,7.8260869565,23.47826087,73.043478261,0,3.4782608696,1.2982038209,0.0149515202,0,5.002020202,0,1.149147786,4.8075172618,1.88,0.23125,17.025758106,0.0980987016,0,80.808080808,19.191919192,8.0808080808,0,100,"YES" 
"WCAP99-0600",2000,1,24,0,6.9818181818,0.2545454545,0.2545454545,0.9523809524,1,1,0.6666666667,0.95,0.0818181818,0.7273809524,0.2727272727,0.3178571429,0.5795454545,0.6852272727,0.0454545455,67.647058824,46.92513369,54.745454545,0.225,0,0.0136363636,0.0227272727,0.0090909091,0,0.0090909091,0,0.0545454545,0.0545454545,0.0227272727,0.9621590909,0.6818454545,0.2803136364,0,0,1.4355040049,1.5460421207,-0.110538116,1.8656973352,-0.43019333,153,2.65,19.368932039,0,0,47.9575,0.3336266447,4.1430759804,5.7142857143,9.5238095238,5.7142857143,0,15.238095238,20.952380952,73.333333333,0,0,1.2605290559,0.0012254051,0,2.7660130719,1.6346405229,1.2179810603,9.7618608513,4.39,0.7568,28.019038598,0.2549899069,0,65.048543689,34.951456311,8.7378640777,0,0,"YES" 
"WCAP99-0604",2000,1,64.636363636,0.0818181818,5.6363636364,0.5454545455,0.5818181818,1,1,1,0.4545454545,1,0.2102272727,0.6670454545,0.4659090909,0.3238636364,0.8931818182,1.0852272727,0.0909090909,97.593582888,91.577540107,44.181818182,0.0045454545,0.0363636364,0.05,0.05,0.0227272727,0.0636363636,0.5977272727,0,0.7840909091,0.7840909091,0.7113636364,0,0,0,0,0,2.33740565,2.3765439168,-0.039138267,2.8067331062,-0.469327456,153,13.64,25.470588235,0,0,71.603455693,0.3526147818,6.6835481508,0,0.9523809524,0,0,0.9523809524,7.619047619,90.476190476,0,1.9047619048,0.7866064064,0.0237382458,0.0109246258,32.337908497,16.120261438,1.0575302786,14.369043928,3.735,1.03235,21.427101836,1.127020164,1.9607843137,56.862745098,43.137254902,31.37254902,0,18.62745098,"YES" 
