"SITE_ID","YEAR","VISIT_NO","TRANSECT","DATE_COL","TEAM_ID","ALGAE","ALGAE_F","MACPHY","MACPHY_F","WOODY","WOODY_F","BRUSH","BRUSH_F","ROOTS","ROOTS_F","OVRHNG","OVRHNG_F","UNDCUT","UNDCUT_F","BOULDR","BOULDR_F","STRUCT","STRUCT_F","TRANSDIR" 
"WAZP99-0551",2000,1,"A",05/24/2000,"1",2," ",0," ",1," ",2," ",0," ",2," ",0," ",2," ",0," "," " 
"WAZP99-0551",2000,1,"B",05/24/2000,"1",2," ",1," ",1," ",1," ",1," ",1," ",1," ",2," ",0," "," " 
"WAZP99-0551",2000,1,"C",05/24/2000,"1",2," ",0," ",2," ",1," ",1," ",2," ",0," ",2," ",0," "," " 
"WAZP99-0551",2000,1,"D",05/24/2000,"1",3," ",0," ",1," ",2," ",0," ",0," ",0," ",2," ",0," "," " 
"WAZP99-0551",2000,1,"E",05/24/2000,"1",2," ",1," ",1," ",2," ",0," ",0," ",0," ",2," ",0," "," " 
"WAZP99-0551",2000,1,"F",05/24/2000,"1",2," ",0," ",1," ",2," ",1," ",1," ",1," ",3," ",0," "," " 
"WAZP99-0551",2000,1,"G",05/24/2000,"1",2," ",0," ",1," ",2," ",0," ",1," ",0," ",2," ",0," "," " 
"WAZP99-0551",2000,1,"H",05/24/2000,"1",2," ",1," ",1," ",1," ",0," ",1," ",0," ",3," ",0," "," " 
"WAZP99-0551",2000,1,"I",05/24/2000,"1",1," ",0," ",1," ",1," ",0," ",0," ",0," ",1," ",0," "," " 
"WAZP99-0551",2000,1,"J",05/24/2000,"1",2," ",0," ",2," ",1," ",0," ",1," ",0," ",2," ",0," "," " 
"WAZP99-0551",2000,1,"K",05/24/2000,"1",2," ",1," ",1," ",2," ",0," ",0," ",0," ",2," ",0," "," " 
"WAZP99-0568",2000,1,"A",05/20/2000,"1",1," ",2," ",0," ",2," ",2," ",1," ",0," ",2," ",0," "," " 
"WAZP99-0568",2000,1,"B",05/20/2000,"1",1," ",2," ",0," ",0," ",2," ",1," ",0," ",1," ",0," "," " 
"WAZP99-0568",2000,1,"C",05/20/2000,"1",1," ",2," ",0," ",1," ",2," ",0," ",0," ",2," ",0," "," " 
"WAZP99-0568",2000,1,"D",05/20/2000,"1",1," ",1," ",0," ",0," ",1," ",0," ",1," ",3," ",0," "," " 
"WAZP99-0568",2000,1,"E",05/20/2000,"1",1," ",1," ",0," ",0," ",1," ",0," ",0," ",2," ",0," "," " 
"WAZP99-0568",2000,1,"F",05/20/2000,"1",1," ",1," ",0," ",1," ",0," ",0," ",0," ",1," ",0," "," " 
"WAZP99-0568",2000,1,"G",05/20/2000,"1",0," ",2," ",0," ",0," ",0," ",0," ",1," ",1," ",0," "," " 
"WAZP99-0568",2000,1,"H",05/20/2000,"1",0," ",1," ",0," ",0," ",0," ",0," ",0," ",1," ",0," "," " 
"WAZP99-0568",2000,1,"I",05/20/2000,"1",0," ",1," ",0," ",0," ",0," ",0," ",0," ",1," ",0," "," " 
"WAZP99-0568",2000,1,"J",05/20/2000,"1",0," ",1," ",0," ",1," ",0," ",0," ",0," ",1," ",0," "," " 
"WAZP99-0568",2000,1,"K",05/20/2000,"1",2," ",2," ",0," ",1," ",1," ",1," ",0," ",1," ",0," "," " 
"WAZP99-0569",2000,1,"A",06/06/2000,"1",0," ",0," ",2," ",2," ",0," ",1," ",0," ",3," ",0," "," " 
"WAZP99-0569",2000,1,"B",06/06/2000,"1",0," ",0," ",2," ",2," ",0," ",1," ",0," ",4," ",0," "," " 
"WAZP99-0569",2000,1,"C",06/06/2000,"1",0," ",0," ",2," ",2," ",0," ",1," ",1," ",3," ",0," "," " 
"WAZP99-0569",2000,1,"D",06/06/2000,"1",0," ",0," ",2," ",2," ",0," ",1," ",0," ",3," ",0," "," " 
"WAZP99-0569",2000,1,"E",06/06/2000,"1",0," ",0," ",3," ",2," ",0," ",1," ",0," ",3," ",0," "," " 
"WAZP99-0569",2000,1,"F",06/06/2000,"1",0," ",0," ",2," ",2," ",0," ",1," ",0," ",2," ",0," "," " 
"WAZP99-0569",2000,1,"G",06/06/2000,"1",0," ",0," ",2," ",2," ",0," ",1," ",0," ",3," ",0," "," " 
"WAZP99-0569",2000,1,"H",06/06/2000,"1",0," ",0," ",4," ",3," ",0," ",2," ",0," ",2," ",0," "," " 
"WAZP99-0569",2000,1,"I",06/06/2000,"1",0," ",0," ",1," ",2," ",0," ",1," ",0," ",2," ",0," "," " 
"WAZP99-0569",2000,1,"J",06/06/2000,"1",0," ",0," ",1," ",1," ",0," ",1," ",0," ",2," ",0," "," " 
"WAZP99-0569",2000,1,"K",06/06/2000,"1",0," ",0," ",1," ",1," ",0," ",1," ",0," ",3," ",0," "," " 
"WAZP99-0590",2002,1,"A",09/15/2002,"1",1," ",0," ",0," ",0," ",0," ",1," ",1," ",2," ",0," "," " 
"WAZP99-0590",2002,1,"B",09/15/2002,"1",1," ",1," ",0," ",0," ",0," ",1," ",0," ",2," ",0," "," " 
"WAZP99-0590",2002,1,"C",09/15/2002,"1",2," ",0," ",0," ",0," ",0," ",2," ",1," ",2," ",0," "," " 
"WAZP99-0590",2002,1,"D",09/15/2002,"1",1," ",0," ",0," ",0," ",0," ",2," ",1," ",2," ",0," "," " 
"WAZP99-0590",2002,1,"E",09/15/2002,"1",1," ",1," ",0," ",0," ",0," ",1," ",0," ",3," ",0," "," " 
"WAZP99-0590",2002,1,"F",09/15/2002,"1",0," ",1," ",0," ",0," ",0," ",1," ",0," ",2," ",0," "," " 
"WAZP99-0590",2002,1,"G",09/15/2002,"1",1," ",0," ",0," ",0," ",0," ",1," ",0," ",0," ",0," "," " 
"WAZP99-0590",2002,1,"H",09/15/2002,"1",1," ",1," ",0," ",0," ",0," ",1," ",0," ",2," ",0," "," " 
"WAZP99-0590",2002,1,"I",09/15/2002,"1",0," ",0," ",0," ",0," ",0," ",1," ",0," ",2," ",0," "," " 
"WAZP99-0590",2002,1,"J",09/15/2002,"1",1," ",0," ",0," ",0," ",0," ",1," ",0," ",2," ",0," "," " 
"WAZP99-0590",2002,1,"K",09/15/2002,"1",0," ",1," ",0," ",0," ",0," ",1," ",0," ",2," ",0," "," " 
"WAZP99-0598",2000,1,"A",05/23/2000,"1",1," ",0," ",1," ",1," ",0," ",0," ",0," ",3," ",0," "," " 
"WAZP99-0598",2000,1,"B",05/23/2000,"1",1," ",0," ",3," ",2," ",0," ",0," ",1," ",4," ",0," "," " 
"WAZP99-0598",2000,1,"C",05/23/2000,"1",1," ",1," ",2," ",2," ",0," ",0," ",0," ",4," ",0," "," " 
"WAZP99-0598",2000,1,"D",05/23/2000,"1",0," ",1," ",2," ",2," ",0," ",0," ",0," ",4," ",0," "," " 
"WAZP99-0598",2000,1,"E",05/23/2000,"1",0," ",1," ",2," ",1," ",0," ",1," ",0," ",4," ",0," "," " 
"WAZP99-0598",2000,1,"F",05/23/2000,"1",0," ",1," ",0," ",2," ",0," ",1," ",0," ",4," ",0," "," " 
"WAZP99-0598",2000,1,"G",05/23/2000,"1",0," ",1," ",1," ",1," ",0," ",0," ",1," ",4," ",0," "," " 
"WAZP99-0598",2000,1,"H",05/23/2000,"1",0," ",1," ",2," ",1," ",0," ",0," ",0," ",4," ",0," "," " 
"WAZP99-0598",2000,1,"I",05/23/2000,"1",0," ",1," ",1," ",1," ",0," ",0," ",0," ",4," ",0," "," " 
"WAZP99-0598",2000,1,"J",05/23/2000,"1",0," ",1," ",1," ",1," ",0," ",0," ",1," ",4," ",0," "," " 
"WAZP99-0598",2000,1,"K",05/23/2000,"1",0," ",2," ",1," ",1," ",0," ",0," ",0," ",4," ",0," "," " 
"WAZP99-0599",2004,1,"A",06/29/2004,"1",0," ",1," ",0," ",1," ",0," ",1," ",0," ",0," ",0," "," " 
"WAZP99-0599",2004,1,"B",06/29/2004,"1",0," ",1," ",0," ",0," ",1," ",1," ",1," ",0," ",0," "," " 
"WAZP99-0599",2004,1,"C",06/29/2004,"1",0," ",1," ",0," ",1," ",1," ",1," ",1," ",0," ",0," "," " 
"WAZP99-0599",2004,1,"D",06/29/2004,"1",0," ",1," ",0," ",0," ",1," ",1," ",1," ",0," ",0," "," " 
"WAZP99-0599",2004,1,"E",06/29/2004,"1",2," ",1," ",0," ",0," ",0," ",0," ",0," ",0," ",0," "," " 
"WAZP99-0599",2004,1,"F",06/29/2004,"1",4," ",1," ",0," ",1," ",0," ",0," ",0," ",0," ",0," "," " 
"WAZP99-0599",2004,1,"G",06/29/2004,"1",2," ",2," ",0," ",1," ",0," ",1," ",0," ",1," ",0," "," " 
"WAZP99-0599",2004,1,"H",06/29/2004,"1",0," ",1," ",0," ",1," ",0," ",1," ",0," ",0," ",0," "," " 
"WAZP99-0599",2004,1,"I",06/29/2004,"1",0," ",2," ",0," ",1," ",0," ",1," ",0," ",0," ",0," "," " 
"WAZP99-0599",2004,1,"J",06/29/2004,"1",0," ",2," ",0," ",1," ",0," ",1," ",0," ",0," ",0," "," " 
"WAZP99-0599",2004,1,"K",06/29/2004,"1",0," ",2," ",0," ",0," ",0," ",1," ",0," ",0," ",0," "," " 
"WAZP99-0605",2000,1,"A",06/07/2000,"1",1," ",0," ",0," ",0," ",0," ",1," ",0," ",2," ",0," "," " 
"WAZP99-0605",2000,1,"B",06/07/2000,"1",1," ",0," ",0," ",0," ",0," ",1," ",0," ",2," ",0," "," " 
"WAZP99-0605",2000,1,"C",06/07/2000,"1",0," ",0," ",0," ",0," ",0," ",1," ",0," ",1," ",0," "," " 
"WAZP99-0605",2000,1,"D",06/07/2000,"1",0," ",0," ",0," ",0," ",0," ",1," ",0," ",1," ",0," "," " 
"WAZP99-0605",2000,1,"E",06/07/2000,"1",0," ",0," ",0," ",0," ",0," ",0," ",0," ",1," ",0," "," " 
"WAZP99-0605",2000,1,"F",06/07/2000,"1",1," ",0," ",0," ",1," ",0," ",1," ",0," ",2," ",0," "," " 
"WAZP99-0605",2000,1,"G",06/07/2000,"1",0," ",0," ",0," ",1," ",0," ",1," ",0," ",1," ",0," "," " 
"WAZP99-0605",2000,1,"H",06/07/2000,"1",1," ",0," ",0," ",1," ",0," ",0," ",0," ",3," ",0," "," " 
"WAZP99-0605",2000,1,"I",06/07/2000,"1",0," ",0," ",0," ",0," ",0," ",0," ",0," ",3," ",0," "," " 
"WAZP99-0605",2000,1,"J",06/07/2000,"1",0," ",0," ",0," ",0," ",0," ",1," ",0," ",1," ",0," "," " 
"WAZP99-0605",2000,1,"K",06/07/2000,"1",0," ",0," ",0," ",0," ",0," ",1," ",0," ",1," ",0," "," " 
"WAZP99-0615",2000,1,"A",06/17/2000,"1",0," ",0," ",1," ",1," ",0," ",3," ",0," ",4," ",0," "," " 
"WAZP99-0615",2000,1,"B",06/17/2000,"1",0," ",0," ",1," ",1," ",0," ",2," ",0," ",4," ",0," "," " 
"WAZP99-0615",2000,1,"C",06/17/2000,"1",0," ",0," ",1," ",1," ",1," ",1," ",1," ",4," ",0," "," " 
"WAZP99-0615",2000,1,"D",06/17/2000,"1",0," ",0," ",2," ",1," ",0," ",3," ",0," ",4," ",0," "," " 
"WAZP99-0615",2000,1,"E",06/17/2000,"1",0," ",0," ",0," ",1," ",0," ",3," ",0," ",4," ",0," "," " 
"WAZP99-0615",2000,1,"F",06/17/2000,"1",1," ",0," ",0," ",1," ",1," ",2," ",0," ",4," ",0," "," " 
"WAZP99-0615",2000,1,"G",06/17/2000,"1",0," ",0," ",1," ",1," ",0," ",2," ",0," ",4," ",0," "," " 
"WAZP99-0615",2000,1,"H",06/17/2000,"1",0," ",0," ",1," ",1," ",0," ",3," ",0," ",4," ",0," "," " 
"WAZP99-0615",2000,1,"I",06/17/2000,"1",0," ",0," ",1," ",1," ",0," ",2," ",0," ",4," ",0," "," " 
"WAZP99-0615",2000,1,"J",06/17/2000,"1",0," ",0," ",1," ",1," ",0," ",3," ",0," ",4," ",0," "," " 
"WAZP99-0615",2000,1,"K",06/17/2000,"1",0," ",0," ",0," ",1," ",0," ",2," ",0," ",4," ",0," "," " 
"WAZP99-0619",2000,1,"A",06/19/2000,"1", ,"F1",4," ",1," ",1," ",0," ",1," ",0," ",2," ",0," "," " 
"WAZP99-0619",2000,1,"B",06/19/2000,"1", ,"F1",4," ",1," ",1," ",0," ",2," ",0," ",2," ",0," "," " 
"WAZP99-0619",2000,1,"C",06/19/2000,"1", ,"F1",4," ",1," ",1," ",0," ",2," ",0," ",2," ",0," "," " 
"WAZP99-0619",2000,1,"D",06/19/2000,"1", ,"F1",4," ",1," ",1," ",0," ",2," ",0," ",2," ",0," "," " 
"WAZP99-0619",2000,1,"E",06/19/2000,"1", ,"F1",4," ",1," ",1," ",0," ",1," ",0," ",2," ",0," "," " 
"WAZP99-0619",2000,1,"F",06/19/2000,"1", ,"F1",4," ",1," ",1," ",0," ",2," ",0," ",2," ",0," "," " 
"WAZP99-0619",2000,1,"G",06/19/2000,"1", ,"F1",4," ",1," ",1," ",0," ",1," ",0," ",2," ",0," "," " 
"WAZP99-0619",2000,1,"H",06/19/2000,"1", ,"F1",4," ",1," ",1," ",0," ",1," ",0," ",2," ",0," "," " 
"WAZP99-0619",2000,1,"I",06/19/2000,"1", ,"F1",4," ",1," ",1," ",0," ",1," ",0," ",2," ",0," "," " 
"WAZP99-0619",2000,1,"J",06/19/2000,"1", ,"F1",4," ",1," ",1," ",0," ",1," ",0," ",2," ",0," "," " 
"WAZP99-0619",2000,1,"K",06/19/2000,"1", ,"F1",3," ",1," ",1," ",0," ",1," ",0," ",2," ",0," "," " 
"WAZP99-0632",2001,1,"A",05/22/2001,"1",0," ",0," ",0," ",0," ",3," ",2," ",0," ",4," ",0," "," " 
"WAZP99-0632",2001,1,"B",05/22/2001,"1",0," ",0," ",0," ",1," ",3," ",3," ",0," ",4," ",0," "," " 
"WAZP99-0632",2001,1,"C",05/22/2001,"1",0," ",0," ",0," ",1," ",3," ",2," ",0," ",1," ",0," "," " 
"WAZP99-0632",2001,1,"D",05/22/2001,"1",0," ",0," ",0," ",1," ",2," ",2," ",1," ",2," ",0," "," " 
"WAZP99-0632",2001,1,"E",05/22/2001,"1",0," ",0," ",0," ",0," ",1," ",1," ",1," ",1," ",0," "," " 
"WAZP99-0632",2001,1,"F",05/22/2001,"1",0," ",0," ",1," ",1," ",2," ",1," ",1," ",1," ",0," "," " 
"WAZP99-0632",2001,1,"G",05/22/2001,"1",0," ",1," ",1," ",1," ",2," ",1," ",0," ",3," ",0," "," " 
"WAZP99-0632",2001,1,"H",05/22/2001,"1",0," ",1," ",0," ",1," ",1," ",1," ",0," ",1," ",0," "," " 
"WAZP99-0632",2001,1,"I",05/22/2001,"1",0," ",1," ",1," ",1," ",1," ",1," ",0," ",2," ",0," "," " 
"WAZP99-0632",2001,1,"J",05/22/2001,"1",0," ",0," ",0," ",0," ",1," ",1," ",0," ",1," ",0," "," " 
"WAZP99-0632",2001,1,"K",05/22/2001,"1",0," ",0," ",0," ",0," ",1," ",1," ",1," ",3," ",0," "," " 
"WAZP99-0639",2001,1,"A",05/31/2001,"1",0," ",1," ",1," ",0," ",0," ",0," ",2," ",1," ",1,"F1"," " 
"WAZP99-0639",2001,1,"B",05/31/2001,"1",0," ",0," ",0," ",0," ",0," ",0," ",1," ",1," ",0," "," " 
"WAZP99-0639",2001,1,"C",05/31/2001,"1",0," ",0," ",1," ",0," ",0," ",0," ",1," ",1," ",0," "," " 
"WAZP99-0639",2001,1,"D",05/31/2001,"1",0," ",1," ",0," ",0," ",0," ",0," ",1," ",1," ",0," "," " 
"WAZP99-0639",2001,1,"E",05/31/2001,"1",0," ",0," ",0," ",0," ",0," ",0," ",0," ",1," ",0," "," " 
"WAZP99-0639",2001,1,"F",05/31/2001,"1",0," ",0," ",0," ",0," ",0," ",0," ",1," ",1," ",0," "," " 
"WAZP99-0639",2001,1,"G",05/31/2001,"1",0," ",1," ",0," ",0," ",0," ",0," ",1," ",1," ",0," "," " 
"WAZP99-0639",2001,1,"H",05/31/2001,"1",0," ",1," ",0," ",0," ",0," ",1," ",2," ",2," ",0," "," " 
"WAZP99-0639",2001,1,"I",05/31/2001,"1",0," ",1," ",0," ",0," ",0," ",1," ",2," ",1," ",0," "," " 
"WAZP99-0639",2001,1,"J",05/31/2001,"1",0," ",1," ",0," ",0," ",0," ",0," ",2," ",1," ",0," "," " 
"WAZP99-0639",2001,1,"K",05/31/2001,"1",0," ",1," ",0," ",0," ",0," ",1," ",1," ",1," ",0," "," " 
"WAZP99-0645",2001,1,"A",06/13/2001,"1",0," ",0," ",0," ",0," ",3," ",1," ",2," ",0," ",0," "," " 
"WAZP99-0645",2001,1,"B",06/13/2001,"1",0," ",0," ",0," ",0," ",0," ",2," ",0," ",0," ",0," "," " 
"WAZP99-0645",2001,1,"C",06/13/2001,"1",0," ",0," ",0," ",0," ",0," ",1," ",1," ",0," ",0," "," " 
"WAZP99-0645",2001,1,"D",06/13/2001,"1",0," ",0," ",0," ",3," ",1," ",1," ",0," ",0," ",0," "," " 
"WAZP99-0645",2001,1,"E",06/13/2001,"1",0," ",2," ",0," ",1," ",0," ",1," ",0," ",0," ",0," "," " 
"WAZP99-0645",2001,1,"F",06/13/2001,"1",0," ",3," ",0," ",2," ",3," ",1," ",0," ",0," ",0," "," " 
"WAZP99-0645",2001,1,"G",06/13/2001,"1",0," ",1," ",0," ",1," ",0," ",1," ",0," ",0," ",0," "," " 
"WAZP99-0645",2001,1,"H",06/13/2001,"1",0," ",1," ",0," ",2," ",1," ",1," ",0," ",0," ",0," "," " 
"WAZP99-0645",2001,1,"I",06/13/2001,"1",1," ",1," ",0," ",1," ",1," ",1," ",0," ",0," ",0," "," " 
"WAZP99-0645",2001,1,"J",06/13/2001,"1",1," ",1," ",0," ",0," ",0," ",1," ",0," ",0," ",0," "," " 
"WAZP99-0645",2001,1,"K",06/13/2001,"1",0," ",0," ",0," ",1," ",1," ",1," ",0," ",0," ",0," "," " 
"WAZP99-0648",2001,1,"A",06/01/2001,"1",0," ",3," ",0," ",0," ",0," ",2," ",0," ",1," ",0," "," " 
"WAZP99-0648",2001,1,"B",06/01/2001,"1",0," ",4," ",0," ",0," ",0," ",2," ",0," ",1," ",0," "," " 
"WAZP99-0648",2001,1,"C",06/01/2001,"1",0," ",4," ",0," ",0," ",0," ",2," ",0," ",1," ",0," "," " 
"WAZP99-0648",2001,1,"D",06/01/2001,"1",0," ",2," ",1," ",0," ",0," ",0," ",0," ",0," ",4," "," " 
"WAZP99-0648",2001,1,"E",06/01/2001,"1",0," ",3," ",0," ",0," ",1," ",1," ",1," ",1," ",0," "," " 
"WAZP99-0648",2001,1,"F",06/01/2001,"1",1," ",3," ",0," ",1," ",1," ",1," ",1," ",1," ",0," "," " 
"WAZP99-0649",2001,1,"A",05/25/2001,"1",4," ",3," ",0," ",1," ",1," ",1," ",0," ",4," ",0," "," " 
"WAZP99-0649",2001,1,"B",05/25/2001,"1",2," ",2," ",0," ",0," ",1," ",0," ",0," ",2," ",0," "," " 
"WAZP99-0649",2001,1,"C",05/25/2001,"1",1," ",2," ",0," ",0," ",0," ",0," ",0," ",2," ",0," "," " 
"WAZP99-0649",2001,1,"D",05/25/2001,"1",1," ",1," ",0," ",0," ",0," ",0," ",0," ",1," ",0," "," " 
"WAZP99-0649",2001,1,"E",05/25/2001,"1",0," ",1,"F1",0," ",0," ",0," ",0," ",0," ",2," ",0," "," " 
"WAZP99-0649",2001,1,"F",05/25/2001,"1",1," ",0," ",0," ",0," ",0," ",0," ",0," ",0," ",0," "," " 
"WAZP99-0649",2001,1,"G",05/25/2001,"1",1," ",0," ",0," ",0," ",0," ",0," ",0," ",1," ",0," "," " 
"WAZP99-0649",2001,1,"H",05/25/2001,"1",1," ",0," ",0," ",0," ",0," ",0," ",0," ",0," ",0," "," " 
"WAZP99-0649",2001,1,"I",05/25/2001,"1",0," ",0," ",0," ",0," ",0," ",0," ",0," ",0," ",0," "," " 
"WAZP99-0649",2001,1,"J",05/25/2001,"1",1," ",0," ",0," ",0," ",0," ",0," ",0," ",2," ",0," "," " 
"WAZP99-0649",2001,1,"K",05/25/2001,"1",0," ",0," ",0," ",0," ",0," ",0," ",0," ",0," ",0," "," " 
"WAZP99-0653",2001,1,"A",06/28/2001,"1",2," ",1," ",0," ",0," ",0," ",0," ",0," ",2," ",0," "," " 
"WAZP99-0653",2001,1,"B",06/28/2001,"1",2," ",1," ",0," ",0," ",0," ",0," ",0," ",2," ",0," "," " 
"WAZP99-0653",2001,1,"C",06/28/2001,"1",1," ",1," ",0," ",0," ",0," ",0," ",0," ",2," ",0," "," " 
"WAZP99-0653",2001,1,"D",06/28/2001,"1",1," ",1," ",0," ",0," ",0," ",0," ",0," ",3," ",0," "," " 
"WAZP99-0653",2001,1,"E",06/28/2001,"1",1," ",1," ",0," ",0," ",0," ",0," ",0," ",3," ",0," "," " 
"WAZP99-0653",2001,1,"F",06/28/2001,"1",1," ",0," ",0," ",0," ",0," ",0," ",0," ",3," ",0," "," " 
"WAZP99-0653",2001,1,"G",06/28/2001,"1",3," ",1," ",0," ",0," ",0," ",0," ",0," ",0," ",0," "," " 
"WAZP99-0653",2001,1,"H",06/28/2001,"1",1," ",1," ",0," ",0," ",0," ",0," ",0," ",0," ",0," "," " 
"WAZP99-0653",2001,1,"I",06/28/2001,"1",0," ",1," ",0," ",0," ",0," ",0," ",0," ",0," ",0," "," " 
"WAZP99-0653",2001,1,"J",06/28/2001,"1",1," ",1," ",0," ",0," ",0," ",1," ",0," ",0," ",0," "," " 
