"SITE_ID","YEAR","VISIT_NO","FLOWTYPE","DATE_COL","TEAM_ID","EPIF_SUB","POOL_SUB","POOL_VAR","SEDI_DEP","CHAN_FLS","CHAN_ALT","CHAN_SIN","BANK_STL","BANK_STR","VEG_PROL","VEG_PROR","RIPA_VL","RIPA_VR","EMBEDDED","VELOCITY","FRQ_RIFF","FORMTYPE","SAMPTYPE","TRANSECT","RH_SUM","RH_XHAB" 
"WAZP99-0888",2003,1,"R/R",05/20/2003,"1",18, , ,19,15,20, ,9,9,9,9,9,9,16,15,19," "," "," ",176,13.538461538 
"WAZP99-0893",2003,1,"R/R",05/13/2003,"1",14, , ,16,13,18, ,9,6,8,8,9,9,12,15,15," "," "," ",152,11.692307692 
"WAZP99-0906",2003,1,"G/P",06/04/2003,"1",12,14,4,12,14,18,15,3,3,2,2,4,4, , , ," "," "," ",107,8.2307692308 
"WCAP99-0501",2001,1,"R/R",06/07/2001,"1",8, , ,16,19,20, ,8,9,8,9,8,10,9,17,12," "," "," ",153,11.769230769 
"WCAP99-0503",2000,1,"R/R",10/03/2000," ",20, , ,19,9,20, ,8,8,2,2,10,10, , , ," "," "," ",108,10.8 
"WCAP99-0505",2000,1,"R/R",08/09/2000," ",18, , ,18,15,20, ,8,8,8,8,10,10, , , ," "," "," ",123,12.3 
"WCAP99-0506",2000,1,"R/R",08/29/2000," ",17, , ,16,19,20, ,9,9,8,8,9,9, , , ," "," "," ",124,12.4 
"WCAP99-0509",2001,1,"R/R",08/07/2001,"2",16, , ,16,19,19, ,9,9,7,5,10,10,16,17,13," "," "," ",166,12.769230769 
"WCAP99-0512",2001,1,"R/R",08/29/2001,"1",13, , ,18,20,20, ,9,9,8,8,9,9,16,14,12," "," "," ",165,12.692307692 
"WCAP99-0515",2000,1,"R/R",09/28/2000," ",14, , ,14,16,20, ,9,9,6,6,10,10, , , ," "," "," ",114,11.4 
"WCAP99-0521",2000,1,"R/R",08/30/2000," ",13, , ,14,9,20, ,5,2,3,2,10,10, , , ," "," "," ",88,8.8 
"WCAP99-0527",2001,1,"R/R",08/20/2001,"1",15, , ,17,14,19, ,8,8,9,9,9,9,17,14,15," "," "," ",163,12.538461538 
"WCAP99-0534",2000,1,"R/R",06/20/2000," ",13, , ,13,16,20, ,9,9,8,8,10,10, , , ," "," "," ",116,11.6 
"WCAP99-0535",2000,1,"R/R",06/13/2000," ",8, , ,6,12,10, ,5,7,8,3,9,6, , , ," "," "," ",74,7.4 
"WCAP99-0536",2000,1,"R/R",06/14/2000," ",16, , ,17,18,20, ,8,9,7,8,10,10, , , ," "," "," ",123,12.3 
"WCAP99-0539",2000,1,"G/P",07/19/2000," ",17,15,11,15,2,18,13,8,9,8,8,10,10, , , ," "," "," ",144,11.076923077 
"WCAP99-0540",2000,1,"R/R",06/21/2000," ",5, , ,7,5,20, ,7,5,6,5,10,10, , , ," "," "," ",80,8 
"WCAP99-0542",2000,1,"R/R",07/11/2000," ",10, , ,9,10,20, ,4,4,8,8,10,10, , , ," "," "," ",93,9.3 
"WCAP99-0550",2000,1,"R/R",06/27/2000,"1",7, , ,7,13,20, ,6,6,6,6,10,10, , , ," "," "," ",91,9.1 
"WCAP99-0552",2000,1,"R/R",07/25/2000," ",10, , ,5,17,17, ,9,9,9,9,10,10, , , ," "," "," ",105,10.5 
"WCAP99-0558",2000,1,"R/R",06/28/2000,"1",14, , ,11,16,17, ,4,4,7,7,6,4, , , ," "," "," ",90,9 
"WCAP99-0560",2000,1,"R/R",07/13/2000," ",16, , ,16,13,20, ,8,8,9,6,10,10, , , ," "," "," ",116,11.6 
"WCAP99-0563",2001,1,"R/R",06/21/2001,"1",14, , ,16,20,20, ,9,9,5,5,10,10,12,10,20," "," "," ",160,12.307692308 
"WCAP99-0574",2000,1,"R/R",08/15/2000," ",16, , ,15,14,20, ,7,7,5,5,2,2, , , ," "," "," ",93,9.3 
"WCAP99-0581",2001,1,"R/R",07/26/2001,"1",4, , ,13,4,20, ,10,10,9,8,10,10,14,6,1," "," "," ",119,9.1538461538 
"WCAP99-0583",2001,1,"R/R",08/01/2001,"1",18, , ,17,20,19, ,5,4,7,7,9,9,13,15,14," "," "," ",157,12.076923077 
"WCAP99-0587",2000,1,"R/R",08/16/2000," ",16, , ,14,15,20, ,8,8,6,6,7,9, , , ," "," "," ",109,10.9 
"WCAP99-0590",2000,1,"R/R",08/24/2000," ",7, , ,7,5,20, ,6,7,6,6,10,10, , , ," "," "," ",84,8.4 
"WCAP99-0592",2000,1,"R/R",09/12/2000," ",16, , ,13,18,20, ,9,9,9,9,10,10, , , ," "," "," ",123,12.3 
"WCAP99-0593",2001,1,"R/R",08/28/2001,"1",17, , ,18,20,20, ,10,10,9,9,10,10,14,16,16," "," "," ",179,13.769230769 
"WCAP99-0598",2002,1,"R/R",09/17/2002,"1",18, , ,14,17,15, ,9,9,7,7,8,7,13,17,18," "," "," ",159,12.230769231 
"WCAP99-0600",2000,1,"R/R",08/02/2000," ",12, , ,10,12,20, ,8,6,8,9,10,10, , , ," "," "," ",105,10.5 
"WCAP99-0604",2000,1,"R/R",09/13/2000," ",13, , ,11,7,20, ,8,8,2,2,10,10, , , ," "," "," ",91,9.1 
"WCAP99-0605",2000,1,"R/R",09/19/2000," ",17, , ,15,16,20, ,8,8,9,9,10,9, , , ," "," "," ",121,12.1 
"WCAP99-0606",2000,1,"R/R",08/23/2000," ",16, , ,13,14,20, ,8,7,7,9,10,10, , , ," "," "," ",114,11.4 
"WCAP99-0613",2000,1,"R/R",08/08/2000," ",18, , ,18,15,20, ,8,8,9,8,9,10, , , ," "," "," ",123,12.3 
"WCAP99-0614",2003,1,"R/R",08/20/2003,"1",14, , ,14,14,20, ,8,8,9,8,10,7,15,13,12," "," "," ",152,11.692307692 
"WCAP99-0618",2003,1,"R/R",07/23/2003,"2",17, , ,14,19,19, ,9,9,10,10,10,10,17,15,17," "," "," ",176,13.538461538 
"WCAP99-0619",2000,1,"R/R",08/22/2000," ",16, , ,14,8,20, ,3,3,2,2,9,9, , , ," "," "," ",86,8.6 
"WCAP99-0624",2001,1,"R/R",08/22/2001,"2",15, , ,16,19,13, ,9,9,8,8,5,5,16,17,13," "," "," ",153,11.769230769 
"WCAP99-0625",2001,1,"R/R",09/11/2001,"1",17, , ,16,19,20, ,10,9,8,8,10,10,18,17,18," "," "," ",180,13.846153846 
"WCAP99-0629",2002,1,"R/R",06/27/2002,"1",17, , ,14,20,20, ,9,9,6,6,10,10,17,19,18," "," "," ",175,13.461538462 
"WCAP99-0654",2001,1,"G/P",06/13/2001,"1",8,13,12,4,20,13,6,10,10,5,5,7,7, , , ," "," "," ",120,9.2307692308 
"WCAP99-0658",2001,1,"R/R",05/09/2001,"1",15, , ,8,18,9, ,9,9,2,2,5,4,9,14,16," "," "," ",120,9.2307692308 
"WCAP99-0662",2001,1,"R/R",05/16/2001,"1",15, , ,14,18,19, ,9,9,9,9,8,9,13,16,14," "," "," ",162,12.461538462 
"WCAP99-0669",2001,1,"R/R",06/26/2001,"1",19, , ,18,20,20, ,10,9,6,6,10,10,18,18,17," "," "," ",181,13.923076923 
"WCAP99-0674",2002,1,"R/R",05/16/2002,"1",13, , ,4,18,20, ,9,9,10,10,10,10,6,10,15," "," "," ",144,11.076923077 
"WCAP99-0677",2002,1,"R/R",05/09/2002,"1",12, , ,17,20,20, ,8,9,4,4,10,10,14,12,14," "," "," ",154,11.846153846 
"WCAP99-0679",2002,1,"R/R",04/24/2002,"1",14, , ,13,19,19, ,9,9,9,9,9,8,12,15,17," "," "," ",162,12.461538462 
"WCAP99-0682",2002,1,"R/R",04/30/2002,"1",14, , ,8,20,17, ,9,8,6,5,7,7,9,17,16," "," "," ",143,11 
"WCAP99-0683",2002,1,"R/R",05/08/2002,"1",19, , ,18,20,20, ,9,9,4,5,8,9,17,15,18," "," "," ",171,13.153846154 
"WCAP99-0742",2001,1,"R/R",08/21/2001,"2",18, , ,15,20,20, ,9,9,8,8,9,9,17,16,15," "," "," ",173,13.307692308 
"WCAP99-0744",2001,1,"R/R",09/12/2001,"1",15, , ,14,19,13, ,4,9,6,9,4,6,15,19,18," "," "," ",151,11.615384615 
"WCAP99-0746",2001,1,"R/R",07/31/2001,"2",15, , ,12,20,17, ,9,6,9,7,4,5,12,19,17," "," "," ",152,11.692307692 
"WCAP99-0747",2001,1,"R/R",09/07/2001,"1",18, , ,19,20,20, ,9,10,8,3,10,10,18,14,18," "," "," ",177,13.615384615 
"WCAP99-0748",2001,1,"R/R",08/20/2001,"2",2, , ,17,16,2, ,9,9,0,0,0,0,11,9,3," "," "," ",78,6 
"WCAP99-0750",2001,1,"R/R",08/07/2001,"1",8, , ,6,10,13, ,5,4,8,6,7,5,16,10,9," "," "," ",107,8.2307692308 
"WCAP99-0755",2001,1,"R/R",08/22/2001,"1",16, , ,16,19,20, ,8,7,9,9,9,9,16,16,11," "," "," ",165,12.692307692 
"WCAP99-0756",2001,1,"R/R",08/21/2001,"1",6, , ,7,17,16, ,2,1,3,3,2,2,4,13,7," "," "," ",83,6.3846153846 
"WCAP99-0758",2001,1,"R/R",07/02/2001,"1",14, , ,18,20,20, ,9,9,10,10,10,10,19,13,17," "," "," ",179,13.769230769 
"WCAP99-0759",2001,1,"R/R",09/13/2001,"1",11, , ,6,18,16, ,4,4,3,3,7,7,11,11,16," "," "," ",117,9 
"WCAP99-0760",2001,1,"R/R",08/09/2001,"2",16, , ,7,17,17, ,6,6,6,7,9,8,11,14,16," "," "," ",140,10.769230769 
"WCAP99-0761",2001,1,"R/R",10/02/2001,"1",15, , ,10,19,20, ,4,3,8,7,9,9,8,10,17," "," "," ",139,10.692307692 
"WCAP99-0764",2002,1,"R/R",06/20/2002,"2",17, , ,18,9,7, ,8,9,6,9,1,4,17,17,10," "," "," ",132,10.153846154 
"WCAP99-0767",2001,1,"R/R",10/10/2001,"1",14, , ,6,17,18, ,9,9,4,4,6,8,14,15,13," "," "," ",137,10.538461538 
"WCAP99-0768",2001,1,"R/R",07/25/2001,"2",13, , ,12,19,11, ,9,9,8,7,6,5,16,19,12," "," "," ",146,11.230769231 
"WCAP99-0777",2001,1,"R/R",06/20/2001,"1",17, , ,14,20,20, ,10,9,8,8,10,10,13,15,19," "," "," ",173,13.307692308 
"WCAP99-0779",2001,1,"R/R",07/11/2001,"1",16, , ,17,20,20, ,9,9,8,8,10,10,17,15,18," "," "," ",177,13.615384615 
"WCAP99-0780",2001,1,"R/R",05/15/2001,"1",5, , ,14,10,18, ,9,7,8,7,9,8,7,10,13," "," "," ",125,9.6153846154 
"WCAP99-0785",2001,1,"R/R",05/24/2001,"1",1, , ,2,18,4, ,5,5,4,5,1,2,1,10,3," "," "," ",61,4.6923076923 
"WCAP99-0787",2001,1,"R/R",06/27/2001,"1",5, , ,7,16,20, ,8,8,10,10,10,10,4,9,10," "," "," ",127,9.7692307692 
"WCAP99-0794",2001,1,"R/R",05/10/2001,"1",15, , ,8,18,20, ,8,6,4,2,10,10,10,13,16," "," "," ",140,10.769230769 
"WCAP99-0795",2001,1,"R/R",06/06/2001,"1",2, , ,2,18,19, ,5,5,6,2,7,9,8,12,6," "," "," ",101,7.7692307692 
"WCAP99-0796",2001,1,"R/R",07/10/2001,"1",19, , ,18,20,20, ,8,8,9,9,10,10,18,19,16," "," "," ",184,14.153846154 
"WCAP99-0798",2001,1,"R/R",05/17/2001,"1",17, , ,14,18,20, ,10,10,10,10,9,10,8,15,12," "," "," ",163,12.538461538 
"WCAP99-0803",2001,1,"R/R",06/12/2001,"1",17, , ,17,20,20, ,9,8,2,2,10,10,12,17,18," "," "," ",162,12.461538462 
"WCAP99-0806",2001,1,"R/R",06/20/2001,"2",14, , ,8,20,20, ,7,8,9,9,10,10,10,20,19," "," "," ",164,12.615384615 
"WCAP99-0809",2001,1,"R/R",06/05/2001,"1",18, , ,16,19,20, ,9,9,9,9,7,7,16,16,17," "," "," ",172,13.230769231 
"WCAP99-0810",2001,1,"R/R",07/26/2001,"2",18, , ,17,20,20, ,8,9,6,6,8,10,17,15,16," "," "," ",170,13.076923077 
"WCAP99-0811",2001,1,"R/R",07/31/2001,"1",15, , ,15,19,16, ,8,3,8,6,5,6,12,19,16," "," "," ",148,11.384615385 
"WCAP99-0812",2001,1,"R/R",07/12/2001,"2",17, , ,18,18,11, ,9,6,8,7,8,2,16,17,18," "," "," ",155,11.923076923 
"WCAP99-0816",2001,1,"R/R",08/14/2001,"1",16, , ,15,19,20, ,9,8,7,7,9,9,17,16,18," "," "," ",170,13.076923077 
"WCAP99-0824",2001,1,"R/R",07/24/2001,"1",14, , ,16,19,15, ,8,8,9,9,7,6,17,18,18," "," "," ",164,12.615384615 
"WCAP99-0825",2001,1,"R/R",07/10/2001,"1",11, , ,13,9,20, ,9,2,2,4,6,9,17,15,18," "," "," ",135,10.384615385 
"WCAP99-0831",2001,1,"R/R",07/11/2001,"2",15, , ,18,12,20, ,7,8,7,8,10,10,13,15,17," "," "," ",160,12.307692308 
"WCAP99-0832",2001,1,"R/R",07/24/2001,"2",14, , ,11,20,20, ,9,8,8,7,9,10,14,14,16," "," "," ",160,12.307692308 
"WCAP99-0833",2001,1,"R/R",08/15/2001,"1",17, , ,16,4,20, ,5,5,8,7,9,9,18,6,1," "," "," ",125,9.6153846154 
"WCAP99-0835",2001,1,"R/R",09/19/2001,"1",5, , ,15,10,19, ,8,8,9,9,7,9,18,7,3," "," "," ",127,9.7692307692 
"WCAP99-0837",2002,1,"G/P",07/09/2002,"2",13,14,13,17,14,20,17,9,9,4,5,9,9, , , ," "," "," ",153,11.769230769 
"WCAP99-0838",2001,1,"R/R",08/08/2001,"1",10, , ,1,18,13, ,2,3,7,7,8,8,2,7,3," "," "," ",89,6.8461538462 
"WCAP99-0843",2001,1,"R/R",10/03/2001,"1",19, , ,12,19,20, ,7,8,9,9,10,9,16,14,18," "," "," ",170,13.076923077 
"WCAP99-0844",2002,1,"R/R",08/08/2002,"2",16, , ,12,20,20, ,7,7,10,10,10,10,14,15,15," "," "," ",166,12.769230769 
"WCAP99-0845",2001,1,"R/R",09/26/2001,"1",15, , ,6,18,17, ,3,3,8,8,9,9,11,13,18," "," "," ",138,10.615384615 
"WCAP99-0857",2003,1,"R/R",08/26/2003,"1",16, , ,15,10,14, ,7,8,8,8,6,4,15,14,16," "," "," ",141,10.846153846 
"WCAP99-0860",2001,1,"R/R",07/03/2001,"1",17, , ,12,19,19, ,7,7,9,8,9,9,11,10,19," "," "," ",156,12 
"WCAP99-0862",2001,1,"R/R",08/23/2001,"1",12, , ,15,16,16, ,8,8,9,7,9,7,15,14,11," "," "," ",147,11.307692308 
"WCAP99-0864",2001,1,"R/R",05/08/2001,"1",15, , ,14,16,14, ,9,9,5,5,5,6,12,15,17," "," "," ",142,10.923076923 
"WCAP99-0867",2003,1,"R/R",07/16/2003,"1",10, , ,8,16,9, ,6,6,7,7,2,2,8,9,13," "," "," ",103,7.9230769231 
"WCAP99-0883",2001,1,"R/R",06/28/2001,"1",15, , ,14,20,17, ,9,7,9,9,9,9,16,18,12," "," "," ",164,12.615384615 
"WCAP99-0885",2003,1,"R/R",07/15/2003,"1",15, , ,16,16,19, ,9,9,10,10,8,8,15,10,14," "," "," ",159,12.230769231 
"WCAP99-0888",2001,1,"R/R",06/19/2001,"1",11, , ,3,20,13, ,8,7,9,8,6,6,2,13,4," "," "," ",110,8.4615384615 
"WCAP99-0891",2001,1,"R/R",06/14/2001,"1",7, , ,4,20,20, ,7,7,4,4,10,10,9,12,10," "," "," ",124,9.5384615385 
"WCAP99-0895",2001,1,"R/R",06/28/2001,"1",19, , ,17,19,20, ,9,9,3,3,2,2,16,17,17," "," "," ",153,11.769230769 
"WCAP99-0896",2001,1,"R/R",06/19/2001,"1",13, , ,14,20,17, ,8,8,5,5,7,10,9,10,17," "," "," ",143,11 
"WCAP99-0898",2001,1,"R/R",05/23/2001,"1",7, , ,6,18,15, ,2,1,1,2,6,5,12,11,13," "," "," ",99,7.6153846154 
"WCAP99-0899",2001,1,"R/R",06/26/2001,"2",11, , ,9,19,15, ,2,5,3,4,3,3,16,16,11," "," "," ",117,9 
"WCAP99-0900",2002,1,"G/P",05/22/2002,"1",15,17,16,12,18,20,11,9,9,9,9,10,10, , , ," "," "," ",165,12.692307692 
"WCAP99-0905",2001,1,"R/R",06/27/2001,"2",12, , ,14,19,20, ,9,9,9,6,9,9,11,17,11," "," "," ",155,11.923076923 
"WCAP99-0984",2002,1,"R/R",06/19/2002,"1",15, , ,16,17,19, ,9,9,5,5,9,9,14,14,18," "," "," ",159,12.230769231 
"WCAP99-0988",2002,1,"R/R",08/28/2002,"1",14, , ,14,10,20, ,8,8,6,4,8,8,14,9,14," "," "," ",137,10.538461538 
"WCAP99-0989",2002,1,"G/P",06/18/2002,"2",7,10,8,4,12,12,9,7,7,7,7,8,9, , , ," "," "," ",107,8.2307692308 
"WCAP99-0991",2002,1,"R/R",06/26/2002,"1",13, , ,10,20,20, ,5,5,7,7,8,8,11,16,15," "," "," ",145,11.153846154 
"WCAP99-1000",2002,1,"R/R",07/17/2002,"1",14, , ,17,20,12, ,5,7,8,8,5,5,18,18,10," "," "," ",147,11.307692308 
"WCAP99-1002",2002,1,"R/R",06/25/2002,"1",15, , ,13,20,20, ,10,10,10,10,8,10,13,10,19," "," "," ",168,12.923076923 
"WCAP99-1005",2002,1,"R/R",08/21/2002,"2",16, , ,16,17,17, ,8,8,7,7,9,10,15,11,12," "," "," ",153,11.769230769 
"WCAP99-1008",2002,1,"R/R",06/06/2002,"1",17, , ,16,19,18, ,8,8,9,9,10,9,15,15,19," "," "," ",172,13.230769231 
"WCAP99-1013",2002,1,"R/R",05/15/2002,"1",16, , ,13,13,18, ,2,2,2,2,10,9,15,10,19," "," "," ",131,10.076923077 
"WCAP99-1014",2002,1,"R/R",04/23/2002,"1",10, , ,7,13,13, ,7,7,7,7,4,5,4,13,7," "," "," ",104,8 
"WCAP99-1018",2002,1,"R/R",04/25/2002,"1",8, , ,4,19,11, ,5,5,6,5,2,1,3,14,13," "," "," ",96,7.3846153846 
"WCAP99-1020",2002,1,"R/R",06/19/2002,"2",17, , ,14,19,19, ,9,9,9,9,7,7,14,15,17," "," "," ",165,12.692307692 
"WCAP99-1021",2002,1,"R/R",05/01/2002,"1",14, , ,18,20,20, ,9,8,7,7,10,10,17,10,19," "," "," ",169,13 
"WCAP99-1027",2002,1,"R/R",05/02/2002,"1",13, , ,15,20,20, ,9,9,9,9,9,9,16,16,16," "," "," ",170,13.076923077 
"WCAP99-1028",2002,1,"R/R",05/29/2002,"1",17, , ,14,20,20, ,10,10,9,9,10,10,18,15,4," "," "," ",166,12.769230769 
"WCAP99-1032",2002,1,"G/P",06/04/2002,"1",7,11,7,3,18,9,13,4,4,8,8,0,0, , , ," "," "," ",92,7.0769230769 
"WCAP99-1035",2002,1,"R/R",05/30/2002,"1",17, , ,15,20,20, ,9,9,9,9,10,10,15,14,14," "," "," ",171,13.153846154 
"WCAP99-1039",2002,1,"R/R",05/07/2002,"1",5, , ,2,20,2, ,7,7,9,9,4,4,1,3,2," "," "," ",75,5.7692307692 
"WCAP99-1043",2002,1,"R/R",06/11/2002,"2",17, , ,16,19,15, ,9,9,9,9,7,9,16,15,14," "," "," ",164,12.615384615 
"WCAP99-1046",2002,1,"R/R",06/12/2002,"1",14, , ,16,20,20, ,9,9,7,7,7,10,16,13,14," "," "," ",162,12.461538462 
"WCAP99-1048",2002,1,"G/P",08/08/2002,"1",13,13,9,11,10,20,9,4,5,4,5,5,5, , , ," "," "," ",113,8.6923076923 
"WCAP99-1050",2002,1,"R/R",06/25/2002,"2",19, , ,17,20,20, ,9,9,9,9,10,10,17,19,16," "," "," ",184,14.153846154 
"WCAP99-1051",2002,1,"R/R",07/16/2002,"2",7, , ,12,19,16, ,4,4,9,9,6,6,5,14,11," "," "," ",122,9.3846153846 
"WCAP99-1055",2002,1,"R/R",07/11/2002,"1",19, , ,18,20,20, ,9,9,2,2,10,10,18,19,18," "," "," ",174,13.384615385 
"WCAP99-1056",2002,1,"R/R",07/11/2002,"2",17, , ,16,20,20, ,7,8,10,10,9,10,15,15,14," "," "," ",171,13.153846154 
"WCAP99-1057",2002,1,"R/R",07/30/2002,"2",12, , ,6,19,18, ,9,7,9,9,8,8,11,12,15," "," "," ",143,11 
"WCAP99-1060",2002,1,"R/R",08/22/2002,"2",17, , ,10,20,12, ,8,8,9,8,9,8,11,14,13," "," "," ",147,11.307692308 
"WCAP99-1062",2002,1,"R/R",09/12/2002,"2",15, , ,16,20,17, ,9,8,9,9,9,6,15,10,16," "," "," ",159,12.230769231 
"WCAP99-1063",2002,1,"R/R",09/10/2002,"2",17, , ,15,17,19, ,9,8,9,9,10,9,15,7,7," "," "," ",151,11.615384615 
"WCAP99-1064",2002,1,"R/R",07/16/2002,"1",13, , ,17,3,20, ,9,9,6,6,10,7,15,10,13," "," "," ",138,10.615384615 
"WCAP99-1065",2002,1,"R/R",06/27/2002,"2",15, , ,16,20,20, ,4,4,9,9,9,10,15,14,16," "," "," ",161,12.384615385 
"WCAP99-1066",2002,1,"R/R",07/17/2002,"2",18, , ,17,20,20, ,9,9,10,10,10,10,16,18,17," "," "," ",184,14.153846154 
"WCAP99-1067",2002,1,"R/R",07/10/2002,"1",17, , ,12,20,20, ,9,9,4,5,7,8,11,16,16," "," "," ",154,11.846153846 
