"SITE_ID","YEAR","VISIT_NO","DATE_COL","TEAM_ID","NINTRVL","SWIDTH","FLOW","FLOW_CFS","FLOWMETH","COMM_FLW","SAMPLED","XS_AREA" 
"WAZP99-0840",2002,1,08/14/2002,"1", , ,0.00026,0.009,"BUCKET"," ","Yes",  
"WAZP99-0851",2002,1,08/19/2002," ",10,0.033,0.00039,0.014,"VEL_DEPTH"," ","Yes",15.33906 
"WAZP99-0861",2003,1,05/28/2003," ",17,5.7,0.09647,3.406,"VEL_DEPTH"," ","Yes",2606.04 
"WAZP99-0863",2003,1,05/14/2003," ",13,3.6,0.0701,2.475,"VEL_DEPTH"," ","Yes",2834.64 
"WAZP99-0868",2003,1,06/03/2003," ",10,2.4,0.00766,0.271,"VEL_DEPTH"," ","Yes",1584.96 
"WAZP99-0876",2003,1,06/17/2003,"1", ,0.7,0.00394,0.139,"ROUGH_EST"," ","Yes",  
"WAZP99-0888",2003,1,05/20/2003," ",13,3.2,0.07891,2.786,"VEL_DEPTH"," ","Yes",3210.56 
"WAZP99-0893",2003,1,05/13/2003," ",18,4.2,0.06522,2.303,"VEL_DEPTH"," ","Yes",3147.06 
"WAZP99-0906",2003,1,06/04/2003," ",14,2.55,0.23035,8.134,"VEL_DEPTH"," ","Yes",3206.115 
"WCAP99-0501",2001,1,06/07/2001,"1",13,4.25,0.07155,2.526,"VEL_DEPTH"," ","Yes",3789.5833333 
"WCAP99-0503",2000,1,10/03/2000," ",20,4.08,0.14406,5.087,"VEL_DEPTH"," ","Yes",18241 
"WCAP99-0505",2000,1,08/09/2000," ",17,8.17,1.53364,54.153,"VEL_DEPTH"," ","Yes",53377.333333 
"WCAP99-0506",2000,1,08/29/2000," ",14,7.6,0.18628,6.578,"VEL_DEPTH"," ","Yes",8961.6666667 
"WCAP99-0509",2001,1,08/07/2001,"2",11,1.2,0.03131,1.106,"VEL_DEPTH"," ","Yes",805 
"WCAP99-0512",2001,1,08/29/2001,"1",11,2.1,0.0423,1.494,"VEL_DEPTH"," ","Yes",1391.25 
"WCAP99-0515",2000,1,09/28/2000," ",19,5.32,1.10082,38.87,"VEL_DEPTH"," ","Yes",8689.3333333 
"WCAP99-0521",2000,1,08/30/2000," ",17,7.6,0.40364,14.253,"VEL_DEPTH"," ","Yes",15896.666667 
"WCAP99-0527",2001,1,08/20/2001,"1",10,4,0.02955,1.043,"VEL_DEPTH"," ","Yes",7550 
"WCAP99-0534",2000,1,06/20/2000," ",18,4.75,0.68535,24.2,"VEL_DEPTH"," ","Yes",9104.1666667 
"WCAP99-0535",2000,1,06/13/2000," ",18,6.65,0.19432,6.861,"VEL_DEPTH"," ","Yes",10279.791667 
"WCAP99-0536",2000,1,06/14/2000," ",19,3.8,0.08774,3.098,"VEL_DEPTH"," ","Yes",4623.3333333 
"WCAP99-0539",2000,1,07/19/2000," ", , ,0,0,"VISUAL_EST","PARTIAL INTERUPTED FLOW.","Not sampled",  
"WCAP99-0540",2000,1,06/21/2000," ", ,2.1,0.00685,0.242,"ROUGH_EST"," ","Yes",  
"WCAP99-0542",2000,1,07/11/2000," ",15,5.7,0.06999,2.471,"VEL_DEPTH"," ","Yes",7267.5 
"WCAP99-0550",2000,1,06/27/2000,"1", , ,0.00181,0.064,"BUCKET"," ","Yes",  
"WCAP99-0552",2000,1,07/25/2000," ",18,2.85,0.0099,0.35,"VEL_DEPTH"," ","Yes",914.375 
"WCAP99-0558",2000,1,06/28/2000," ",16,1.9,0.08355,2.95,"VEL_DEPTH"," ","Yes",1630.8333333 
"WCAP99-0560",2000,1,07/13/2000," ",10,3.04,0.0491,1.734,"VEL_DEPTH"," ","Yes",9702.6666667 
"WCAP99-0563",2001,1,06/21/2001,"1",8,0.63,0.00079,0.028,"VEL_DEPTH"," ","Yes",94.5 
"WCAP99-0574",2000,1,08/15/2000," ", , ,0.0005,0.018,"BUCKET"," ","Yes",  
"WCAP99-0581",2001,1,07/26/2001,"1", , ,0.00006,0.002,"BUCKET"," ","Yes",  
"WCAP99-0583",2001,1,08/14/2001,"1", ,1.3,0.04188,1.479,"ROUGH_EST"," ","Yes",  
"WCAP99-0587",2000,1,08/16/2000," ", ,0.7,0.02129,0.752,"ROUGH_EST"," ","Yes",  
"WCAP99-0590",2000,1,08/24/2000," ", , ,0,0,"VISUAL_EST","POOLS WERE NOT FLOWING FLOWING WATER WAS MUCH TOO SHALLOW FOR AN ACCURATE FLOAT TO BE PERFORMED","Not sampled",  
"WCAP99-0592",2000,1,09/12/2000," ", ,1.5,0.04387,1.549,"ROUGH_EST"," ","Yes",  
"WCAP99-0593",2001,1,08/28/2001,"1",11,1.3,0.01174,0.415,"VEL_DEPTH"," ","Yes",752.91666667 
"WCAP99-0598",2002,1,09/17/2002," ",15,0.8,0.02138,0.755,"VEL_DEPTH"," ","Yes",676.66666667 
"WCAP99-0600",2000,1,08/02/2000," ",12,2.85,0.03143,1.11,"VEL_DEPTH"," ","Yes",5474.375 
"WCAP99-0604",2000,1,09/13/2000," ",13,2.28,0.01094,0.386,"VEL_DEPTH"," ","Yes",2574.5 
"WCAP99-0605",2000,1,09/19/2000," ",16,6.65,0.10315,3.642,"VEL_DEPTH"," ","Yes",12884.375 
"WCAP99-0606",2000,1,08/23/2000," ",14,2.85,0.02535,0.895,"VEL_DEPTH"," ","Yes",2398.75 
"WCAP99-0613",2000,1,08/08/2000," ",17,4.75,0.38543,13.609,"VEL_DEPTH"," ","Yes",6966.6666667 
"WCAP99-0614",2003,1,08/20/2003,"1", ,4.5,0.28836,10.182,"ROUGH_EST"," ","Yes",  
"WCAP99-0618",2003,1,07/23/2003,"2", ,5.7,0.1451,5.123,"ROUGH_EST"," ","Yes",  
"WCAP99-0619",2000,1,08/22/2000," ", , ,0.00028,0.01,"BUCKET"," ","Yes",  
"WCAP99-0624",2001,1,08/22/2001,"2",16,5.4,0.5828,20.578,"VEL_DEPTH"," ","Yes",13005 
"WCAP99-0625",2001,1,09/11/2001,"1",20,1.9,0.09946,3.512,"VEL_DEPTH"," ","Yes",3847.5 
"WCAP99-0629",2002,1,06/27/2002," ",9,5.5,0.2276,8.037,"VEL_DEPTH"," ","Yes",3345.8333333 
"WCAP99-0654",2001,1,06/13/2001,"1",18,9.12,0.13795,4.871,"VEL_DEPTH"," ","Yes",9880 
"WCAP99-0658",2001,1,05/09/2001,"1",10,0.6,0.00618,0.218,"VEL_DEPTH"," ","Yes",182.5 
"WCAP99-0662",2001,1,05/16/2001,"1",14,1.6,0.00798,0.282,"VEL_DEPTH"," ","Yes",1286.6666667 
"WCAP99-0669",2001,1,06/26/2001,"1",16,0.85,0.0232,0.819,"VEL_DEPTH"," ","Yes",488.75 
"WCAP99-0674",2002,1,05/16/2002," ",19,0.57,0.01744,0.616,"VEL_DEPTH"," ","Yes",394.25 
"WCAP99-0677",2002,1,05/09/2002," ",10,0.6,0.01261,0.445,"VEL_DEPTH"," ","Yes",137.5 
"WCAP99-0679",2002,1,04/24/2002," ",11,1.3,0.02342,0.827,"VEL_DEPTH"," ","Yes",920.83333333 
"WCAP99-0682",2002,1,04/30/2002," ",8,2,0.11158,3.94,"VEL_DEPTH"," ","Yes",708.33333333 
"WCAP99-0683",2002,1,05/08/2002," ",12,3,0.04862,1.717,"VEL_DEPTH"," ","Yes",3175 
"WCAP99-0742",2001,1,08/21/2001,"2",6,0.7,0.00873,0.308,"VEL_DEPTH"," ","Yes",449.16666667 
"WCAP99-0744",2001,1,09/12/2001,"1",14,4.5,0.3885,13.718,"VEL_DEPTH"," ","Yes",6918.75 
"WCAP99-0746",2001,1,07/31/2001,"2",15,4.75,0.1393,4.919,"VEL_DEPTH"," ","Yes",7718.75 
"WCAP99-0747",2001,1,09/07/2001,"1",7,0.5,0.00119,0.042,"VEL_DEPTH"," ","Yes",204.16666667 
"WCAP99-0748",2001,1,08/20/2001,"2",4,1.95,0.00302,0.106,"VEL_DEPTH","LOW READINGS FOR VELOCITY DUE TO HEAVY AMOUNT OF FILAMENTOUS ALGAE","Yes",1275.625 
"WCAP99-0750",2001,1,08/07/2001,"1",8,0.54,0.00199,0.07,"VEL_DEPTH"," ","Yes",263.25 
"WCAP99-0755",2001,1,08/22/2001,"1",11,1.8,0.02811,0.993,"VEL_DEPTH"," ","Yes",1740 
"WCAP99-0756",2001,1,08/21/2001,"1",11,2.4,0.0752,2.655,"VEL_DEPTH"," ","Yes",2140 
"WCAP99-0758",2001,1,07/02/2001,"1",17,1.8,0.2478,8.75,"VEL_DEPTH"," ","Yes",4365 
"WCAP99-0759",2001,1,09/13/2001,"1",10,0.7,0.00194,0.069,"VEL_DEPTH"," ","Yes",183.75 
"WCAP99-0760",2001,1,08/09/2001,"2",12,1.6,0.01088,0.384,"VEL_DEPTH"," ","Yes",1120 
"WCAP99-0761",2001,1,10/02/2001,"1", ,0.8,0.02043,0.721,"ROUGH_EST"," ","Yes",  
"WCAP99-0764",2002,1,06/20/2002,"2", ,11.6,0.51274,18.105,"ROUGH_EST"," ","Yes",  
"WCAP99-0767",2001,1,10/10/2001,"1",10,1.4,0.00805,0.284,"VEL_DEPTH"," ","Yes",647.5 
"WCAP99-0768",2001,1,07/25/2001,"2",10,1.1,0.10702,3.779,"VEL_DEPTH"," ","Yes",1260.4166667 
"WCAP99-0777",2001,1,06/20/2001,"1",8,0.45,0.00235,0.083,"VEL_DEPTH"," ","Yes",75 
"WCAP99-0779",2001,1,07/11/2001,"1",7,0.9,0.00372,0.131,"VEL_DEPTH"," ","Yes",547.5 
"WCAP99-0780",2001,1,05/15/2001,"1", ,0.2,0.00114,0.04,"ROUGH_EST"," ","Yes",  
"WCAP99-0785",2001,1,05/24/2001,"1",12,1.5,0.02596,0.917,"VEL_DEPTH"," ","Yes",725 
"WCAP99-0787",2001,1,06/27/2001,"1",8,0.5,0.01514,0.534,"VEL_DEPTH"," ","Yes",172.91666667 
"WCAP99-0794",2001,1,05/10/2001,"1",6,0.55,0.00166,0.059,"VEL_DEPTH"," ","Yes",91.666666667 
"WCAP99-0795",2001,1,06/06/2001,"1",13,1.8,0.04427,1.563,"VEL_DEPTH"," ","Yes",1695 
"WCAP99-0796",2001,1,07/10/2001,"1",8,0.405,0.00895,0.316,"VEL_DEPTH"," ","Yes",266.625 
"WCAP99-0798",2001,1,05/17/2001,"1",8,0.9,0.00773,0.273,"VEL_DEPTH"," ","Yes",236.25 
"WCAP99-0803",2001,1,06/12/2001,"1",9,1,0.03643,1.286,"VEL_DEPTH"," ","Yes",858.33333333 
"WCAP99-0806",2001,1,06/20/2001,"2",11,1.7,0.01153,0.407,"VEL_DEPTH"," ","Yes",864.16666667 
"WCAP99-0809",2001,1,06/05/2001,"1",8,2.75,0.0232,0.819,"VEL_DEPTH"," ","Yes",3368.75 
"WCAP99-0810",2001,1,07/26/2001,"2", ,1.1,0.01156,0.408,"ROUGH_EST"," ","Yes",  
"WCAP99-0811",2001,1,07/31/2001,"1",15,2.25,0.06423,2.268,"VEL_DEPTH"," ","Yes",2728.125 
"WCAP99-0812",2001,1,07/12/2001,"2",14,3.2,0.08954,3.162,"VEL_DEPTH"," ","Yes",3640 
"WCAP99-0816",2001,1,08/14/2001,"1", ,1.2,0.01255,0.443,"ROUGH_EST"," ","Yes",  
"WCAP99-0824",2001,1,07/24/2001,"1", ,0.5, , ," ","INCOMPLETE DATA FOR NEUTRAL BOUYANT OBJECT","Sampling failed",  
"WCAP99-0825",2001,1,07/10/2001,"1", ,9.6,0.2252,7.952,"ROUGH_EST"," ","Yes",  
"WCAP99-0831",2001,1,07/11/2001,"2",10,1.44,0.03548,1.253,"VEL_DEPTH"," ","Yes",1704 
"WCAP99-0832",2001,1,07/24/2001,"2", ,1.2,0.02674,0.944,"ROUGH_EST"," ","Yes",  
"WCAP99-0833",2001,1,08/15/2001,"1", , ,0.0003,0.011,"BUCKET"," ","Yes",  
"WCAP99-0835",2001,1,09/19/2001,"1", , ,0,0,"VISUAL_EST","NO APPRECIABLE FLOW TO TAKE MEASUREMENT","Not sampled",  
"WCAP99-0837",2002,1,07/09/2002,"2", ,17.7,2.08714,73.697,"ROUGH_EST"," ","Yes",  
"WCAP99-0838",2001,1,08/08/2001,"1",4,0.7,0.00115,0.041,"VEL_DEPTH"," ","Yes",262.5 
"WCAP99-0843",2001,1,10/03/2001,"1",14,0.8,0.01187,0.419,"VEL_DEPTH"," ","Yes",313.33333333 
"WCAP99-0844",2002,1,08/08/2002," ",11,0.6,0.0022,0.078,"VEL_DEPTH"," ","Yes",227.5 
"WCAP99-0845",2001,1,09/26/2001,"1",15,1.7,0.05569,1.966,"VEL_DEPTH"," ","Yes",1345.8333333 
"WCAP99-0857",2003,1,08/26/2003," ",11,1.2,0.02584,0.912,"VEL_DEPTH"," ","Yes",230 
"WCAP99-0860",2001,1,07/03/2001,"1",14,2.1,0.03577,1.263,"VEL_DEPTH"," ","Yes",1093.75 
"WCAP99-0862",2001,1,08/23/2001,"1", ,2.8,0.16756,5.917,"ROUGH_EST"," ","Yes",  
"WCAP99-0864",2001,1,05/08/2001,"1",10,0.09,0.00192,0.068,"VEL_DEPTH"," ","Yes",19.5 
"WCAP99-0867",2003,1,07/16/2003," ",15,3.2,0.03013,1.064,"VEL_DEPTH"," ","Yes",1920 
"WCAP99-0883",2001,1,06/28/2001,"1",7,1,0.01055,0.373,"VEL_DEPTH"," ","Yes",675 
"WCAP99-0885",2003,1,07/15/2003," ",11,0.6,0.0027,0.095,"VEL_DEPTH"," ","Yes",187.5 
"WCAP99-0888",2001,1,06/19/2001,"1",15,0.8,0.0245,0.865,"VEL_DEPTH"," ","Yes",583.33333333 
"WCAP99-0891",2001,1,06/14/2001,"1",6,2.2,0.00326,0.115,"VEL_DEPTH"," ","Yes",568.33333333 
"WCAP99-0895",2001,1,06/28/2001,"1",12,2.6,0.07422,2.621,"VEL_DEPTH"," ","Yes",3195.8333333 
"WCAP99-0896",2001,1,06/19/2001,"1",9,0.6,0.00164,0.058,"VEL_DEPTH"," ","Yes",62.5 
"WCAP99-0898",2001,1,05/23/2001,"1",6,3.2,0.0164,0.579,"VEL_DEPTH"," ","Yes",3133.3333333 
"WCAP99-0899",2001,1,06/26/2001,"2",7,1.5,0.00746,0.263,"VEL_DEPTH"," ","Yes",506.25 
"WCAP99-0900",2002,1,05/22/2002,"1", , ,0.0002,0.007,"BUCKET"," ","Yes",  
"WCAP99-0905",2001,1,06/27/2001,"2",11,2.25,0.09116,3.219,"VEL_DEPTH"," ","Yes",3909.375 
"WCAP99-0984",2002,1,06/19/2002," ",13,1.7,0.01591,0.562,"VEL_DEPTH"," ","Yes",1105 
"WCAP99-0988",2002,1,08/28/2002," ",9,0.8,0.00714,0.252,"VEL_DEPTH"," ","Yes",710 
"WCAP99-0989",2002,1,06/18/2002," ",17,18,1.063,37.535,"VEL_DEPTH"," ","Yes",24675 
"WCAP99-0991",2002,1,06/26/2002," ",12,6.5,0.8535,30.137,"VEL_DEPTH"," ","Yes",8233.3333333 
"WCAP99-1000",2002,1,07/17/2002," ",13,2.1,0.06992,2.469,"VEL_DEPTH"," ","Yes",945 
"WCAP99-1002",2002,1,06/25/2002," ",5,0.65,0.00153,0.054,"VEL_DEPTH"," ","Yes",135.41666667 
"WCAP99-1005",2002,1,08/21/2002," ",4,1.6,0.00069,0.024,"VEL_DEPTH"," ","Yes",780 
"WCAP99-1008",2002,1,06/06/2002," ",10,1.4,0.01783,0.63,"VEL_DEPTH"," ","Yes",600.83333333 
"WCAP99-1013",2002,1,05/15/2002," ",19,0.95,0.05274,1.862,"VEL_DEPTH"," ","Yes",934.16666667 
"WCAP99-1014",2002,1,04/23/2002," ",3,0.55,0.0003,0.011,"VEL_DEPTH"," ","Yes",55 
"WCAP99-1018",2002,1,04/25/2002," ",13,1.9,0.01589,0.561,"VEL_DEPTH"," ","Yes",1132.0833333 
"WCAP99-1020",2002,1,06/19/2002," ",9,1,0.0064,0.226,"VEL_DEPTH"," ","Yes",141.66666667 
"WCAP99-1021",2002,1,05/01/2002," ",8,0.55,0.01995,0.704,"VEL_DEPTH"," ","Yes",240.625 
"WCAP99-1027",2002,1,05/02/2002," ",17,1.8,0.11345,4.006,"VEL_DEPTH"," ","Yes",1507.5 
"WCAP99-1028",2002,1,05/29/2002," ",11,0.55,0.00722,0.255,"VEL_DEPTH"," ","Yes",185.625 
"WCAP99-1032",2002,1,06/04/2002," ",18,1.8,0.32959,11.638,"VEL_DEPTH"," ","Yes",3750 
"WCAP99-1035",2002,1,05/30/2002," ",10,0.6,0.00125,0.044,"VEL_DEPTH"," ","Yes",532.5 
"WCAP99-1039",2002,1,05/07/2002," ",16,9.5,0.47795,16.876,"VEL_DEPTH"," ","Yes",18089.583333 
"WCAP99-1043",2002,1,06/11/2002," ",9,0.65,0.00342,0.121,"VEL_DEPTH"," ","Yes",452.29166667 
"WCAP99-1046",2002,1,06/12/2002," ",7,0.8,0.00274,0.097,"VEL_DEPTH"," ","Yes",736.66666667 
"WCAP99-1048",2002,1,08/08/2002," ", ,2.55, , ," ","THERE IS FLOW, BUT IT IS TOO LOW TO ATTAIN MEASUREMENT","Sampling failed",1009.375 
"WCAP99-1050",2002,1,06/25/2002," ",8,2.2,0.05608,1.98,"VEL_DEPTH"," ","Yes",2841.6666667 
"WCAP99-1051",2002,1,07/16/2002," ",18,1.425,0.02171,0.767,"VEL_DEPTH"," ","Yes",1033.125 
"WCAP99-1055",2002,1,07/11/2002," ",12,1.3,0.02888,1.02,"VEL_DEPTH"," ","Yes",807.08333333 
"WCAP99-1056",2002,1,07/11/2002," ",7,0.5,0.00238,0.084,"VEL_DEPTH"," ","Yes",237.5 
"WCAP99-1057",2002,1,07/30/2002," ",16,0.9,0.00874,0.309,"VEL_DEPTH"," ","Yes",701.25 
"WCAP99-1060",2002,1,08/22/2002," ",14,3.4,0.02408,0.85,"VEL_DEPTH"," ","Yes",1388.3333333 
"WCAP99-1062",2002,1,09/12/2002," ",17,1.8,0.02328,0.822,"VEL_DEPTH"," ","Yes",1440 
"WCAP99-1063",2002,1,09/10/2002," ", , , , ," ","NOT ENOUGH FLOW TO TAKE MEASUREMENT MOVING WATER TOO SHALLOW FOR METER, TOO BROKEN BY ROCKS FOR FLOAT METHOD NO SITE FOR FILL METHOD","Sampling failed",  
"WCAP99-1064",2002,1,07/16/2002," ",6,0.6,0.0005,0.018,"VEL_DEPTH"," ","Yes",82.5 
"WCAP99-1065",2002,1,06/27/2002," ",11,1.2,0.00862,0.304,"VEL_DEPTH"," ","Yes",670 
"WCAP99-1066",2002,1,07/17/2002," ",19,1.9,0.33674,11.89,"VEL_DEPTH"," ","Yes",4187.9166667 
"WCAP99-1067",2002,1,07/10/2002," ",17,1.8,0.10159,3.587,"VEL_DEPTH"," ","Yes",3705 
"WCAP99-1071",2002,1,06/26/2002,"2", ,1.5,0.00523,0.185,"ROUGH_EST"," ","Yes",  
"WCAP99-1074",2002,1,07/31/2002," ",12,0.7,0.01197,0.423,"VEL_DEPTH"," ","Yes",504.58333333 
"WCAP99-1075",2002,1,07/10/2002," ",19,1.245,0.02133,0.753,"VEL_DEPTH"," ","Yes",664 
"WCAP99-1079",2002,1,07/09/2002," ",16,1.7,0.20544,7.254,"VEL_DEPTH"," ","Yes",4009.1666667 
"WCAP99-1090",2002,1,08/20/2002," ",9,1.4,0.00419,0.148,"VEL_DEPTH"," ","Yes",904.16666667 
"WCAP99-1091",2002,1,08/13/2002," ",13,2.4,0.01853,0.654,"VEL_DEPTH"," ","Yes",1060 
"WCAP99-1092",2002,1,08/14/2002," ",10,1.2,0.00703,0.248,"VEL_DEPTH"," ","Yes",1080 
"WCAP99-1096",2002,1,06/18/2002," ",12,1.3,0.04089,1.444,"VEL_DEPTH"," ","Yes",563.33333333 
"WCAP99-1100",2002,1,07/30/2002," ",16,3.4,0.79212,27.97,"VEL_DEPTH"," ","Yes",7012.5 
"WCAP99-1102",2003,1,05/07/2003," ",11,2.8,0.06306,2.227,"VEL_DEPTH"," ","Yes",4071.6666667 
"WCAP99-1104",2002,1,08/27/2002,"2", ,0.4,0.0076,0.268,"ROUGH_EST"," ","Yes",  
"WCAP99-1106",2002,1,08/01/2002,"2", ,7,0.04494,1.587,"ROUGH_EST"," ","Yes",  
"WCAP99-1111",2002,1,08/06/2002," ",17,3.8,0.05922,2.091,"VEL_DEPTH"," ","Yes",2406.6666667 
"WCAP99-1125",2002,1,05/23/2002," ",18,2.95,0.10409,3.676,"VEL_DEPTH"," ","Yes",3601.4583333 
"WCAP99-1127",2002,1,06/13/2002," ",9,1.14,0.01001,0.354,"VEL_DEPTH"," ","Yes",175.75 
"WCAP99-1131",2002,1,05/21/2002," ",16,4.75,0.15928,5.624,"VEL_DEPTH"," ","Yes",6333.3333333 
"WCAP99-1132",2002,1,06/05/2002," ",12,1.2,0.04413,1.558,"VEL_DEPTH"," ","Yes",505 
"WCOP01-0734",2003,1,06/02/2003," ",20,6.65,1.62687,57.445,"VEL_DEPTH"," ","Yes",14740.833333 
"WCOP01-0739",2001,1,06/20/2001,"0",15,6.6,0.47577,16.8,"VEL_DEPTH"," ","Yes",14630 
"WCOP01-0765",2002,1,08/27/2002," ",9,3.21,0.01537,0.543,"VEL_DEPTH"," ","Yes",2501.125 
"WCOP01-0769",2002,1,06/24/2002,"1", ,4.5,0.03485,1.231,"ROUGH_EST"," ","Yes",  
"WCOP01-0775",2003,1,05/14/2003," ",18,1.9,0.03216,1.136,"VEL_DEPTH"," ","Yes",1820.8333333 
"WCOP01-0777",2003,1,04/22/2003," ",19,5.7,0.07908,2.792,"VEL_DEPTH"," ","Yes",38000 
"WCOP01-0779",2001,1,08/29/2001,"1",16,3.6,0.0914,3.227,"VEL_DEPTH"," ","Yes",2130 
"WCOP01-0809",2002,1,06/05/2002," ",15,3.8,0.04048,1.429,"VEL_DEPTH"," ","Yes",4480.8333333 
"WCOP01-0812",2002,1,09/17/2002," ",17,5.7,0.22197,7.838,"VEL_DEPTH"," ","Yes",7671.25 
"WCOP01-0817",2002,1,08/28/2002," ",16,2.28,0.05459,1.928,"VEL_DEPTH"," ","Yes",2983 
"WCOP01-0819",2002,1,09/18/2002," ", , , , ," ","FLOW INSUFFICIENT TO BE MEASURED","Sampling failed",  
"WCOP01-0833",2003,1,05/15/2003," ",19,6.08,0.4944,17.457,"VEL_DEPTH"," ","Yes",21888 
"WCOP01-0836",2001,1,09/06/2001,"1",19,2.85,0.09245,3.264,"VEL_DEPTH"," ","Yes",3004.375 
"WCOP01-0838",2003,1,09/09/2003," ",18,4.56,0.46289,16.345,"VEL_DEPTH"," ","Yes",7866 
"WCOP99-0502",2000,1,08/05/2000," ",10,1.7,0.00669,0.236,"VEL_DEPTH"," ","Yes",998.75 
"WCOP99-0503",2000,1,07/27/2000," ",15,0.8,0.03619,1.278,"VEL_DEPTH"," ","Yes",530 
"WCOP99-0505",2000,1,08/17/2000," ",8,1.2,0.00369,0.13,"VEL_DEPTH"," ","Yes",170 
"WCOP99-0506",2000,1,07/19/2000,"0", , ,0.00635,0.224,"BUCKET","CHANNEL HAS TOO MUCH ALGAE AND GRASS, MEASURED AT WATERFALL NEAR B VOLUME WAS MEASURED TO THE NEAREST 05 LITER","Yes",  
"WCOP99-0507",2000,1,08/03/2000," ",9,1.9,0.01486,0.525,"VEL_DEPTH"," ","Yes",831.25 
"WCOP99-0508",2000,1,08/01/2000," ",10,2.7,0.15374,5.429,"VEL_DEPTH"," ","Yes",1980 
"WCOP99-0510",2000,1,09/06/2000,"0", , ,0,0,"VISUAL_EST","PARTIAL INTERUPTED FLOW.","Not sampled",  
